અ	ə
ચર્ચગેટ	t͡ʃ ə ɾ t͡ʃ ɡ ɛ ʈ
ચર્મ	t͡ʃ ə ɾ m ə
ચવાણું	t͡ʃ ə ʋ ɑ ɳ ũ
ચશ્માં	t͡ʃ ə ʃ m ɑ̃
ચહેરો	t͡ʃ ə ɦ eː ɾ o
ચા	t͡ʃ ɑ
ચાંગચુન	t͡ʃ ɑ n ɡ t͡ʃ u n
ચાંચ	t͡ʃ ɑ̃ t͡ʃ
ચાંચિયો	t͡ʃ ɑ̃ t͡ʃ i j o
ચાંદ	t͡ʃ ɑ n d̪
ચાંદની	t͡ʃ ɑ n d̪ ə n i
ચાંદલો	t͡ʃ ɑ n d̪ l o
ચાંદી	t͡ʃ ɑ n d̪ i
ચાકુ	t͡ʃ ɑ k u
ચાખ	t͡ʃ ɑ kʰ
ચાખવું	t͡ʃ ɑ kʰ ʋ ũ
ચાચર	t͡ʃ ɑ t͡ʃ ə ɾ
ચાચી	t͡ʃ ɑ t͡ʃ i
ચાચો	t͡ʃ ɑ t͡ʃ o
ચાદર	s ɑ d̪ ə ɾ
ચાદર	t͡ʃ ɑ d̪ ə ɾ
ચાપલી	t͡ʃ ɑ p l i
ચાબુક	t͡ʃ ɑ b u k
ચામડી	t͡ʃ ɑ m ɽ i
ચામુંડા	t͡ʃ ɑ m u ɳ ɖ ɑ
ચાર	t͡ʃ ɑ ɾ
ચારણી	t͡ʃ ɑ ɾ ɳ i
ચાલવું	t͡ʃ ɑ l ʋ ũ
ચાળા	t͡ʃ ɑ ɭ ɑ
ચાળીસ	t͡ʃ ɑ ɭ i s
ચાવવું	t͡ʃ ɑ ʋ ʋ ũ
ચાવી	t͡ʃ ɑ ʋ i
ચાહકજગત	t͡ʃ ɑ ɦ ə k d͡ʒ ə ɡ ə t̪
ચાહત	t͡ʃ ɑ ɦ ə t̪
ચિંતા	t͡ʃ i n t̪ ɑ
ચિકિત્સક	t͡ʃ i k i t̪ s ə k
ચિઠ્ઠી	t͡ʃ i ʈʰ ʈʰ i
ચિતા	t͡ʃ i t̪ ɑ
ચિતારો	t͡ʃ i t̪ ɑ ɾ o
ચિત્તળ	t͡ʃ i t̪ t̪ ə ɭ
ચિત્તો	t͡ʃ i t̪ t̪ o
ચિત્રકામ	t͡ʃ i t̪ ɾ ə k ɑ m
ચિત્રમય	t͡ʃ i t̪ ɾ ə m j ə
ચિનવત	t͡ʃ i n ə ʋ ə t̪
ચિનાબ	t͡ʃ i n ɑ b
ચિરાગ	t͡ʃ i ɾ ɑ ɡ
ચીકણું	t͡ʃ i k ɳ ũ
ચીકુ	t͡ʃ i k u
ચીજ	t͡ʃ i d͡ʒ
ચીઝ	t͡ʃ i d͡ʒʱ
ચીઝ	t͡ʃ i z
ચીન	t͡ʃ i n
ચીનાઈ	t͡ʃ i n ɑ i
ચીની	t͡ʃ i n i
ચીનો	t͡ʃ i n o
ચીમની	t͡ʃ i m n i
ચીવર	t͡ʃ i ʋ ə ɾ
ચીસ	t͡ʃ i s
ચુંબન	t͡ʃ u m b ə n
ચુંમાળીસ	t͡ʃ u m m ɑ ɭ i s
ચુંમોતેર	t͡ʃ u m m o t̪ eː ɾ
ચુગતાઈ	t͡ʃ u ɡ t̪ ɑ i
ચુપચાપ	t͡ʃ u p t͡ʃ ɑ p
ચૂંટવું	t͡ʃ ũ ʈ ʋ ũ
ચૂંવાળિયા	t͡ʃ ũ ʋ ɑ ɭ i j ɑ
ચૂમવું	t͡ʃ u m ʋ ũ
ચૂલો	t͡ʃ u l o
ચૂસવું	t͡ʃ u s ʋ ũ
ચેક	t͡ʃ ɛ k
ચેન્નાઈ	t͡ʃ eː n n ɑ i
ચેરી	t͡ʃ eː ɾ i
ચેલો	t͡ʃ eː l o
ચેહ	t͡ʃ ɛ ɦ
ચૈત્ર	t͡ʃ ə i t̪ ɾ ə
ચોંટવું	t͡ʃ õ ʈ ʋ ũ
ચોક	t͡ʃ ɔ k
ચોકડી	t͡ʃ ɔ k ɽ i
ચોકલેટ	t͡ʃ o k l eː ʈ
ચોકસ	t͡ʃ ɔ k ə s
ચોકીદાર	t͡ʃ ɔ k i d̪ ɑ ɾ
ચોખા	t͡ʃ o kʰ ɑ
ચોગણું	t͡ʃ ɔ ɡ ɳ ũ
ચોતરો	t͡ʃ ɔ t̪ ɾ o
ચોત્રીસ	t͡ʃ ɔ t̪ ɾ i s
ચોથ	t͡ʃ ɔ t̪ʰ
ચોથું	t͡ʃ ɔ t̪ʰ ũ
ચોદવું	t͡ʃ o d̪ ʋ ũ
ચોપડી	t͡ʃ ɔ p ɽ i
ચોપડો	t̪͡ʃ ɔ p ɖ o
ચોપન	t͡ʃ ɔ p ə n
ચોપાટ	t͡ʃ ɔ p ɑ ʈ
ચોમાસું	t͡ʃ ɔ m ɑ s ũ
ચોર	t͡ʃ o ɾ
ચોરવું	t͡ʃ o ɾ ʋ ũ
ચોરસ	t͡ʃ ɔ ɾ ə s
ચોરી	t͡ʃ o ɾ i
ચોરી	t͡ʃ ɔ ɾ i
ચોળી	t͡ʃ o ɭ i
ચોવીસ	t͡ʃ ɔ ʋ i s
ચોસઠ	t͡ʃ ɔ s ə ʈʰ
ચૌદ	t͡ʃ ə u d̪
ચૌહાણ	t͡ʃ ə u ɦ ɑ ɳ
છ	s ə
છ	t͡ʃʰ ə
છ	ʃ ə
છગનલાલ	t͡ʃʰ ə ɡ ə n l ɑ l
છજું	t͡ʃʰ ə d͡ʒ ũ
છત	t͡ʃʰ ə t̪
છત્તીસગઢ	t͡ʃʰ ə t̪ t̪ i s ɡ ə ɖʱ
છત્રી	t͡ʃʰ ə t̪ ɾ i
છત્રીસ	t͡ʃʰ ə t̪ ɾ i s
છપ્પન	t͡ʃʰ ə p p ə n
છરી	t͡ʃʰ ə ɾ i
છવ્વીસ	t͡ʃʰ ə ʋ ʋ i s
છાંયડી	t͡ʃʰ ɑ̃ j ə ɖ i
છાણ	t͡ʃʰ ɑ ɳ
છાનુંમાનું	t͡ʃʰ ɑ n ũ m ɑ n ũ
છાપખાનું	t͡ʃʰ ɑ p kʰ ɑ n ũ
છાપયંત્ર	t͡ʃʰ ɑ p j ə n t̪ ɾ ə
છાપરું	t͡ʃʰ ɑ p ɾ ũ
છાપવું	t͡ʃʰ ɑ p ʋ ũ
છાશ	t͡ʃʰ ɑ s
છાશ	t͡ʃʰ ɑ ʃ
છાશ	t͡ʃʰ ɑʱ
છાસઠ	t͡ʃʰ ɑ s ə ʈʰ
છી	t͡ʃʰ i
છીંક	t͡ʃʰ ĩ k
છૂંદો	t͡ʃʰ u n d̪ o
છૂટી	t͡ʃʰ u ʈ i
છૂપું	t͡ʃʰ u p ũ
છે	s ɛ
છે	t͡ʃʰ ɛ
છેંતાળીસ	t͡ʃʰ ẽ t̪ ɑ ɭ i s
છેલછબીલું	t͡ʃʰ ɛ l t͡ʃʰ ə b i l ũ
છેવટ	t͡ʃʰ eː ʋ ə ʈ
છોકરમત	t ʃʰ o k ə r m ə t
છોકરી	t͡ʃʰ o k ɾ i
છોકરું	t͡ʃʰ o k ɾ ũ
છોકરો	t͡ʃʰ o k ɾ o
છોડ	t͡ʃʰ o ɽ
છોડવું	t͡ʃʰ o ɖ ʋ ũ
છોડું	t͡ʃʰ ɔ ɽ ũ
છોતેર	t͡ʃʰ o t̪ eː ɾ
છોલવું	t͡ʃʰ o l ʋ ũ
જ	d͡ʒ
જ	d͡ʒ ə
જ	ə d͡ʒ
જંગલ	d͡ʒ ə ŋ ɡ ə l
જંતુનાશક	d͡ʒ ə n t̪ u n ɑ ʃ ə k
જકાત	d͡ʒ ə k ɑ t̪
જકારિયા	d͡ʒ ə k ɑ ɾ i j ɑ
જગન્નાથી	d͡ʒ ə ɡ ə n n ɑ t̪ʰ i
જગ્યા	d͡ʒ ə ɡ j ɑ
જટામાંસી	d͡ʒ ə ʈ ɑ m ɑ̃ s i
જડ	d͡ʒ ə ɖ
જણ	d͡ʒ ə ɳ
જણવું	d͡ʒ ə ɳ ʋ ũ
જનનેંદ્રિય	d͡ʒ ə n n eː n d̪ ɾ i j ə
જનવરી	d͡ʒ ə n ə ʋ ɾ i
જનાજો	d͡ʒ ə n ɑ d͡ʒ o
જનાનખાનું	d͡ʒ ə n ɑ n kʰ ɑ n ũ
જનોઈ	d͡ʒ ə n o i
જન્નત	d͡ʒ ə n n ə t̪
જન્મ	d͡ʒ ə n m ə
જન્મટીપ	d͡ʒ ə n m ə ʈ i p
જન્મભૂમિ	d͡ʒ ə n m ə bʱ u m i
જન્મોત્સવ	d͡ʒ ə n m o t̪ s ə ʋ
જપમાલા	d͡ʒ ə p m ɑ l ɑ
જપવું	d͡ʒ ə p ʋ ũ
જબરું	d͡ʒ ə b ɾ ũ
જબલપુર	d͡ʒ ə b ə l p u ɾ
જબાન	d͡ʒ ə b ɑ n
જમ	d͡ʒ ə m
જમણ	d͡ʒ ə m ə ɳ
જમણવાર	d͡ʒ ə m ə ɳ ʋ ɑ ɾ
જમણું	d͡ʒ ə m ɳ ũ
જમરૂખ	d͡ʒ ə m ɾ u kʰ
જમરૂદ	d͡ʒ ə m ɾ u d̪
જમવું	d͡ʒ ə m ʋ ũ
જમશીદ	d͡ʒ ə m ʃ i d̪
જમાઈ	d͡ʒ ə m ɑ i
જમાત	d͡ʒ ə m ɑ t̪
જમાતખાનું	d͡ʒ ə m ɑ t̪ kʰ ɑ n ũ
જમાનો	d͡ʒ ə m ɑ n o
જમાનો	z ə m ɑ n o
જમીન	d͡ʒ ə m i n
જમીન	z ə m i n
જમીલ	d͡ʒ ə m i l
જય	d͡ʒ ə j
જયપુર	d͡ʒ ə j p u ɾ
જરઠ	d͡ʒ ə ɾ ə ʈʰ
જરતોસ્ત	d͡ʒ ə ɾ t̪ o s t̪
જરતોસ્ત	z ə ɾ t̪ o s t̪
જરથુષ્ટ્ર	d͡ʒ ə ɾ t̪ʰ u ʂ ʈ ɾ ə
જરથુષ્ટ્ર	z ə ɾ t̪ʰ u ʂ ʈ ɾ ə
જરથોસ્તી	d͡ʒ ə ɾ t̪ʰ o s t̪ i
જરથોસ્તી	z ə ɾ t̪ o s t̪ i
જરથોસ્તી	z ə ɾ t̪ʰ o s t̪ i
જરદાળુ	d͡ʒ ə ɾ d̪ ɑ ɭ u
જરદી	d͡ʒ ə ɾ d̪ i
જરા	d͡ʒ ə ɾ ɑ
જરાક	d͡ʒ ə ɾ ɑ k
જરીવાળા	d͡ʒ ə ɾ i ʋ ɑ l ɑ
જરીવાળા	d͡ʒ ə ɾ i ʋ ɑ ɭ ɑ
જર્મની	d͡ʒ ə ɾ m ə n i
જલેબી	d͡ʒ ə l eː b i
જળ	d͡ʒ ə ɭ
જળઘોડો	d͡ʒ ə ɭ ɡʱ o ɽ o
જળણ	d͡ʒ ə ɭ ə ɳ
જળવું	d͡ʒ ə ɭ ʋ ũ
જળો	d͡ʒ ə ɭ o
જવાબ	d͡ʒ ə ʋ ɑ b
જશન	d͡ʒ ə ʃ ə n
જહન્નમ	d͡ʒ ə ɦ ə n n ə m
જહાંગીર	d͡ʒ ə ɦ ɑ n ɡ i ɾ
જહાજ	d͡ʒ ə ɦ ɑ d͡ʒ
જા	d͡ʒ ɑ
જાંઘ	d͡ʒ ɑ̃ ɡʱ
જાંબલી	d͡ʒ ɑ m b l i
જાકારો	d͡ʒ ɑ k ɑ ɾ o
જાકીટ	d͡ʒ ɑ k i ʈ
જાજરૂ	d͡ʒ ɑ d͡ʒ ɾ u
જાડિયો	d͡ʒ ɑ ɖ i j o
જાડું	d͡ʒ ɑ ɖ ũ
જાણકારી	d͡ʒ ɑ ɳ k ɑ ɾ i
જાત	d͡ʒ ɑ t̪
જાતઅનુભવ	d͡ʒ ɑ t̪ ə n u bʱ ə ʋ
જાન	d͡ʒ ɑ n
જાનવર	d͡ʒ ɑ n ʋ ə ɾ
જાન્યુઆરી	d͡ʒ ɑ n j u ɑ ɾ i
જાપાન	d͡ʒ ɑ p ɑ n
જાપાનીઝ	d͡ʒ ɑ p ɑ n i d͡ʒʱ
જાફરાન	d͡ʒ ɑ pʰ ɾ ɑ n
જામનગર	d͡ʒ ɑ m n ə ɡ ə ɾ
જામફળ	d͡ʒ ɑ m pʰ ə ɭ
જામેમસ્જિદ	d͡ʒ ɑ m eː m ə s d͡ʒ i d̪
જાળપૃષ્ઠ	d͡ʒ ɑ ɭ p ɾ u ʂ ʈʰ
જાળી	d͡ʒ ɑ ɭ i
જાવું	d͡ʒ ɑ ʋ ũ
જાસૂસ	d͡ʒ ɑ s u s
જાહેર	d͡ʒ ɑ ɦ eː ɾ
જાહેરખબર	d͡ʒ ɑ ɦ eː ɾ kʰ ə b ə ɾ
જાહેરનામું	d͡ʒ ɑ ɦ eː ɾ n ɑ m ũ
જિંદગી	d͡ʒ i n d̪ ə ɡ i
જિગર	d͡ʒ i ɡ ə ɾ
જિયારત	d͡ʒ i j ɑ ɾ ə t̪
જિયેરા	d͡ʒ i j eː ɾ ɑ
જિરાફ	d͡ʒ i ɾ ɑ pʰ
જિલ્લો	d͡ʒ i l l o
જી	d͡ʒ i
જીજો	d͡ʒ i d͡ʒ o
જીભ	d͡ʒ i bʱ
જીરું	d͡ʒ i ɾ ũ
જીવ	d͡ʒ i ʋ
જીવડું	d͡ʒ i ʋ ɖ ũ
જીવડું	d͡ʒ i ʋ ɽ ũ
જીવનચરિત્ર	d͡ʒ i ʋ ə n t͡ʃ ə ɾ i t̪ ɾ ə
જીવનવિજ્ઞાન	d͡ʒ i ʋ ə n ʋ i d͡ʒ ɲ ɑ n
જીવવું	d͡ʒ i ʋ ʋ ũ
જુગાર	d͡ʒ u ɡ ɑ ɾ
જુદું	d͡ʒ u d̪ ũ
જુદ્દીન	d͡ʒ u d̪ d̪ i n
જુધ	d͡ʒ u d̪ʱ
જુમા	d͡ʒ u m ɑ
જુમેરાત	d͡ʒ u m eː ɾ ɑ t̪
જુલાઇ	d͡ʒ u l ɑ i
જુવાન	d͡ʒ u ʋ ɑ n
જુવાની	d͡ʒ u ʋ ɑ n i
જુહાર	d͡ʒ u ɦ ɑ ɾ
જૂ	d͡ʒ u
જૂઈ	d͡ʒ u i
જૂઠું	d͡ʒ u ʈʰ ũ
જૂતું	d͡ʒ u t̪ ũ
જૂન	d͡ʒ u n
જૂનાગઢ	d͡ʒ u n ɑ ɡ ə ɖʱ
જૂનું	d͡ʒ u n ũ
જૂસ	d͡ʒ u s
જે	d͡ʒ eː
જેઠ	d͡ʒ eː ʈʰ
જેતૂન	d͡ʒ ɛ t̪ u n
જેરૂસલેમ	d͡ʒ eː ɾ u s l eː m
જેલ	d͡ʒ eː l
જેલમ	d͡ʒ eː l ə m
જૈન	d͡ʒ ə i n
જોઈશે	d͡ʒ o i ʃ eː
જોઉં	d͡ʒ o ũ
જોકર	d͡ʒ o k ə ɾ
જોકે	d͡ʒ o k eː
જોજો	d͡ʒ o d͡ʒ o
જોડ	d͡ʒ o ɽ
જોડવું	d͡ʒ o ɖ ʋ ũ
જોડિયું	d͡ʒ o ɖ i j ũ
જોડે	d͡ʒ o ɽ ɛ
જોતી	d͡ʒ o t̪ i
જોતી	z o t̪ i
જોધપુર	d͡ʒ o d̪ʱ p u ɾ
જોબ	d͡ʒ ɔ b
જોબન	d͡ʒ o b ə n
જોયું	d͡ʒ o j ũ
જોરદાર	d͡ʒ o ɾ d̪ ɑ ɾ
જોવું	d͡ʒ o ʋ ũ
જોશી	d͡ʒ o ʃ i
જોસેફ	d͡ʒ o s eː pʰ
જૌહર	d͡ʒ ə u ɦ ə ɾ
જ્ઞ	ɡ n ə
જ્ઞાન	ɡ i n ɑ n
જ્ઞાન	ɡ j ɑ n
જ્ઞાન	ɡ ɲ ɑ n
જ્યાં	d͡ʒ j ɑ̃
જ્યાફત	d͡ʒ j ɑ pʰ ə t̪
જ્યારે	d͡ʒ j ɑ ɾ ɛ
જ્યોતિ	d͡ʒ j o t̪ i
જ્યોતિષ	d͡ʒ j o t̪ i ʂ
જ્યોર્જિયા	d͡ʒ j ɔ ɾ d͡ʒ i j ɑ
ઝ	d͡ʒʱ ə
ઝંડો	d͡ʒʱ ə ɳ ɖ o
ઝઘડો	d͡ʒʱ ə ɡʱ ɽ o
ઝડવઝડ	d͡ʒʱ ə ɖ ʋ ə d͡ʒʱ ə ɖ
ઝભલું	d͡ʒʱ ə bʱ l ũ
ઝભલું	z ə bʱ l ũ
ઝમઝમ	d͡ʒʱ ə m d͡ʒʱ ə m
ઝરમર	d͡ʒʱ ə ɾ m ə ɾ
ઝરૂખો	d͡ʒʱ ə ɾ u kʰ o
ઝવેરી	d͡ʒʱ ə ʋ eː ɾ i
ઝાંઝર	d͡ʒʱ ɑ ɲ d͡ʒʱ ə ɾ
ઝાંટ	d͡ʒʱ ɑ̃ ʈ
ઝાંસી	d͡ʒʱ ɑ̃ s i
ઝાડ	d͡ʒʱ ɑ ɖ
ઝાડ	d͡ʒʱ ɑ ɽ
ઝાડુ	d͡ʒʱ ɑ ɽ u
ઝારખંડ	d͡ʒʱ ɑ ɾ kʰ ə ɳ ɖ
ઝિંદાબાદ	d͡ʒʱ i n d̪ ɑ b ɑ d̪
ઝીંગું	d͡ʒʱ i ŋ ɡ ũ
ઝીણા	d͡ʒʱ i ɳ ɑ
ઝીણું	d͡ʒʱ i ɳ ũ
ઝીલ	d͡ʒʱ i l
ઝુલકિફલ	d͡ʒʱ u l k i pʰ ə l
ઝૂ	d͡ʒʱ u
ઝૂ	d͡ʒʱ uː
ઝૂ	z u
ઝૂ	z uː
ઝૂંપડું	d͡ʒʱ ũ p ɽ ũ
ઝૂમખું	d͡ʒʱ u m kʰ ũ
ઝેર	d͡ʒʱ ɛ ɾ
ઝોયા	d͡ʒʱ o j ɑ
ઝોળી	d͡ʒʱ o ɭ i
ઞ	ɲ ə
ટ	t̪ ə
ટ	ʈ ə
ટટાર	ʈ ə ʈ ɑ ɾ
ટપાલ	ʈ ə p ɑ l
ટમલર	ʈ ə m l ə ɾ
ટર્નર	ʈ ə ɾ n ə ɾ
ટાંકણી	ʈ ɑ̃ k ɳ i
ટાંકી	ʈ ɑ̃ k i
ટાંગાનિકા	ʈ ɑ ŋ ɡ ɑ n i k ɑ
ટાંઝાનિયા	t̪ ɑ ɲ d͡ʒʱ ɑ n i j ɑ
ટાકો	ʈ ɑ k o
ટાગોર	ʈ ɑ ɡ o ɾ
ટાઢ	ʈ ɑ ɖʱ
ટાણું	ʈ ɑ ɳ ũ
ટાબર	ʈ ɑ b ə ɾ
ટામેટું	ʈ ɑ m eː ʈ ũ
ટાલ	ʈ ɑ l
ટિકિટ	t̪ i k i ʈ
ટિકિટ	ʈ i k i ʈ
ટિપાઈ	ʈ i p ɑ i
ટિફિન	ʈ i f i n
ટિફિન	ʈ i pʰ i n
ટીપું	ʈ i p ũ
ટીવી	ʈ i ʋ i
ટુકડો	ʈ u k ɖ o
ટુવાલ	ʈ u ʋ ɑ l
ટૂથપેસ્ટ	ʈ u t̪ʰ p eː s ʈ
ટૂથબ્રશ	ʈ u t̪ʰ b ɾ ə ʃ
ટેંક	ʈ eː ŋ k
ટેક્સી	ʈ eː k s i
ટેનિસ	t̪ eː n i s
ટેનિસ	t̪ ɛ n i s
ટેમ્પો	ʈ eː m p o
ટેલિવિઝન	ʈ eː l i ʋ i d͡ʒʱ ə n
ટેવ	ʈ eː ʋ
ટોપી	ʈ o p i
ટ્રેન	ʈ ɾ eː n
ઠ	ʈʰ ə
ઠંડ	ʈʰ ə ɳ ɖ
ઠંડું	ʈʰ ə ɳ ɖ ũ
ઠઠ્ઠો	ʈʰ ə ʈ ʈʰ ɔ
ઠરવું	ʈʰ ə ɾ ʋ ũ
ઠરાવવું	ʈʰ ə ɾ ɑ ʋ ʋ ũ
ઠાણ	ʈʰ ɑ ɳ
ઠામ	ʈʰ ɑ m
ઠૂંડી	ʈʰ u ɳ ɖ i
ઠૂંડી	ʈʰ ũ ɖ i
ઠેકાણું	ʈʰ eː k ɑ ɳ ũ
ઠેબા	ʈʰ eː b ɑ
ઠોકર	ʈʰ o k ə ɾ
ઠોકવું	ʈʰ o k ʋ ũ
ઠોઠ	ʈʰ o ʈʰ
ડ	ɖ ə
ડગલો	ɖ ə ɡ l o
ડઝન	ɖ ə d͡ʒʱ ə n
ડફોળ	ɖ ə pʰ o ɭ
ડબ્બી	ɖ ə b b i
ડરવું	ɖ ə ɾ ʋ ũ
ડસવું	ɖ ə s ʋ ũ
ડાક	ɖ ɑ k
ડાકબંગલો	ɖ ɑ k b ə ŋ ɡ l o
ડાકો	ɖ ɑ k o
ડાઘો	ɖ ɑ ɡʱ o
ડાબું	ɖ ɑ b ũ
ડાયરી	ɖ ɑ j ə ɾ i
ડાયાબિટીસ	ɖ ɑ j ɑ b i ʈ i s
ડાય્હ્યું	ɖ ɑ j ɦ j ũ
ડિઝર્ટ	ɖ i d͡ʒʱ ə ɾ ʈ
ડિસેમ્બર	ɖ i s eː m b ə ɾ
ડીલ	ɖ i l
ડુંગળી	ɖ u ŋ ɡ ɭ i
ડુક્કર	ɖ u k k ə ɾ
ડૂંટી	ɖ ũ ʈ i
ડૉક્ટર	ɖ ɔ k ʈ ə ɾ
ડોકવું	ɖ o k ʋ ũ
ડોકું	ɖ o k ũ
ડોડિયા	ɖ o ɖ i j ɑ
ડોબું	ɖ o b ũ
ડોલ	ɖ o l
ડોળો	ɖ o ɭ o
ડોસી	ɖ o s i
ડોસી	ɖ o ɦ i
ડોસો	d̪ o ɦ o
ડોસો	ɖ o s o
ઢ	ɖʱ ə
ઢગલો	ɖʱ ə ɡ l o
ઢાંકણ	ɖʱ ɑ̃ k ə ɳ
ઢાંકણું	ɖʱ ɑ̃ k ɳ ũ
ઢાંકવું	ɖʱ ɑ̃ k ʋ ũ
ઢાકા	ɖʱ ɑ k ɑ
ઢીંગલી	ɖʱ i ŋ ɡ l i
ઢેપું	ɖʱ eː p ũ
ઢેબરું	ɖʱ eː b ɾ ũ
ઢેલ	ɖʱ ɛ l
ઢોકળું	ɖʱ o k ɭ ũ
ઢોર	ɖʱ o ɾ
ઢોલ	ɖʱ o l
ઢોલ	ɖʱ ɔ l
ઢોળવું	ɖʱ o ɭ ʋ ũ
ઢોસા	ɖʱ o s ɑ
ણ	ɳ ə
ત	t̪ ə
તંદુરસ્ત	t̪ ə n d̪ u ɾ ə s t̪
તંદૂર	t̪ ə n d̪ u ɾ
તંબોળી	t̪ ə m b o ɭ i
તકલી	t̪ ə k l i
તકલીફ	t̪ ə k l i pʰ
તકિયો	t̪ ə k i j o
તકિયો	t̪ ə k j o
તક્ષશિલા	t̪ ə k ʃ ə ʃ i l ɑ
તટ	t̪ ə ʈ
તડકો	t̪ ə ɖ k o
તપઋતુ	t̪ ə p ɾ u t̪ u
તપેલી	t̪ ə p eː l i
તફાવત	t̪ ə pʰ ɑ ʋ ə t̪
તબલાં	t̪ ə b l ɑ̃
તબાહ	t̪ ə b ɑʱ
તબિયત	t̪ ə b i j ə t̪
તબિયત	t̪ ə b j ə t̪
તમંચો	t̪ ə m ə ɲ t͡ʃ o
તમઘા	t̪ ə m ɡʱ ɑ
તમામ	t̪ ə m ɑ m
તમિળનાડુ	t̪ ə m i ɭ n ɑ ɖ u
તમે	t̪ ə m ɛ
તમેણ	t̪ ə m ɛ ɳ
તરંગરૂપ	t̪ ə ɾ ə ŋ ɡ ɾ u p
તરત	t̪ ə ɾ ə t̪
તરફ	t̪ ə ɾ ə pʰ
તરબૂચ	t̪ ə ɾ b u t͡ʃ
તરવાડી	t̪ ə ɾ ʋ ɑ ɽ i
તરવાવું	t̪ ə ɾ ʋ ɑ ʋ ũ
તરસ	t̪ ə ɾ ə s
તરસ્યું	t̪ ə ɾ ə s j ũ
તરાપો	t̪ ə ɾ ɑ p o
તરાપો	t̪ ɾ ɑ p o
તરીકો	t̪ ə ɾ i k o
તલ	t̪ ə l
તલવાર	t̪ ə l ʋ ɑ ɾ
તલાક	t̪ ə l ɑ k
તલાટી	t̪ ə l ɑ ʈ i
તળવું	t̪ ə ɭ ʋ ũ
તળસી	t̪ ə ɭ s i
તળાવ	t̪ ə ɭ ɑ ʋ
તવાયફ	t̪ ə ʋ ɑ j ə pʰ
તવો	t̪ ə ʋ o
તસબીહ	t̪ ə s b iʱ
તસવીર	t̪ ə s ʋ i ɾ
તસ્બીહ	t̪ ə s b iʱ
તહજ્જુદ	t̪ ə ɦ ə d͡ʒ d͡ʒ u d̪
તહીં	t̪ ə ɦ ĩ
તહેવાર	t̪ ə ɦ ɛ ʋ ɑ ɾ
તાઇવાન	t̪ ɑ i ʋ ɑ n
તાજ	t̪ ɑ d͡ʒ
તાજદાર	t̪ ɑ d͡ʒ d̪ ɑ ɾ
તાડ	t̪ ɑ ɽ
તાતારી	t̪ ɑ t̪ ɑ ɾ i
તાતું	t̪ ɑ t̪ ũ
તાન્યા	t̪ ɑ n j ɑ
તાપ	t̪ ɑ p
તાબૂત	t̪ ɑ b u t̪
તામિળ	t̪ ɑ m i ɭ
તામ્ર	t̪ ɑ m ɾ ə
તારયંત્ર	t̪ ɑ ɾ j ə n t̪ ɾ ə
તારીખ	t̪ ɑ ɾ i kʰ
તારીખિયું	t̪ ɑ ɾ i kʰ i j ũ
તારીફ	t̪ ɑ ɾ i pʰ
તારું	t̪ ɑ ɾ ũ
તારો	t̪ ɑ ɾ o
તાલિબ	t̪ ɑ l i b
તાલીમ	t̪ ɑ l i m
તાલુકો	t̪ ɑ l u k o
તાળું	t̪ ɑ ɭ ũ
તાવ	t̪ ɑ ʋ
તાવીજ	t̪ ɑ ʋ i d͡ʒ
તિજોરર	t̪ i d͡ʒ o ɾ ə ɾ
તિજોરી	t̪ i d͡ʒ o ɾ i
તિથિ	t̪ i t̪ʰ i
તિપિટક	t̪ i p i ʈ ə k
તિબેટ	t̪ i b eː ʈ
તિમિ	t̪ i m i
તિરપાઈ	t̪ i ɾ p ɑ i
તિરાના	t̪ i ɾ ɑ n ɑ
તીખું	t̪ i kʰ ũ
તીતર	t̪ i t̪ ə ɾ
તીતી	t̪ i t̪ i
તીર	t̪ i ɾ
તીર્થંકર	t̪ i ɾ t̪ʰ ə ŋ k ə ɾ
તીર્થયાત્રા	t̪ i ɾ t̪ʰ ə j ɑ t̪ ɾ ɑ
તું	t̪ ũ
તુકમ	t̪ u k ə m
તુફંગ	t̪ u pʰ ə ŋ ɡ
તુરંગ	t̪ u ɾ ə ŋ ɡ
તુર્ક	t̪ u ɾ k
તુર્કમેનિસ્તાન	t̪ u ɾ k m eː n i s t̪ ɑ n
તુર્કસ્તાન	t̪ u ɾ k ə s t̪ ɑ n
તુર્કિયે	t̪ u ɾ k i j eː
તુર્કી	t̪ u ɾ k i
તુલસી	t̪ u l s i
તુલા	t̪ u l ɑ
તૂટવું	t̪ u ʈ ʋ ũ
તૂરાન	t̪ u ɾ ɑ n
તૃષ્ણા	t̪ ɾ u ʃ ɳ ɑ
તેં	t̪ ɛ̃
તેંતાળીસ	t̪ ẽ t̪ ɑ ɭ i s
તેણે	t̪ ɛ ɳ eː
તેત્રીસ	t̪ eː t̪ ɾ i s
તેર	t̪ eː ɾ
તેલ	t̪ eː l
તેલંગાણા	t̪ eː l ə ŋ ɡ ɑ ɳ ɑ
તેલુગુ	t̪ eː l u ɡ u
તૈમુર	t̪ ə i m u ɾ
તૈયાર	t̪ ə i j ɑ ɾ
તોંતેર	t̪ õ t̪ eː ɾ
તોફાન	t̪ o pʰ ɑ n
તોય	t̪ ɔ j
તોરત	t̪ o ɾ ə t̪
ત્યારે	t̪ j ɑ ɾ ɛ
ત્રણ	t̪ ɾ ə ɳ
ત્રાસું	t̪ ɾ ɑ s ũ
