Ё	j ɔ
гэртэй	k e r̥ tʰ e i̯
гэртэйгээ	k e r̥ tʰ e i̯ ɣ eː
гэртээс	k e r̥ tʰ eː s
гэртээсээ	k e r̥ tʰ eː s eː
гэрэл	k e r e ɮ
гэрээ	k e r eː
гэрээр	k e r eː r̥
гэрээрээ	k e r eː r eː
гэрээс	k e r eː s
гэрээсээ	k e r eː s eː
гэрүүд	k e r uː t
гэрүүдгүй	k e r uː t k u i̯
гэрүүдгүйгээ	k e r uː t k u i̯ ɣ eː
гэрүүддээ	k e r uː t͉ t eː
гэрүүдийг	k e r uː t iː k
гэрүүдийгээ	k e r uː t iː k eː
гэрүүдийн	k e r uː t iː ŋ
гэрүүдийнх	k e r uː t iː ŋ x
гэрүүдийнхэн	k e r uː t iː ŋ x e ŋ
гэрүүдийнхээ	k e r uː t iː ŋ x eː
гэрүүдтэй	k e r uː t tʰ e i̯
гэрүүдтэйгээ	k e r uː t tʰ e i̯ ɣ eː
гэрүүдэд	k e r uː t e t
гэрүүдээ	k e r uː t eː
гэрүүдээр	k e r uː t eː r̥
гэрүүдээрээ	k e r uː t eː r eː
гэрүүдээс	k e r uː t eː s
гэрүүдээсээ	k e r uː t eː s eː
гэхчлэн	k e x t͡ɕʰ ɮ e ŋ
гүзээлзгэнэ	k u t͡s eː ɮ t͡s k e n
гүн	ɡ u ŋ
гүнж	k u n t͡ɕ
гүнжгүй	k u n t͡ɕ k u i̯
гүнжгүйгээ	k u n t͡ɕ k u i̯ ɣ eː
гүнждийг	k u n t͡ɕ t iː k
гүнждийгээ	k u n t͡ɕ t iː k eː
гүнждийн	k u n t͡ɕ t iː ŋ
гүнждийнх	k u n t͡ɕ t iː ŋ x
гүнждийнхэн	k u n t͡ɕ t iː ŋ x e ŋ
гүнждийнхээ	k u n t͡ɕ t iː ŋ x eː
гүнждэд	k u n t͡ɕ t e t
гүнждэдээ	k u n t͡ɕ t e t eː
гүнждээ	k u n t͡ɕ t eː
гүнждээр	k u n t͡ɕ t eː r̥
гүнждээрээ	k u n t͡ɕ t eː r eː
гүнждээс	k u n t͡ɕ t eː s
гүнждээсээ	k u n t͡ɕ t eː s eː
гүнжид	k u n t͡ɕ i t
гүнжидгүй	k u n t͡ɕ i t k u i̯
гүнжидгүйгээ	k u n t͡ɕ i t k u i̯ ɣ eː
гүнжидтэй	k u n t͡ɕ i t tʰ e i̯
гүнжидтэйгээ	k u n t͡ɕ i t tʰ e i̯ ɣ eː
гүнжийг	k u n t͡ɕ iː k
гүнжийгээ	k u n t͡ɕ iː k eː
гүнжийн	k u n t͡ɕ iː ŋ
гүнжийнх	k u n t͡ɕ iː ŋ x
гүнжийнхэн	k u n t͡ɕ iː ŋ x e ŋ
гүнжийнхээ	k u n t͡ɕ iː ŋ x eː
гүнжтэй	k u n t͡ɕ tʰ e i̯
гүнжтэйгээ	k u n t͡ɕ tʰ e i̯ ɣ eː
гүнжээ	k u n t͡ɕ eː
гүнжээр	k u n t͡ɕ eː r̥
гүнжээрээ	k u n t͡ɕ eː r eː
гүнжээс	k u n t͡ɕ eː s
гүнжээсээ	k u n t͡ɕ eː s eː
гүнжүүд	k u n t͡ɕ uː t
гүнжүүдгүй	k u n t͡ɕ uː t k u i̯
гүнжүүдгүйгээ	k u n t͡ɕ uː t k u i̯ ɣ eː
гүнжүүддээ	k u n t͡ɕ uː t͉ t eː
гүнжүүдийг	k u n t͡ɕ uː t iː k
гүнжүүдийгээ	k u n t͡ɕ uː t iː k eː
гүнжүүдийн	k u n t͡ɕ uː t iː ŋ
гүнжүүдийнх	k u n t͡ɕ uː t iː ŋ x
гүнжүүдийнхэн	k u n t͡ɕ uː t iː ŋ x e ŋ
гүнжүүдийнхээ	k u n t͡ɕ uː t iː ŋ x eː
гүнжүүдтэй	k u n t͡ɕ uː t tʰ e i̯
гүнжүүдтэйгээ	k u n t͡ɕ uː t tʰ e i̯ ɣ eː
гүнжүүдэд	k u n t͡ɕ uː t e t
гүнжүүдээ	k u n t͡ɕ uː t eː
гүнжүүдээр	k u n t͡ɕ uː t eː r̥
гүнжүүдээрээ	k u n t͡ɕ uː t eː r eː
гүнжүүдээс	k u n t͡ɕ uː t eː s
гүнжүүдээсээ	k u n t͡ɕ uː t eː s eː
гүрвэл	k u r w̜ e ɮ
гүрэн	ɡ u r e ŋ
гүүр	ɡ uː r
д	t
даатгал	t aː tʰ ɢ a ɮ
даатгах	t aː tʰ ɢ a x
давс	t a w s
давхар	t a w̜ x ə r
дайгдах	t a i ɡ t ə x
дайн	t a i ŋ
дайралт	t ɛː r a ɮ tʰ
дайсан	t ɛː s a ŋ
дайх	t a i x
дал	t a ɮ
далавч	t a ɮ a w̜ t͡ɕʰ
далбаа	t a ɮ p a
дамжуулагч	t a m t͡ɕ ʊː ɮ a k t͡ɕʰ
дамнах	t a m n ə x
дампуурал	t a m pʰ ʊː r a ɮ
дампуурах	t a m pʰ ʊː r a x
данс	t a n s
дарангуйлагч	t a r a ŋ k ʊ i̯ ɮ a k t͡ɕʰ
дарма	t a r m
дарс	t a r s
дарь	t ɛ r
дасах	t a s ə x
дасгал	t a s ɢ ə ɮ
дахин	t a x i ŋ
дахин	t a xʲ ə ŋ
дахь	t a xʲ
дельта	tʲ ɵ ɮʲ tʰ
дийлэгч	t iː ɮ e k t͡ɕʰ
диктатур	t i kʰ tʰ a tʰ ʊ r̥
динозавр	t i n ɔ t͡s a w̜ r̥
динозавраар	t i n ɔ t͡s a w̜ r aː r̥
динозавраас	t i n ɔ t͡s a w̜ r aː s
динозавргүй	t i n ɔ t͡s a w̜ r k u i̯
динозаврт	t i n ɔ t͡s a w̜ r̥ tʰ
динозавртай	t i n ɔ t͡s a w̜ r̥ tʰ ɛː
динозаврууд	t i n ɔ t͡s a w̜ r ʊː t
динозавруудаар	t i n ɔ t͡s a w̜ r ʊː t aː r̥
динозавруудаас	t i n ɔ t͡s a w̜ r ʊː t aː s
динозавруудад	t i n ɔ t͡s a w̜ r ʊː t a t
динозавруудгүй	t i n ɔ t͡s a w̜ r ʊː t k u i̯
динозавруудтай	t i n ɔ t͡s a w̜ r ʊː t tʰ ɛː
динозавруудыг	t i n ɔ t͡s a w̜ r ʊː t i k
динозавруудын	t i n ɔ t͡s a w̜ r ʊː t i ŋ
динозаврыг	t i n ɔ t͡s a w̜ r i k
динозаврын	t i n ɔ t͡s a w̜ r i ŋ
дипломатч	t i pʰ ɮ ɔ m a tʰ t͡ɕʰ
довжоо	t ɔ w̜ t͡ɕ ɔ
догма	t ɔ k m
догшин	t ɔ ɡ ʃ ə ŋ
долоо	t ɔ ɮ oː
долоодугаар	t ɔ ɮ oː t ʊ ɣ aː r̥
долоох	t ɔ ɮ ɔ x
доо	t oː
доромжлох	t ɔ r ɔ m t͡ɕ ɮ ɔ x
дотор	t ɔ tʰ ə r
дохих	t ɔ xʲ ə x
дугаар	t ʊ ɣ aː r̥
дугуйлан	t ʊ ɣ ʊ i̯ ɮ a ŋ
дудран	t ʊ t r ə ŋ
дун	t ʊ ŋ
дундаж	t ʊ n t a t͡ɕ
дур	t ʊ r̥
дурдах	t ʊ r t ə x
дуудлага	t ʊː t ɮ ə ɢ
дуулга	d u ɮ ɢ a
дуулгавар	t ʊː ɮ ɢ ə w ə r
дуурь	t ʊː rʲ
дуусгах	t ʊː s ɢ ə x
дуучин	t ʊː t͡ɕʰ ə ŋ
дэ	t e
дэвтэр	t e w̜ tʰ e r̥
дэвшигч	t e w̜ ɕ i k t͡ɕʰ
дэвшил	t e w̜ ɕ i ɮ
дэвшилт	t i w ʃ ə ɮ tʰ
дэвших	t i w ʃ ə x
дэл	t i ɮ
дэлгүүр	t e ɮ k uː r̥
дэлгүүрт	t e ɮ k uː r̥ tʰ
дэлхий	t e ɬʰ iː
дэлэн	t e ɮ ə ŋ
дэлэнч	t e ɮ e n t͡ɕʰ
дэлүү	t e ɮ u
дэнлүү	t e n ɮ u
дэргэд	t e r k e t
дэрс	t e r s
дэслэгч	t e s ɮ e k t͡ɕʰ
дэх	t e x
дээ	t eː
дээл	t eː ɮ
дээр	t eː r
дүнгэр	t u ŋ ɡ ə r
дүнчүүр	t u n t͡ɕʰ uː r̥
дүпү	t u pʰ
дүрс	t u r s
дүү	t uː
дүүрэг	t uː r e k
дөрвөд	t ɵ r w̜ u t
дөрвөл	t ɵ r w̜ u ɮ
дөрөв	t ɵ r u w̜
дөрөвдүгээр	t ɵ r ɵ w̜ t u ɣ eː r̥
дөө	t ɵː
е	j ɵ
европчууд	j ɵ w r ɔˑ pʰ t͡ʃʰ ʊː t
ер	j ɵ r̥
ерөнхийлөгч	j o r ə ŋ x i ɮ ə ɡ t͡ɕʰ
ерөнхийлөх	j ɵ r ɵ ŋ x iː ɮ ɵ x
ерөөх	j ɵ r ɵː x
ес	j ɵ s
есдүгээр	j ɵ s t u ɣ eː r̥
еэвэн	j eː w ə ŋ
ж	t͡ɕ
жаал	t͡ɕ aː ɮ
жавтий	t͡ɕ a w̜ tʰ iː
жад	t͡ɕ a t
жар	t͡ɕ a r̥
жаргалтай	t͡ɕ a r k a ɮ tʰ ɛː
жигнэмэг	t͡ɕ i ɡ n ə m ə ɡ
жигүүр	t͡ɕ i ɣ uː r̥
жижиглэн	t͡ɕ i t͡ɕ i k ɮ e ŋ
жижүүр	t͡ɕ i t͡ɕ u r
жилгүй	t͡ɕ i ɮ k u i̯
жилд	t͡ɕ i ɮ t
жилийг	t͡ɕ i ɮ iː k
жилийнх	t͡ɕ i ɮ iː ŋ x
жилийнхэн	t͡ɕ i ɮ iː ŋ x e ŋ
жилтэй	t͡ɕ i ɮ tʰ e i̯
жилээр	t͡ɕ i ɮ eː r̥
жилээс	t͡ɕ i ɮ eː s
жилүүд	t͡ɕ i ɮ uː t
жилүүдгүй	t͡ɕ i ɮ uː t k u i̯
жилүүдийг	t͡ɕ i ɮ uː t iː k
жилүүдийн	t͡ɕ i ɮ uː t iː ŋ
жилүүдийнх	t͡ɕ i ɮ uː t iː ŋ x
жилүүдийнхэн	t͡ɕ i ɮ uː t iː ŋ x e ŋ
жилүүдтэй	t͡ɕ i ɮ uː t tʰ e i̯
жилүүдэд	t͡ɕ i ɮ uː t e t
жилүүдээр	t͡ɕ i ɮ uː t eː r̥
жилүүдээс	t͡ɕ i ɮ uː t eː s
жимс	t͡ɕ i m s
жинхэнэ	t͡ɕ i ŋ x e n
жишээ	t͡ɕ i ɕ eː
жишээг	t͡ɕ i ɕ eː k
жишээгээр	t͡ɕ i ɕ eː k eː r̥
жишээгүй	t͡ɕ i ɕ eː k u i̯
жишээн	t͡ɕ i ɕ eː ŋ
жишээнд	t͡ɕ i ɕ eː n t
жишээний	t͡ɕ i ɕ eː n iː
жишээнийх	t͡ɕ i ɕ eː n iː x
жишээнээс	t͡ɕ i ɕ eː n eː s
жишээнүүд	t͡ɕ i ɕ eː n uː t
жишээнүүдгүй	t͡ɕ i ɕ eː n uː t k u i̯
жишээнүүдийг	t͡ɕ i ɕ eː n uː t iː k
жишээнүүдийн	t͡ɕ i ɕ eː n uː t iː ŋ
жишээнүүдийнх	t͡ɕ i ɕ eː n uː t iː ŋ x
жишээнүүдтэй	t͡ɕ i ɕ eː n uː t tʰ e i̯
жишээнүүдэд	t͡ɕ i ɕ eː n uː t e t
жишээнүүдээр	t͡ɕ i ɕ eː n uː t eː r̥
жишээнүүдээс	t͡ɕ i ɕ eː n uː t eː s
жишээтэй	t͡ɕ i ɕ eː tʰ e i̯
жор	t͡ɕ ɔ r
жорлон	t͡ɕ ɔ r ɮ ə ŋ
жунгаа	t͡ʃ ʊ ŋ ɢ aː
журамлах	t͡ɕ ʊ r a m ɮ a x
жуулчин	t͡ɕ ʊː ɮ t͡ɕʰ i ŋ
жууцай	t͡ɕ ʊː t͡sʰ ɛː
жууцайг	t͡ɕ ʊː t͡sʰ ɛː k
жууцайгаар	t͡ɕ ʊː t͡sʰ ɛː k aː r̥
жууцайгүй	t͡ɕ ʊː t͡sʰ ɛː k u i̯
жууцайн	t͡ɕ ʊː t͡sʰ ɛː ŋ
жууцайнаас	t͡ɕ ʊː t͡sʰ ɛː n aː s
жууцайнд	t͡ɕ ʊː t͡sʰ ɛː n t
жууцайнууд	t͡ɕ ʊː t͡sʰ ɛː n ʊː t
жууцайнуудаар	t͡ɕ ʊː t͡sʰ ɛː n ʊː t aː r̥
жууцайнуудаас	t͡ɕ ʊː t͡sʰ ɛː n ʊː t aː s
жууцайнуудад	t͡ɕ ʊː t͡sʰ ɛː n ʊː t a t
жууцайнуудгүй	t͡ɕ ʊː t͡sʰ ɛː n ʊː t k u i̯
жууцайнуудтай	t͡ɕ ʊː t͡sʰ ɛː n ʊː t tʰ ɛː
жууцайнуудыг	t͡ɕ ʊː t͡sʰ ɛː n ʊː t i k
жууцайнуудын	t͡ɕ ʊː t͡sʰ ɛː n ʊː t i ŋ
жууцайны	t͡ɕ ʊː t͡sʰ ɛː n i
жууцайтай	t͡ɕ ʊː t͡sʰ ɛː tʰ ɛː
жэ	t͡ɕ e
жүдо	t͡ɕ u t
з	t͡s
заазуур	t͡s aː t͡s ʊː r̥
заалдлага	t͡s aː ɮ t ɮ a ɣ
заан	t͜s aː ɴ̟
заарь	t͡s aː r
заах	t͡s aː x
заваан	t͡s a w̜ aː ŋ
завгүй	t͡s a w̜ k u i̯
завод	t͜s ä w̜ ɔˑ t
завь	t͡s a wʲ
заг	t͡s a ɡ
загас	t͡s a ɢ ə s
зайдуу	t͡s a i t ʊ
залах	t͡s a ɮ ə x
залбирал	t͡s a ɮ p i r a ɮ
залбирах	t͡s a ɮ p i r a x
залгавар	t͡s a ɮ k a w̜ a r̥
залгамал	t͡s a ɮ ɢ ə m ə ɮ
залгах	t͡s a ɮ ɢ ə x
залгуур	t͡s a ɮ ɢ ʊ r
залуу	t͡s a ɮ ʊ
залуур	t͡s a ɮ ʊ r
залуучуудад	t͡s a ɮ ʊː t͡ɕʰ ʊː t a t
залуучуудын	t͡s a ɮ ʊː t͡ɕʰ ʊː t i ŋ
зам	t͡s a m
замбага	t͡s a m p ə ɢ
зан	t͡s a ŋ
занах	t͡s a n ə x
зангилаа	t͡s a ŋ ɡʲ ə ɮ a
зангуу	t͡s a ŋ ɢ ʊ
зандах	t͡s a n t ə x
зардаг	t͡s a r t ə ɡ
зарим	t͡s a rʲ ə m
заримдаа	t͡s a rʲ ə m t a
зарлал	t͡s a r ɮ a ɮ
зарц	t͡s a r̥ t͡sʰ
засрал	t͡s a s r a ɮ
засуул	t͡s a s ʊː ɮ
зах	t͡s a x
захиа	t͡s a x j a
захчин	t͜s a χ t͜ɕʰ ə ŋ
зовлон	t͡s ɔ w ɮ ə ŋ
зогсох	t͡s ɔ ɡ s ə x
золбин	t͡s ɔ ɮʲ pʲ ə ŋ
золгох	t͡s ɔ ɮ ɢ ə x
зонтик	t͜s ɔˑ n tʰ ʊ̈ kʰ
зориг	t͡s ɔ rʲ ə ɡ
зориглох	t͡s ɔ rʲ ə ɡ ɮ ə x
зоригоор	t͡s ɔ rʲ ə ɡ ɔ r
зоригт	t͡s ɔ rʲ ə ɡ tʰ
зорилго	t͡s ɔ rʲ ə ɮ ə ɢ
зорилт	t͡s ɔ rʲ ə ɮ tʰ
зоримгой	t͡s ɔ rʲ ə m ɢ ɔ i
зоримог	t͡s ɔ rʲ ə m ə ɡ
зориуд	t͡s ɔ rʲ ʊ t
зориулах	t͡s ɔ rʲ ʊ ɮ ə x
зохиол	t͜s œ x ɔː ɮ
зочин	t͡s ɔ t͡ɕʰ i ŋ
зугтах	t͡s ʊ ɡ tʰ ə x
зузаан	t͡s ʊ t͡s a ŋ
зул	t͡s ʊ ɮ
зулзага	t͡s ʊ ɮ t͡s ə ɢ
зун	t͡s ʊ ŋ
зураас	t͡s ʊ r aː s
зураач	t͡s ʊ r aː t͡ɕʰ
зураг	t͡s ʊ r a ɡ
зурагт	t͡s ʊ r a k tʰ
зурагчин	t͜s ʊ r x̠ t͜ɕʰ ə ŋ
зурвас	t͡s ʊ r w ə s
зургаадугаар	t͡s ʊ r k aː t ʊ ɣ aː r̥
зурхай	t͡s ʊ r x ɛː
зутан	t͡s ʊ tʰ a ŋ
зууж	t͡s ʊː t͡ɕ
зуух	t͡s ʊː x
зэ	t͡s e
зэвсэг	t͡s i w s ə ɡ
зэрлэг	t͡s e r ɮ ə ɡ
зэс	t͡s i s
зээ	t͡s eː
зээлбэр	t s eː ɮ p ɪ̆ r
зээр	t͡s eː r
зээргэнэ	t͡s eː r ɡ ə n
зүг	t͡s u k
зүй	t͡s u i
зүйр	t͡s u i r
зүйрлэл	t͡s u i r ɮ ə ɮ
зүйрлэх	t͡s u i r ɮ ə x
зүс	t͡s u s
зүү	t͡s uː
зүүд	t͡s uː t
зүүдлэх	t͡s uː t ɮ ə x
зүүн	d͡ʒ uː n
зүүнтэн	t͜s uː n tʰ ə ŋ
зөвлөгөө	t͡s o w ɮ ə ɡ o
зөвшөөрөл	t͡s ɵ w ʃ oː r ɵ ɮ
зөвшөөрөх	t͡s ɵ w ʃ oː r ɵ x
зөгий	t͡s ɵ ɣ iː
зөгийг	t͡s ɵ ɣ iː k
зөгийгүй	t͡s ɵ ɣ iː k u i̯
зөгийгөөр	t͡s ɵ ɣ iː k ɵː r̥
зөгийгөөс	t͡s ɵ ɣ iː k ɵː s
зөгийд	t͡s ɵ ɣ iː t
зөгийн	t͡s ɵ ɣ iː ŋ
зөгийнүүд	t͡s ɵ ɣ iː n uː t
зөгийнүүдгүй	t͡s ɵ ɣ iː n uː t k u i̯
зөгийнүүдийг	t͡s ɵ ɣ iː n uː t iː k
зөгийнүүдийн	t͡s ɵ ɣ iː n uː t iː ŋ
зөгийнүүдтэй	t͡s ɵ ɣ iː n uː t tʰ e i̯
зөгийнүүдэд	t͡s ɵ ɣ iː n uː t e t
зөгийнүүдээр	t͡s ɵ ɣ iː n uː t eː r̥
зөгийнүүдээс	t͡s ɵ ɣ iː n uː t eː s
зөгийтэй	t͡s ɵ ɣ iː tʰ e i̯
зөөлөн	t͡s ɵː ɮ ɵ ŋ
и	i
ивээл	i w eː ɮ
идэх	i t ə x
израйльчууд	i t͡s r ɛː ɮʲ t͡ɕʰ ʊː t
ил	i ɮ
илд	i ɮ t
илжгийг	i ɮ t͡ɕ k iː k
илжгэн	i ɮ t͡ɕ k e ŋ
илжгэнд	i ɮ t͡ɕ k e n t
илжгээр	i ɮ t͡ɕ k eː r̥
илжиг	i ɮ t͡ɕ i k
илжиггүй	i ɮ t͡ɕ i ɣ u i̯
илжигний	i ɮ t͡ɕ i k n iː
илжигнийх	i ɮ t͡ɕ i k n iː x
илжигнийхэн	i ɮ t͡ɕ i k n iː x e ŋ
илжигнээс	i ɮ t͡ɕ i k n eː s
илжигнүүд	i ɮ t͡ɕ i k n uː t
илжигнүүдгүй	i ɮ t͡ɕ i k n uː t k u i̯
илжигнүүдийг	i ɮ t͡ɕ i k n uː t iː k
илжигнүүдийн	i ɮ t͡ɕ i k n uː t iː ŋ
илжигнүүдийнх	i ɮ t͡ɕ i k n uː t iː ŋ x
илжигнүүдийнхэн	i ɮ t͡ɕ i k n uː t iː ŋ x e ŋ
илжигнүүдтэй	i ɮ t͡ɕ i k n uː t tʰ e i̯
илжигнүүдэд	i ɮ t͡ɕ i k n uː t e t
илжигнүүдээр	i ɮ t͡ɕ i k n uː t eː r̥
илжигнүүдээс	i ɮ t͡ɕ i k n uː t eː s
илжигтэй	i ɮ t͡ɕ i k tʰ e i̯
иллэг	i ɮː e k
илтгэх	i ɮ tʰ ɡ ə x
илхэн	i ɮ x ə ŋ
имрэх	i m r ə x
индүү	i n t uː
инээмсэглэх	i n eː m s e k ɮ e x
иод	i̯ oː t
ирвэс	i r w ə s
ирц	i r t͡sʰ
ирээдүй	i r e t u i
ислам	i s ɮ a m
испаничууд	i s pʰ a n i t͡ɕʰ ʊː t
ихгүй	i x k u i̯
ихэр	i x ə r
й	i
ка	kʰ a
какао	kʰ a kʰ ɒː
календарь	k a ɮ e n d a rʲ
канжи	kʰ a n t͡ɕ
каталог	kʰ a tʰ a ɮ ɔ k
каучук	kʰ a w t͡ʃʰ ʊˑ kʰ
кидан	kʰ i t a ŋ
киданчууд	kʰ i t a n t͡ɕʰ ʊː t
километр	kʰ i ɮ ɔ mʲ ɵ tʰ r̥
кино	kʰ i n ɔˑ
киногоор	kʰ i n ɔ ɣ oː r̥
киногүй	kʰ i n ɔ ɣ u i̯
кинон	kʰ i n ɔ ŋ
кинонд	kʰ i n ɔ n t
киноноос	kʰ i n ɔ n oː s
кинонууд	kʰ i n ɔ n ʊː t
кинонуудаар	kʰ i n ɔ n ʊː t aː r̥
кинонуудаас	kʰ i n ɔ n ʊː t aː s
кинонуудад	kʰ i n ɔ n ʊː t a t
кинонуудгүй	kʰ i n ɔ n ʊː t k u i̯
кинонуудтай	kʰ i n ɔ n ʊː t tʰ ɛː
кинонуудыг	kʰ i n ɔ n ʊː t i k
кинонуудын	kʰ i n ɔ n ʊː t i ŋ
киноных	kʰ i n ɔ n i x
киноныхон	kʰ i n ɔ n i x ɔ ŋ
кинотеатр	kʰ i n ɔ tʰʲ ɵ a tʰ r̥
кинотой	kʰ i n ɔ tʰ ɔ i̯
командлагч	kʰ ɔ m a n t ɮ a k t͡ɕʰ
комиссар	kʰ ɔ m i sː a r̥
коммунизм	kʰ ɔ m ʊ n iˑ s ʊ m
коммунизм	kʰ ɔ m ʊ n iˑ t͜s ʊ m
коммунист	kʰ ɔ mː ʊ n i s tʰ
компани	kʰ ɔ m pʰ a n
компьютер	kʰ ɔ m pʰ j ʊ tʰʲ ɵ r̥
констракшн	kʰ ɔ n s tʰ r a kʰ ɕ ŋ
консул	kʰ ɔ n s ʊ ɮ
кураш	kʰ ʊ r a ɕ
күүки	kʰ uː kʰ
л	ɪ ɮ
л	ɮ
лал	ɮ a ɮ
лаларгүй	ɮ a ɮ a r k u i̯
лаларт	ɮ a ɮ a r̥ tʰ
лалартай	ɮ a ɮ a r̥ tʰ ɛː
лалраар	ɮ a ɮ r aː r̥
лалраас	ɮ a ɮ r aː s
лалрууд	ɮ a ɮ r ʊː t
лалруудаар	ɮ a ɮ r ʊː t aː r̥
лалруудаас	ɮ a ɮ r ʊː t aː s
лалруудад	ɮ a ɮ r ʊː t a t
лалруудгүй	ɮ a ɮ r ʊː t k u i̯
лалруудтай	ɮ a ɮ r ʊː t tʰ ɛː
лалруудыг	ɮ a ɮ r ʊː t i k
лалруудын	ɮ a ɮ r ʊː t i ŋ
лалруудынх	ɮ a ɮ r ʊː t i ŋ x
лалруудынхан	ɮ a ɮ r ʊː t i ŋ x a ŋ
лалрыг	ɮ a ɮ r i k
лалрын	ɮ a ɮ r i ŋ
лалрынх	ɮ a ɮ r i ŋ x
лалрынхан	ɮ a ɮ r i ŋ x a ŋ
лантуу	ɮ a n tʰ ʊː
лийр	ɮ iː r
лифт	ɮ i f tʰ
лобби	ɮ ɔ b i
лонх	ɮ ɔ n x
луйвар	ɮ ʊ̙ i w̜ a r
лууван	ɮ ʊː w̜ ə ŋ
лууг	ɮ ʊː k
луугаа	ɮ ʊː k aː
луугаар	ɮ ʊː k aː r̥
луугаараа	ɮ ʊː k aː r aː
луугүй	ɮ ʊː k u i̯
луугүйгээ	ɮ ʊː k u i̯ ɣ eː
луун	ɮ ʊː ŋ
луунаас	ɮ ʊː n aː s
луунаасаа	ɮ ʊː n aː s aː
луунд	ɮ ʊː n t
луундаа	ɮ ʊː n t aː
луунууд	ɮ ʊː n ʊː t
луунуудаа	ɮ ʊː n ʊː t aː
луунуудаар	ɮ ʊː n ʊː t aː r̥
луунуудаараа	ɮ ʊː n ʊː t aː r aː
луунуудаас	ɮ ʊː n ʊː t aː s
луунуудаасаа	ɮ ʊː n ʊː t aː s aː
луунуудад	ɮ ʊː n ʊː t a t
луунуудгүй	ɮ ʊː n ʊː t k u i̯
луунуудгүйгээ	ɮ ʊː n ʊː t k u i̯ ɣ eː
луунууддаа	ɮ ʊː n ʊː t͉ t aː
луунуудтай	ɮ ʊː n ʊː t tʰ ɛː
луунуудтайгаа	ɮ ʊː n ʊː t tʰ ɛː k aː
луунуудыг	ɮ ʊː n ʊː t i k
луунуудыгаа	ɮ ʊː n ʊː t i ɣ aː
луунуудын	ɮ ʊː n ʊː t i ŋ
луунуудынх	ɮ ʊː n ʊː t i ŋ x
луунуудынхаа	ɮ ʊː n ʊː t i ŋ x aː
луунуудынхан	ɮ ʊː n ʊː t i ŋ x a ŋ
лууны	ɮ ʊː n i
лууных	ɮ ʊː n i x
лууныхаа	ɮ ʊː n i x aː
лууныхан	ɮ ʊː n i x a ŋ
луутай	ɮ ʊː tʰ ɛː
луутайгаа	ɮ ʊː tʰ ɛː k aː
лхагва	ɬ a w ə ɡ
лүү	ɮ uː
м	m
маажих	m aː t͡ɕ ə x
маань	m æː n
магистр	m a k i s tʰ r̥
магма	m a k m
магтаал	m a x t a ɮ
магтаал	m a ɡ tʰ a ɮ
магтах	m a x t ă
мад	m a t
мажоритар	m a d͡ʑ ɔ r i tʰ a r̥
мал	m a ɮ
малгай	m a ɮ ɢ a i
маллах	m a ɮ ɮ ə x
малчин	m a ɮ t͡ɕʰ ə ŋ
манай	m a n æː
манан	m a n ə ŋ
мануул	m a n ʊ ɮ
маргад	m a r k a t
маргах	m a r ɢ a x
марк	m ä r k
маркетинг	m a r̥ kʰʲ ɵ tʰ i ŋ k
массаж	m a s s a t͡ɕ
мастурбац	m a s tʰ ʊ r p a t͡sʰ
математик	m a tʰʲ ɵ m a tʰ i kʰ
математикч	m a tʰʲ ɵ m a tʰ i kʰ t͡ɕʰ
мах	m a x
махбод	m a x p ɔ t
махийх	m a xʲ i x
махчин	m a x t͡ɕʰ ə ŋ
маш	m a ʃ
машин	m a ɕ i ŋ
машинд	m a ɕ i n t
металл	mʲ ɵ tʰ a ɮ
металлурги	mʲ ɵ tʰ a ɮ ɮ ʊ r k
метр	mʲ ɵ tʰ r̥
миний	m i n iː
минь	m i n
могой	m ɔ ɣ ɔ i̯
модны	m ɔ t n iː
модоч	m ɔ t ə t͡ɕʰ
мойл	m ɔ i ɮ
молтогчин	m ɔ ɮ tʰ ə ɣ t͡ɕ ə n
монгол	m ɔ ɴ ɢ ʊ ɮ
монголч	m ɔ ɴ ɢ ʊ ɮ t͡ʃʰ
моргейж	m ɔ r kʲ ɵ i̯ t͡ɕ
морийг	m ɔ r iː k
морийгоо	m ɔ r iː k oː
морилох	m ɔ rʲ ɮ ə x
морин	m ɔ r i ŋ
моринд	m ɔ r i n t
мориндоо	m ɔ r i n t oː
мориндоос	m ɔ r i n t oː s
мориндоосоо	m ɔ r i n t oː s oː
мориноос	m ɔ r i n oː s
мориноосоо	m ɔ r i n oː s oː
морины	m ɔ r i n i
мориных	m ɔ r i n i x
мориныхгүй	m ɔ r i n i x k u i̯
мориныхгүйгээ	m ɔ r i n i x k u i̯ ɣ eː
мориныхдоо	m ɔ r i n i x t oː
мориныход	m ɔ r i n i x ɔ t
мориныхоо	m ɔ r i n i x oː
мориныхоор	m ɔ r i n i x oː r̥
мориныхоороо	m ɔ r i n i x oː r oː
мориныхоос	m ɔ r i n i x oː s
мориныхоосоо	m ɔ r i n i x oː s oː
мориныхтой	m ɔ r i n i x tʰ ɔ i̯
мориныхтойгоо	m ɔ r i n i x tʰ ɔ i̯ ɣ oː
мориныхыг	m ɔ r i n i x i k
мориныхыгоо	m ɔ r i n i x i ɣ oː
морио	m ɔ r i̯ oː
мориор	m ɔ r i̯ oː r̥
мориороо	m ɔ r i̯ oː r oː
морь	m œ r
морьгүй	m ɔ rʲ k u i̯
морьгүйгээ	m ɔ rʲ k u i̯ ɣ eː
