अ	ə
दायी	d̪ ɑː j iː
दार	d̪ ɑː ɾ
दारचीनी	d̪ ɑː ɾ t͡ʃ iː n iː
दारु	d̪ ɑː ɾ uː
दारुलहुकूमत	d̪ ɑː ɾ ʊ l ɦ ʊ k uː m ə t̪
दारू	d̪ ɑː ɾ uː
दाल	d̪ ɑː l
दालचीनी	d̪ ɑː l t͡ʃ iː n iː
दावत	d̪ ɑː ʋ ə t̪
दावा	d̪ ɑː ʋ ɑː
दावेदार	d̪ ɑː ʋ eː d̪ ɑː ɾ
दास	d̪ ɑː s
दासप्रथा	d̪ ɑː s p ɾ ə t̪ʰ ɑː
दास्तान	d̪ ɑː s t̪ ɑː n
दाहिना	d̪ ɑː ɦ ɪ n ɑː
दाहिने	d̪ ɑː ɦ ɪ n eː
दिक़्क़त	d̪ ɪ k k ə t̪
दिक़्क़त	d̪ ɪ q q ə t̪
दिक्पात	d̪ ɪ k p ɑː t̪
दिखाई	d̪ ɪ kʰ ɑː iː
दिखाऊ	d̪ ɪ kʰ ɑː uː
दिखाना	d̪ ɪ kʰ ɑː n ɑː
दिखावा	d̪ ɪ kʰ ɑː ʋ ɑː
दिगंबर	d̪ ɪ ɡ ə m b ə ɾ
दिग्गज	d̪ ɪ ɡ ɡ ə d͡ʒ
दिन	d̪ ɪ n
दिनभर	d̪ ɪ n bʱ ə ɾ
दिनांकित	d̪ ɪ n ɑ̃ː k ɪ t̪
दिनेश	d̪ ɪ n eː ʃ
दिमाग़	d̪ ɪ m ɑː ɡ
दिमाग़	d̪ ɪ m ɑː ɣ
दिया	d̪ ɪ j ɑː
दिरम	d̪ ɪ ɾ ə m
दिल	d̪ ɪ l
दिलचस्प	d̪ ɪ l t͡ʃ ə s p
दिलचस्पी	d̪ ɪ l t͡ʃ ə s p iː
दिलबर	d̪ ɪ l b ə ɾ
दिलरुबा	d̪ ɪ l ɾ ʊ b ɑː
दिलासा	d̪ ɪ l ɑː s ɑː
दिली	d̪ ɪ l iː
दिलेरी	d̪ ɪ l eː ɾ iː
दिल्ली	d̪ ɪ l l iː
दिल्लीवाला	d̪ ɪ l l iː ʋ ɑː l ɑː
दिवस	d̪ ɪ ʋ ə s
दिवाली	d̪ ɪ ʋ ɑː l iː
दिवि	d̪ ɪ ʋ iː
दिव्यांग	d̪ ɪ ʋ j ɑː ŋ ɡ
दिशानिर्देश	d̪ ɪ ʃ ɑː n ɪ ɾ d̪ eː ʃ
दिसंबर	d̪ ɪ s ə m b ə ɾ
दिहाड़ी	d̪ ɪ ɦ ɑː ɽ iː
दीठ	d̪ iː ʈʰ
दीदार	d̪ iː d̪ ɑː ɾ
दीन	d̪ iː n
दीनार	d̪ iː n ɑː ɾ
दीपक	d̪ iː p ə k
दीपावली	d̪ iː p ɑː ʋ l iː
दीपिका	d̪ iː p ɪ k ɑː
दीया	d̪ iː j ɑː
दीर्घ	d̪ iː ɾ ɡʱ
दीवट	d̪ iː ʋ ə ʈ
दीवान	d̪ iː ʋ ɑː n
दीवानगी	d̪ iː ʋ ɑː n ɡ iː
दीवाना	d̪ iː ʋ ɑː n ɑː
दीवार	d̪ iː ʋ ɑː ɾ
दुःख	d̪ ʊ k kʰ
दुःख	d̪ ʊ kʰ
दुःखी	d̪ ʊ ɦ kʰ iː
दुःस्वप्न	d̪ ʊ s ʋ ə p n ə
दुःस्वप्न	d̪ ʊ ɦ s ʋ ə p n ə
दुअन्नी	d̪ ʊ ə n n iː
दुआ	d̪ ʊ ɑː
दुकान	d̪ ʊ k ɑː n
दुक्की	d̪ ʊ k k iː
दुख	d̪ ʊ kʰ
दुख़्तर	d̪ ʊ kʰ t̪ ə ɾ
दुख़्तर	d̪ ʊ x t̪ ə ɾ
दुखी	d̪ ʊ kʰ iː
दुगना	d̪ ʊ ɡ n ɑː
दुत	d̪ ʊ t̪
दुनाली	d̪ ʊ n ɑː l iː
दुनिया	d̪ ʊ n ɪ j ɑː
दुनियाएँ	d̪ ʊ n ɪ j ɑː ẽː
दुपट्टा	d̪ ʊ p ə ʈ ʈ ɑː
दुपहिया	d̪ ʊ p ə iː j ɑː
दुपहिया	d̪ ʊ p ə ɦ ɪ j ɑː
दुबई	d̪ ʊ b ə iː
दुभाषिया	d̪ ʊ bʱ ɑː ʂ ɪ j ɑː
दुमन	d̪ ʊ m ə n
दुराघ्री	d̪ ʊ ɾ ɑː ɡʱ ɾ iː
दुरुपयोग	d̪ ʊ ɾ ʊ p j oː ɡ
दुरुस्त	d̪ ʊ ɾ ʊ s t̪
दुर्ग	d̪ ʊ ɾ ɡ
दुर्गंध	d̪ ʊ ɾ ɡ ə n d̪ʱ
दुर्गन्ध	d̪ ʊ ɾ ɡ ə n d̪ʱ
दुर्घटनाग्रस्त	d̪ ʊ ɾ ɡʱ ə ʈ n ɑː ɡ ɾ ə s t̪
दुर्भाग्यवश	d̪ ʊ ɾ bʱ ɑː ɡ j ə ʋ ə ʃ
दुर्भावना	d̪ ʊ ɾ bʱ ɑː ʋ n ɑː
दुर्भावनापूर्ण	d̪ ʊ ɾ bʱ ɑː ʋ n ɑː p uː ɾ ɳ
दुर्मना	d̪ ʊ ɾ m ə n ɑː
दुर्व्यवहार	d̪ ʊ ɾ ʋ j ə ʋ ɦ ɑː ɾ
दुश्मन	d̪ ʊ ʃ m ə n
दुश्वार	d̪ ʊ ʃ ʋ ɑː ɾ
दुष्ट	d̪ ʊ ʂ ʈ
दुष्परिणाम	d̪ ʊ ʂ p ə ɾ ɪ ɳ ɑː m
दुस्साहस	d̪ ʊ s s ɑː ɦ ə s
दुहाई	d̪ ʊ ɦ ɑː iː
दूँगा	d̪ uː ŋ ɡ ɑː
दूकान	d̪ uː k ɑː n
दूज	d̪ uː d͡ʒ
दूतावास	d̪ uː t̪ ɑː ʋ ɑː s
दूध	d̪ uː d̪ʱ
दूधमुँहा	d̪ uː d̪ʱ m ʊ̃ ɦ ɑː
दूधिया	d̪ uː d̪ʱ ɪ j ɑː
दूधी	d̪ uː d̪ʱ iː
दूना	d̪ uː n ɑː
दूब	d̪ uː b
दूर	d̪ uː ɾ
दूरदर्शन	d̪ uː ɾ d̪ ə ɾ ʃ ə n
दूरदर्शिता	d̪ uː ɾ d̪ ə ɾ ʃ ɪ t̪ ɑː
दूरबीन	d̪ uː ɾ b iː n
दूरभाष	d̪ uː ɾ bʱ ɑː ʂ
दूरलेख	d̪ uː ɾ l eː kʰ
दूरी	d̪ uː ɾ iː
दूरीकरण	d̪ uː ɾ iː k ə ɾ ə ɳ
दूल्हा	d̪ uː l ɦ ɑː
दूसरा	d̪ uː s ɾ ɑː
दूसरे	d̪ uː s ɾ eː
दृग	d̪ ɾ ɪ ɡ
दृढ़	d̪ ɾ ɪ ɽʱ
दृढ़तापूर्वक	d̪ ɾ ɪ ɽʱ t̪ ɑː p uː ɾ ʋ ə k
दृढ़संकल्प	d̪ ɾ ɪ ɽʱ s ə ŋ k ə l p
दृष्टि	d̪ ɾ ɪ ʂ ʈ iː
दृष्टिपटल	d̪ ɾ ɪ ʂ ʈ ɪ p ʈ ə l
दे	d̪ eː
देख	d̪ eː kʰ
देखकर	d̪ eː kʰ k ə ɾ
देखके	d̪ eː kʰ k eː
देखना	d̪ eː kʰ n ɑː
देखने	d̪ eː kʰ n eː
देखनेवाला	d̪ eː kʰ n eː ʋ ɑː l ɑː
देखभाल	d̪ eː kʰ bʱ ɑː l
देखादेखी	d̪ eː kʰ ɑː d̪ eː kʰ iː
देखिए	d̪ eː kʰ ɪ eː
देखो	d̪ eː kʰ oː
देन	d̪ eː n
देना	d̪ eː n ɑː
देने	d̪ eː n eː
देर	d̪ eː ɾ
देव	d̪ eː ʋ
देवता	d̪ eː ʋ t̪ ɑː
देवदार	d̪ eː ʋ d̪ ɑː ɾ
देवनागरी	d̪ eː ʋ n ɑː ɡ ɾ iː
देवभाषा	d̪ eː ʋ bʱ ɑː ʂ ɑː
देवल	d̪ eː ʋ ə l
देवी	d̪ eː ʋ iː
देश	d̪ eː ʃ
देशभक्त	d̪ eː ʃ bʱ ə k t̪
देशभक्ति	d̪ eː ʃ bʱ ə k t̪ iː
देशव्यापी	d̪ eː ʃ ə ʋ j ɑː p iː
देशी	d̪ eː ʃ iː
देसी	d̪ eː s iː
देहकान	d̪ eː ɦ k ɑː n
देहरा	d̪ eː ɦ ɾ ɑː
देहरादून	d̪ eː ɦ ɾ ɑː d̪ uː n
देहली	d̪ eː ɦ l iː
देहांत	d̪ eː ɦ ɑː n t̪
देहात	d̪ eː ɦ ɑː t̪
देहाती	d̪ eː ɦ ɑː t̪ iː
दैत	d̪ ɛː t̪
दैनिक	d̪ ɛː n ɪ k
दैव	d̪ ɛː ʋ
दो	d̪ oː
दोआब	d̪ oː ɑː b
दोगुना	d̪ oː ɡ ʊ n ɑː
दोपहर	d̪ oː p ə ɦ ə ɾ
दोष	d̪ oː ʂ
दोषपूर्ण	d̪ oː ʂ p uː ɾ ɳ
दोषमुक्ति	d̪ oː ʂ m ʊ k t̪ iː
दोषी	d̪ oː ʂ iː
दोस्त	d̪ oː s t̪
दोहरना	d̪ oː ɦ ə ɾ n ɑː
दोहा	d̪ oː ɦ ɑː
दौड़	d̪ ɔː ɽ
दौड़ाई	d̪ ɔː ɽ ɑː iː
दौड़ाना	d̪ ɔː ɽ ɑː n ɑː
दौर	d̪ ɔː ɾ
दौरा	d̪ ɔː ɾ ɑː
दौरान	d̪ ɔː ɾ ɑː n
दौलतमंद	d̪ ɔː l ə t̪ m ə n d̪
द्रविड़	d̪ ɾ ə ʋ ɪ ɽ
द्रव्यमान	d̪ ɾ ə ʋ j ə m ɑː n
द्राक्षिरा	d̪ ɾ ɑː k ʂ ɪ ɾ ɑː
द्रुतगामी	d̪ ɾ ʊ t̪ ɡ ɑː m iː
द्वंद्व	d̪ ʋ ə n d̪ ʋ ə
द्वार	d̪ ʋ ɑː ɾ
द्वारा	d̪ ʋ ɑː ɾ ɑː
द्विध्रुव	d̪ ʋ ɪ d̪ʱ ɾ ʊ ʋ
द्विर	d̪ ʋ ɪ ɾ
द्विरेफ	d̪ ʋ ɪ ɾ eː pʰ
ध	d̪ʱ ə
धँसना	d̪ʱ ə̃ s n ɑː
धंधा	d̪ʱ ə n d̪ʱ ɑː
धकेलना	d̪ʱ ə k eː l n ɑː
धज्जी	d̪ʱ ə d͡ʒ d͡ʒ iː
धड़कन	d̪ʱ ə ɽ k ə n
धड़ल्ला	d̪ʱ ə ɽ ə l l ɑː
धन	d̪ʱ ə n
धनगढी	d̪ʱ ə n ə ɡ ɖʱ iː
धनतेरस	d̪ʱ ə n t̪ eː ɾ ə s
धनबाद	d̪ʱ ə n b ɑː d̪
धनराशि	d̪ʱ ə n ɾ ɑː ʃ iː
धनवान	d̪ʱ ə n ʋ ɑː n
धनादेश	d̪ʱ ə n ɑː d̪ eː ʃ
धनायन	d̪ʱ ə n ɑː j ə n
धनिया	d̪ʱ ə n ɪ j ɑː
धनी	d̪ʱ ə n iː
धनुर्विद्या	d̪ʱ ə n ʊ ɾ ʋ ɪ d̪ j ɑː
धन्यवाद	d̪ʱ ə n j ə ʋ ɑː d̪
धब्बा	d̪ʱ ə b b ɑː
धमकाना	d̪ʱ ə m k ɑː n ɑː
धमकी	d̪ʱ ə m k iː
धमनी	d̪ʱ ə m n iː
धमाका	d̪ʱ ə m ɑː k ɑː
धरती	d̪ʱ ə ɾ t̪ iː
धरना	d̪ʱ ə ɾ n ɑː
धरपकड़	d̪ʱ ə ɾ p ə k ə ɽ
धरातल	d̪ʱ ə ɾ ɑː t̪ ə l
धरान	d̪ʱ ə ɾ ɑː n
धरोहर	d̪ʱ ə ɾ oː ɦ ə ɾ
धर्म	d̪ʱ ə ɾ m
धर्मनिरपेक्ष	d̪ʱ ə ɾ m n ɪ ɾ p eː k ʂ
धर्मनिरपेक्षता	d̪ʱ ə ɾ m n ɪ ɾ p eː k ʂ t̪ ɑː
धर्मपरायण	d̪ʱ ə ɾ m p ə ɾ ɑː j ə ɳ
धर्मभूमि	d̪ʱ ə ɾ m bʱ uː m iː
धर्मशाला	d̪ʱ ə ɾ m ʃ ɑː l ɑː
धर्मस्थल	d̪ʱ ə ɾ m s t̪ʰ ə l
धर्मस्थलो	d̪ʱ ə ɾ m ə s t̪ʰ ə l oː
धर्मस्थलों	d̪ʱ ə ɾ m ə s t̪ʰ ə l õː
धर्मार्थ	d̪ʱ ə ɾ m ɑː ɾ t̪ʰ
धाकड़	d̪ʱ ɑː k ə ɽ
धातुकर्म	d̪ʱ ɑː t̪ ʊ k ə ɾ m
धान	d̪ʱ ɑː n
धान्य	d̪ʱ ɑː n j ə
धाम	d̪ʱ ɑː m
धारणा	d̪ʱ ɑː ɾ ɳ ɑː
धारा	d̪ʱ ɑː ɾ ɑː
धारित	d̪ʱ ɑː ɾ ɪ t̪
धार्मिक	d̪ʱ ɑː ɾ m ɪ k
धावा	d̪ʱ ɑː ʋ ɑː
धीरा	d̪ʱ iː ɾ ɑː
धीरे	d̪ʱ iː ɾ eː
धुंध	d̪ʱ ʊ n d̪ʱ
धुंधला	d̪ʱ ʊ n d̪ʱ l ɑː
धुन्नी	d̪ʱ ʊ n n iː
धुलना	d̪ʱ ʊ l n ɑː
धूआँ	d̪ʱ uː ɑ̃ː
धूप	d̪ʱ uː p
धूम	d̪ʱ uː m
धूर्तता	d̪ʱ uː ɾ t̪ ə t̪ ɑː
धूल	d̪ʱ uː l
धूलि	d̪ʱ uː l iː
धोखा	d̪ʱ oː kʰ ɑː
धोखाधड़ी	d̪ʱ oː kʰ ɑː d̪ʱ ə ɽ iː
धोखेबाज़	d̪ʱ oː kʰ eː b ɑː d͡ʒ
धोखेबाज़	d̪ʱ oː kʰ eː b ɑː z
धोना	d̪ʱ oː n ɑː
धोबिन	d̪ʱ oː b ɪ n
धोबी	d̪ʱ oː b iː
ध्यान	d̪ʱ j ɑː n
ध्यानपूर्वक	d̪ʱ j ɑː n p uː ɾ ʋ ə k
ध्रुवीकरण	d̪ʱ ɾ ʊ ʋ iː k ə ɾ ə ɳ
ध्वंसावशेष	d̪ʱ ʋ ə n s ɑː ʋ ʃ eː ʂ
ध्वज	d̪ʱ ʋ ə d͡ʒ
ध्वजा	d̪ʱ ʋ ə d͡ʒ ɑː
ध्वनि	d̪ʱ ʋ ə n iː
ध्वनी	d̪ʱ ʋ ə n iː
ध्वन्यात्मक	d̪ʱ ʋ ə n j ɑː t̪ m ə k
ध्वस्त	d̪ʱ ʋ ə s t̪
न	n ɑː
न	n ə
नंगा	n ə ŋ ɡ ɑː
नंगापन	n ə ŋ ɡ ɑː p ə n
नंदिनी	n ə n d̪ ɪ n iː
नंबर	n ə m b ə ɾ
नई	n ə iː
नक़द	n ə k ə d̪
नक़द	n ə q ə d̪
नक़दी	n ə k d̪ iː
नक़दी	n ə q d̪ iː
नक़ल	n ə k ə l
नक़ल	n ə q ə l
नक़ली	n ə k l iː
नक़ली	n ə q l iː
नक़ाब	n ə k ɑː b
नक़ाब	n ə q ɑː b
नक़ाबपोश	n ə k ɑː b p oː ʃ
नक़ाबपोश	n ə q ɑː b p oː ʃ
नक़्क़ारा	n ə k k ɑː ɾ ɑː
नक़्क़ारा	n ə q q ɑː ɾ ɑː
नक़्क़ाशी	n ə k k ɑː ʃ iː
नक़्क़ाशी	n ə q q ɑː ʃ iː
नक़्शा	n ə k ʃ ɑː
नक़्शा	n ə q ʃ ɑː
नकार	n ə k ɑː ɾ
नकारात्मक	n ə k ɑː ɾ ɑː t̪ m ə k
नकेल	n ə k eː l
नक्शा	n ə k ʃ ɑː
नक्शा	n ə q ʃ ɑː
नख	n ə kʰ
नखलिस्तान	n ə kʰ l ɪ s t̪ ɑː n
नखलिस्तान	n ə x l ɪ s t̪ ɑː n
नख़लिस्तान	n ə kʰ l ɪ s t̪ ɑː n
नख़लिस्तान	n ə x l ɪ s t̪ ɑː n
नगर	n ə ɡ ə ɾ
नगरीकरण	n ə ɡ ə ɾ iː k ə ɾ ə ɳ
नगरीकरण	n ə ɡ ɾ iː k ə ɾ ə ɳ
नगरीकृत	n ə ɡ ə ɾ iː k ɾ ɪ t̪
नगरीकृत	n ə ɡ ɾ iː k ɾ ɪ t̪
नग़मा	n ə ɡ m ɑː
नग़मा	n ə ɣ m ɑː
नगाड़ा	n ə ɡ ɑː ɽ ɑː
नचाना	n ə t͡ʃ ɑː n ɑː
नजर	n ə d͡ʒ ə ɾ
नजर	n ə z ə ɾ
नज़र	n ə d͡ʒ ə ɾ
नज़र	n ə z ə ɾ
नज़रअंदाज़	n ə d͡ʒ ə ɾ ə n d̪ ɑː d͡ʒ
नज़रअंदाज़	n ə z ə ɾ ə n d̪ ɑː z
नज़रबंदी	n ə d͡ʒ ə ɾ b ə n d̪ iː
नज़रबंदी	n ə z ə ɾ b ə n d̪ iː
नज़रिया	n ə d͡ʒ ə ɾ ɪ j ɑː
नज़रिया	n ə z ə ɾ ɪ j ɑː
नज़ारा	n ə d͡ʒ ɑː ɾ ɑː
नज़ारा	n ə z ɑː ɾ ɑː
नजीबाबाद	n ə d͡ʒ iː b ɑː b ɑː d̪
नजूमी	n ə d͡ʒ uː m iː
नज्द	n ə d͡ʒ d̪
नटखट	n ə ʈ kʰ ə ʈ
नत	n ə t̪
नति	n ə t̪ iː
नतीजतन	n ə t̪ iː d͡ʒ t̪ ə n
नतीजा	n ə t̪ iː d͡ʒ ɑː
नत्थी	n ə t̪ t̪ʰ iː
नदारद	n ə d̪ ɑː ɾ ə d̪
नदियाँ	n ə d̪ ɪ j ɑ̃ː
नदियो	n ə d̪ ɪ j oː
नदियों	n ə d̪ ɪ j õː
नदी	n ə d̪ iː
ननद	n ə n ə d̪
नन्हा	n ə n ɦ ɑː
नपुंसक	n ə p ʊ n s ə k
नपुंसकता	n ə p ʊ n s ə k t̪ ɑː
नफ़रत	n ə f ɾ ə t̪
नफ़रत	n ə pʰ ɾ ə t̪
नब्ज	n ə b d͡ʒ
नब्ज	n ə b z
नब्ज़	n ə b d͡ʒ
नब्ज़	n ə b z
नब्बे	n ə b b eː
नमक	n ə m ə k
नमश्कार	n ə m ə ʃ k ɑː ɾ
नमस्कार	n ə m ə s k ɑː ɾ
नमस्कार	n ə m ə ʃ k ɑː ɾ
नमस्ते	n ə m ə s t̪ eː
नमाज़	n ə m ɑː d͡ʒ
नमाज़	n ə m ɑː z
नमाज़गाह	n ə m ɑː d͡ʒ ɡ ɑː ɦ
नमाज़गाह	n ə m ɑː z ɡ ɑː ɦ
नमी	n ə m iː
नमूना	n ə m uː n ɑː
नम्रता	n ə m ɾ ə t̪ ɑː
नयन	n ə j ə n
नयी	n ə j iː
नर	n ə ɾ
नरक	n ə ɾ ə k
नरगिस	n ə ɾ ɡ ɪ s
नरभक्षी	n ə ɾ bʱ ə k ʂ iː
नरम	n ə ɾ ə m
नरवृषभ	n ə ɾ ʋ ɾ ɪ ʂ ə bʱ
नरसंहार	n ə ɾ s ə ŋ ɦ ɑː ɾ
नरसंहार	n ə ɾ s ə̃ ɦ ɑː ɾ
नरसिंह	n ə ɾ s ɪ ŋ ɡʱ
नरेश	n ə ɾ eː ʃ
नर्तक	n ə ɾ t̪ ə k
नर्तकी	n ə ɾ t̪ ə k iː
नर्मदा	n ə ɾ m ə d̪ ɑː
नर्स	n ə ɾ s
नल्ला	n ə l l ɑː
नवंबर	n ə ʋ ə m b ə ɾ
नवजात	n ə ʋ d͡ʒ ɑː t̪
नवजीवन	n ə ʋ d͡ʒ iː ʋ ə n
नवनी	n ə ʋ n iː
नवनीत	n ə ʋ n iː t̪
नवरात्रि	n ə ʋ ɾ ɑː t̪ ɾ iː
नवविवाहित	n ə ʋ ʋ ɪ ʋ ɑː ɦ ɪ t̪
नवाज़	n ə ʋ ɑː d͡ʒ
नवाज़	n ə ʋ ɑː z
नवाज़ना	n ə ʋ ɑː d͡ʒ n ɑː
नवाज़ना	n ə ʋ ɑː z n ɑː
नवाना	n ə ʋ ɑː n ɑː
नवाब	n ə ʋ ɑː b
नवाबशाह	n ə ʋ ɑː b ʃ ɑː ɦ
नवासी	n ə ʋ ɑː s iː
नशा	n ə ʃ ɑː
नशेड़ी	n ə ʃ eː ɽ iː
नष्ट	n ə ʂ ʈ
नस	n ə s
नसबंदी	n ə s b ə n d̪ iː
नसीब	n ə s iː b
नसीहत	n ə s iː ɦ ə t̪
नस्तालीक़	n ə s t̪ ɑː l iː k
नस्तालीक़	n ə s t̪ ɑː l iː q
नस्लभेद	n ə s l bʱ eː d̪
नहर	n ə ɦ ə ɾ
नहला	n ə ɦ l ɑː
नहलाना	n ə ɦ l ɑː n ɑː
नहान	n ə ɦ ɑː n
नहाना	n ə ɦ ɑː n ɑː
नहि	n ə ɦ iː
नहीं	n ə ɦ ĩː
ना	n ɑː
नाइजीरिया	n ɑː ɪ d͡ʒ iː ɾ ɪ j ɑː
नाइनसाफ़ी	n ɑː ɪ n s ɑː f iː
नाइनसाफ़ी	n ɑː ɪ n s ɑː pʰ iː
नाई	n ɑː iː
नाईं	n ɑː ĩː
नाक	n ɑː k
नाकाम	n ɑː k ɑː m
नाख़ून	n ɑː kʰ uː n
नाख़ून	n ɑː x uː n
नाखुन	n ɑː kʰ ʊ n
नाखुन	n ɑː x ʊ n
नाखून	n ɑː kʰ uː n
नाखून	n ɑː x uː n
नाग	n ɑː ɡ
नागपुर	n ɑː ɡ p ʊ ɾ
नागरिक	n ɑː ɡ ə ɾ ɪ k
नागरिक	n ɑː ɡ ɾ ɪ k
नागरिकता	n ɑː ɡ ɾ ɪ k t̪ ɑː
नागवार	n ɑː ɡ ə ʋ ɑː ɾ
नागालैंड	n ɑː ɡ ɑː l ɛː ɳ ɖ
नागालैण्ड	n ɑː ɡ ɑː l ɛː ɳ ɖ
नाच	n ɑː t͡ʃ
नाचना	n ɑː t͡ʃ n ɑː
नाज़	n ɑː d͡ʒ
नाज़	n ɑː z
नाज़ुकी	n ɑː d͡ʒ ʊ k iː
नाज़ुकी	n ɑː z ʊ k iː
नाजायज़	n ɑː d͡ʒ ɑː j ə d͡ʒ
नाजायज़	n ɑː d͡ʒ ɑː j ə z
नाटक	n ɑː ʈ ə k
नाटककार	n ɑː ʈ ə k k ɑː ɾ
नाटा	n ɑː ʈ ɑː
नाड़ी	n ɑː ɽ iː
नाडु	n ɑː ɖ uː
नाता	n ɑː t̪ ɑː
नाती	n ɑː t̪ iː
नाथ	n ɑː t̪ʰ
नादान	n ɑː d̪ ɑː n
नादानी	n ɑː d̪ ɑː n iː
नादिरशाही	n ɑː d̪ ɪ ɾ ʃ ɑː ɦ iː
नान	n ɑː n
नानस	n ɑː n ə s
नानसरा	n ɑː n ə s ɾ ɑː
नाना	n ɑː n ɑː
नानी	n ɑː n iː
नानू	n ɑː n uː
नाप	n ɑː p
नापना	n ɑː p n ɑː
नापसंद	n ɑː p ə s ə n d̪
नाफ़	n ɑː f
नाफ़	n ɑː pʰ
नाभि	n ɑː bʱ iː
नाभिक	n ɑː bʱ ɪ k
नाम	n ɑː m
नामंज़ूर	n ɑː m ə̃ d͡ʒ uː ɾ
नामंज़ूर	n ɑː m ə̃ z uː ɾ
नामक	n ɑː m ə k
नामकरण	n ɑː m k ə ɾ ə ɳ
नामनिर्देशिती	n ɑː m n ɪ ɾ d̪ eː ʃ ɪ t̪ iː
नामवर	n ɑː m ʋ ə ɾ
नामांकन	n ɑː m ɑ̃ː k ə n
नामीबिया	n ɑː m iː b ɪ j ɑː
नामोत्पत्ति	n ɑː m oː t̪ p ə t̪ t̪ iː
नायब	n ɑː j ə b
नायाब	n ɑː j ɑː b
नायिका	n ɑː j ɪ k ɑː
नारंगी	n ɑː ɾ ə ŋ ɡ iː
नारा	n ɑː ɾ ɑː
नाराज़	n ɑː ɾ ɑː d͡ʒ
नाराज़	n ɑː ɾ ɑː z
नारायण	n ɑː ɾ ɑː j ə ɳ
नारियल	n ɑː ɾ ɪ j ə l
नारी	n ɑː ɾ iː
नारीवाद	n ɑː ɾ iː ʋ ɑː d̪
नाल	n ɑː l
नाला	n ɑː l ɑː
नालायक	n ɑː l ɑː j ə k
नालायक	n ɑː l ɑː j ə q
नाव	n ɑː ʋ
नाविक	n ɑː ʋ ɪ k
नाशपाती	n ɑː ʃ p ɑː t̪ iː
नाश्ता	n ɑː ʃ t̪ ɑː
नासरत	n ɑː s ə ɾ ə t̪
नासिक	n ɑː s ɪ k
नास्तिक	n ɑː s t̪ ɪ k
नास्तिकता	n ɑː s t̪ ɪ k t̪ ɑː
नाहर	n ɑː ɦ ə ɾ
निंदा	n ɪ n d̪ ɑː
निंदासा	n ɪ n d̪ ɑː s ɑː
निःशब्द	n ɪ ɦ ʃ ə b d̪
निःशुल्क	n ɪ ɦ ʃ ʊ l k
निकट	n ɪ k ə ʈ
निकम्मा	n ɪ k ə m m ɑː
निकम्मापन	n ɪ k ə m m ɑː p ə n
निकर	n ɪ k ə ɾ
निकलना	n ɪ k ə l n ɑː
निकलवाना	n ɪ k ə l ʋ ɑː n ɑː
निक़ाब	n ɪ k ɑː b
निक़ाब	n ɪ q ɑː b
निकारागुआ	n ɪ k ɑː ɾ ɑː ɡ ʊ ɑː
निकालना	n ɪ k ɑː l n ɑː
निकास	n ɪ k ɑː s
निकाह	n ɪ k ɑː ɦ
निकोबार	n ɪ k oː b ɑː ɾ
निखरना	n ɪ kʰ ə ɾ n ɑː
निखारना	n ɪ kʰ ɑː ɾ n ɑː
निगम	n ɪ ɡ ə m
निगमन	n ɪ ɡ ə m ə n
निगरानी	n ɪ ɡ ɾ ɑː n iː
निगलना	n ɪ ɡ ə l n ɑː
निगाह	n ɪ ɡ ɑː ɦ
निचला	n ɪ t͡ʃ l ɑː
निचोड़	n ɪ t͡ʃ oː ɽ
निचोड़ना	n ɪ t͡ʃ oː ɽ n ɑː
निज	n ɪ d͡ʒ
निज़ाम	n ɪ d͡ʒ ɑː m
निज़ाम	n ɪ z ɑː m
निज़ामाबाद	n ɪ d͡ʒ ɑː m ɑː b ɑː d̪
निज़ामाबाद	n ɪ z ɑː m ɑː b ɑː d̪
निजात	n ɪ d͡ʒ ɑː t̪
निजी	n ɪ d͡ʒ iː
निजीकरण	n ɪ d͡ʒ iː k ə ɾ ə ɳ
नितंब	n ɪ t̪ ə m b
नित्यप्रति	n ɪ t̪ j ə p ɾ ə t̪ iː
निदेशक	n ɪ d̪ eː ʃ ə k
निनानवे	n ɪ n ɑː n ʋ eː
निन्यानवे	n ɪ n j ɑː n ʋ eː
निपुण	n ɪ p ʊ ɳ
निपूता	n ɪ p uː t̪ ɑː
निबंध	n ɪ b ə n d̪ʱ
निभाना	n ɪ bʱ ɑː n ɑː
निमंत्रण	n ɪ m ə n t̪ ɾ ə ɳ
निमय	n ɪ m ə j
निम्नलिखित	n ɪ m n ə l ɪ kʰ ɪ t̪
नियंत्रित	n ɪ j ə n t̪ ɾ ɪ t̪
नियत	n ɪ j ə t̪
नियति	n ɪ j ə t̪ iː
नियम	n ɪ j ə m
नियमावली	n ɪ j ə m ɑː ʋ ə l iː
नियमित	n ɪ j ə m ɪ t̪
नियामक	n ɪ j ɑː m ə k
नियुक्त	n ɪ j ʊ k t̪
नियुक्ति	n ɪ j ʊ k t̪ iː
निरंकुश	n ɪ ɾ ə ŋ k ʊ ʃ
निरंकुशवाद	n ɪ ɾ ə ŋ k ʊ ʃ ʋ ɑː d̪
निरंतर	n ɪ ɾ ə n t̪ ə ɾ
निरपेक्ष	n ɪ ɾ p eː k ʂ
निरभिमान	n ɪ ɾ ə bʱ ɪ m ɑː n
निरस्त	n ɪ ɾ ə s t̪
निरस्त्रीकरण	n ɪ ɾ ə s t̪ ɾ iː k ə ɾ ə ɳ
निराला	n ɪ ɾ ɑː l ɑː
