А	a
охраняващи	o x r ɐ nʲ a̟ v ɐ ʃ t i
охраняващите	o x r ɐ nʲ a̟ v ɐ ʃ t i t ɛ
охраняващия	o x r ɐ nʲ a̟ v ɐ ʃ t i j ɐ
охраняващият	o x r ɐ nʲ a̟ v ɐ ʃ t i j ɐ t
охраняващо	o x r ɐ nʲ a̟ v ɐ ʃ t o
охраняващото	o x r ɐ nʲ a̟ v ɐ ʃ t o t o
оцветели	o t͡s v ɛ t ɛ l i
оцветен	o t͡s v ɛ t ɛ n
оцветена	o t͡s v ɛ t ɛ n ɐ
оцветената	o t͡s v ɛ t ɛ n ɐ t ɐ
оцветени	o t͡s v ɛ t ɛ n i
оцветените	o t͡s v ɛ t ɛ n i t ɛ
оцветения	o t͡s v ɛ t ɛ n i j ɐ
оцветеният	o t͡s v ɛ t ɛ n i j ɐ t
оцветено	o t͡s v ɛ t ɛ n o
оцветеното	o t͡s v ɛ t ɛ n o t o
оцветете	o t͡s v ɛ t ɛ t ɛ
оцветеше	o t͡s v ɛ t ɛ ʃ ɛ
оцвети	o t͡s v ɛ t i
оцветил	o t͡s v ɛ t i ɫ
оцветила	o t͡s v ɛ t i ɫ ɐ
оцветилата	o t͡s v ɛ t i ɫ ɐ t ɐ
оцветили	o t͡s v ɛ t i l i
оцветилите	o t͡s v ɛ t i l i t ɛ
оцветилия	o t͡s v ɛ t i l i j ɐ
оцветилият	o t͡s v ɛ t i l i j ɐ t
оцветило	o t͡s v ɛ t i ɫ o
оцветилото	o t͡s v ɛ t i ɫ o t o
оцветим	o t͡s v ɛ t i m
оцветите	o t͡s v ɛ t i t ɛ
оцветих	o t͡s v ɛ t i x
оцветиха	o t͡s v ɛ t i x ɐ
оцветихме	o t͡s v ɛ t i x m ɛ
оцветихте	o t͡s v ɛ t i x t ɛ
оцветиш	o t͡s v ɛ t i ʃ
оцветя	o t͡s v ɛ tʲ ɤ̟
оцветява	o t͡s v ɛ tʲ a̟ v ɐ
оцветявай	o t͡s v ɛ tʲ a̟ v ɐ j
оцветявайки	o t͡s v ɛ tʲ a̟ v ɐ j k i
оцветявайте	o t͡s v ɛ tʲ a̟ v ɐ j t ɛ
оцветявал	o t͡s v ɛ tʲ a̟ v ɐ ɫ
оцветявала	o t͡s v ɛ tʲ a̟ v ɐ ɫ ɐ
оцветявалата	o t͡s v ɛ tʲ a̟ v ɐ ɫ ɐ t ɐ
оцветявали	o t͡s v ɛ tʲ a̟ v ɐ l i
оцветявалите	o t͡s v ɛ tʲ a̟ v ɐ l i t ɛ
оцветявалия	o t͡s v ɛ tʲ a̟ v ɐ l i j ɐ
оцветявалият	o t͡s v ɛ tʲ a̟ v ɐ l i j ɐ t
оцветявало	o t͡s v ɛ tʲ a̟ v ɐ ɫ o
оцветявалото	o t͡s v ɛ tʲ a̟ v ɐ ɫ o t o
оцветявам	o t͡s v ɛ tʲ a̟ v ɐ m
оцветяваме	o t͡s v ɛ tʲ a̟ v ɐ m ɛ
оцветяван	o t͡s v ɛ tʲ a̟ v ɐ n
оцветявана	o t͡s v ɛ tʲ a̟ v ɐ n ɐ
оцветяваната	o t͡s v ɛ tʲ a̟ v ɐ n ɐ t ɐ
оцветяване	o t͡s v ɛ tʲ a̟ v ɐ n ɛ
оцветяванета	o t͡s v ɛ tʲ a̟ v ɐ n ɛ t ɐ
оцветяванетата	o t͡s v ɛ tʲ a̟ v ɐ n ɛ t ɐ t ɐ
оцветяването	o t͡s v ɛ tʲ a̟ v ɐ n ɛ t o
оцветявани	o t͡s v ɛ tʲ a̟ v ɐ n i
оцветяваните	o t͡s v ɛ tʲ a̟ v ɐ n i t ɛ
оцветявания	o t͡s v ɛ tʲ a̟ v ɐ n i j ɐ
оцветяваният	o t͡s v ɛ tʲ a̟ v ɐ n i j ɐ t
оцветяванията	o t͡s v ɛ tʲ a̟ v ɐ n i j ɐ t ɐ
оцветявано	o t͡s v ɛ tʲ a̟ v ɐ n o
оцветяваното	o t͡s v ɛ tʲ a̟ v ɐ n o t o
оцветяват	o t͡s v ɛ tʲ a̟ v ɐ t
оцветявате	o t͡s v ɛ tʲ a̟ v ɐ t ɛ
оцветявах	o t͡s v ɛ tʲ a̟ v ɐ x
оцветяваха	o t͡s v ɛ tʲ a̟ v ɐ x ɐ
оцветявахме	o t͡s v ɛ tʲ a̟ v ɐ x m ɛ
оцветявахте	o t͡s v ɛ tʲ a̟ v ɐ x t ɛ
оцветяваш	o t͡s v ɛ tʲ a̟ v ɐ ʃ
оцветяваше	o t͡s v ɛ tʲ a̟ v ɐ ʃ ɛ
оцветяващ	o t͡s v ɛ tʲ a̟ v ɐ ʃ t
оцветяваща	o t͡s v ɛ tʲ a̟ v ɐ ʃ t ɐ
оцветяващата	o t͡s v ɛ tʲ a̟ v ɐ ʃ t ɐ t ɐ
оцветяващи	o t͡s v ɛ tʲ a̟ v ɐ ʃ t i
оцветяващите	o t͡s v ɛ tʲ a̟ v ɐ ʃ t i t ɛ
оцветяващия	o t͡s v ɛ tʲ a̟ v ɐ ʃ t i j ɐ
оцветяващият	o t͡s v ɛ tʲ a̟ v ɐ ʃ t i j ɐ t
оцветяващо	o t͡s v ɛ tʲ a̟ v ɐ ʃ t o
оцветяващото	o t͡s v ɛ tʲ a̟ v ɐ ʃ t o t o
оцветял	o t͡s v ɛ tʲ a̟ ɫ
оцветяла	o t͡s v ɛ tʲ a̟ ɫ ɐ
оцветяло	o t͡s v ɛ tʲ a̟ ɫ o
оцветят	o t͡s v ɛ tʲ ɤ̟ t
оцветях	o t͡s v ɛ tʲ a̟ x
оцветяха	o t͡s v ɛ tʲ a̟ x ɐ
оцветяхме	o t͡s v ɛ tʲ a̟ x m ɛ
оцветяхте	o t͡s v ɛ tʲ a̟ x t ɛ
оцелее	o t͡s ɛ l ɛ ɛ
оцелеел	o t͡s ɛ l ɛ ɛ ɫ
оцелеела	o t͡s ɛ l ɛ ɛ ɫ ɐ
оцелеели	o t͡s ɛ l ɛ ɛ l i
оцелеело	o t͡s ɛ l ɛ ɛ ɫ o
оцелеем	o t͡s ɛ l ɛ ɛ m
оцелеете	o t͡s ɛ l ɛ ɛ t ɛ
оцелеех	o t͡s ɛ l ɛ ɛ x
оцелееха	o t͡s ɛ l ɛ ɛ x ɐ
оцелеехме	o t͡s ɛ l ɛ ɛ x m ɛ
оцелеехте	o t͡s ɛ l ɛ ɛ x t ɛ
оцелееш	o t͡s ɛ l ɛ ɛ ʃ
оцелееше	o t͡s ɛ l ɛ ɛ ʃ ɛ
оцелей	o t͡s ɛ l ɛ j
оцелейте	o t͡s ɛ l ɛ j t ɛ
оцелели	o t͡s ɛ l ɛ l i
оцелелите	o t͡s ɛ l ɛ l i t ɛ
оцелелия	o t͡s ɛ l ɛ l i j ɐ
оцелелият	o t͡s ɛ l ɛ l i j ɐ t
оцелея	o t͡s ɛ l ɛ j ɐ
оцелеят	o t͡s ɛ l ɛ j ɐ t
оцеля	o t͡s ɛ lʲ a̟
оцелява	o t͡s ɛ lʲ a̟ v ɐ
оцелявай	o t͡s ɛ lʲ a̟ v ɐ j
оцелявайки	o t͡s ɛ lʲ a̟ v ɐ j k i
оцелявайте	o t͡s ɛ lʲ a̟ v ɐ j t ɛ
оцелявал	o t͡s ɛ lʲ a̟ v ɐ ɫ
оцелявала	o t͡s ɛ lʲ a̟ v ɐ ɫ ɐ
оцелявалата	o t͡s ɛ lʲ a̟ v ɐ ɫ ɐ t ɐ
оцелявали	o t͡s ɛ lʲ a̟ v ɐ l i
оцелявалите	o t͡s ɛ lʲ a̟ v ɐ l i t ɛ
оцелявалия	o t͡s ɛ lʲ a̟ v ɐ l i j ɐ
оцелявалият	o t͡s ɛ lʲ a̟ v ɐ l i j ɐ t
оцелявало	o t͡s ɛ lʲ a̟ v ɐ ɫ o
оцелявалото	o t͡s ɛ lʲ a̟ v ɐ ɫ o t o
оцелявам	o t͡s ɛ lʲ a̟ v ɐ m
оцеляваме	o t͡s ɛ lʲ a̟ v ɐ m ɛ
оцеляване	o t͡s ɛ lʲ a̟ v ɐ n ɛ
оцеляванета	o t͡s ɛ lʲ a̟ v ɐ n ɛ t ɐ
оцеляванетата	o t͡s ɛ lʲ a̟ v ɐ n ɛ t ɐ t ɐ
оцеляването	o t͡s ɛ lʲ a̟ v ɐ n ɛ t o
оцелявания	o t͡s ɛ lʲ a̟ v ɐ n i j ɐ
оцеляванията	o t͡s ɛ lʲ a̟ v ɐ n i j ɐ t ɐ
оцеляват	o t͡s ɛ lʲ a̟ v ɐ t
оцелявате	o t͡s ɛ lʲ a̟ v ɐ t ɛ
оцелявах	o t͡s ɛ lʲ a̟ v ɐ x
оцеляваха	o t͡s ɛ lʲ a̟ v ɐ x ɐ
оцелявахме	o t͡s ɛ lʲ a̟ v ɐ x m ɛ
оцелявахте	o t͡s ɛ lʲ a̟ v ɐ x t ɛ
оцеляваш	o t͡s ɛ lʲ a̟ v ɐ ʃ
оцеляваше	o t͡s ɛ lʲ a̟ v ɐ ʃ ɛ
оцеляващ	o t͡s ɛ lʲ a̟ v ɐ ʃ t
оцеляваща	o t͡s ɛ lʲ a̟ v ɐ ʃ t ɐ
оцеляващата	o t͡s ɛ lʲ a̟ v ɐ ʃ t ɐ t ɐ
оцеляващи	o t͡s ɛ lʲ a̟ v ɐ ʃ t i
оцеляващите	o t͡s ɛ lʲ a̟ v ɐ ʃ t i t ɛ
оцеляващия	o t͡s ɛ lʲ a̟ v ɐ ʃ t i j ɐ
оцеляващият	o t͡s ɛ lʲ a̟ v ɐ ʃ t i j ɐ t
оцеляващо	o t͡s ɛ lʲ a̟ v ɐ ʃ t o
оцеляващото	o t͡s ɛ lʲ a̟ v ɐ ʃ t o t o
оцелял	o t͡s ɛ lʲ a̟ ɫ
оцеляла	o t͡s ɛ lʲ a̟ ɫ ɐ
оцелялата	o t͡s ɛ lʲ a̟ ɫ ɐ t ɐ
оцеляло	o t͡s ɛ lʲ a̟ ɫ o
оцелялото	o t͡s ɛ lʲ a̟ ɫ o t o
оцелях	o t͡s ɛ lʲ a̟ x
оцеляха	o t͡s ɛ lʲ a̟ x ɐ
оцеляхме	o t͡s ɛ lʲ a̟ x m ɛ
оцеляхте	o t͡s ɛ lʲ a̟ x t ɛ
оцет	o t͡s ɛ t
очаква	o t͡ʃ a̟ k v ɐ
очаквай	o t͡ʃ a̟ k v ɐ j
очаквайки	o t͡ʃ a̟ k v ɐ j k i
очаквайте	o t͡ʃ a̟ k v ɐ j t ɛ
очаквал	o t͡ʃ a̟ k v ɐ ɫ
очаквала	o t͡ʃ a̟ k v ɐ ɫ ɐ
очаквалата	o t͡ʃ a̟ k v ɐ ɫ ɐ t ɐ
очаквали	o t͡ʃ a̟ k v ɐ l i
очаквалите	o t͡ʃ a̟ k v ɐ l i t ɛ
очаквалия	o t͡ʃ a̟ k v ɐ l i j ɐ
очаквалият	o t͡ʃ a̟ k v ɐ l i j ɐ t
очаквало	o t͡ʃ a̟ k v ɐ ɫ o
очаквалото	o t͡ʃ a̟ k v ɐ ɫ o t o
очаквам	o t͡ʃ a̟ k v ɐ m
очакваме	o t͡ʃ a̟ k v ɐ m ɛ
очакван	o t͡ʃ a̟ k v ɐ n
очаквана	o t͡ʃ a̟ k v ɐ n ɐ
очакваната	o t͡ʃ a̟ k v ɐ n ɐ t ɐ
очакване	o t͡ʃ a̟ k v ɐ n ɛ
очакванета	o t͡ʃ a̟ k v ɐ n ɛ t ɐ
очакванетата	o t͡ʃ a̟ k v ɐ n ɛ t ɐ t ɐ
очакването	o t͡ʃ a̟ k v ɐ n ɛ t o
очаквани	o t͡ʃ a̟ k v ɐ n i
очакваните	o t͡ʃ a̟ k v ɐ n i t ɛ
очаквания	o t͡ʃ a̟ k v ɐ n i j ɐ
очакваният	o t͡ʃ a̟ k v ɐ n i j ɐ t
очакванията	o t͡ʃ a̟ k v ɐ n i j ɐ t ɐ
очаквано	o t͡ʃ a̟ k v ɐ n o
очакваното	o t͡ʃ a̟ k v ɐ n o t o
очакват	o t͡ʃ a̟ k v ɐ t
очаквате	o t͡ʃ a̟ k v ɐ t ɛ
очаквах	o t͡ʃ a̟ k v ɐ x
очакваха	o t͡ʃ a̟ k v ɐ x ɐ
очаквахме	o t͡ʃ a̟ k v ɐ x m ɛ
очаквахте	o t͡ʃ a̟ k v ɐ x t ɛ
очакваш	o t͡ʃ a̟ k v ɐ ʃ
очакваше	o t͡ʃ a̟ k v ɐ ʃ ɛ
очакващ	o t͡ʃ a̟ k v ɐ ʃ t
очакваща	o t͡ʃ a̟ k v ɐ ʃ t ɐ
очакващата	o t͡ʃ a̟ k v ɐ ʃ t ɐ t ɐ
очакващи	o t͡ʃ a̟ k v ɐ ʃ t i
очакващите	o t͡ʃ a̟ k v ɐ ʃ t i t ɛ
очакващия	o t͡ʃ a̟ k v ɐ ʃ t i j ɐ
очакващият	o t͡ʃ a̟ k v ɐ ʃ t i j ɐ t
очакващо	o t͡ʃ a̟ k v ɐ ʃ t o
очакващото	o t͡ʃ a̟ k v ɐ ʃ t o t o
очат	o t͡ʃ a̟ t
очевиден	o t͡ʃ ɛ v i d ɛ n
очевидно	o t͡ʃ ɛ v i d n o
очен	ɔ t͡ʃ ɛ n
очи	o t͡ʃ i
очила	o t͡ʃ i ɫ a
очилат	o t͡ʃ i ɫ a t
очистително	o t͡ʃ i s t i t ɛ ɫ n o
очите	o t͡ʃ i t ɛ
още	ɔ ʃ t ɛ
п	p
павет	p a v ɛ t
павилион	p ɐ v i l i ɔ n
павит	p a v i t
павлака	p a v ɫ ɐ k ɐ
пагуба	p a ɡ o b ɐ
пада	p a d ɐ
пада	p ɐ d a
падай	p a d ɐ j
падайки	p a d ɐ j k i
падайте	p a d ɐ j t ɛ
падал	p a d ɐ ɫ
падал	p ɐ d a ɫ
падала	p a d ɐ ɫ ɐ
падала	p ɐ d a ɫ ɐ
падалата	p a d ɐ ɫ ɐ t ɐ
падалата	p ɐ d a ɫ ɐ t ɐ
падали	p a d ɐ l i
падали	p ɐ d a l i
падалите	p a d ɐ l i t ɛ
падалите	p ɐ d a l i t ɛ
падалия	p a d ɐ l i j ɐ
падалия	p ɐ d a l i j ɐ
падалият	p a d ɐ l i j ɐ t
падалият	p ɐ d a l i j ɐ t
падало	p a d ɐ ɫ o
падало	p ɐ d a ɫ o
падалото	p a d ɐ ɫ o t o
падалото	p ɐ d a ɫ o t o
падам	p a d ɐ m
падаме	p a d ɐ m ɛ
падане	p a d ɐ n ɛ
паданета	p a d ɐ n ɛ t ɐ
паданетата	p a d ɐ n ɛ t ɐ t ɐ
падането	p a d ɐ n ɛ t o
падания	p a d ɐ n i j ɐ
паданията	p a d ɐ n i j ɐ t ɐ
падат	p a d ɐ t
падате	p a d ɐ t ɛ
падах	p a d ɐ x
падах	p ɐ d a x
падаха	p a d ɐ x ɐ
падаха	p ɐ d a x ɐ
падахме	p a d ɐ x m ɛ
падахме	p ɐ d a x m ɛ
падахте	p a d ɐ x t ɛ
падахте	p ɐ d a x t ɛ
падаш	p a d ɐ ʃ
падаше	p a d ɐ ʃ ɛ
падащ	p a d ɐ ʃ t
падаща	p a d ɐ ʃ t ɐ
падащата	p a d ɐ ʃ t ɐ t ɐ
падащи	p a d ɐ ʃ t i
падащите	p a d ɐ ʃ t i t ɛ
падащия	p a d ɐ ʃ t i j ɐ
падащият	p a d ɐ ʃ t i j ɐ t
падащо	p a d ɐ ʃ t o
падащото	p a d ɐ ʃ t o t o
падеж	p ɐ d ɛ ʃ
падина	p ɐ d i n a
падишах	p ɐ d i ʃ a̟ x
падна	p a d n ɐ
падна	p ɐ d n a
паднал	p a d n ɐ ɫ
паднал	p ɐ d n a ɫ
паднала	p a d n ɐ ɫ ɐ
паднала	p ɐ d n a ɫ ɐ
падналата	p a d n ɐ ɫ ɐ t ɐ
падналата	p ɐ d n a ɫ ɐ t ɐ
паднали	p a d n ɐ l i
паднали	p ɐ d n a l i
падналите	p a d n ɐ l i t ɛ
падналите	p ɐ d n a l i t ɛ
падналия	p a d n ɐ l i j ɐ
падналия	p ɐ d n a l i j ɐ
падналият	p a d n ɐ l i j ɐ t
падналият	p ɐ d n a l i j ɐ t
паднало	p a d n ɐ ɫ o
паднало	p ɐ d n a ɫ o
падналото	p a d n ɐ ɫ o t o
падналото	p ɐ d n a ɫ o t o
паднат	p a d n ɐ t
паднах	p a d n ɐ x
паднах	p ɐ d n a x
паднаха	p a d n ɐ x ɐ
паднаха	p ɐ d n a x ɐ
паднахме	p a d n ɐ x m ɛ
паднахме	p ɐ d n a x m ɛ
паднахте	p a d n ɐ x t ɛ
паднахте	p ɐ d n a x t ɛ
падне	p a d n ɛ
паднел	p a d n ɛ ɫ
паднела	p a d n ɛ ɫ ɐ
паднели	p a d n ɛ l i
паднело	p a d n ɛ ɫ o
паднем	p a d n ɛ m
паднете	p a d n ɛ t ɛ
паднете	p ɐ d n ɛ t ɛ
паднех	p a d n ɛ x
паднеха	p a d n ɛ x ɐ
паднехме	p a d n ɛ x m ɛ
паднехте	p a d n ɛ x t ɛ
паднеш	p a d n ɛ ʃ
паднеше	p a d n ɛ ʃ ɛ
падни	p ɐ d n i
пазар	p ɐ z a r
пазата	p ɐ z a t ɐ
пазач	p ɐ z a t͡ʃ
пак	p a k
пакет	p ɐ k ɛ t
палав	p a ɫ ɐ f
палавец	p a ɫ ɐ v ɛ t͡s
паладий	p ɐ ɫ a d i j
паламедия	p ɐ ɫ ɐ m ɛ d i j ɐ
палатка	p ɐ ɫ a t k ɐ
палач	p ɐ ɫ a t͡ʃ
палачор	p ɐ ɫ ɐ t͡ʃ ɔ r
палачори	p ɐ ɫ ɐ t͡ʃ ɔ r i
палаш	p ɐ ɫ a ʃ
пале	p a l ɛ
палеж	p ɐ l ɛ ʃ
палет	p ɐ l ɛ t
палец	p a l ɛ t͡s
палешник	p a l ɛ ʃ n i k
паливо	p ɐ l i v o
палка	p a ɫ k ɐ
палуба	p a ɫ o b ɐ
паля	p a lʲ ɐ
паляк	p ɐ lʲ a̟ k
палячо	p ɐ lʲ a̟ t͡ʃ o̟
памет	p a m ɛ t
памук	p ɐ m u k
памучен	p ɐ m u t͡ʃ ɛ n
панаир	p ɐ n ɐ i r
панджар	p ɐ n d ʒ a̟ r
пандур	p ɐ n d u r
паника	p a n i k ɐ
панкреас	p a ŋ k r ɛ ɐ s
панкреатит	p ɐ ŋ k r ɛ ɐ t i t
панпсихизъм	p ɐ n p s i x i z ɐ m
панталон	p ɐ n t ɐ ɫ ɔ n
панталони	p ɐ n t ɐ ɫ ɔ n i
пантера	p ɐ n t ɛ r ɐ
пантофка	p ɐ n t ɔ f k ɐ
папагал	p ɐ p ɐ ɡ a ɫ
папатак	p ɐ p ɐ t a k
папрат	p a p r ɐ t
папуняк	p ɐ p u nʲ ɐ k
пара	p a r ɐ
пара	p ɐ r a
парадокс	p ɐ r ɐ d ɔ k s
парадоксален	p ɐ r ɐ d o k s a l ɛ n
парадоксалност	p ɐ r ɐ d o k s a ɫ n o s t
параклис	p ɐ r ɐ k l i s
парашут	p ɐ r ɐ ʃ u̟ t
парен	p a r ɛ n
парещ	p a r ɛ ʃ t
пари	p a r i
пари	p ɐ r i
парите	p ɐ r i t ɛ
парк	p a r k
парламент	p ɐ r ɫ ɐ m ɛ n t
парлив	p ɐ r l i f
парник	p a r n i k
пародия	p ɐ r ɔ d i j ɐ
парола	p ɐ r ɔ ɫ ɐ
парти	p a r t i
парфюм	p ɐ r fʲ u̟ m
парче	p ɐ r t͡ʃ ɛ
парченце	p ɐ r t͡ʃ ɛ n t͡s ɛ
паря	p a rʲ ɐ
паса	p ɐ s ɤ
пасат	p ɐ s ɤ t
пасе	p a s ɛ
пасе	p ɐ s ɛ
пасейки	p ɐ s ɛ j k i
пасели	p ɐ s ɛ l i
пасем	p ɐ s ɛ m
пасен	p a s ɛ n
пасена	p a s ɛ n ɐ
пасената	p a s ɛ n ɐ t ɐ
пасене	p ɐ s ɛ n ɛ
пасенета	p a s ɛ n ɛ t ɐ
пасенетата	p a s ɛ n ɛ t ɐ t ɐ
пасенето	p ɐ s ɛ n ɛ t o
пасени	p a s ɛ n i
пасените	p a s ɛ n i t ɛ
пасения	p a s ɛ n i j ɐ
пасеният	p a s ɛ n i j ɐ t
пасенията	p a s ɛ n i j ɐ t ɐ
пасено	p a s ɛ n o
пасеното	p a s ɛ n o t o
пасете	p ɐ s ɛ t ɛ
пасеш	p ɐ s ɛ ʃ
пасеше	p ɐ s ɛ ʃ ɛ
паси	p ɐ s i
пасинок	p a s i n o k
пасла	p a s ɫ ɐ
паслата	p a s ɫ ɐ t ɐ
пасли	p a s l i
паслите	p a s l i t ɛ
паслия	p a s l i j ɐ
паслият	p a s l i j ɐ t
пасло	p a s ɫ o
паслото	p a s ɫ o t o
пасох	p a s o x
пасоха	p a s o x ɐ
пасохме	p a s o x m ɛ
пасохте	p a s o x t ɛ
паспорт	p ɐ s p ɔ r t
пастет	p ɐ s t ɛ t
пастрок	p a s t r o k
пастух	p ɐ s t u x
пасъл	p a s ɐ ɫ
пасял	p ɐ sʲ a̟ ɫ
пасяла	p ɐ sʲ a̟ ɫ ɐ
пасяло	p ɐ sʲ a̟ ɫ o
пасях	p ɐ sʲ a̟ x
пасяха	p ɐ sʲ a̟ x ɐ
пасяхме	p ɐ sʲ a̟ x m ɛ
пасяхте	p ɐ sʲ a̟ x t ɛ
пасящ	p ɐ sʲ a̟ ʃ t
пасяща	p ɐ sʲ a̟ ʃ t ɐ
пасящата	p ɐ sʲ a̟ ʃ t ɐ t ɐ
пасящи	p ɐ sʲ a̟ ʃ t i
пасящите	p ɐ sʲ a̟ ʃ t i t ɛ
пасящия	p ɐ sʲ a̟ ʃ t i j ɐ
пасящият	p ɐ sʲ a̟ ʃ t i j ɐ t
пасящо	p ɐ sʲ a̟ ʃ t o
пасящото	p ɐ sʲ a̟ ʃ t o t o
пате	p a t ɛ
патица	p a t i t͡s ɐ
патка	p a t k ɐ
паткан	p ɐ t k a n
патладжан	p ɐ t ɫ ɐ d ʒ a̟ n
паток	p ɐ t ɔ k
патриарх	p ɐ t r i a r x
патърдия	p ɐ t ɐ r d i j ɐ
патя	p a tʲ ɐ
паун	p ɐ u n
пафкам	p a f k ɐ m
пациент	p ɐ t͡s i ɛ n t
пациентка	p ɐ t͡s i ɛ n t k ɐ
пачавра	p ɐ t͡ʃ a̟ v r ɐ
пащърнак	p ɐ ʃ t ɐ r n a k
паяк	p a e k
паяк	p a j ɐ k
певач	p ɛ v a t͡ʃ
певец	p ɛ v ɛ t͡s
певица	p ɛ v i t͡s ɐ
пегав	p ɛ ɡ ɐ f
пеганка	p ɛ ɡ a ŋ k ɐ
педераст	p ɛ d ɛ r a s
педераст	p ɛ d ɛ r a s t
педерастия	p ɛ d ɛ r a s t i j ɐ
педя	p ɛ dʲ ɐ
пее	p ɛ ɛ
пеейки	p ɛ ɛ j k i
пеел	p ɛ ɛ ɫ
пеела	p ɛ ɛ ɫ ɐ
пеели	p ɛ ɛ l i
пеело	p ɛ ɛ ɫ o
пеем	p ɛ ɛ m
пеене	p ɛ ɛ n ɛ
пеенета	p ɛ ɛ n ɛ t ɐ
пеенетата	p ɛ ɛ n ɛ t ɐ t ɐ
пеенето	p ɛ ɛ n ɛ t o
пеения	p ɛ ɛ n i j ɐ
пеенията	p ɛ ɛ n i j ɐ t ɐ
пеете	p ɛ ɛ t ɛ
пеех	p ɛ ɛ x
пееха	p ɛ ɛ x ɐ
пеехме	p ɛ ɛ x m ɛ
пеехте	p ɛ ɛ x t ɛ
пееш	p ɛ ɛ ʃ
пееше	p ɛ ɛ ʃ ɛ
пеещ	p ɛ ɛ ʃ t
пееща	p ɛ ɛ ʃ t ɐ
пеещата	p ɛ ɛ ʃ t ɐ t ɐ
пеещи	p ɛ ɛ ʃ t i
пеещите	p ɛ ɛ ʃ t i t ɛ
пеещия	p ɛ ɛ ʃ t i j ɐ
пеещият	p ɛ ɛ ʃ t i j ɐ t
пеещо	p ɛ ɛ ʃ t o
пеещото	p ɛ ɛ ʃ t o t o
пей	p ɛ j
пейзаж	p ɛ j z a ʃ
пейте	p ɛ j t ɛ
пек	p ɛ k
пека	p ɛ k ɤ
пекарка	p ɛ k a r k ɐ
пекат	p ɛ k ɤ t
пекиш	p ɛ k i ʃ
пекла	p ɛ k ɫ ɐ
пеклата	p ɛ k ɫ ɐ t ɐ
пекли	p ɛ k l i
пеклите	p ɛ k l i t ɛ
пеклия	p ɛ k l i j ɐ
пеклият	p ɛ k l i j ɐ t
пекло	p ɛ k ɫ o
пеклото	p ɛ k ɫ o t o
пекох	p ɛ k o x
пекоха	p ɛ k o x ɐ
пекохме	p ɛ k o x m ɛ
пекохте	p ɛ k o x t ɛ
пекъл	p ɛ k ɐ ɫ
пелена	p ɛ l ɛ n a
пели	p ɛ l i
пеликан	p ɛ l i k a n
пелите	p ɛ l i t ɛ
пелия	p ɛ l i j ɐ
пелият	p ɛ l i j ɐ t
пенис	p ɛ n i s
пенюга	p ɛ nʲ u̟ ɡ ɐ
пепел	p ɛ p ɛ ɫ
пепелник	p ɛ p ɛ ɫ n i k
пепеляв	p ɛ p ɛ lʲ a̟ f
пеперуда	p ɛ p ɛ r u d ɐ
пера	p ɛ r a
пера	p ɛ r ɤ
перач	p ɛ r a t͡ʃ
пергел	p ɛ r ɡ ɛ ɫ
перде	p ɛ r d ɛ
перест	p ɛ r ɛ s t
перигей	p ɛ r i ɡ ɛ j
перилен	p ɛ r i l ɛ n
период	p ɛ r i ɔ t
периферия	p ɛ r i f ɛ r i j ɐ
перихелий	p ɛ r i x ɛ l i j
пернат	p ɛ r n a t
пернат	p ɛ r n ɐ t
перница	p ɛ r n i t͡s ɐ
перо	p ɛ r ɔ
перока	p ɛ r ɔ k ɐ
перон	p ɛ r o n
перон	p ɛ r ɔ n
перпендикулярен	p ɛ r p ɛ n d i k o lʲ a̟ r ɛ n
перпендикулярност	p ɛ r p ɛ n d i k o lʲ a̟ r n o s t
персийски	p ɛ r s i j s k i
перука	p ɛ r u k ɐ
перукар	p ɛ r o k a r
перукарница	p ɛ r o k a r n i t͡s ɐ
перукер	p ɛ r o k ɛ r
перуника	p ɛ r o n i k ɐ
перфективен	p ɛ r f ɛ k t i v ɛ n
перце	p ɛ r t͡s ɛ
перя	p ɛ rʲ ɐ
пес	p ɛ s
песен	p ɛ s ɛ n
пестейки	p ɛ s t ɛ j k i
пестели	p ɛ s t ɛ l i
пестен	p ɛ s t ɛ n
пестена	p ɛ s t ɛ n ɐ
пестената	p ɛ s t ɛ n ɐ t ɐ
пестене	p ɛ s t ɛ n ɛ
пестенета	p ɛ s t ɛ n ɛ t ɐ
пестенетата	p ɛ s t ɛ n ɛ t ɐ t ɐ
пестенето	p ɛ s t ɛ n ɛ t o
пестени	p ɛ s t ɛ n i
пестените	p ɛ s t ɛ n i t ɛ
пестения	p ɛ s t ɛ n i j ɐ
пестеният	p ɛ s t ɛ n i j ɐ t
пестенията	p ɛ s t ɛ n i j ɐ t ɐ
пестено	p ɛ s t ɛ n o
пестеното	p ɛ s t ɛ n o t o
пестете	p ɛ s t ɛ t ɛ
пестеше	p ɛ s t ɛ ʃ ɛ
пести	p ɛ s t i
пестил	p ɛ s t i ɫ
пестила	p ɛ s t i ɫ ɐ
пестилата	p ɛ s t i ɫ ɐ t ɐ
пестили	p ɛ s t i l i
пестилите	p ɛ s t i l i t ɛ
пестилия	p ɛ s t i l i j ɐ
пестилият	p ɛ s t i l i j ɐ t
пестило	p ɛ s t i ɫ o
пестилото	p ɛ s t i ɫ o t o
пестим	p ɛ s t i m
пестите	p ɛ s t i t ɛ
пестих	p ɛ s t i x
пестиха	p ɛ s t i x ɐ
пестихме	p ɛ s t i x m ɛ
