अक्का	ɐ k̚ k ɑː
भगवद्गीता	bʱ ɐ ɡ ɐ ʋ ɐ d̪̚ ɡ iː t̪ ɑː
भट्ट	bʱ ɐ ʈ̚ ʈ ɐ
भनक्ति	bʱ ɐ n ɐ́ k̚ t i
भनक्ति	bʱ ɐ n̪ ɐ k̚ t̪ i
भरुकच्छ	bʱ ɐ ɾ u k ɐ t̪̚ t͡ɕʰ ɐ
भित्त	bʱ i t̚ t ɐ
भित्त	bʱ i t̪̚ t̪ ɐ
भित्ति	bʱ i t̚ t í
भित्ति	bʱ i t̪̚ t̪ i
भिनत्ति	bʱ i n ɐ́ t̚ t i
भिनत्ति	bʱ i n̪ ɐ t̪̚ t̪ i
भिषक्ति	bʱ i ʂ ɐ k̚ t̪ i
भिषक्ति	bʱ i ʂ ɐ́ k̚ t i
भुनक्ति	bʱ u n ɐ́ k̚ t i
भुनक्ति	bʱ u n̪ ɐ k̚ t̪ i
भृज्जति	bʱ r̩ d̚ d͡ʑ ɐ́ t i
भृज्जति	bʱ r̩ d̪̚ d͡ʑ ɐ t̪ i
भोक्तुः	bʱ oː k̚ t̪ u h ŭ
भोक्तुः	bʱ ɐ w k̚ t u h
भोक्तृ	bʱ oː k̚ t̪ r̩
भोक्तृ	bʱ ɐ w k̚ t r̩
भोट	bʱ oː ʈ ɐ h ɐ̆
भ्रज्ज्	bʱ ɾ ɐ d̚ d͡ʑ
भ्रज्ज्	bʱ ɾ ɐ d̪̚ d͡ʑ
मज्जति	m ɐ d̪̚ d͡ʑ ɐ t̪ i
मज्जति	m ɐ́ d̚ d͡ʑ ɐ t i
मज्जन्	m ɐ d̚ d͡ʑ ɐ́ n
मज्जन्	m ɐ d̪̚ d͡ʑ ɐ n̪
मज्जस्	m ɐ d̚ d͡ʑ ɐ s
मज्जस्	m ɐ d̪̚ d͡ʑ ɐ s̪
मज्जा	m ɐ d̚ d͡ʑ ɑ́ː
मज्जा	m ɐ d̪̚ d͡ʑ ɑː
मज्ज्	m ɐ d̚ d͡ʑ
मज्ज्	m ɐ d̪̚ d͡ʑ
मत्त	m ɐ t̚ t ɐ́
मत्त	m ɐ t̪̚ t̪ ɐ
मत्तेभ	m ɐ t̚ t ɐ j bʱ ɐ
मत्तेभ	m ɐ t̪̚ t̪ eː bʱ ɐ
मद्गु	m ɐ d̚ ɡ ú
मद्गु	m ɐ d̪̚ ɡ u
मनः	m ɐ n̪ ɐ h ɐ̆
मन्यते	m ɐ́ j̃ j ɐ t ɐ j
मन्या	m ɐ́ j̃ j ɑː
मन्यु	m ɐ j̃ j ú
महत्त्व	m ɐ ɦ ɐ t̚ t ʋ ɐ
महत्त्व	m ɐ ɦ ɐ t̪̚ t̪ ʋ ɐ
महर्द्धिक	m ɐ ɦ ɐ ɾ d̚ dʱ i k ɐ
महर्द्धिक	m ɐ ɦ ɐ ɾ d̪̚ d̪ʱ i k ɐ
महायुद्ध	m ɐ ɦ ɑː j u d̚ dʱ ɐ
महायुद्ध	m ɐ ɦ ɑː j u d̪̚ d̪ʱ ɐ
मातृदेवः	m ɑː t̪ r̩ d̪ eː ʋ ɐ h ɐ̆
मान्य	m ɑː j̃ j ɐ
माहात्म्य	m ɑː ɦ ɑː t j̃ j ɐ
मिच्छति	m i t̚ t͡ɕʰ ɐ t i
मिच्छति	m i t̪̚ t͡ɕʰ ɐ t̪ i
मुक्त	m u k̚ t ɐ́
मुक्त	m u k̚ t̪ ɐ
मुक्ता	m u k̚ t ɑ́ː
मुक्ता	m u k̚ t̪ ɑː
मुक्ति	m u k̚ t i
मुक्ति	m u k̚ t̪ i
मुग्ध	m u ɡ̚ dʱ ɐ́
मुग्ध	m u ɡ̚ d̪ʱ ɐ
मुद्ग	m u d̚ ɡ ɐ́
मुद्ग	m u d̪̚ ɡ ɐ
मुद्गर	m u d̚ ɡ ɐ ɾ ɐ
मुद्गर	m u d̪̚ ɡ ɐ ɾ ɐ
मुद्गौदन	m u d̚ ɡ ɑː w d ɐ n ɐ
मुद्गौदन	m u d̪̚ ɡ ɑ w d̪ ɐ n̪ ɐ
मूर्खतायाः	m uː ɾ kʰ ɐ t̪ ɑː j ɑː h ɑ̆
मूर्च्छन	m uː ɾ t̚ t͡ɕʰ ɐ n ɐ
मूर्च्छन	m uː ɾ t̪̚ t͡ɕʰ ɐ n̪ ɐ
मूर्च्छा	m uː ɾ t̚ t͡ɕʰ ɑː
मूर्च्छा	m uː ɾ t̪̚ t͡ɕʰ ɑː
मूर्च्छित	m uː ɾ t̚ t͡ɕʰ i t ɐ
मूर्च्छित	m uː ɾ t̪̚ t͡ɕʰ i t̪ ɐ
मूर्च्छ्	m uː ɾ t̚ t͡ɕʰ
मूर्च्छ्	m uː ɾ t̪̚ t͡ɕʰ
मूर्धन्य	m uː ɾ dʱ ɐ j̃ j ɐ
मृतोत्थान	m r̩ t̪ oː t̪̚ t̪ʰ ɑː n̪ ɐ
मृत्तिका	m r̩ t̚ t i k ɑː
मृत्तिका	m r̩ t̪̚ t̪ i k ɑː
मोक्तुम्	m oː k̚ t̪ u m
मोक्तुम्	m ɐ w k̚ t u m
मोग्धि	m oː ɡ̚ d̪ʱ i
मोग्धि	m ɐ w ɡ̚ dʱ i
मौक्तिक	m ɑ w k̚ t̪ i k ɐ
मौक्तिकमाला	m ɑ w k̚ t̪ i k ɐ m ɑː l̪ ɑː
मौक्तिकमाला	m ɑː w k̚ t i k ɐ m ɑː l ɑː
म्लात	l̃ l ɑː t ɐ́
म्लुच्	l̃ l u t͡ɕ
म्लेच्छ	l̃ l ɐ j t̚ t͡ɕʰ ɐ́
म्लेच्छ	m l̪ eː t̪̚ t͡ɕʰ ɐ
म्लेच्छति	l̃ l ɐ j t̚ t͡ɕʰ ɐ t i
म्लेच्छति	m l̪ eː t̪̚ t͡ɕʰ ɐ t̪ i
म्लेछ्	l̃ l ɐ j t͡ɕʰ
यच्छति	j ɐ t̪̚ t͡ɕʰ ɐ t̪ i
यच्छति	j ɐ́ t̚ t͡ɕʰ ɐ t i
यम्यते	j ɐ j̃ j ɐ́ t ɐ j
युक्त	j u k̚ t ɐ́
युक्त	j u k̚ t̪ ɐ
युक्ति	j u k̚ t i
युक्ति	j u k̚ t̪ i
युद्ध	j u d̚ dʱ ɐ́
युद्ध	j u d̪̚ d̪ʱ ɐ
युनक्ति	j u n ɐ́ k̚ t i
युनक्ति	j u n̪ ɐ k̚ t̪ i
युवयोः	j u ʋ ɐ j oː h ŏ
युष्माभिः	j u ʂ m ɑː bʱ i h ĭ
योक्त्र	j oː k̚ t̪ ɾ ɐ
योक्त्र	j ɐ́ w k̚ t ɾ ɐ
योद्धा	j oː d̪̚ d̪ʱ ɑː
योद्धा	j ɐ w d̚ dʱ ɑː
योद्धृ	j oː d̪̚ d̪ʱ r̩
योद्धृ	j ɐ w d̚ dʱ r̩
रक्तफल	ɾ ɐ k̚ t ɐ pʰ ɐ l ɐ
रक्तफल	ɾ ɐ k̚ t̪ ɐ pʰ ɐ l̪ ɐ
रक्तहीन	ɾ ɐ k̚ t ɐ ɦ iː n ɐ
रक्तहीन	ɾ ɐ k̚ t̪ ɐ ɦ iː n̪ ɐ
रक्ति	ɾ ɐ k̚ t i
रक्ति	ɾ ɐ k̚ t̪ i
रज्जु	ɾ ɐ d̪̚ d͡ʑ u
रज्जु	ɾ ɐ́ d̚ d͡ʑ u
राज्ञ्या	ɾ ɑː d͡ʑ j̃ j ɑː
राज्ञ्याः	ɾ ɑː d͡ʑ j̃ j ɑː h
राज्ञ्याः	ɾ ɑː d͡ʑ ɲ j ɑː h ɑ̆
राज्ञ्यै	ɾ ɑː d͡ʑ j̃ j ɑː j
राज्ञ्योः	ɾ ɑː d͡ʑ j̃ j ɐ w h
राज्ञ्योः	ɾ ɑː d͡ʑ ɲ j oː h ŏ
राद्ध	ɾ ɑː d̚ dʱ ɐ́
राद्ध	ɾ ɑː d̪̚ d̪ʱ ɐ
राद्धि	ɾ ɑː d̪̚ d̪ʱ i
राद्धि	ɾ ɑ́ː d̚ dʱ i
रिक्त	ɾ i k̚ t ɐ́
रिक्त	ɾ i k̚ t̪ ɐ
रिणक्ति	ɾ i ɳ ɐ k̚ t̪ i
रिणक्ति	ɾ i ɳ ɐ́ k̚ t i
रिप्त	ɾ i p̚ t ɐ́
रिप्त	ɾ i p̚ t̪ ɐ
रुद्ध	ɾ u d̚ dʱ ɐ́
रुद्ध	ɾ u d̪̚ d̪ʱ ɐ
लज्जते	l ɐ d̚ d͡ʑ ɐ t ɐ j
लज्जते	l̪ ɐ d̪̚ d͡ʑ ɐ t̪ eː
लज्जा	l ɐ d̚ d͡ʑ ɑː
लज्जा	l̪ ɐ d̪̚ d͡ʑ ɑː
लज्जास्पद	l ɐ d̚ d͡ʑ ɑː s p ɐ d ɐ
लज्जास्पद	l̪ ɐ d̪̚ d͡ʑ ɑː s̪ p ɐ d̪ ɐ
लज्ज्	l ɐ d̚ d͡ʑ
लज्ज्	l̪ ɐ d̪̚ d͡ʑ
लब्ध	l ɐ b̚ dʱ ɐ
लब्ध	l̪ ɐ b̚ d̪ʱ ɐ
लब्ध्वा	l ɐ b̚ dʱ ʋ ɑː
लब्ध्वा	l̪ ɐ b̚ d̪ʱ ʋ ɑː
लिप्त	l i p̚ t ɐ́
लिप्त	l̪ i p̚ t̪ ɐ
लुप्त	l u p̚ t ɐ
लुप्त	l̪ u p̚ t̪ ɐ
लुब्ध	l u b̚ dʱ ɐ
लुब्ध	l̪ u b̚ d̪ʱ ɐ
लुब्धक	l u b̚ dʱ ɐ k ɐ
लुब्धक	l̪ u b̚ d̪ʱ ɐ k ɐ
लोप्त्र	l ɐ w p̚ t ɾ ɐ
लोप्त्र	l̪ oː p̚ t̪ ɾ ɐ
वः	ʋ ɐ h ɐ̆
वक्तवे	ʋ ɐ k̚ t ɐ ʋ ɐ j
वक्तवे	ʋ ɐ k̚ t̪ ɐ ʋ eː
वक्ति	ʋ ɐ k̚ t̪ i
वक्ति	ʋ ɐ́ k̚ t i
वक्तोस्	ʋ ɐ k̚ t̪ oː s̪
वक्तोस्	ʋ ɐ́ k̚ t ɐ w s
वक्त्र	ʋ ɐ k̚ t ɾ ɐ
वक्त्र	ʋ ɐ k̚ t̪ ɾ ɐ
वक्त्रभेदी	ʋ ɐ k̚ t̪ ɾ ɐ bʱ eː d̪ iː
वार्त्ता	ʋ ɑː ɾ t̚ t ɑː
वार्त्ता	ʋ ɑː ɾ t̪̚ t̪ ɑː
विच्छिन्न	ʋ i t̪̚ t͡ɕʰ i n̪ n̪ ɐ
विच्छिन्न	ʋ í t̚ t͡ɕʰ i n n ɐ
विच्छेद	ʋ i t̚ t͡ɕʰ ɐ j d ɐ
विच्छेद	ʋ i t̪̚ t͡ɕʰ eː d̪ ɐ
वित्त	ʋ i t̚ t ɐ́
वित्त	ʋ i t̪̚ t̪ ɐ
विनक्ति	ʋ i n ɐ́ k̚ t i
विनक्ति	ʋ i n̪ ɐ k̚ t̪ i
विन्त्ते	ʋ i n t̚ t ɐ j
विन्त्ते	ʋ i n̪ t̪̚ t̪ eː
विन्यास	ʋ i j̃ j ɑː s ɐ
विभक्ति	ʋ i bʱ ɐ k̚ t i
विभक्ति	ʋ i bʱ ɐ k̚ t̪ i
विरुद्ध	ʋ i ɾ u d̚ dʱ ɐ
विरुद्ध	ʋ i ɾ u d̪̚ d̪ʱ ɐ
विषकन्या	ʋ i ʂ ɐ k ɐ j̃ j ɑː
वीतमन्यु	ʋ iː t ɐ m ɐ j̃ j u
वृक्क	ʋ r̩ k̚ k ɐ
वृक्क	ʋ r̩ k̚ k ɐ́
वृक्ते	ʋ r̩ k̚ t ɐ j
वृक्ते	ʋ r̩ k̚ t̪ eː
वृणक्ति	ʋ r̩ ɳ ɐ k̚ t̪ i
वृणक्ति	ʋ r̩ ɳ ɐ́ k̚ t i
वृत्त	ʋ r̩ t̚ t ɐ́
वृत्त	ʋ r̩ t̪̚ t̪ ɐ
वृत्ता	ʋ r̩ t̚ t ɑː
वृत्ता	ʋ r̩ t̪̚ t̪ ɑː
वृत्ति	ʋ r̩ t̚ t i
वृत्ति	ʋ r̩ t̪̚ t̪ i
वृद्ध	ʋ r̩ d̚ dʱ ɐ́
वृद्ध	ʋ r̩ d̪̚ d̪ʱ ɐ
वृद्धि	ʋ r̩ d̪̚ d̪ʱ i
वृद्धि	ʋ ŕ̩ d̚ dʱ i
वेत्ति	ʋ eː t̪̚ t̪ i
वेत्ति	ʋ ɐ́ j t̚ t i
वेवेक्ति	ʋ eː ʋ eː k̚ t̪ i
वेवेक्ति	ʋ ɐ j ʋ ɐ j k̚ t i
व्यक्ति	ʋ j ɐ k̚ t i
व्यक्ति	ʋ j ɐ k̚ t̪ i
व्युत्पादक	ʋ j u t̚ p ɑː d ɐ k ɐ
व्युत्पादक	ʋ j u t̪̚ p ɑː d̪ ɐ k ɐ
व्यृद्ध	ʋ j r̩ d̪̚ d̪ʱ ɐ
व्यृद्ध	ʋ í j r̩ d̪̚ d̪ʱ ɐ
शक्ति	ɕ ɐ k̚ t í
शक्ति	ɕ ɐ k̚ t̪ i
शक्ति	ɕ ɐ́ k̚ t i
शताब्द	ɕ ɐ t ɑ́ː b̚ d ɐ
शताब्द	ɕ ɐ t̪ ɑː b̚ d̪ ɐ
शब्द	ɕ ɐ b̚ d̪ ɐ
शब्द	ɕ ɐ́ b̚ d ɐ
शब्दकोश	ɕ ɐ b̚ d̪ ɐ k oː ɕ ɐ
शब्दार्थ	ɕ ɐ b̚ d ɑː ɾ tʰ ɐ h
शब्दार्थ	ɕ ɐ b̚ d̪ ɑː ɾ t̪ʰ ɐ h ɐ̆
शब्दालंकार	ɕ ɐ b̚ d ɑː l ɐ ŋ k ɑː ɾ ɐ
शब्दालंकार	ɕ ɐ b̚ d̪ ɑː l̪ ɐ ŋ k ɑː ɾ ɐ
शाक्त	ɕ ɑː k̚ t ɐ
शाक्त	ɕ ɑː k̚ t̪ ɐ
शाब्दिक	ɕ ɑː b̚ d i k ɐ
शाब्दिक	ɕ ɑː b̚ d̪ i k ɐ
शिंष्टः	ɕ ĩ ʂ ʈ ɐ h ɐ̆
शिंष्ठः	ɕ ĩ ʂ ʈʰ ɐ h ɐ̆
शिंष्मः	ɕ ĩ ʂ m ɐ h ɐ̆
शिंष्वः	ɕ ĩ ʂ ʋ ɐ h ɐ̆
शिक्षिकाः	ɕ i k ʂ i k ɑː h ɑ̆
शिक्षिकाभिः	ɕ i k ʂ i k ɑː bʱ i h ĭ
शिक्षिकाभ्यः	ɕ i k ʂ i k ɑː bʱ j ɐ h ɐ̆
शिक्षिकायाः	ɕ i k ʂ i k ɑː j ɑː h ɑ̆
शिचः	ɕ i t͡ɕ ɐ h ɐ̆
शिफः	ɕ i pʰ ɐ h ɐ̆
शिरःपट्ट	ɕ i ɾ ɐ h p ɐ ʈ̚ ʈ ɐ
शिरःपट्ट	ɕ i ɾ ɐ ɸ p ɐ ʈ̚ ʈ ɐ
शिरःपीडा	ɕ i ɾ ɐ ɸ p iː ɖ ɑː
शुक्ति	ɕ u k̚ t i
शुक्ति	ɕ u k̚ t̪ i
शुद्ध	ɕ u d̚ dʱ ɐ́
शुद्ध	ɕ u d̪̚ d̪ʱ ɐ
शुद्धि	ɕ u d̚ dʱ i
शुद्धि	ɕ u d̪̚ d̪ʱ i
शुप्ति	ɕ u p̚ t̪ i
शुप्ति	ɕ ú p̚ t i
शून्य	ɕ uː j̃ j ɐ
शृणिः	ɕ r̩ ɳ i h ĭ
शृद्ध	ɕ r̩ d̪̚ d̪ʱ ɐ
श्रद्दधाति	ɕ ɾ ɐ d̪̚ d̪ ɐ d̪ʱ ɑː t̪ i
श्रद्दधाति	ɕ ɾ ɐ́ d̚ d ɐ dʱ ɑː t i
श्रद्धा	ɕ ɾ ɐ d̚ dʱ ɑ́ː
श्रद्धा	ɕ ɾ ɐ d̪̚ d̪ʱ ɑː
श्रीणीतः	ɕ ɾ iː ɳ iː t̪ ɐ h ɐ̆
श्रीमद्भगवद्गीता	ɕ ɾ iː m ɐ d̚ bʱ ɐ ɡ ɐ ʋ ɐ d̚ ɡ iː t ɑː
श्रीमद्भगवद्गीता	ɕ ɾ iː m ɐ d̪̚ bʱ ɐ ɡ ɐ ʋ ɐ d̪̚ ɡ iː t̪ ɑː
श्लिष्यतः	ɕ l̪ i ʂ j ɐ t̪ ɐ h ɐ̆
संकल्पः	s̪ ɐ ŋ k ɐ l̪ p ɐ h ɐ̆
संकल्पयोः	s̪ ɐ ŋ k ɐ l̪ p ɐ j oː h ŏ
संकल्पाः	s̪ ɐ ŋ k ɐ l̪ p ɑː h ɑ̆
संकल्पेभ्यः	s̪ ɐ ŋ k ɐ l̪ p eː bʱ j ɐ h ɐ̆
संकल्पैः	s̪ ɐ ŋ k ɐ l̪ p ɑ j h ɑ̆
संनिरुणद्धि	s ɐ̃ n i ɾ u ɳ ɐ d̚ dʱ i
संनिरुणद्धि	s̪ ɐ̃ n̪ i ɾ u ɳ ɐ d̪̚ d̪ʱ i
संनिर्गच्छति	s ɐ̃ n i ɾ ɡ ɐ t̚ t͡ɕʰ ɐ t i
संनिर्गच्छति	s̪ ɐ̃ n̪ i ɾ ɡ ɐ t̪̚ t͡ɕʰ ɐ t̪ i
संन्यास	s ɐ̃ j̃ j ɑː s ɐ
संन्यासिनी	s ɐ̃ j̃ j ɑː s i n iː
संन्यासिन्	s ɐ̃ j̃ j ɑː s i n
संन्यासी	s ɐ̃ j̃ j ɑː s iː
संयुक्त	s ɐ̃́ j u k̚ t ɐ
संयुक्त	s̪ ɐ̃ j u k̚ t̪ ɐ
संसिद्धि	s ɐ̃ s i d̚ dʱ i
संसिद्धि	s̪ ɐ̃ s̪ i d̪̚ d̪ʱ i
सकण्टकः	s̪ ɐ k ɐ ɳ ʈ ɐ k ɐ h ɐ̆
सक्त	s ɐ k̚ t ɐ́
सक्त	s̪ ɐ k̚ t̪ ɐ
सक्ति	s ɐ k̚ t i
सक्ति	s̪ ɐ k̚ t̪ i
सक्थि	s ɐ́ k̚ tʰ i
सक्थि	s̪ ɐ k̚ t̪ʰ i
सग्धि	s ɐ ɡ̚ dʱ i
सग्धि	s̪ ɐ ɡ̚ d̪ʱ i
सज्ज	s ɐ d̚ d͡ʑ ɐ
सज्ज	s̪ ɐ d̪̚ d͡ʑ ɐ
सज्जन	s ɐ d̚ d͡ʑ ɐ n ɐ
सज्जन	s̪ ɐ d̪̚ d͡ʑ ɐ n̪ ɐ
सज्जयति	s ɐ d̚ d͡ʑ ɐ j ɐ t i
सज्जयति	s̪ ɐ d̪̚ d͡ʑ ɐ j ɐ t̪ i
सज्जा	s ɐ d̚ d͡ʑ ɑː
सज्जा	s̪ ɐ d̪̚ d͡ʑ ɑː
सज्जित	s ɐ d̚ d͡ʑ i t ɐ
सज्जित	s̪ ɐ d̪̚ d͡ʑ i t̪ ɐ
सज्ज्	s ɐ d̚ d͡ʑ
सज्ज्	s̪ ɐ d̪̚ d͡ʑ
सत्कार	s ɐ t̚ k ɑː ɾ ɐ
सत्कार	s̪ ɐ t̪̚ k ɑː ɾ ɐ
सत्त	s ɐ t̚ t ɐ́
सत्त	s̪ ɐ t̪̚ t̪ ɐ
सत्तम	s ɐ́ t̚ t ɐ m ɐ
सत्तम	s̪ ɐ t̪̚ t̪ ɐ m ɐ
सत्ता	s ɐ t̚ t ɑ́ː
सत्ता	s ɐ́ t̚ t ɑː
सत्ता	s̪ ɐ t̪̚ t̪ ɑː
सत्ति	s ɐ t̚ t i
सत्ति	s̪ ɐ t̪̚ t̪ i
सत्त्र	s ɐ t̚ t ɾ ɐ́
सत्त्र	s̪ ɐ t̪̚ t̪ ɾ ɐ
सत्त्व	s ɐ t̚ t ʋ ɐ́
सत्त्व	s̪ ɐ t̪̚ t̪ ʋ ɐ
सत्पुत्र	s ɐ t̚ p u t ɾ ɐ
सत्पुत्र	s̪ ɐ t̪̚ p u t̪ ɾ ɐ
सन्यात्	s ɐ j̃ j ɑː t
सप्त	s ɐ p̚ t ɐ́
सप्त	s̪ ɐ p̚ t̪ ɐ
सप्तति	s ɐ p̚ t ɐ t í
सप्तति	s̪ ɐ p̚ t̪ ɐ t̪ i
सप्तथ	s ɐ p̚ t ɐ́ tʰ ɐ
सप्तथ	s̪ ɐ p̚ t̪ ɐ t̪ʰ ɐ
सप्तदश	s ɐ p̚ t ɐ́ d ɐ ɕ ɐ
सप्तदश	s̪ ɐ p̚ t̪ ɐ d̪ ɐ ɕ ɐ
सप्तन्	s ɐ p̚ t ɐ́ n
सप्तन्	s̪ ɐ p̚ t̪ ɐ n̪
सप्तम	s ɐ p̚ t ɐ m ɐ́
सप्तम	s̪ ɐ p̚ t̪ ɐ m ɐ
सप्तर्षि	s ɐ p̚ t ɐ́ ɾ ʂ i
सप्तर्षि	s̪ ɐ p̚ t̪ ɐ ɾ ʂ i
सप्तविंशति	s ɐ p̚ t ɐ́ ʋ ĩ ɕ ɐ t i
सप्तविंशति	s̪ ɐ p̚ t̪ ɐ ʋ ĩ ɕ ɐ t̪ i
सप्ताह	s ɐ p̚ t ɑː ɦ ɐ́
सप्ताह	s̪ ɐ p̚ t̪ ɑː ɦ ɐ
समुच्चय	s ɐ m u t̚ t͡ɕ ɐ j ɐ
समुच्चय	s̪ ɐ m u t̪̚ t͡ɕ ɐ j ɐ
समृद्ध	s ɐ́ m r̩ d̚ dʱ ɐ
समृद्ध	s̪ ɐ m r̩ d̪̚ d̪ʱ ɐ
समृद्धि	s ɐ́ m r̩ d̚ dʱ i
समृद्धि	s̪ ɐ m r̩ d̪̚ d̪ʱ i
सम्पत्ति	s ɐ m p ɐ t̚ t i
सम्पत्ति	s̪ ɐ m p ɐ t̪̚ t̪ i
सहस्राब्द	s ɐ ɦ ɐ́ s ɾ ɑː b̚ d ɐ
सहस्राब्द	s̪ ɐ ɦ ɐ s̪ ɾ ɑː b̚ d̪ ɐ
सादः	s̪ ɑː d̪ ɐ h ɐ̆
सादाः	s̪ ɑː d̪ ɑː h ɑ̆
सादेभ्यः	s̪ ɑː d̪ eː bʱ j ɐ h ɐ̆
सादैः	s̪ ɑː d̪ ɑ j h ɑ̆
साप्ताहिक	s ɑː p̚ t ɑː ɦ i k ɐ
साप्ताहिक	s̪ ɑː p̚ t̪ ɑː ɦ i k ɐ
सामान्य	s ɑː m ɑː j̃ j ɐ
सिद्ध	s i d̚ dʱ ɐ
सिद्ध	s̪ i d̪̚ d̪ʱ ɐ
सिद्धार्थ	s i d̚ dʱ ɑ́ː ɾ tʰ ɐ
सिद्धार्थ	s̪ i d̪̚ d̪ʱ ɑː ɾ t̪ʰ ɐ
सिद्धि	s i d̚ dʱ i
सिद्धि	s̪ i d̪̚ d̪ʱ i
सिनीतः	s̪ i n̪ iː t̪ ɐ h ɐ̆
सिन्व	s i ʋ̃ ʋ ɐ
सुप्त	s u p̚ t ɐ́
सुप्त	s̪ u p̚ t̪ ɐ
सुरम्य	s u ɾ ɐ j̃ j ɐ
सुरम्या	s u ɾ ɐ j̃ j ɑː
सुराधिपः	s̪ u ɾ ɑː d̪ʱ i p ɐ h ɐ̆
सुषुप्त	s ú ʂ u p̚ t ɐ
सुषुप्त	s̪ u ʂ u p̚ t̪ ɐ
सुसज्जित	s̪ u s̪ ɐ d̪̚ d͡ʑ i t̪ ɐ
सूक्त	s uː k̚ t ɐ́
सूक्त	s̪ uː k̚ t̪ ɐ
सोम्य	s ɐ w j̃ j ɐ́
सौम्य	s ɑː w j̃ j ɐ
सौम्यवार	s ɑː w j̃ j ɐ ʋ ɑː ɾ ɐ
स्कुनीतः	s̪ k u n̪ iː t̪ ɐ h ɐ̆
स्तब्ध	s t ɐ b̚ dʱ ɐ́
स्तब्ध	s̪ t̪ ɐ b̚ d̪ʱ ɐ
स्तभ्नीतः	s̪ t̪ ɐ bʱ n̪ iː t̪ ɐ h ɐ̆
स्तुभ्नीतः	s̪ t̪ u bʱ n̪ iː t̪ ɐ h ɐ̆
स्वतन्त्र	s̪ ʋ ɐ t̪ ɐ n̪ t̪ ɾ ɐ h ɐ̆
हट्ट	ɦ ɐ ʈ̚ ʈ ɐ
हड्ड	ɦ ɐ ɖ̚ ɖ ɐ
हड्डज	ɦ ɐ ɖ̚ ɖ ɐ d͡ʑ ɐ
हरितः	ɦ ɐ ɾ i t̪ ɐ h ɐ̆
हर्म्य	ɦ ɐ ɾ j̃ j ɐ́
हलद्दी	ɦ ɐ l ɐ d̚ d iː
हलद्दी	ɦ ɐ l̪ ɐ d̪̚ d̪ iː
हिक्का	ɦ i k̚ k ɑː
हिक्किका	ɦ i k̚ k i k ɑː
हिक्कित	ɦ i k̚ k i t ɐ
हिक्कित	ɦ i k̚ k i t̪ ɐ
हिक्किन्	ɦ i k̚ k i n
हिक्किन्	ɦ i k̚ k i n̪
हिक्क्	ɦ i k̚ k
हिन्द्याः	ɦ i n̪ d̪ j ɑː h ɑ̆
हिरण्य	ɦ í ɾ ɐ j̃ j ɐ
हिरण्यकशिपु	ɦ i ɾ ɐ j̃ j ɐ k ɐ ɕ i p u
हिरण्यगर्भ	ɦ i ɾ ɐ j̃ j ɐ ɡ ɐ́ ɾ bʱ ɐ
हिरण्याक्ष	ɦ i ɾ ɐ j̃ j ɑː k ʂ ɐ
हेक्का	ɦ eː k̚ k ɑː
हेक्का	ɦ ɐ j k̚ k ɑː
