Є	j ɛ
националносц	n a t͡s i ɔ n a l n ɔ s t͡s
нация	n a t͡s i j a
начални	n a t͡ʃ a l n i
начално	n a t͡ʃ a l n ɔ
началнїк	n a t͡ʃ a ʎ ɲ i k
началнїца	n a t͡ʃ a ʎ ɲ i t͡s a
начало	n a t͡ʃ a l ɔ
наш	n a ʃ
наша	n a ʃ a
нашей	n a ʃ ɛ j
нашим	n a ʃ i m
нашима	n a ʃ i m a
наших	n a ʃ i x
нашлїдство	n a ʃ ʎ i t s t v ɔ
нашмеяни	n a ʃ m ɛ j a n i
нашмеяно	n a ʃ m ɛ j a n ɔ
нашмеяц	n a ʃ m ɛ j a t͡s
нашо	n a ʃ ɔ
нашого	n a ʃ ɔ ɦ ɔ
нашому	n a ʃ ɔ m u
нашу	n a ʃ u
нащива	n a ʃ t͡ʃ i v a
нащивени	n a ʃ t͡ʃ i v ɛ n i
нащивенши	n a ʃ t͡ʃ i v ɛ ɲ ʃ i
нащивенє	n a ʃ t͡ʃ i v ɛ ɲ ɛ
нащивитель	n a ʃ t͡ʃ i v i t ɛ ʎ
нащивителька	n a ʃ t͡ʃ i v i t ɛ ʎ k a
нащивиц	n a ʃ t͡ʃ i v i t͡s
нащивйованє	n a ʃ t͡ʃ i v j ɔ v a ɲ ɛ
нащивйовац	n a ʃ t͡ʃ i v j ɔ v a t͡s
наява	n a j a v a
наявиц	n a j a v i t͡s
наявйованє	n a j a v j ɔ v a ɲ ɛ
наявйовац	n a j a v j ɔ v a t͡s
наяр	n a j a r
неурорадиолоґове	n ɛ u r ɔ r a d i ɔ l ɔ ɡ ɔ v ɛ
ниа	n i a
нишски	n i ʃ s k i
ниянса	n i j a n s a
ниґерийски	n i ɡ ɛ r i j s k i
но	n ɔ
новак	n ɔ v a k
новембер	n ɔ v ɛ m b ɛ r
новемберски	n ɔ v ɛ m b ɛ r s k i
нови	n ɔ v i
новина	n ɔ v i n a
новинами	n ɔ v i n a m i
новинар	n ɔ v i n a r
новинарка	n ɔ v i n a r k a
новинарски	n ɔ v i n a r s k i
новинарство	n ɔ v i n a r s t v ɔ
новини	n ɔ v i n i
новинка	n ɔ v i ŋ k a
новинкар	n ɔ v i ŋ k a r
новинкарня	n ɔ v i n k a r ɲ a
новински	n ɔ v i n s k i
нового	n ɔ v ɔ ɦ ɔ
новорочни	n ɔ v ɔ r ɔ t͡ʃ n i
новосадски	n ɔ v ɔ s a t s k i
нога	n ɔ ɦ a
ногами	n ɔ ɦ a m i
нож	n ɔ ʃ
ножик	n ɔ ʒ i k
ножка	n ɔ ʃ k a
ножни	n ɔ ʒ n i
ножнїчки	n ɔ ʒ ɲ i t͡ʃ k i
ножови	n ɔ ʒ ɔ v i
нормални	n ɔ r m a l n i
нормално	n ɔ r m a l n ɔ
нос	n ɔ s
ноц	n ɔ t͡s
ноцами	n ɔ t͡s a m i
ноцни	n ɔ t͡s n i
ношач	n ɔ ʃ a t͡ʃ
ношачка	n ɔ ʃ a t͡ʃ k a
ношитель	n ɔ ʃ i t ɛ ʎ
ношителька	n ɔ ʃ i t ɛ ʎ k a
ношиц	n ɔ ʃ i t͡s
нужда	n u ʒ d a
нужни	n u ʒ n i
нужно	n u ʒ n ɔ
нужносц	n u ʒ n ɔ s t͡s
нужнїк	n u ʒ ɲ i k
нука	n u k a
нукашньосц	n u k a ʃ ɲ ɔ s t͡s
нукашнї	n u k a ʃ ɲ i
нукашнїца	n u k a ʃ ɲ i t͡s a
нула	n u l a
нуло	n u l ɔ
нулти	n u l t i
нумернїк	n u m ɛ r ɲ i k
ньго	ɲ ɦ ɔ
нього	ɲ ɔ ɦ ɔ
ньому	ɲ ɔ m u
ню	ɲ u
нюйоркски	ɲ u j ɔ r k s k i
нялкош	ɲ a l k ɔ ʃ
нялкошиц	ɲ a l k ɔ ʃ i t͡s
нє	ɲ ɛ
нєбарз	ɲ ɛ b a r s
нєбо	ɲ ɛ b ɔ
нєбоги	ɲ ɛ b ɔ ɦ i
нєбожатко	ɲ ɛ b ɔ ʒ a t k ɔ
нєверенє	ɲ ɛ v ɛ r ɛ ɲ ɛ
нєвеста	ɲ ɛ v ɛ s t a
нєвестин	ɲ ɛ v ɛ s t i n
нєвестов	ɲ ɛ v ɛ s t ɔ w
нєвесточка	ɲ ɛ v ɛ s t ɔ t͡ʃ k a
нєвидзени	ɲ ɛ v i d͡z ɛ n i
нєвилїчиви	ɲ ɛ v i ʎ i t͡ʃ i v i
нєвимирени	ɲ ɛ v i m i r ɛ n i
нєволя	ɲ ɛ v ɔ ʎ a
нєдавни	ɲ ɛ d a w n i
нєдавно	ɲ ɛ d a w n ɔ
нєдалєки	ɲ ɛ d a ʎ ɛ k i
нєдалєко	ɲ ɛ d a ʎ ɛ k ɔ
нєдзвонки	ɲ ɛ d͡z v ɔ ŋ k i
нєдзвонкосц	ɲ ɛ d͡z v ɔ ŋ k ɔ s t͡s
нєдзеля	ɲ ɛ d͡z ɛ ʎ a
нєдзелями	ɲ ɛ d͡z ɛ ʎ a m i
нєдовириє	ɲ ɛ d ɔ v i r i j ɛ
нєжадани	ɲ ɛ ʒ a d a n i
нєзаконски	ɲ ɛ z a k ɔ n s k i
нєзакончени	ɲ ɛ z a k ɔ ɲ t͡ʃ ɛ n i
нєзаконїти	ɲ ɛ z a k ɔ ɲ i t i
нєзаконїто	ɲ ɛ z a k ɔ ɲ i t ɔ
нєзаконїтосц	ɲ ɛ z a k ɔ ɲ i t ɔ s t͡s
нєзаняти	ɲ ɛ z a ɲ a t i
нєзанятосц	ɲ ɛ z a ɲ a t ɔ s t͡s
нєй	ɲ ɛ j
нєкарани	ɲ ɛ k a r a n i
нєкараци	ɲ ɛ k a r a t͡s i
нєкарацосц	ɲ ɛ k a r a t͡s ɔ s t͡s
нємецка	ɲ ɛ m ɛ t͡s k a
нємецки	ɲ ɛ m ɛ t͡s k i
нємир	ɲ ɛ m i r
нємиренє	ɲ ɛ m i r ɛ ɲ ɛ
нємириц	ɲ ɛ m i r i t͡s
нємирни	ɲ ɛ m i r n i
нєнавидзиц	ɲ ɛ n a v i d͡z i t͡s
нєнависни	ɲ ɛ n a v i s n i
нєнависц	ɲ ɛ n a v i s t͡s
нєодвичательни	ɲ ɛ ɔ d v i t͡ʃ a t ɛ ʎ n i
нєодвичательно	ɲ ɛ ɔ d v i t͡ʃ a t ɛ ʎ n ɔ
нєодвичательносц	ɲ ɛ ɔ d v i t͡ʃ a t ɛ ʎ n ɔ s t͡s
нєодлуга	ɲ ɛ ɔ d l u ɦ a
нєписмени	ɲ ɛ p i s m ɛ n i
нєписменосц	ɲ ɛ p i s m ɛ n ɔ s t͡s
нєпознати	ɲ ɛ p ɔ z n a t i
нєпокарани	ɲ ɛ p ɔ k a r a n i
нєпотреба	ɲ ɛ p ɔ t r ɛ b a
нєпотребне	ɲ ɛ p ɔ t r ɛ b n ɛ
нєпотребни	ɲ ɛ p ɔ t r ɛ b n i
нєпотребно	ɲ ɛ p ɔ t r ɛ b n ɔ
нєпотребносц	ɲ ɛ p ɔ t r ɛ b n ɔ s t͡s
нєпохоплїви	ɲ ɛ p ɔ x ɔ p ʎ i v i
нєпочитованє	ɲ ɛ p ɔ t͡ʃ i t ɔ v a ɲ ɛ
нєпременлїви	ɲ ɛ p r ɛ m ɛ n ʎ i v i
нєприятель	ɲ ɛ p r i j a t ɛ ʎ
нєприятелька	ɲ ɛ p r i j a t ɛ ʎ k a
нєприятельски	ɲ ɛ p r i j a t ɛ ʎ s k i
нєприятельство	ɲ ɛ p r i j a t ɛ ʎ s t v ɔ
нєраз	ɲ ɛ r a s
нєришени	ɲ ɛ r i ʃ ɛ n i
нєришено	ɲ ɛ r i ʃ ɛ n ɔ
нєрозумлїве	ɲ ɛ r ɔ z u m ʎ i v ɛ
нєрозумлїви	ɲ ɛ r ɔ z u m ʎ i v i
нєрозумлїво	ɲ ɛ r ɔ z u m ʎ i v ɔ
нєрозумлївосц	ɲ ɛ r ɔ z u m ʎ i v ɔ s t͡s
нєсвидоми	ɲ ɛ s v i d ɔ m i
нєсвидомо	ɲ ɛ s v i d ɔ m ɔ
нєсвидомосц	ɲ ɛ s v i d ɔ m ɔ s t͡s
нєсовисни	ɲ ɛ s ɔ v i s n i
нєсовисно	ɲ ɛ s ɔ v i s n ɔ
нєсподзивани	ɲ ɛ s p ɔ d͡z i v a n i
нєсподзиванима	ɲ ɛ s p ɔ d͡z i v a n i m a
нєсподзивано	ɲ ɛ s p ɔ d͡z i v a n ɔ
нєсподзиванє	ɲ ɛ s p ɔ d͡z i v a ɲ ɛ
нєсподзивац	ɲ ɛ s p ɔ d͡z i v a t͡s
нєсподзиваюци	ɲ ɛ s p ɔ d͡z i v a j u t͡s i
нєсподзивйовац	ɲ ɛ s p ɔ d͡z i v j ɔ v a t͡s
нєсподзивююци	ɲ ɛ s p ɔ d͡z i v j u j u t͡s i
нєсподзивююцима	ɲ ɛ s p ɔ d͡z i v j u j u t͡s i m a
нєстранкови	ɲ ɛ s t r a n k ɔ v i
нєсц	ɲ ɛ s t͡s
нєт	ɲ ɛ t
нєшка	ɲ ɛ ʃ k a
нєшкайши	ɲ ɛ ʃ k a j ʃ i
нєшкайшосц	ɲ ɛ ʃ k a j ʃ ɔ s t͡s
нєшкашньосц	ɲ ɛ ʃ k a ʃ ɲ ɔ s t͡s
нєшкашнї	ɲ ɛ ʃ k a ʃ ɲ i
нєшор	ɲ ɛ ʃ ɔ r
нєщесце	ɲ ɛ ʃ t͡ʃ ɛ s t͡s ɛ
нєщешлїви	ɲ ɛ ʃ t͡ʃ ɛ ʃ ʎ i v i
нї	ɲ i
нїби	ɲ i b i
нїжей	ɲ i ʒ ɛ j
нїзач	ɲ i z a t͡ʃ
нїзки	ɲ i s k i
нїзко	ɲ i s k ɔ
нїзше	ɲ i ʃː ɛ
нїзши	ɲ i ʃː i
нїм	ɲ i m
нїма	ɲ i m a
нїтка	ɲ i t k a
нїтками	ɲ i t k a m i
нїх	ɲ i x
нїхто	ɲ i x t ɔ
нїч	ɲ i t͡ʃ
нїчий	ɲ i t͡ʃ i j
нїчовка	ɲ i t͡ʃ ɔ w k a
нїчом	ɲ i t͡ʃ ɔ m
нїчомни	ɲ i t͡ʃ ɔ m n i
нїчомносц	ɲ i t͡ʃ ɔ m n ɔ s t͡s
нїчомнїк	ɲ i t͡ʃ ɔ m ɲ i k
нїчомнїна	ɲ i t͡ʃ ɔ m ɲ i n a
нїчомнїца	ɲ i t͡ʃ ɔ m ɲ i t͡s a
нїяк	ɲ i j a k
нїяки	ɲ i j a k i
нїґда	ɲ i ɡ d a
нїґдзе	ɲ i ɡ d͡z ɛ
о	ɔ
обачи	ɔ b a t͡ʃ i
обачиц	ɔ b a t͡ʃ i t͡s
обачлїви	ɔ b a t͡ʃ ʎ i v i
обачованє	ɔ b a t͡ʃ ɔ v a ɲ ɛ
обачовац	ɔ b a t͡ʃ ɔ v a t͡s
обачую	ɔ b a t͡ʃ u j u
обачує	ɔ b a t͡ʃ u j ɛ
обачуєм	ɔ b a t͡ʃ u j ɛ m
обачуєме	ɔ b a t͡ʃ u j ɛ m ɛ
обачуєце	ɔ b a t͡ʃ u j ɛ t͡s ɛ
обачуєш	ɔ b a t͡ʃ u j ɛ ʃ
обисцами	ɔ b i s t͡s a m i
обисце	ɔ b i s t͡s ɛ
облак	ɔ b l a k
облаками	ɔ b l a k a m i
обласц	ɔ b l a s t͡s
обласцами	ɔ b l a s t͡s a m i
облюбена	ɔ b ʎ u b ɛ n a
облюбени	ɔ b ʎ u b ɛ n i
облєкац	ɔ b ʎ ɛ k a t͡s
облєчени	ɔ b ʎ ɛ t͡ʃ ɛ n i
облєчиво	ɔ b ʎ ɛ t͡ʃ i v ɔ
облєчиц	ɔ b ʎ ɛ t͡ʃ i t͡s
обсяг	ɔ p s j a x
обсяжни	ɔ p s j a ʒ n i
обуй	ɔ b u j
общенє	ɔ p ʃ t͡ʃ ɛ ɲ ɛ
общи	ɔ p ʃ t͡ʃ i
общиц	ɔ p ʃ t͡ʃ i t͡s
обява	ɔ b j a v a
обявенє	ɔ b j a v ɛ ɲ ɛ
обявиц	ɔ b j a v i t͡s
обявйованє	ɔ b j a v j ɔ v a ɲ ɛ
обявйовац	ɔ b j a v j ɔ v a t͡s
обєкт	ɔ b j ɛ k t
овай	ɔ v a j
овоц	ɔ v ɔ t͡s
овоцами	ɔ v ɔ t͡s a m i
овоцнїк	ɔ v ɔ t͡s ɲ i k
овца	ɔ w t͡s a
овчи	ɔ w t͡ʃ i
огень	ɔ ɦ ɛ ɲ
огляд	ɔ ɦ ʎ a t
оглядац	ɔ ɦ ʎ a d a t͡s
оглядни	ɔ ɦ ʎ a d n i
огляднуц	ɔ ɦ ʎ a d n u t͡s
огляднуце	ɔ ɦ ʎ a d n u t͡s ɛ
огньогасни	ɔ ɦ ɲ ɔ ɦ a s n i
огньогашец	ɔ ɦ ɲ ɔ ɦ a ʃ ɛ t͡s
огурка	ɔ ɦ u r k a
од'ява	ɔ d j a v a
од'явиц	ɔ d j a v i t͡s
од'явйовац	ɔ d j a v j ɔ v a t͡s
одбойка	ɔ d b ɔ j k a
одбойкаш	ɔ d b ɔ j k a ʃ
одбойкашка	ɔ d b ɔ j k a ʃ k a
одбойкашски	ɔ d b ɔ j k a ʃ s k i
одбрана	ɔ d b r a n a
одбранєни	ɔ d b r a ɲ ɛ n i
одбранїц	ɔ d b r a ɲ i t͡s
одвит	ɔ d v i t
одвитами	ɔ d v i t a m i
одвитовац	ɔ d v i t ɔ v a t͡s
одвитуюци	ɔ d v i t u j u t͡s i
одвичательни	ɔ d v i t͡ʃ a t ɛ ʎ n i
одвичательно	ɔ d v i t͡ʃ a t ɛ ʎ n ɔ
одвичательносц	ɔ d v i t͡ʃ a t ɛ ʎ n ɔ s t͡s
оджацки	ɔ d͡ʒ a t͡s k i
одзнова	ɔ d͡z n ɔ v a
одкадз	ɔ t k a t͡s
одкаль	ɔ t k a ʎ
одлука	ɔ d l u k a
односно	ɔ d n ɔ s n ɔ
однєдавна	ɔ ɟ ɲ ɛ d a w n a
одо	ɔ d ɔ
одреднїца	ɔ d r ɛ ɟ ɲ i t͡s a
одсто	ɔ t s t ɔ
одшмельованє	ɔ t ʃ m ɛ ʎ ɔ v a ɲ ɛ
одшмельовац	ɔ t ʃ m ɛ ʎ ɔ v a t͡s
одшмелєни	ɔ t ʃ m ɛ ʎ ɛ n i
одшмелєнє	ɔ t ʃ m ɛ ʎ ɛ ɲ ɛ
одшмелїц	ɔ t ʃ m ɛ ʎ i t͡s
одґлумиц	ɔ d ɡ l u m i t͡s
озбильни	ɔ z b i ʎ n i
озбильно	ɔ z b i ʎ n ɔ
озбильносц	ɔ z b i ʎ n ɔ s t͡s
озда	ɔ z d a
озерко	ɔ z ɛ r k ɔ
озеро	ɔ z ɛ r ɔ
озерски	ɔ z ɛ r s k i
ознова	ɔ z n ɔ v a
око	ɔ k ɔ
окрем	ɔ k r ɛ m
окреме	ɔ k r ɛ m ɛ
окремевропски	ɔ k r ɛ m ɛ w r ɔ p s k i
окремни	ɔ k r ɛ m n i
окремносц	ɔ k r ɛ m n ɔ s t͡s
окремшколски	ɔ k r ɛ m ʃ k ɔ l s k i
округ	ɔ k r u x
окружни	ɔ k r u ʒ n i
октобер	ɔ k t ɔ b ɛ r
октоберски	ɔ k t ɔ b ɛ r s k i
окуляр	ɔ k u ʎ a r
окулярами	ɔ k u ʎ a r a m i
окуляри	ɔ k u ʎ a r i
оловко	ɔ l ɔ w k ɔ
олово	ɔ l ɔ v ɔ
олєй	ɔ ʎ ɛ j
олєяр	ɔ ʎ ɛ j a r
опасни	ɔ p a s n i
опасно	ɔ p a s n ɔ
опасносц	ɔ p a s n ɔ s t͡s
опать	ɔ p a c
операцийни	ɔ p ɛ r a t͡s i j n i
операция	ɔ p ɛ r a t͡s i j a
опорцийованє	ɔ p ɔ r t͡s i j ɔ v a ɲ ɛ
опорцийовац	ɔ p ɔ r t͡s i j ɔ v a t͡s
опосум	ɔ p ɔ s u m
опрез	ɔ p r ɛ s
опрема	ɔ p r ɛ m a
опреманє	ɔ p r ɛ m a ɲ ɛ
опремац	ɔ p r ɛ m a t͡s
опремени	ɔ p r ɛ m ɛ n i
опременосц	ɔ p r ɛ m ɛ n ɔ s t͡s
опремиц	ɔ p r ɛ m i t͡s
општина	ɔ p ʃ t i n a
општинов	ɔ p ʃ t i n ɔ w
општински	ɔ p ʃ t i n s k i
орел	ɔ r ɛ l
орех	ɔ r ɛ x
орлїца	ɔ r ʎ i t͡s a
орсацки	ɔ r s a t͡s k i
орсаґ	ɔ r s a k
орудиє	ɔ r u d i j ɛ
оружар	ɔ r u ʒ a r
оружарня	ɔ r u ʒ a r ɲ a
оружийни	ɔ r u ʒ i j n i
оружиє	ɔ r u ʒ i j ɛ
освидомиц	ɔ s v i d ɔ m i t͡s
освидомйовац	ɔ s v i d ɔ m j ɔ v a t͡s
осел	ɔ s ɛ l
осем	ɔ s ɛ m
осемдзешат	ɔ s ɛ m d͡z ɛ ʃ a t
осемдзешати	ɔ s ɛ m d͡z ɛ ʃ a t i
осемнасти	ɔ s ɛ m n a s t i
осемнац	ɔ s ɛ m n a t͡s
осемцме	ɔ s ɛ m t͡s m ɛ
осиґуранє	ɔ s i ɡ u r a ɲ ɛ
осиґурац	ɔ s i ɡ u r a t͡s
осиґурач	ɔ s i ɡ u r a t͡ʃ
осиґурачами	ɔ s i ɡ u r a t͡ʃ a m i
ослиско	ɔ s l i s k ɔ
ослица	ɔ s l i t͡s a
ослов	ɔ s l ɔ w
османлийски	ɔ s m a n l i j s k i
османски	ɔ s m a n s k i
осми	ɔ s m i
особа	ɔ s ɔ b a
особами	ɔ s ɔ b a m i
особлїви	ɔ s ɔ b ʎ i v i
особлїво	ɔ s ɔ b ʎ i v ɔ
особлївосц	ɔ s ɔ b ʎ i v ɔ s t͡s
особни	ɔ s ɔ b n i
особнє	ɔ s ɔ b ɲ ɛ
особови	ɔ s ɔ b ɔ v i
оставац	ɔ s t a v a t͡s
остатнї	ɔ s t a c ɲ i
остатнїраз	ɔ s t a c ɲ i r a s
остаток	ɔ s t a t ɔ k
остац	ɔ s t a t͡s
острова	ɔ s t r ɔ v a
острово	ɔ s t r ɔ v ɔ
островски	ɔ s t r ɔ w s k i
островян	ɔ s t r ɔ v j a n
отадз	ɔ t a t͡s
отамадз	ɔ t a m a t͡s
отец	ɔ t ɛ t͡s
отечествени	ɔ t ɛ t͡ʃ ɛ s t v ɛ n i
отечество	ɔ t ɛ t͡ʃ ɛ s t v ɔ
отже	ɔ d ʒ ɛ
офарбени	ɔ f a r b ɛ n i
офарбиц	ɔ f a r b i t͡s
офтамолоґове	ɔ f t a m ɔ l ɔ ɡ ɔ v ɛ
охабени	ɔ x a b ɛ n i
охабиц	ɔ x a b i t͡s
охабянє	ɔ x a b j a ɲ ɛ
охабяц	ɔ x a b j a t͡s
оцами	ɔ t͡s a m i
оцет	ɔ t͡s ɛ t
оцец	ɔ t͡s ɛ t͡s
оцов	ɔ t͡s ɔ w
оцове	ɔ t͡s ɔ v ɛ
оцови	ɔ t͡s ɔ v i
оцового	ɔ t͡s ɔ v ɔ ɦ ɔ
оцовски	ɔ t͡s ɔ w s k i
оцовщина	ɔ t͡s ɔ w ʃ t͡ʃ i n a
очи	ɔ t͡ʃ i
очисциц	ɔ t͡ʃ i s t͡s i t͡s
очувани	ɔ t͡ʃ u v a n i
очуванє	ɔ t͡ʃ u v a ɲ ɛ
очувац	ɔ t͡ʃ u v a t͡s
ошивиц	ɔ ʃ i v i t͡s
ошлятко	ɔ ʃ ʎ a t k ɔ
ошлєбодзенє	ɔ ʃ ʎ ɛ b ɔ d͡z ɛ ɲ ɛ
ошлєбодзиц	ɔ ʃ ʎ ɛ b ɔ d͡z i t͡s
ошлєбодзовац	ɔ ʃ ʎ ɛ b ɔ d͡z ɔ v a t͡s
ошлєбодзуюци	ɔ ʃ ʎ ɛ b ɔ d͡z u j u t͡s i
ошлєбодзуюцо	ɔ ʃ ʎ ɛ b ɔ d͡z u j u t͡s ɔ
ошлєбодитель	ɔ ʃ ʎ ɛ b ɔ d i t ɛ ʎ
ошлєбодителька	ɔ ʃ ʎ ɛ b ɔ d i t ɛ ʎ k a
ошлєбодительни	ɔ ʃ ʎ ɛ b ɔ d i t ɛ ʎ n i
ошлїк	ɔ ʃ ʎ i k
ошмих	ɔ ʃ m i x
ошмихнуц	ɔ ʃ m i x n u t͡s
ошмиховац	ɔ ʃ m i x ɔ v a t͡s
ошмищок	ɔ ʃ m i ʃ t͡ʃ ɔ k
оштре	ɔ ʃ t r ɛ
оштри	ɔ ʃ t r i
оштриц	ɔ ʃ t r i t͡s
оштро	ɔ ʃ t r ɔ
оштросц	ɔ ʃ t r ɔ s t͡s
п	p
павук	p a v u k
павуков	p a v u k ɔ w
павучайка	p a v u t͡ʃ a j k a
павучина	p a v u t͡ʃ i n a
пад	p a t
паданє	p a d a ɲ ɛ
падац	p a d a t͡s
падаюци	p a d a j u t͡s i
падина	p a d i n a
паднуц	p a d n u t͡s
падобран	p a d ɔ b r a n
падобранка	p a d ɔ b r a ŋ k a
падобрански	p a d ɔ b r a n s k i
падобранєц	p a d ɔ b r a ɲ ɛ t͡s
пайташ	p a j t a ʃ
пайташами	p a j t a ʃ a m i
пайташка	p a j t a ʃ k a
пайташови	p a j t a ʃ ɔ v i
пайташочка	p a j t a ʃ ɔ t͡ʃ k a
пайташски	p a j t a ʃ s k i
пакецик	p a k ɛ t͡s i k
палачинка	p a l a t͡ʃ i ŋ k a
палачинками	p a l a t͡ʃ i n k a m i
палачинкар	p a l a t͡ʃ i ŋ k a r
палачинкарня	p a l a t͡ʃ i n k a r ɲ a
палестински	p a l ɛ s t i n s k i
пальцами	p a ʎ t͡s a m i
паля	p a ʎ a
палєнка	p a ʎ ɛ ŋ k a
палєц	p a ʎ ɛ t͡s
палїца	p a ʎ i t͡s a
палїчка	p a ʎ i t͡ʃ k a
паметанє	p a m ɛ t a ɲ ɛ
паметац	p a m ɛ t a t͡s
паметлїви	p a m ɛ c ʎ i v i
памец	p a m ɛ t͡s
памятка	p a m j a t k a
памятни	p a m j a t n i
памятнїк	p a m j a c ɲ i k
память	p a m j a c
пан	p a n
панованє	p a n ɔ v a ɲ ɛ
пановац	p a n ɔ v a t͡s
панове	p a n ɔ v ɛ
панонски	p a n ɔ n s k i
паноцец	p a n ɔ t͡s ɛ t͡s
паноцов	p a n ɔ t͡s ɔ w
паноцове	p a n ɔ t͡s ɔ v ɛ
паноцовски	p a n ɔ t͡s ɔ w s k i
пански	p a n s k i
панщина	p a ɲ ʃ t͡ʃ i n a
паньски	p a ɲ s k i
панє	p a ɲ ɛ
панї	p a ɲ i
панїматка	p a ɲ i m a t k a
папа	p a p a
папер	p a p ɛ r
папернїца	p a p ɛ r ɲ i t͡s a
паперови	p a p ɛ r ɔ v i
папов	p a p ɔ w
паприґа	p a p r i ɡ a
паприґами	p a p r i ɡ a m i
папски	p a p s k i
папство	p a p s t v ɔ
парадича	p a r a d i t͡ʃ a
парадичами	p a r a d i t͡ʃ a m i
парадичов	p a r a d i t͡ʃ ɔ w
параст	p a r a s t
парасткиня	p a r a s t k i ɲ a
парасциско	p a r a s t͡s i s k ɔ
паризки	p a r i s k i
парк	p a r k
парламент	p a r l a m ɛ n t
парламентарец	p a r l a m ɛ n t a r ɛ t͡s
парламентарка	p a r l a m ɛ n t a r k a
парламентарни	p a r l a m ɛ n t a r n i
пасош	p a s ɔ ʃ
пастир	p a s t i r
пасуля	p a s u ʎ a
паткань	p a t k a ɲ
патра	p a t r a
патриц	p a t r i t͡s
пать	p a c
пахулька	p a x u ʎ k a
пахульками	p a x u ʎ k a m i
пача	p a t͡ʃ a
пачи	p a t͡ʃ i
пачиц	p a t͡ʃ i t͡s
педаґоґия	p ɛ d a ɡ ɔ ɡ i j a
педиґ	p ɛ d i k
пейдзешат	p ɛ j d͡z ɛ ʃ a t
пейдзешати	p ɛ j d͡z ɛ ʃ a t i
пейц	p ɛ j t͡s
пейцме	p ɛ j t͡s m ɛ
пейґла	p ɛ j ɡ l a
пейґларня	p ɛ j ɡ l a r ɲ a
пейґлац	p ɛ j ɡ l a t͡s
пекар	p ɛ k a r
пекарня	p ɛ k a r ɲ a
пенєж	p ɛ ɲ ɛ ʃ
пенєжи	p ɛ ɲ ɛ ʒ i
пенєжни	p ɛ ɲ ɛ ʒ n i
пергач	p ɛ r ɦ a t͡ʃ
период	p ɛ r i ɔ t
периодами	p ɛ r i ɔ d a m i
персцень	p ɛ r s t͡s ɛ ɲ
персценьов	p ɛ r s t͡s ɛ ɲ ɔ w
персценьови	p ɛ r s t͡s ɛ ɲ ɔ v i
персценями	p ɛ r s t͡s ɛ ɲ a m i
перше	p ɛ r ʃ ɛ
першенствени	p ɛ r ʃ ɛ n s t v ɛ n i
першенство	p ɛ r ʃ ɛ n s t v ɔ
перши	p ɛ r ʃ i
першираз	p ɛ r ʃ i r a s
першобутни	p ɛ r ʃ ɔ b u t n i
першобутно	p ɛ r ʃ ɔ b u t n ɔ
першого	p ɛ r ʃ ɔ ɦ ɔ
пес	p ɛ s
петнасти	p ɛ t n a s t i
петнац	p ɛ t n a t͡s
петровски	p ɛ t r ɔ w s k i
петрушка	p ɛ t r u ʃ k a
петрушков	p ɛ t r u ʃ k ɔ w
пец	p ɛ t͡s
печарка	p ɛ t͡ʃ a r k a
печарочка	p ɛ t͡ʃ a r ɔ t͡ʃ k a
печарочкови	p ɛ t͡ʃ a r ɔ t͡ʃ k ɔ v i
печени	p ɛ t͡ʃ ɛ n i
печенє	p ɛ t͡ʃ ɛ ɲ ɛ
печиво	p ɛ t͡ʃ i v ɔ
печиц	p ɛ t͡ʃ i t͡s
пешо	p ɛ ʃ ɔ
пивар	p i v a r
пиварня	p i v a r ɲ a
пиварство	p i v a r s t v ɔ
пиво	p i v ɔ
пий	p i j
пийце	p i j t͡s ɛ
пиньвица	p i ɲ v i t͡s a
пиньвицки	p i ɲ v i t͡s k i
пиньвицов	p i ɲ v i t͡s ɔ w
пинґвин	p i ŋ ɡ v i n
пирйови	p i r j ɔ v i
пирко	p i r k ɔ
пиро	p i r ɔ
пирога	p i r ɔ ɦ a
пирогами	p i r ɔ ɦ a m i
пирожка	p i r ɔ ʃ k a
пирожками	p i r ɔ ʃ k a m i
пирожки	p i r ɔ ʃ k i
пироґа	p i r ɔ ɡ a
пирє	p i r j ɛ
писанка	p i s a ŋ k a
писатель	p i s a t ɛ ʎ
писац	p i s a t͡s
писаци	p i s a t͡s i
писемко	p i s ɛ m k ɔ
писк	p i s k
писмени	p i s m ɛ n i
писмено	p i s m ɛ n ɔ
писменосц	p i s m ɛ n ɔ s t͡s
писмо	p i s m ɔ
писньочка	p i s ɲ ɔ t͡ʃ k a
писня	p i s ɲ a
писнями	p i s ɲ a m i
пита	p i t a
питай	p i t a j
питайце	p i t a j t͡s ɛ
питальнїк	p i t a ʎ ɲ i k
питам	p i t a m
питаме	p i t a m ɛ
питанями	p i t a ɲ a m i
питанє	p i t a ɲ ɛ
питац	p i t a t͡s
питаце	p i t a t͡s ɛ
питаш	p i t a ʃ
питаю	p i t a j u
пиц	p i t͡s
пица	p i t͡s a
пице	p i t͡s ɛ
пию	p i j u
пияк	p i j a k
пияни	p i j a n i
пияно	p i j a n ɔ
пиянство	p i j a n s t v ɔ
пиянствовац	p i j a n s t v ɔ v a t͡s
пиянїца	p i j a ɲ i t͡s a
пиянїцки	p i j a ɲ i t͡s k i
пияти	p i j a t i
пиятками	p i j a t k a m i
пияток	p i j a t ɔ k
пияц	p i j a t͡s
пияцов	p i j a t͡s ɔ w
