ԱԱ	ɑ ɑ
զվարճախոսել	z ə v ɑ ɾ d͡ʒ ɑ χ o s e l
զվարճանալ	z ə v ɑ ɾ d͡ʒ ɑ n ɑ l
զվարճանք	z ə v ɑ ɾ d͡ʒ ɑ n k
զվարճացնել	z ə v ɑ ɾ d͡ʒ ɑ t͡s ə n e l
զվարճություն	z ə v ɑ ɾ d͡ʒ u t ʏ n
զտարյուն	z ə d ɑ ɾ ʏ n
զտել	z ə d e l
զրադաշտական	z ə ɾ ɑ t ɑ ʃ d ɑ ɡ ɑ n
զրադաշտականություն	z ə ɾ ɑ t ɑ ʃ d ɑ ɡ ɑ n u t ʏ n
զրահ	z ə ɾ ɑ h
զրահաբաճկոն	z ə ɾ ɑ h ɑ p ɑ d͡ʒ ɡ o n
զրահագնացք	z ə ɾ ɑ h ɑ k ə n ɑ t͡s k
զրահակիր	z ə ɾ ɑ h ɑ ɡ i ɾ
զրահամորթ	z ə ɾ ɑ h ɑ m o ɾ t
զրահավոր	z ə ɾ ɑ h ɑ v o ɾ
զրիշկ	z ə ɾ i ʃ ɡ
զրկել	z ə ɾ ɡ e l
զրնգալ	z ə ɾ ə n k ɑ l
զրո	z ə ɾ o
զրույց	z ə ɾ u j t͡s
զրուցարան	z ə ɾ u t͡s ɑ ɾ ɑ n
զրուցել	z ə ɾ u t͡s e l
զրպարտություն	z ə ɾ b ɑ ɾ d u t ʏ n
է	e
է	j e
էակ	e j ɑ ɡ
էական	e j ɑ ɡ ɑ n
էգ	e k
էգուց	e k u t͡s
էդ	e t
էթալ	e t ɑ l
էթիկա	e t i ɡ ɑ
էթնիկ	e t n i ɡ
էժան	e ʒ ɑ n
էի	e j i
էի	j e j i
էին	e j i n
էին	j e j i n
էինք	e i n k
էինք	j e i n k
էիր	e j i ɾ
էիր	j e j i ɾ
էիք	e j i k
էիք	j e j i k
էլ	e l
էլեկտրակայան	e l e ɡ d ɾ ɑ ɡ ɑ j ɑ n
էլեկտրական	e l e ɡ d ɾ ɑ ɡ ɑ n
էլեկտրականություն	e l e ɡ d ɾ ɑ ɡ ɑ n u t ʏ n
էլեկտրաշոկ	e l e ɡ d ɾ ɑ ʃ o ɡ
էլեկտրոդ	e l e ɡ d ɾ o t
էլեկտրոլիզ	e l e ɡ d ɾ o l i z
էլեկտրոն	e l e ɡ d ɾ o n
էլեկտրոնային	e l e ɡ d ɾ o n ɑ j i n
էլեմենտ	e l e m e n d
էլեմենտար	e l e m e n d ɑ ɾ
էլզասցի	e l z ɑ s t͡s i
էլի	e l i
էծ	e d͡z
էկզոնիմ	e ɡ z o n i m
էկոլոգիա	e ɡ o l o k i ɑ
էկող	e ɡ o ʁ
էկոնոմիկա	e ɡ o n o m i ɡ ɑ
էկորճ	e ɡ o ɾ d͡ʒ
էկրան	e ɡ ɾ ɑ n
էղնել	e ʁ n e l
էմիգրանտ	e m i k ɾ ɑ n d
էմիր	e m i ɾ
էմիրություն	e m i ɾ u t ʏ n
էմիրություններ	e m i ɾ u t ʏ n n e ɾ
էմոցիա	e m o t͡s i ɑ
էյնշտեյնիում	e j n ʃ d e j n i j u m
էն	e n
էնցեֆալիտ	e n t͡s e f ɑ l i d
էշ	e ʃ
էշայծյամ	e ʃ ɑ j d͡z j ɑ m
էության	e u t j ɑ n
էություն	e j u t ʏ n
էպիկենտրոն	e b i ɡ e n d ɾ o n
էպոս	e b o s
էջ	e t͡ʃ
էջանիշ	e t͡ʃ ɑ n i ʃ
էս	e s
էսկալացիա	e s ɡ ɑ l ɑ t͡s i ɑ
էսնաֆ	e s n ɑ f
էսպերանտո	e s b e ɾ ɑ n d o
էսսե	e s s e
էստոնական	e s d o n ɑ ɡ ɑ n
էստոնացի	e s d o n ɑ t͡s i
էստոներեն	e s d o n e ɾ e n
էսօր	e s o ɾ
էվթանազիա	e f t ɑ n ɑ z i ɑ
էվոլյուցիա	e v o l ʏ t͡s i ɑ
էվոլյուցիոն	e v o l ʏ t͡s j o n
էտ	e d
էտել	e d e l
էտրուսկ	e d ɾ u s ɡ
էտրուսկերեն	e d ɾ u s ɡ e ɾ e n
էտրուսկյան	e d ɾ u s ɡ j ɑ n
էր	e ɾ
էր	j e ɾ
էրե	e ɾ e
էրեխա	e ɾ e χ ɑ
էրեկ	e ɾ e ɡ
էրեկցիա	e ɾ e k t͡s i ɑ
էրես	e ɾ e s
էրիկ	e ɾ i ɡ
էրկաթ	e ɾ ɡ ɑ t
էրկու	e ɾ ɡ u
էրնջակ	e ɾ ə n d͡ʒ ɑ k
էրևալ	e ɾ e v ɑ l
էքսպերիմենտալ	e k s b e ɾ i m e n d ɑ l
էքսպերտ	e k s b e ɾ d
էքստրեմիստ	e k s d ɾ e m i s d
էֆենդի	e f e n t i
ը	ə
ըթ	ə t
ըլլալ	ə l l ɑ l
ըլնել	ə l n e l
ըղձալ	ə χ t͡s ɑ l
ըղձական	ə χ t͡s ɑ ɡ ɑ n
ըղրի	ə ʁ ɾ i
ըմբիշ	ə m p i ʃ
ըմբշամարտ	ə m p ʃ ɑ m ɑ ɾ d
ըմբշամարտություն	ə m p ʃ ɑ m ɑ ɾ d u t ʏ n
ըմբոշխնել	ə m p o ʃ χ ə n e l
ըմբոստ	ə m p o s d
ըմբռնել	ə m p ə r n e l
ըմպակ	ə m b ɑ ɡ
ըմպանակ	ə m b ɑ n ɑ ɡ
ըմպել	ə m b e l
ըմպելիք	ə m b e l i k
ընդամենը	ə n t ɑ m e n ə
ընդավոր	ə n t ɑ v o ɾ
ընդարձակ	ə n t ɑ ɾ t͡s ɑ ɡ
ընդարմանալ	ə n t ɑ ɾ m ɑ n ɑ l
ընդգծել	ə n t k ə d͡z e l
ընդդեմ	ə n t t e m
ընդդիմություն	ə n t t i m u t ʏ n
ընդելուզել	ə n t e l u z e l
ընդեղեն	ə n t e ʁ e n
ընդեր	ə n t e ɾ
ընդերք	ə n t e ɾ k
ընդլայնել	ə n t l ɑ j n e l
ընդհանուր	ə n t h ɑ n u ɾ
ընդհանուր	ə n t ɑ n u ɾ
ընդհանրական	ə n t h ɑ n ɾ ɑ ɡ ɑ n
ընդհանրապես	ə n t h ɑ n ɾ ɑ b e s
ընդհանրապես	ə n t ɑ n ɾ ɑ b e s
ընդհատել	ə n t h ɑ d e l
ընդհատվել	ə n t h ɑ d v e l
ընդմիշտ	ə n t m i ʃ d
ընդոծին	ə n t o d͡z i n
ընդոստել	ə n t o s d e l
ընդոստնել	ə n t o s d n e l
ընդունակ	ə n t u n ɑ ɡ
ընդունակություն	ə n t u n ɑ ɡ u t ʏ n
ընդունարան	ə n t u n ɑ ɾ ɑ n
ընդունել	ə n t u n e l
ընդունելի	ə n t u n e l i
ընդունիլ	ə n t u n i l
ընդունում	ə n t u n u m
ընդունված	ə n t u n v ɑ d͡z
ընդունվել	ə n t u n v e l
ընդվզում	ə n t v ə z u m
ընդօրինակել	ə n t o ɾ i n ɑ ɡ e l
ընել	ə n e l
ընելիք	ə n e l i k
ընթադրել	ə n t ɑ t ə ɾ e l
ընթածիր	ə n t ɑ d͡z i ɾ
ընթանալ	ə n t ɑ n ɑ l
ընթաց	ə n t ɑ t͡s
ընթացակարգ	ə n t ɑ t͡s ɑ ɡ ɑ ɾ k
ընթացիկ	ə n t ɑ t͡s i ɡ
ընթացք	ə n t ɑ t͡s k
ընթացքում	ə n t ɑ t͡s k u m
ընթեռնել	ə n t e r n e l
ընթերցանություն	ə n t e ɾ t͡s ɑ n u t ʏ n
ընթերցասրահ	ə n t e ɾ t͡s ɑ s ə ɾ ɑ h
ընթերցել	ə n t e ɾ t͡s e l
ընթերցող	ə n t e ɾ t͡s o ʁ
ընթերցողուհի	ə n t e ɾ t͡s o ʁ u h i
ընթերցում	ə n t e ɾ t͡s u m
ընթրիք	ə n t ɾ i k
ընծա	ə n d͡z ɑ
ընկալուչ	ə n ɡ ɑ l u t͡ʃ
ընկեր	ə n ɡ e ɾ
ընկերաբար	ə n ɡ e ɾ ɑ p ɑ ɾ
ընկերակցիլ	ə n ɡ e ɾ ɑ k t͡s i l
ընկերակցիլ	ə n ɡ e ɾ ɑ ɡ ə t͡s i l
ընկերություն	ə n ɡ e ɾ u t ʏ n
ընկերուհի	ə n ɡ e ɾ u h i
ընկերվարություն	ə n ɡ e ɾ v ɑ ɾ u t ʏ n
ընկերք	ə n ɡ e ɾ k
ընկեցիկ	ə n ɡ e t͡s i ɡ
ընկղմել	ə n ɡ ə ʁ m e l
ընկճախտ	ə n ɡ ə d͡ʒ ɑ χ d
ընկճել	ə n ɡ ə d͡ʒ e l
ընկճվել	ə n ɡ ə d͡ʒ v e l
ընկնավորություն	ə n ɡ n ɑ v o ɾ u t ʏ n
ընկուզենի	ə n ɡ u z e n i
ընկույզ	ə n ɡ u j z
ընկույզկոտրիչ	ə n ɡ u j z ɡ o d ɾ i t͡ʃ
ընձառյուծ	ə n t͡s ɑ r ʏ d͡z
ընձուղտ	ə n t͡s u χ d
ընչաքաղց	ə n t͡ʃ ɑ k ɑ χ t͡s
ընտանեական	ə n d ɑ n j ɑ ɡ ɑ n
ընտանեկան	ə n d ɑ n e ɡ ɑ n
ընտանի	ə n d ɑ n i
ընտանիք	ə n d ɑ n i k
ընտելանալ	ə n d e l ɑ n ɑ l
ընտիր	ə n d i ɾ
ընտրազանգված	ə n d ɾ ɑ z ɑ n k v ɑ d͡z
ընտրական	ə n d ɾ ɑ ɡ ɑ n
ընտրակաշառք	ə n d ɾ ɑ ɡ ɑ ʃ ɑ r k
ընտրակեղծարար	ə n d ɾ ɑ ɡ e ʁ d͡z ɑ ɾ ɑ ɾ
ընտրանք	ə n d ɾ ɑ n k
ընտրատեղամաս	ə n d ɾ ɑ d e ʁ ɑ m ɑ s
ընտրել	ə n d ɾ e l
ընտրյալ	ə n d ə ɾ j ɑ l
ընտրող	ə n d ɾ o ʁ
ընտրություն	ə n d ɾ u t ʏ n
ընտրվել	ə n d ə ɾ v e l
ըսել	ə s e l
ըստ	ə s d
թ	t ə
թաբախ	t ɑ p ɑ χ
թագ	t ɑ k
թագաժահր	t ɑ k ɑ ʒ ɑ h ə ɾ
թագավարակ	t ɑ k ɑ v ɑ ɾ ɑ ɡ
թագավոր	t ɑ k ɑ v o ɾ
թագավորություն	t ɑ k ɑ v o ɾ u t ʏ n
թագուհի	t ɑ k u h i
թագվոր	t ɑ k v o ɾ
թազա	t ɑ z ɑ
թաթ	t ɑ t
թաթավել	t ɑ t ɑ v e l
թաթավուչ	t ɑ t ɑ v u t͡ʃ
թաթար	t ɑ t ɑ ɾ
թաթարերեն	t ɑ t ɑ ɾ e ɾ e n
թաթերական	t ɑ t e ɾ ɑ ɡ ɑ n
թաթերեն	t ɑ t e ɾ e n
թաթման	t ɑ t m ɑ n
թաթուլ	t ɑ t u l
թաթպան	t ɑ t b ɑ n
թաի	t ɑ i
թալան	t ɑ l ɑ n
թալանչի	t ɑ l ɑ n t͡ʃ i
թալիբ	t ɑ l i p
թալիշ	t ɑ l i ʃ
թալիշագիտություն	t ɑ l i ʃ ɑ k i d u t ʏ n
թալիշերեն	t ɑ l i ʃ e ɾ e n
թալմուդ	t ɑ l m u t
թախանձել	t ɑ χ ɑ n t͡s e l
թախտ	t ɑ χ d
թակ	t ɑ ɡ
թակաղ	t ɑ ɡ ɑ ʁ
թակարդ	t ɑ ɡ ɑ ɾ t
թակոց	t ɑ ɡ o t͡s
թակույկ	t ɑ ɡ u j ɡ
թաղ	t ɑ ʁ
թաղամաս	t ɑ ʁ ɑ m ɑ s
թաղանթ	t ɑ ʁ ɑ n t
թաղապետ	t ɑ ʁ ɑ b e d
թաղել	t ɑ ʁ e l
թաղիք	t ɑ ʁ i k
թաղում	t ɑ ʁ u m
թամադա	t ɑ m ɑ t ɑ
թամամ	t ɑ m ɑ m
թամաշա	t ɑ m ɑ ʃ ɑ
թամբ	t ɑ m p
թամբագործ	t ɑ m p ɑ k o ɾ d͡z
թամիլերեն	t ɑ m i l e ɾ e n
թայֆա	t ɑ j f ɑ
թայֆուն	t ɑ j f u n
թան	t ɑ n
թանալ	t ɑ n ɑ l
թանաք	t ɑ n ɑ k
թանաքաձուկ	t ɑ n ɑ k ɑ t͡s u ɡ
թանաքաման	t ɑ n ɑ k ɑ m ɑ n
թանգարան	t ɑ n k ɑ ɾ ɑ n
թանթռնիկ	t ɑ n t ə r n i ɡ
թանթրավենի	t ɑ n t ɾ ɑ v e n i
թանթրվենի	t ɑ n t ə ɾ v e n i
թանկ	t ɑ n ɡ
թանկարժեք	t ɑ n ɡ ɑ ɾ ʒ e k
թանձր	t ɑ n t͡s ə ɾ
թանձրանալ	t ɑ n t͡s ə ɾ ɑ n ɑ l
թանչ	t ɑ n t͡ʃ
թանջարա	t ɑ n t͡ʃ ɑ ɾ ɑ
թաշկինակ	t ɑ ʃ ɡ i n ɑ ɡ
թառ	t ɑ r
թառամ	t ɑ r ɑ m
թառամել	t ɑ r ɑ m e l
թառամիլ	t ɑ r ɑ m i l
թառափ	t ɑ r ɑ p
թառել	t ɑ r e l
թառմա	t ɑ r m ɑ
թաս	t ɑ s
թասիբ	t ɑ s i p
թավ	t ɑ v
թավա	t ɑ v ɑ
թավալ	t ɑ v ɑ l
թավալվել	t ɑ v ɑ l v e l
թավիշ	t ɑ v i ʃ
թավշակերպ	t ɑ f ʃ ɑ ɡ e ɾ b
թավշապատ	t ɑ f ʃ ɑ b ɑ d
թավշյա	t ɑ f ʃ j ɑ
թավուտ	t ɑ v u d
թավջութակ	t ɑ f t͡ʃ u t ɑ ɡ
թավջութակահար	t ɑ f t͡ʃ u t ɑ ɡ ɑ h ɑ ɾ
թատերական	t ɑ d e ɾ ɑ ɡ ɑ n
թատրոն	t ɑ d ɾ o n
թարախ	t ɑ ɾ ɑ χ
թարամա	t ɑ ɾ ɑ m ɑ
թարգման	t ɑ ɾ k m ɑ n
թարգմանել	t ɑ ɾ k m ɑ n e l
թարգմանիչ	t ɑ ɾ k m ɑ n i t͡ʃ
թարգմանություն	t ɑ ɾ k m ɑ n u t ʏ n
թարթ	t ɑ ɾ t
թարթել	t ɑ ɾ t e l
թարթիչ	t ɑ ɾ t i t͡ʃ
թարխան	t ɑ ɾ χ ɑ n
թարխանա	t ɑ ɾ χ ɑ n ɑ
թարխանություն	t ɑ ɾ χ ɑ n u t ʏ n
թարխուն	t ɑ ɾ χ u n
թարմ	t ɑ ɾ m
թարմա	t ɑ ɾ m ɑ
թարմանալ	t ɑ ɾ m ɑ n ɑ l
թարմացնել	t ɑ ɾ m ɑ t͡s ə n e l
թարշամ	t ɑ ɾ ʃ ɑ m
թարշամել	t ɑ ɾ ʃ ɑ m e l
թարփ	t ɑ ɾ p
թաց	t ɑ t͡s
թացություն	t ɑ t͡s u t ʏ n
թափ	t ɑ p
թափանցիկ	t ɑ p ɑ n t͡s i ɡ
թափանցիկություն	t ɑ p ɑ n t͡s i ɡ u t ʏ n
թափառական	t ɑ p ɑ r ɑ ɡ ɑ n
թափել	t ɑ p e l
թափոն	t ɑ p o n
թափոններ	t ɑ p o n n e ɾ
թափոր	t ɑ p o ɾ
թափուլ	t ɑ p u l
թափուր	t ɑ p u ɾ
թափվել	t ɑ p v e l
թափք	t ɑ p k
թաք	t ɑ k
թաքավիթ	t ɑ k ɑ v i t
թաքթաքուր	t ɑ k t ɑ k u ɾ
թաքնվել	t ɑ k n ə v e l
թաքուն	t ɑ k u n
թաքուստ	t ɑ k u s d
թաքչել	t ɑ k t͡ʃ e l
թաքցնել	t ɑ k t͡s ə n e l
թե	t e
թեզ	t e z
թեզան	t e z ɑ n
թեզանիք	t e z ɑ n i k
թեզաուրուս	t e z ɑ u ɾ u s
թեզնիք	t e z n i k
թեթև	t e t e v
թեթևաշարժ	t e t e v ɑ ʃ ɑ ɾ ʒ
թեժ	t e ʒ
թել	t e l
թելադրիչ	t e l ɑ t ɾ i t͡ʃ
թելեցուկ	t e l e t͡s u ɡ
թելեֆոն	t e l e f o n
թելով	t e l o v
թեկնածու	t e ɡ n ɑ d͡z u
թեկուզ	t e ɡ u z
թեկուզև	t e ɡ u z e v
թեղի	t e ʁ i
թեղոշ	t e ʁ o ʃ
թեմ	t e m
թեմա	t e m ɑ
թեյ	t e j
թեյարան	t e j ɑ ɾ ɑ n
թեյնիկ	t e j n i ɡ
թեն	t e n
թենիս	t e n i s
թենիսիստ	t e n i s i s d
թենիսիստուհի	t e n i s i s d u h i
թեշի	t e ʃ i
թեշիկ	t e ʃ i ɡ
թեոկրատական	t e o ɡ ɾ ɑ d ɑ ɡ ɑ n
թեոկրատիա	t e o ɡ ɾ ɑ d i ɑ
թեոսոֆիա	t e o s o f i ɑ
թեոսոֆիական	t e o s o f i ɑ ɡ ɑ n
թեորեմ	t e o ɾ e m
թեորիապես	t e o ɾ i ɑ b e s
թեպետ	t e b e d
թեր	t e ɾ
թերագնահատել	t e ɾ ɑ k ə n ɑ h ɑ d e l
թերագնահատում	t e ɾ ɑ k ə n ɑ h ɑ d u m
թերակղզի	t e ɾ ɑ ɡ ə ʁ z i
թերահավատ	t e ɾ ɑ h ɑ v ɑ d
թերասնում	t e ɾ ɑ s ə n u m
թերթ	t e ɾ t
թերթիկ	t e ɾ t i ɡ
թերթոն	t e ɾ t o n
թերի	t e ɾ i
թերմոստատ	t e ɾ m o s d ɑ d
թերություն	t e ɾ u t ʏ n
թեփ	t e p
թեփամողես	t e p ɑ m o ʁ e s
թեփամորթ	t e p ɑ m o ɾ t
թեփուկ	t e p u ɡ
թեք	t e k
թեքել	t e k e l
թեքում	t e k u m
թեքվել	t e k v e l
թեև	t e j e v
թզենի	t ə z e n i
թզուկ	t ə z u ɡ
թթենի	t ə t e n i
թթի	t ə t i
թթխմոր	t ə t χ ə m o ɾ
թթու	t ə t u
թթված	t ə t v ɑ d͡z
թթվածին	t ə t v ɑ d͡z i n
թթվաշ	t ə t v ɑ ʃ
թթվասեր	t ə t v ɑ s e ɾ
թթվել	t ə t v e l
թթվություն	t ə t v u t ʏ n
թի	t i
թիակ	t i ɑ ɡ
թիզ	t i z
թիթեղ	t i t e ʁ
թիթեռ	t i t e r
թիթեռնակ	t i t e r n ɑ ɡ
թիթեռնիկ	t i t e r n i ɡ
թիկնապահ	t i ɡ n ɑ b ɑ h
թիկնեղ	t i ɡ n e ʁ
թիկունք	t i ɡ u n k
թիմ	t i m
թիմային	t i m ɑ j i n
թինեյջեր	t i n e j t͡ʃ e ɾ
թիռ	t i r
թիս	t i s
թիվ	t i v
թիրախ	t i ɾ ɑ χ
թիրախային	t i ɾ ɑ χ ɑ j i n
թիքա	t i k ɑ
թլիփ	t ə l i p
թլվատ	t ə l v ɑ d
թլվատել	t ə l v ɑ d e l
թլփատ	t ə l p ɑ d
թլփատություն	t ə l p ɑ d u t ʏ n
թլփատում	t ə l p ɑ d u m
թխել	t ə χ e l
թխկի	t ə χ ɡ i
թխուկ	t ə χ u ɡ
թխվածք	t ə χ v ɑ d͡z k
թղթադրամ	t ə χ t ɑ t ə ɾ ɑ m
թղթախաղ	t ə χ t ɑ χ ɑ ʁ
թղթակից	t ə χ t ɑ ɡ i t͡s
թղթապանակ	t ə χ t ɑ b ɑ n ɑ ɡ
թմբլիկ	t ə m p ə l i ɡ
թմբկաթաղանթ	t ə m p ɡ ɑ t ɑ ʁ ɑ n t
թմբկահար	t ə m p ɡ ɑ h ɑ ɾ
թմբուկ	t ə m p u ɡ
թմրամիջոց	t ə m ɾ ɑ m i t͡ʃ o t͡s
թմրամոլ	t ə m ɾ ɑ m o l
թմրամոլություն	t ə m ɾ ɑ m o l u t ʏ n
թմրել	t ə m ɾ e l
թմրիլ	t ə m ɾ i l
թմփլիկ	t ə m p ə l i ɡ
թյունիկ	t ʏ n i ɡ
թյուննոս	t ʏ n n o s
թյունոս	t ʏ n o s
թյուր	t ʏ ɾ
թյուրիմացություն	t ʏ ɾ i m ɑ t͡s u t ʏ n
թյուրքական	t ʏ ɾ k ɑ ɡ ɑ n
թնդալ	t ə n t ɑ l
թնդանոթ	t ə n t ɑ n o t
թնդյուն	t ə n t ʏ n
թշնամի	t ə ʃ n ɑ m i
թշնամություն	t ə ʃ n ɑ m u t ʏ n
թշվառ	t ə ʃ v ɑ r
թո	t o
թոզ	t o z
թոթով	t o t o v
թոթովել	t o t o v e l
թոթվել	t o t v e l
թոխար	t o χ ɑ ɾ
թոխարական	t o χ ɑ ɾ ɑ ɡ ɑ n
թոխարերեն	t o χ ɑ ɾ e ɾ e n
թոխի	t o χ i
թոխոր	t o χ o ɾ
թոխում	t o χ u m
թոխր	t o χ ə ɾ
թոկ	t o ɡ
թող	t o ʁ
թողարկել	t o ʁ ɑ ɾ ɡ e l
թողել	t o ʁ e l
թողնել	t o ʁ n e l
թողոն	t o ʁ o n
թողություն	t o ʁ u t ʏ n
թողուլ	t o ʁ u l
թողտվություն	t o ʁ d ə v u t ʏ n
թոնիր	t o n i ɾ
թոշակ	t o ʃ ɑ ɡ
թոշակառու	t o ʃ ɑ ɡ ɑ r u
թոշնել	t o ʃ n e l
թոռ	t o r
թոռմիլ	t o r m i l
թոռնիկ	t o r n i ɡ
թոռնուհի	t o r n u h i
թոռոմ	t o r o m
թոռոմել	t o r o m e l
թովել	t o v e l
թովիչ	t o v i t͡ʃ
թովչանք	t o f t͡ʃ ɑ n k
թովչել	t o f t͡ʃ e l
թովք	t o f k
թորիծ	t o ɾ i d͡z
թորխ	t o ɾ χ
թորշոմ	t o ɾ ʃ o m
թորշոմել	t o ɾ ʃ o m e l
թուզ	t u z
թութ	t u t
թութակ	t u t ɑ ɡ
թութխալ	t u t χ ɑ l
թութուն	t u t u n
թութք	t u t k
թուլ	t u l
թուլա	t u l ɑ
թուլաբանջար	t u l ɑ p ɑ n t͡ʃ ɑ ɾ
թուլաբարո	t u l ɑ p ɑ ɾ o
թուլաբարոյություն	t u l ɑ p ɑ ɾ o j u t ʏ n
թուլաբերան	t u l ɑ p e ɾ ɑ n
թուլաբերանություն	t u l ɑ p e ɾ ɑ n u t ʏ n
թուլաբնություն	t u l ɑ p ə n u t ʏ n
թուլանալ	t u l ɑ n ɑ l
թուլացում	t u l ɑ t͡s u m
թուխ	t u χ
թուխու	t u χ u
թուխպ	t u χ b
թուխս	t u χ s
թուղթ	t u χ t
թումբ	t u m p
թույլ	t u j l
թույլատրել	t u j l ɑ d ɾ e l
թույլտվություն	t u j l d ə v u t ʏ n
թույն	t u j n
թունա	t u n ɑ
թունավորել	t u n ɑ v o ɾ e l
թունդ	t u n t
թունել	t u n e l
թունելային	t u n e l ɑ j i n
թուշ	t u ʃ
թուռշի	t u r ʃ i
թուր	t u ɾ
թուրինջ	t u ɾ i n t͡ʃ
թուրծ	t u ɾ d͡z
թուրմ	t u ɾ m
թուրշի	t u ɾ ʃ i
թուրջ	t u ɾ t͡ʃ
թուրք	t u ɾ k
թուրք	t ʏ ɾ k
թուրքագետ	t u ɾ k ɑ k e d
թուրքական	t u ɾ k ɑ ɡ ɑ n
թուրքերեն	t u ɾ k e ɾ e n
թուրքմեն	t u ɾ k m e n
թուրքմենական	t u ɾ k m e n ɑ ɡ ɑ n
թուրքմեներեն	t u ɾ k m e n e ɾ e n
թուփ	t u p
թուք	t u k
թոփ	t o p
թոփիկ	t o p i ɡ
թոք	t o k
թոքաբորբ	t o k ɑ p o ɾ p
թոքախտ	t o k ɑ χ d
թոքային	t o k ɑ j i n
թռիչք	t ə r i t͡ʃ k
թռնել	t ə r n e l
թռչել	t ə r t͡ʃ e l
թռչնաբան	t ə r t͡ʃ n ɑ p ɑ n
թռչնաբանություն	t ə r t͡ʃ n ɑ p ɑ n u t ʏ n
թռչնագրիպ	t ə r t͡ʃ n ɑ k ə ɾ i b
թռչող	t ə r t͡ʃ o ʁ
թռչուն	t ə r t͡ʃ u n
թսել	t ə s e l
թվաբան	t ə v ɑ p ɑ n
թվաբանական	t ə v ɑ p ɑ n ɑ ɡ ɑ n
թվաբանություն	t ə v ɑ p ɑ n u t ʏ n
թվալ	t ə v ɑ l
թվական	t ə v ɑ ɡ ɑ n
թվահմայություն	t ə v ɑ h ə m ɑ j u t ʏ n
թվային	t ə v ɑ j i n
թվանշան	t ə v ɑ n ə ʃ ɑ n
թվանք	t ə v ɑ n k
թվարկել	t ə v ɑ ɾ ɡ e l
թվարկության	t ə v ɑ ɾ ɡ u t j ɑ n
թվարկություն	t ə v ɑ ɾ ɡ u t ʏ n
թվարկությունից	t ə v ɑ ɾ ɡ u t ʏ n i t͡s
թվի	t ə v i
թվիստ	t v i s d
թրաշ	t ə ɾ ɑ ʃ
թրաշել	t ə ɾ ɑ ʃ e l
թրաշվել	t ə ɾ ɑ ʃ v e l
թրել	t ə ɾ e l
թրեյլեր	t ɾ e j l e ɾ
թրթնջուկ	t ə ɾ t ə n t͡ʃ u ɡ
թրթուր	t ə ɾ t u ɾ
թրիլլեր	t ɾ i l l e ɾ
թրիք	t ə ɾ i k
թրծել	t ə ɾ d͡z e l
թրմել	t ə ɾ m e l
թրջել	t ə ɾ t͡ʃ e l
թրքուհի	t ə ɾ k u h i
թրև	t ə ɾ e v
թքած	t ə k ɑ d͡z
թքել	t ə k e l
թև	t e v
թևավոր	t e v ɑ v o ɾ
թևճակ	t e v d͡ʒ ɑ ɡ
թևք	t e v k
թևքաճարմանդ	t e f k ɑ d͡ʒ ɑ ɾ m ɑ n t
ժ	ʒ ə
ժաժ	ʒ ɑ ʒ
ժաժիկ	ʒ ɑ ʒ i ɡ
ժախ	ʒ ɑ χ
ժահր	ʒ ɑ h ə ɾ
ժամ	ʒ ɑ m
ժամագործ	ʒ ɑ m ɑ k o ɾ d͡z
ժամադրություն	ʒ ɑ m ɑ t ɾ u t ʏ n
ժամակահատված	ʒ ɑ m ɑ ɡ ɑ h ɑ d v ɑ d͡z
ժամահար	ʒ ɑ m ɑ h ɑ ɾ
ժաման	ʒ ɑ m ɑ n
ժամանակ	ʒ ɑ m ɑ n ɑ ɡ
ժամանակագիր	ʒ ɑ m ɑ n ɑ ɡ ɑ k i ɾ
ժամանակագրություն	ʒ ɑ m ɑ n ɑ ɡ ɑ k ɾ u t ʏ n
ժամանակակից	ʒ ɑ m ɑ n ɑ ɡ ɑ ɡ i t͡s
ժամանակաշրջան	ʒ ɑ m ɑ n ɑ ɡ ɑ ʃ ə ɾ t͡ʃ ɑ n
ժամանակավոր	ʒ ɑ m ɑ n ɑ ɡ ɑ v o ɾ
ժամանակավորապես	ʒ ɑ m ɑ n ɑ ɡ ɑ v o ɾ ɑ b e s
ժամանակացույց	ʒ ɑ m ɑ n ɑ ɡ ɑ t͡s u j t͡s
ժամանակի	ʒ ɑ m ɑ n ɑ ɡ i
ժամանել	ʒ ɑ m ɑ n e l
ժամանում	ʒ ɑ m ɑ n u m
ժամանց	ʒ ɑ m ɑ n t͡s
ժամացույց	ʒ ɑ m ɑ t͡s u j t͡s
ժամկետ	ʒ ɑ m ɡ e d
ժամկոչ	ʒ ɑ m ɡ o t͡ʃ
ժամհար	ʒ ɑ m h ɑ ɾ
ժամու	ʒ ɑ m u
ժայթքել	ʒ ɑ j t k e l
ժայթքում	ʒ ɑ j t k u m
ժայռ	ʒ ɑ j r
ժանգ	ʒ ɑ n k
ժանգալ	ʒ ɑ n k ɑ l
ժանգառ	ʒ ɑ n k ɑ r
ժանգոտ	ʒ ɑ n k o d
ժանի	ʒ ɑ n i
ժանիք	ʒ ɑ n i k
ժանյակ	ʒ ɑ n j ɑ ɡ
ժանտ	ʒ ɑ n d
ժանտաթզենի	ʒ ɑ n d ɑ t ə z e n i
ժանտախտ	ʒ ɑ n d ɑ χ d
ժանտափուշ	ʒ ɑ n d ɑ p u ʃ
ժանտաքիս	ʒ ɑ n d ɑ k i s
ժապավեն	ʒ ɑ b ɑ v e n
