ހ	h aː
ތޮއްޑޫ	t̪ o ɖ̚ ɖ uː
ތޮފި	t̪ o f i
ތޯރަނީ	t̪ oː ɾ ä n̪ iː
ތޯރާމަސް	t̪ oː ɾ aː m a s̺
ލަހުޖާ	l ə h u d͡ʒ əː
ލަނީ	l ə n̪ iː
ލަންދޭސި	l ä n̪ d̪ eː s̪ i
ލަންޓަން	l ä n̪ ʈ ä n̪
ލައްބަ	l ə bː ə
ލައްކަ	l ə kː ə
ލައްޓި	l ə ʈ̚ ʈ i
ލަފު	l ä f u
ލަފުޒު	l ə f u z̺ u
ލަދު	l ä d̪ u
ލަޑި	l ä ɖ i
ލަޑޯ	l ä ɖ oː
ލަޝްކަރު	l ä ʃ k ä ɾ u
ލާހި	l əː h i
ލާރި	l aː ɾ i
ލާއޯސް	l aː oː s̺
ލާމު	l əː m u
ލިނބޯ	l iᵐ b oː
ލިބަސް	l i b a s̺
ލިބެނީ	l i b e n̪ iː
ލިޔަނީ	l i j ə n̪ iː
ލީބިޔާ	l iː b i j əː
ލެއްޕެނީ	l e p̚ p e n̪ iː
ލޮނު	l o n̪ u
ލޮބަ	l o b ä
ލޯ	l oː
ލޯގަނޑު	l oː ɡ äᶯ ɖ u
ގަހަ	ɡ ä h ä
ގަހަނީ	ɡ ä h ä n̪ iː
ގަހަޑު	ɡ ə h ə ɖ u
ގަހާ	ɡ ä h aː
ގަށަނީ	ɡ ä ʂ ä n̪ iː
ގަނބަނީ	ɡ äᵐ b ä n̪ iː
ގަނޑު	ɡ äᶯ ɖ u
ގަނޑުވަރު	ɡ əᶯ ɖ u w ə ɾ u
ގަން	ɡ ə n̪
ގަންނަނީ	ɡ ə n̪ n̪ ə n̪ iː
ގަރާޑި	ɡ ä ɾ aː ɖ i
ގަރުނު	ɡ ä ɾ u n̪ u
ގައި	ɡ ä i
ގައި	ɡ æː
ގައު	ɡ ə u
ގަވާއިދު	ɡ ə ʋ əː i d̪ u
ގަވި	ɡ ä ʋ i
ގަމާރު	ɡ ä m aː ɾ u
ގަމީސް	ɡ ä m iː s̪
ގަދަ	ɡ ä d̪ ä
ގަތަނީ	ɡ ä t̪ ä n̪ iː
ގަތުން	ɡ ə t̪ u n̪
ގަލަން	ɡ ä l ä ŋ
ގަލާ	ɡ ä l aː
ގަސަނީ	ɡ ä s̺ ä n̪ iː
ގަސް	ɡ ä s̺
ގަޑި	ɡ ə ɖ i
ގާ	ɡ aː
ގާފަރު	ɡ aː f ä ɾ u
ގާފު	ɡ əː f u
ގާތް	ɡ æː ʔ
ގާޑިޔާ	ɡ aː ɖ i j aː
ގާޒީ	ɡ aː z̺ iː
ގިނަ	ɡ i n̪ ä
ގިނި	ɡ i n̪ i
ގިނިހިލަ	ɡ i n̪ i h i l ə
ގިނިކަނދު	ɡ i n̪ i k əⁿ d̪ u
ގިރަނީ	ɡ i ɾ ä n̪ iː
ގިރާވަރު	ɡ i ɾ aː ʋ ä ɾ u
ގިރި	ɡ i ɾ i
ގިފިލި	ɡ i f i l i
ގިތެއު	ɡ i t̪ e u
ގިސް	ɡ i s̺
ގުނގުރު	ɡ uᵑ ɡ u ɾ u
ގުނަ	ɡ u n̪ ä
ގުނަނީ	ɡ u n̪ ä n̪ iː
ގުރަހަ	ɡ u ɾ ä h ä
ގުރަނދަ	ɡ u ɾ äⁿ d̪ ä
ގުރީންލޭންޑު	ɡ u ɾ iː n̪ l e n̪ ɖ u
ގުޅަ	ɡ u ɭ ä
ގުޅަނީ	ɡ u ɭ ä n̪ iː
ގުޅި	ɡ u ɭ i
ގުއި	ɡ u i
ގުދަން	ɡ u d̪ ä n̪
ގުގުރަނީ	ɡ u ɡ u ɾ ə n̪ iː
ގުގުރި	ɡ u ɡ u ɾ i
ގުޑުގުޑާ	ɡ u ɖ u ɡ u ɖ əː
ގުޖުރާތު	ɡ u d ʒ ɾ əː t̪
ގޫ	ɡ uː
ގެ	ɡ e
ގެހި	ɡ e h i
ގެހެ	ɡ e h e
ގެނބުރު	ɡ eᵐ b u ɾ u
ގެންނަނީ	ɡ e n̪ n̪ ə n̪ iː
ގެންޑާ	ɡ e n̪ ɖ aː
ގެރި	ɡ e ɾ i
ގެރިގުއި	ɡ e ɾ i ɡ u i
ގެވެހި	ɡ e ʋ e ʂ i
ގެސް	ɡ e s̺
ގޮށް	ɡ o h
ގޮނބި	ɡ oᵐ b i
ގޮނޑި	ɡ oᶯ ɖ i
ގޮރުނުދޯރު	ɡ o ɾ u n̪ u d̪ oː ɾ u
ގޮއިފުޅަފެހެންދޫ	ɡ o i f u ɭ ä f e h e n̪ d̪ uː
ގޮއްވަނީ	ɡ o ʋ ʋ ä n̪ iː
ގޮވަނީ	ɡ o ʋ ä n̪ iː
ގޮވި	ɡ o v i
ގޮވިލި	ɡ o ʋ i l i
ގޮމަށި	ɡ o m ə ʂ i
ގޯނި	ɡ oː n̪ i
ގޯތުރަ	ɡ oː t̪ u ɾ ä
ގޯސް	ɡ oː s̺
ޏަވިޔަނި	ɲ ä ʋ i j ä n̪ i
ޏަމްޏަމް	ɲ ä m ɲ ä m
ސ	s̺
ސަހަރު	s̺ ə h ə ɾ u
ސަހަރޯ	s̺ ə h ə ɾ oː
ސަހައްޓި	s̺ ə h ə ʈː i
ސަހަތްތެރި	s̺ ə h ə t̪ː e ɾ i
ސަނދު	s̺ əⁿ d̪ u
ސަންދު	s̺ ə n̪ d̪ u
ސަންދުރަ	s̺ ä n̪ d̪ u ɾ ä
ސަރި	s̪ ä ɾ i
ސަރުކާރު	s̪ ä ɾ u k aː ɾ u
ސަރުސަނަ	s̺ ə ɾ u s̺ ə n̪ ə
ސަކުރު	s̺ ə k u ɾ u
ސައި	s̺ ä i
ސައި	s̺ æː
ސައިންސު	s̺ ä i n̪ s̺ u ~ s̺ æː n̪ s̺ u
ސައިބޯނި	s̺ ä i b oː n̪ i
ސައިބޯނި	s̺ æː b oː n̪ i
ސައުރަހައްޓި	s̺ ə u r ə h ə ʈː i
ސައުރަހަތްތެރި	s̺ ə u ɾ ə h ə t̪ː e ɾ i
ސައުރަވަންނަ	s̺ ə u ɾ ə ʋ ə n̪ː ə
ސައުރަތިރީސް	s̺ ə u ɾ ə t̪ i ɾ iː s̺
ސައުރަޔާހި	s̺ ə u ɾ ə j əː h i
ސައުރަޔާނަވައި	s̺ ə u ɾ ə j əː n̪ ə ʋ æː
ސައުރަޔާޅީސް	s̺ ä u ɾ ä j aː ɭ iː s̺
ސައުވީސް	s̺ ä u w iː s̺
ސައްބީސް	s̺ ə bː iː s̺
ސައްވީސް	s̺ ä ʋ ʋ iː s̺
ސައްޔިދު	s̪ ä j j i d̪ u
ސަވަންނަ	s̺ ə ʋ ə n̪ː ə
ސަމުންދުރަ	s̺ ə m u n̪ d̪ u ɾ ə
ސަމުސާ	s̺ ä m u s̺ aː
ސަފު	s̺ ä f u
ސަފެ	s̺ ä f e
ސަތާހި	s̺ ə t̪ əː h i
ސަތާނަވައި	s̺ ə t̪ əː n̪ ə ʋ æː
ސަތާރަ	s̺ ə t əː ɾ ə
ސަތާޅީސް	s̺ ə t̪ əː ɭ iː s̺
ސަތިރީސް	s̺ ə t̪ i ɾ iː s̺
ސަތު	s̺ ə t̪ u
ސަތުހައްޓި	s̺ ə t̪ u h ə ʈː i
ސަތުހަތްތެރި	s̺ ə t̪ u h ə t̪ː e ɾ i
ސަތުވަންނަ	s̺ ə t̪ u w ə n̪ː ə
ސަތުތިރީސް	s̺ ə t̪ u t̪ i ɾ iː s̺
ސަތޭކަ	s̺ ə t eː k ə
ސަޔާހި	s̺ ə j əː h i
ސަޔާނަވައި	s̺ ə j əː n̪ ə ʋ æː
ސަޔާޅީސް	s̺ ə j əː ɭ iː s̺
ސާޅީސް	s̺ əː ɭ iː s̺
ސާއިރަ	s̺ əː i ɾ ə
ސާދަ	s̺ aː d̪ ä
ސާގު	s̺ aː ɡ u
ސާސްކަފު	s̺ aː s̺ k ä f u
ސާސްތުރަ	s̺ aː s̺ t̪ u ɾ ä
ސިންހަ	s̺ i n̪ h ä
ސިންގަޅަ	s̪ i n̪ ɡ ä ɭ ä
ސިންގާ	s̺ i n̪ ɡ aː
ސިރީ	s̺ i ɾ iː
ސިއްރު	s̺ i ɾ ɾ u
ސިއްކަ	s̺ i k̚ k ä
ސިއްދަ	s̺ i d̪ d̪ ä
ސިދެ	s̺ i d̪ e
ސިސްޓެމް	s̺ i s̺ ʈ e m
ސިޓީ	s i ʈ iː
ސިޔާމު	s̺ i j aː m u
ސިޔާސަތު	s̺ i j aː s̺ ä t̪ u
ސިޔާސީ	s̺ i j aː s̺ iː
ސީނު	s̺ iː n̪ u
ސީނުކަރަ	s̺ iː n̪ u k ä ɾ ä
ސުބަ	s̺ u b ə
ސުޅު	s̺ u ɭ u
ސުކުން	s̺ u k u n̪
ސުވަރުގެ	s̺ u ʋ ə ɾ u ɡ e
ސުވާދީބު	s̺ u w aː d̪ iː b u
ސުވާލު	s̺ u w aː l u
ސުވާސްތި	s̺ u w aː s̺ t̪ i
ސުމެއް	s u m e ʔ
ސުލުފު	s̪ u l u f u
ސުލްޠާން	s̺ u l t̪ aː n̪
ސެއްޅި	s̺ e ɭ ɭ i
ސެވޫނަރު	s̪ e w uː n̪ ä ɾ u
ސެޕްޓެމްބަރު	s e p ʈ e m b ə ɾ u
ސޭބޫ	s̺ eː b uː
ސޮޅިޔާ	s̪ o ɭ i j aː
ސޯބުނު	s̺ oː b u n̪ u
ސޯޅަ	s̺ oː ɭ ə
ސްނޯ	s̺ n̪ oː
ސްކޫލު	s̺ k uː l u
ޑަނޑޫރާ	ɖ əᶯ ɖ uː ɾ əː
ޑަވިޔަނި	ɖ ə ʋ i j ə n̪ i
ޑާކާ	ɖ əː k əː
ޑިންގީ	ɖ i n̪ ɡ iː
ޑިސެމްބަރު	ɖ i s e m b ə ɾ u
ޑެސްކު	ɖ e s̺ k u
ޑޮކުޓަރު	ɖ o k u ʈ ä ɾ u
ޑޮލަރު	ɖ o l ä ɾ u
ޒ	z̺
ޒަހަރު	z̺ ä h ä ɾ u
ޒަރާފާ	z̺ ə ɾ əː f əː
ޒަވިޔަނި	z̺ ə ʋ i j ə n̪ i
ޒިރާއާ	z̺ i ɾ aː aː
ޒުހުރަތު	z̺ u h u ɾ ə t̪ u
ޒުވާބު	z̺ u ʋ əː b u
ޒުލްހިއްޖަ	z̺ u l h i d̚ d͡ʒ ə
ޒުލްގައިދަ	z̺ u l ɡ ə i d̪ ə ~ z̺ u l ɡ æː d̪ ə
ޒޯރު	z oː ɾ u
ޓަނު	ʈ ə n̪ u
ޓަކައި	ʈ ə k ə i ~ ʈ ə k æː
ޓަކި	ʈ ä k i
ޓަވަރު	ʈ ä ʋ ä ɾ u
ޓަވިޔަނި	ʈ ə ʋ i j ə n̪ i
ޓިކެޓް	ʈ i k e ʈ
ޓީމު	ʈ iː m u
ޓީޗަރު	ʈ iː t͡ʃ ä ɾ u
ޓުކުރި	ʈ u k u ɾ i
ޓެކްސީ	ʈ e k s̺ iː
ޓެލެވިޒަން	ʈ e l e ʋ i z ə n̪
ޓޯކިޔޯ	ʈ oː k i j oː
ޔަމަން	j ə m ə n̪
ޔާ	j əː
ޔޫރަޕު	j uː ɾ ä p u
ޕަންސަމާ	p ə n̪ s̺ ə m əː
ޕަރަނަ	p ä ɾ ä n̪ ä
ޕަރީ	p ä ɾ iː
ޕަޅެ	p ä ɭ e
ޕައުރަ	p ä u ɾ ä
ޕަވިޔަނި	p ə ʋ i j ə n̪ i
ޕަގު	p ä ɡ u
ޕާން	p aː n̪
ޕާކިސްތާން	p əː k i s̺ t̪ əː n̪
ޕާކު	p aː k u
ޕާޓީ	p aː ʈ iː
ޕިރިވޭނަ	p i ɾ i ʋ eː n̪ ə
ޕުރެ	p u ɾ e
ޕޫރުބެ	p uː ɾ u b e
ޖަހަނީ	d͡ʒ ä h ä n̪ iː
ޖަނގިޔާ	d͡ʒ äᵑ ɡ i j aː
ޖަންބު	d͡ʒ ə n̪ b u
ޖަންގަލި	d͡ʒ ə n̪ ɡ ə l i
ޖަރްކަންދު	d͡ʒ ə ɾ k ə n̪ d̪ u
ޖަވިޔަނި	d͡ʒ ə ʋ i j ə n̪ i
ޖަމަލު	d͡ʒ ə m ə l u
ޖަދު	d͡ʒ ä d̪ u
ޖަގު	d͡ʒ ä ɡ u
ޖަޕާނު	d͡ʒ ä p aː n̪ u
ޖާނަވާރު	d͡ʒ əː n̪ ə ʋ əː ɾ u
ޖާފާނު	d͡ʒ aː f aː n̪ u
ޖާތް	d͡ʒ æː ʔ
ޖާޑި	d͡ʒ aː ɖ i
ޖިންނި	d͡ʒ i n̪ n̪ i
ޖިންސު	d͡ʒ i n̪ s̺ u
ޖުމްހޫރިއްޔާ	d͡ʒ u m h uː ɾ i j j əː
ޖުމްލަ	d͡ʒ u m l ə
ޖުލައި	d ʒ u l æː
ޖެނުއަރީ	d ʒ e n u ä ɾ iː
ޖޯރު	d͡ʒ oː ɾ u
ޗަރުކޭސީ	t͡ɕ ä ɾ u k eː s̪ iː
ޗައްތީސްގަޅު	t ʃ ə t̚ t̪ iː s̺ ɡ ə ɭ u
ޗަވިޔަނި	t͡ʃ ə ʋ i j ə n̪ i
ޗާބީ	t͡ʃ aː b iː
ޗާލު	t͡ʃ əː l u
ޗާޕު	t͡ʃ aː p u
ޘ	s̺ aː
ޘާ	t̪ əː
ޙ	h aː
ޙަމީދު	h ə m iː d̪ u
ޙަސަން	h ə s̺ ə n̪
ޙާ	h əː
ޚ	h
ޚަބަރު	h ä b ä ɾ u
ޚާ	h əː
ޛ	z̺
ޛާލު	z̺ əː l u
ޜ	ʒ
ޜާ	ʒ əː
ޝ	ʃ ~ s̺
ޝަހަރު	ʃ ə h ə ɾ u
ޝަރީޢަތް	ʃ ə ɾ iː ə t̪
ޝައްޥަލް	ʃ ə ʋ ʋ ə l
ޝަދި	ʃ ə d̪ i
ޝަޢުބަން	ʃ ə ʔ u b ə n̪ ~ s̺ ə ʔ u b ə n̪
ޝާހީ	ʃ aː h iː
ޝީނު	ʃ iː n̪ u ~ s̺ iː n̪ u
ޝުކުރިއްޔާ	ʃ u k u ɾ i j j aː
ޝްރީ	ʃ ɾ iː
ޞ	s̺
ޞަފަރު	s̺ ə f ə ɾ u
ޞަފްޙާ	s̺ ä f h aː
ޞާދު	s̺ əː d̪ u
ޟ	l
ޟާދު	l əː d̪ u
ޠ	t̪
ޠޫފާން	t̪ uː f aː n̪ u
ޠޮ	tˤ o
ޡ	l ~ z̺
ޡޮ	l o ~ z̺ o
ޢނު	ʕ n̪ u
ޢަރަބި	ä ɾ ä b i
ޢައިނު	ʔ ə i n̪ u ~ ʔ æː n̪ u
ޢުމާން	ʕ u m əː n̪
ޣ	ɡ
ޣނު	ɣ n̪ u
ޤ	ɡ
ޤައުމީ	ɡ ä u m iː
ޤާނޫނު	ɡ aː n̪ uː n̪ u
ޤާފު	ɡ əː f u
ޤާސިމް	ɡ əː s̺ i m
ޤުރުއާން	q u ɾ u əː n̪
ޥ	ʋ
ޥަޙީދު	ʋ ə h iː d̪ u
ޥާވު	w əː ʋ u
ޱ	n̪ a ʋ i j a n̪ i
ޱަވިޔަނި	ɳ ä ʋ i j ä n̪ i
