அஃது	ɐ ɦ d̪ ɯ
செயப்படுபொருள்குன்றியவினை	s e j ɐ pː ɐ ɖ u b o ɾ u ɭ ɡ u n d r i j ɐ ʋ i n a ɪ̯
செயப்பாட்டுவினை	s e j ɐ pː aː ʈː u ʋ i n a ɪ̯
செயம்	s e j ɐ m
செயற்கை	s e j ɐ r k a ɪ̯
செயற்றிட்டம்	s e j ɐ t r i ʈː ɐ m
செயலி	s e j ɐ l i
செயலிழ	s e j ɐ l i ɻ ɐ
செயி	s e j i
செய்	s e j
செய்தல்	s e j d̪ ɐ l
செய்தி	s e j d̪ i
செய்தித்தாள்	s e j d̪ i t̪ː aː ɭ
செய்துகோள்	s e j d̪ u ɡ oː ɭ
செய்யுள்	s e jː u ɭ
செய்யோன்	s e jː oː n
செய்வது	s e j ʋ ɐ d̪ ɯ
செரி	s e ɾ i
செருக்கு	s e ɾ u kː ɯ
செருப்பு	s e ɾ u pː ɯ
செருமன்	s e ɾ u m ɐ n
செருமு	s e ɾ u m ɯ
செலவு	s e l ɐ ʋ ɯ
செலுப்பட்டி	s e l u pː ɐ ʈː i
செல்	s e l
செல்வநூல்	s e l ʋ ɐ n̪ uː l
செல்வந்தன்	s e l ʋ ɐ n̪ d̪ ɐ n
செல்வன்	s e l ʋ ɐ n
செல்வம்	s e l ʋ ɐ m
செல்வாக்கு	s e l ʋ aː kː ɯ
செல்வி	s e l ʋ i
செள்ளு	s e ɭː ɯ
செழி	s e ɻ i
செழித்தகல்	s e ɻ i t̪ː ɐ ɡ ɐ l
செழிப்பு	s e ɻ i pː ɯ
செழியன்	s e ɻ i j ɐ n
செவி	s e ʋ i
செவிகொடு	s e ʋ i ɡ o ɖ ɯ
செவிடு	s e ʋ i ɖ ɯ
செவியன்	s e ʋ i j ɐ n
செவிலித்தாய்	s e ʋ i l i t̪ː aː j
செவ்வந்தி	s e ʋː ɐ n̪ d̪ i
செவ்வனம்	s e ʋː ɐ n ɐ m
செவ்வல்லி	s e ʋː ɐ l l i
செவ்வள்ளி	s e ʋː ɐ ɭː i
செவ்வாம்பல்	s e ʋː aː m b ɐ l
செவ்வாய்	s e ʋː aː j
செவ்வாய்க்கிழமை	s e ʋː aː j kː i ɻ ɐ m a ɪ̯
செவ்வி	s e ʋː i
செவ்விரும்பு	s e ʋː i ɾ u m b ɯ
சேகரி	s eː ɡ ɐ ɾ i
சேதம்	s eː d̪ ɐ m
சேதி	s eː d̪ i
சேத்து	s eː t̪ː ɯ
சேப்பங்கிழங்கு	s eː pː ɐ ŋ ɡ i ɻ ɐ ŋ ɡ ɯ
சேமி	s eː m i
சேமியா	s eː m i j aː
சேம்பு	s eː m b ɯ
சேய்	s eː j
சேய்மை	s eː j m a ɪ̯
சேரர்	s eː ɾ ɐ ɾ
சேரி	s eː ɾ i
சேர்	s eː ɾ
சேர்க்கை	s eː ɾ kː a ɪ̯
சேர்த்தி	s eː ɾ t̪ː i
சேர்த்து	s eː ɾ t̪ː ɯ
சேர்ந்தலை	s eː ɾ n̪ d̪ ɐ l a ɪ̯
சேர்ந்தார்	s eː ɾ n̪ d̪ aː ɾ
சேர்ப்பு	s eː ɾ pː ɯ
சேறு	s eː r ɯ
சேற்றுக்கால்	s eː t r u kː aː l
சேலம்	s eː l ɐ m
சேலை	s eː l a ɪ̯
சேவல்	s eː ʋ ɐ l
சேவை	s eː ʋ a ɪ̯
சைகதம்	s a ɪ̯ ɡ ɐ d̪ ɐ m
சைனன்	s a ɪ̯ n ɐ n
சைவம்	s a ɪ̯ ʋ ɐ m
சொக்கத்தங்கம்	s o kː ɐ t̪ː ɐ ŋ ɡ ɐ m
சொடுக்கி	s o ɖ u kː i
சொட்டு	s o ʈː ɯ
சொத்து	s o t̪ː ɯ
சொத்துக்கள்	s o t̪ː u kː ɐ ɭ
சொந்த	s o n̪ d̪ ɐ
சொந்தம்	s o n̪ d̪ ɐ m
சொப்பனம்	s o pː ɐ n ɐ m
சொரிகொன்றை	s o ɾ i ɡ o n d r a ɪ̯
சொர்ணம்	s o ɾ ɳ ɐ m
சொறி	s o r i
சொற்பிறப்பியல்	s o r p i r ɐ pː i j ɐ l
சொற்பு	s o r p ɯ
சொற்புத்தி	s o r p u t̪ː i
சொற்பொழிவு	s o r p o ɻ i ʋ ɯ
சொற்றொடர்	s o t r o ɖ ɐ ɾ
சொல்	s o l
சொல்லாட்சி	s o l l aː ʈ s i
சொல்லிக்கொடு	s o l l i kː o ɖ ɯ
சொல்லியல்	s o l l i j ɐ l
சொல்லெச்சம்	s o l l e t͡ɕː ɐ m
சொல்வளம்	s o l ʋ ɐ ɭ ɐ m
சோகம்	s oː ɡ ɐ m
சோகிக்கீரை	s oː ɡ i kː iː ɾ a ɪ̯
சோக்கரா	s oː kː ɐ ɾ aː
சோதனை	s oː d̪ ɐ n a ɪ̯
சோதி	s oː d̪ i
சோதிடம்	s oː d̪ i ɖ ɐ m
சோபானம்	s oː b aː n ɐ m
சோம்பு	s oː m b ɯ
சோறு	s oː r ɯ
சோலை	s oː l a ɪ̯
சோளப்பொரி	s oː ɭ ɐ pː o ɾ i
சோளம்	s oː ɭ ɐ m
சோழர்	s oː ɻ ɐ ɾ
சோவி	s oː ʋ i
சௌக்கியமா	s a ʊ̯ kː i j ɐ m aː
சௌசௌ	s a ʊ̯ s a ʊ̯
சௌத்து	s a ʊ̯ t̪ː ɯ
சௌந்தரியம்	s a ʊ̯ n̪ d̪ ɐ ɾ i j ɐ m
ஜந்து	d͡ʑ ɐ n̪ d̪ ɯ
ஜமாத்து	d͡ʑ ɐ m aː t̪ː ɯ
ஜலுப்பு	d͡ʑ ɐ l u pː ɯ
ஜவ்வரிசி	d͡ʑ ɐ ʋː ɐ ɾ i s i
ஜாநு	d͡ʑ aː n̪ ɯ
ஜிகுஜிகு	d͡ʑ i ɡ u d͡ʑ i ɡ ɯ
ஜீவசரிதை	d͡ʑ iː ʋ ɐ s ɐ ɾ i d̪ a ɪ̯
ஜீவவிருட்சம்	d͡ʑ iː ʋ ɐ ʋ i ɾ u ʈ s ɐ m
ஜெருசலேம்	d͡ʑ e ɾ u s ɐ l eː m
ஜொள்ளு	d͡ʑ o ɭː ɯ
ஞாயிறு	ɲ aː j i r ɯ
ஞாயிற்றுக்கிழமை	ɲ aː j i t r u kː i ɻ ɐ m a ɪ̯
ஞிமிறு	ɲ i m i r ɯ
டிசம்பர்	ɖ i s ɐ m b ɐ ɾ
டைனோசர்	ɖ a ɪ̯ n oː s ɐ ɾ
டைமண்டு	ʈ a ɪ̯ m ɐ ɳ ɖ ɯ
தக்கணநாடு	t̪ ɐ kː ɐ ɳ ɐ n̪ aː ɖ ɯ
தங்கு	t̪ ɐ ŋ ɡ ɯ
தசை	t̪ ɐ s a ɪ̯
தடவு	t̪ ɐ ɖ ɐ ʋ ɯ
தடு	t̪ ɐ ɖ ɯ
தடுப்பு	t̪ ɐ ɖ u pː ɯ
தடுப்பூசி	t̪ ɐ ɖ u pː uː s i
தடுப்பூசிகள்	t̪ ɐ ɖ u pː uː s i ɡ ɐ ɭ
தடுமாற்றம்	t̪ ɐ ɖ u m aː t r ɐ m
தட்டு	t̪ ɐ ʈː ɯ
தனுசு	t̪ ɐ n u s ɯ
தன்னுணர்வு	t̪ ɐ nː u ɳ ɐ ɾ ʋ ɯ
தன்பாலீர்ப்பு	t̪ ɐ n b aː l iː ɾ pː ɯ
தப்பு	t̪ ɐ pː ɯ
தமிழிலிருந்து	t̪ ɐ m i ɻ i l i ɾ u n̪ d̪ ɯ
தமிழுக்கு	t̪ ɐ m i ɻ u kː ɯ
தமிழோடு	t̪ ɐ m i ɻ oː ɖ ɯ
தமிழ்செல்வன்	t̪ ɐ m i ɻ s e l ʋ ɐ n
தமிழ்செல்வி	t̪ ɐ m i ɻ s e l ʋ i
தமிழ்நாடு	t̪ ɐ m i ɻ n̪ aː ɖ ɯ
தயவு	t̪ ɐ j ɐ ʋ ɯ
தரப்பு	t̪ ɐ ɾ ɐ pː ɯ
தரவு	t̪ ɐ ɾ ɐ ʋ ɯ
தராசு	t̪ ɐ ɾ aː s ɯ
தரிசனம்	t̪ ɐ ɾ i s ɐ n ɐ m
தரிசனை	t̪ ɐ ɾ i s ɐ n a ɪ̯
தரிப்பு	t̪ ɐ ɾ i pː ɯ
தரியாபத்து	t̪ ɐ ɾ i j aː b ɐ t̪ː ɯ
தருக்கு	t̪ ɐ ɾ u kː ɯ
தருமராசா	t̪ ɐ ɾ u m ɐ ɾ aː s aː
தரோபஸ்து	t̪ ɐ ɾ oː b ɐ s t̪ ɯ
தர்பூசணி	d̪ ɐ ɾ b uː s ɐ ɳ i
தர்ப்பீத்து	t̪ ɐ ɾ pː iː t̪ː ɯ
தற்சனி	t̪ ɐ r s ɐ n i
தற்பால்சேர்க்கை	t̪ ɐ r p aː l s eː ɾ kː a ɪ̯
தலைமாடு	t̪ ɐ l a ɪ̯ m aː ɖ ɯ
தலைமாறு	t̪ ɐ l a ɪ̯ m aː r ɯ
தளப்பு	t̪ ɐ ɭ ɐ pː ɯ
தளம்பு	t̪ ɐ ɭ ɐ m b ɯ
தளர்வு	t̪ ɐ ɭ ɐ ɾ ʋ ɯ
தள்ளு	t̪ ɐ ɭː ɯ
தழும்பு	t̪ ɐ ɻ u m b ɯ
தவறு	t̪ ɐ ʋ ɐ r ɯ
தாங்கு	t̪ aː ŋ ɡ ɯ
தாண்டு	t̪ aː ɳ ɖ ɯ
தாய்லாந்து	t̪ aː j l aː n̪ d̪ ɯ
தாலாட்டு	t̪ aː l aː ʈː ɯ
தாளிசம்	t̪ aː ɭ i s ɐ m
தாவீது	t̪ aː ʋ iː d̪ ɯ
தாவு	t̪ aː ʋ ɯ
திக்கு	d̪ i kː ɯ
திக்கு	t̪ i kː ɯ
திசெம்பர்	d̪ i s ɐ m b ɐ ɾ
திசை	d̪ i s a ɪ̯
திசை	t̪ i s a ɪ̯
திசைமானி	d̪ i s a ɪ̯ m aː n i
திசைவி	t̪ i s a ɪ̯ ʋ i
திட்டு	t̪ i ʈː ɯ
திண்டாடு	t̪ i ɳ ɖ aː ɖ ɯ
தின்னு	t̪ i nː ɯ
திராட்சை	d̪ i ɾ aː ʈ s a ɪ̯
திரு	t̪ i ɾ ɯ
திருகு	t i ɾ ʉ ɣ ʉ
திருடு	t̪ i ɾ u ɖ ɯ
திருட்டு	t̪ i ɾ u ʈː ɯ
திருத்து	t̪ i ɾ u t̪ː ɯ
திருநீற்றுப்பச்சை	t̪ i ɾ u n̪ iː t r u pː ɐ t͡ɕː a ɪ̯
திருந்து	t̪ i ɾ u n̪ d̪ ɯ
திருப்பு	t̪ i ɾ u pː ɯ
திருமுழுக்கு	t̪ i ɾ u m u ɻ u kː ɯ
திரும்பு	t̪ i ɾ u m b ɯ
திருவருட்சாதனம்	t̪ i ɾ u ʋ ɐ ɾ u ʈ s aː d̪ ɐ n ɐ m
திருவாத்தி	t̪ i ɾ ʉ ʋ aː t̪ː ɨ
திருவிருந்து	t̪ i ɾ u ʋ i ɾ u n̪ d̪ ɯ
திறன்பேசி	t̪ i r ɐ n b eː s i
தீர்க்கதரிசனங்கள்	t̪ iː ɾ kː ɐ d̪ ɐ ɾ i s ɐ n ɐ ŋ ɡ ɐ ɭ
தீர்க்கதரிசனம்	t̪ iː ɾ kː ɐ d̪ ɐ ɾ i s ɐ n ɐ m
தீர்க்கதரிசி	t̪ iː ɾ kː ɐ d̪ ɐ ɾ i s i
தீர்ப்பு	t̪ iː ɾ pː ɯ
தீவிரகாசரோகம்	t̪ iː ʋ i ɾ ɐ ɡ aː s ɐ ɾ oː ɡ ɐ m
தீவு	t̪ iː ʋ ɯ
துடுபு	t̪ u ɖ u b ɯ
துணிவு	t̪ u ɳ i ʋ ɯ
துண்டு	t̪ u ɳ ɖ ɯ
துன்புறுத்து	t̪ u n b u r u t̪ː ɯ
துப்பு	t̪ u pː ɯ
தும்மு	t̪ u mː ɯ
துர்நாற்றம்	t̪ u ɾ n̪ aː t r ɐ m
துறப்பு	t̪ u r ɐ pː ɯ
துளசி	t̪ u ɭ ɐ s i
துவக்கு	t̪ u ʋ ɐ kː ɯ
துவக்கூசி	t̪ u ʋ ɐ kː uː s i
தூக்கு	t̪ uː kː ɯ
தூங்கு	t̪ uː ŋ ɡ ɯ
தூசரம்	t̪ uː s ɐ ɾ ɐ m
தூசி	d̪ uː s i
தூசி	t̪ uː s i
தூர்வாரு	t̪ uː ɾ ʋ aː ɾ ɯ
தெனாவட்டு	t̪ e n aː ʋ ɐ ʈː ɯ
தென்காசி	t̪ e n ɡ aː s i
தென்கிழக்காசியா	t̪ e n ɡ i ɻ ɐ kː aː s i j aː
தென்னாடு	t̪ e nː aː ɖ ɯ
தென்மேற்கு	t̪ e n m eː r k ɯ
தெரிபடு	t̪ e ɾ i b ɐ ɖ ɯ
தெரிப்பு	t̪ e ɾ i pː ɯ
தெரிவு	t̪ e ɾ i ʋ ɯ
தெரு	t̪ e ɾ ɯ
தெற்கு	t̪ e r k ɯ
தெலுங்கு	t̪ e l u ŋ ɡ ɯ
தெளிவு	t̪ e ɭ i ʋ ɯ
தெள்ளு	t̪ e ɭː ɯ
தேக்கு	t̪ eː kː ɯ
தேசகன்	t̪ eː s ɐ ɡ ɐ n
தேசபாஷை	d̪ eː s ɐ b aː ʂ a ɪ̯
தேசம்	d̪ eː s ɐ m
தேசாசாரம்	t̪ eː s aː s aː ɾ ɐ m
தேசாதிபதி	t̪ eː s aː d̪ i b ɐ d̪ i
தேசிய	t̪ eː s i j ɐ
தேசீயவியக்கம்	t̪ eː s iː j ɐ ʋ i j ɐ kː ɐ m
தேடு	t̪ eː ɖ ɯ
தேனிலவு	t̪ eː n i l ɐ ʋ ɯ
தேன்கூடு	t̪ eː n ɡ uː ɖ ɯ
தேய்வாங்கு	t̪ eː j ʋ aː ŋ ɡ ɯ
தேர்வு	t̪ eː ɾ ʋ ɯ
தேற்றம்	t̪ eː t r ɐ m
தேவவசீகரம்	t̪ eː ʋ ɐ ʋ ɐ s iː ɡ ɐ ɾ ɐ m
தேவாங்கு	d̪ eː ʋ aː ŋ ɡ ɯ
தேவாங்கு	t̪ eː ʋ aː ŋ ɡ ɯ
தொகு	t̪ o ɡ ɯ
தொகுப்பு	t̪ o ɡ u pː ɯ
தொங்கு	t̪ o ŋ ɡ ɯ
தொடங்கு	t̪ o ɖ ɐ ŋ ɡ ɯ
தொடருந்து	t̪ o ɖ ɐ ɾ u n̪ d̪ ɯ
தொடர்ந்தேற்றி	t̪ o ɖ ɐ ɾ n̪ d̪ eː t r i
தொடர்பு	t̪ o ɖ ɐ ɾ b ɯ
தொடு	t̪ o ɖ ɯ
தொடுத்து	t̪ o ɖ u t̪ː ɯ
தொடுப்பு	t̪ o ɖ u pː ɯ
தொட்டு	t̪ o ʈː ɯ
தொட்டுத்தொட்டு	t̪ o ʈː u t̪ː o ʈː ɯ
தொண்டு	t̪ o ɳ ɖ ɯ
தொண்ணூறு	t̪ o ɳː uː r ɯ
தொன்று	t̪ o n d r ɯ
தொறுவு	t̪ o r u ʋ ɯ
தொற்று	t̪ o t r ɯ
தொற்றுநோய்	t̪ o t r u n̪ oː j
தொலைக்காட்சி	t̪ o l a ɪ̯ kː aː ʈ s i
தொலைபேசி	t̪ o l a ɪ̯ b eː s i
தொழிற்சாலை	t̪ o ɻ i r s aː l a ɪ̯
தொழு	t̪ o ɻ ɯ
தொழும்பு	t̪ o ɻ u m b ɯ
தொழுவு	t̪ o ɻ u ʋ ɯ
தோசம்	t̪ oː s ɐ m
தோசிக்கொக்கு	t̪ oː s i kː o kː ɯ
தோசை	d̪ oː s a ɪ̯
தோணிதள்ளு	t̪ oː ɳ i d̪ ɐ ɭː ɯ
தோண்டு	t̪ oː ɳ ɖ ɯ
தோன்று	t̪ oː n d r ɯ
தோற்றம்	t̪ oː t r ɐ m
நகர்த்து	n̪ ɐ ɡ ɐ ɾ t̪ː ɯ
நக்கு	n̪ ɐ kː ɯ
நசுக்கு	n̪ ɐ s u kː ɯ
நஞ்சு	n̪ ɐ ɲ d͡ʑ ɯ
நடத்து	n̪ ɐ ɖ ɐ t̪ː ɯ
நடப்பிப்பு	n̪ ɐ ɖ ɐ pː i pː ɯ
நடமாடு	n̪ ɐ ɖ ɐ m aː ɖ ɯ
நடவு	n̪ ɐ ɖ ɐ ʋ ɯ
நடு	n̪ ɐ ɖ ɯ
நடுங்கு	n̪ ɐ ɖ u ŋ ɡ ɯ
நடுவு	n̪ ɐ ɖ u ʋ ɯ
நடைகிணறு	n̪ ɐ ɖ a ɪ̯ ɡ i ɳ ɐ r ɯ
நட்சத்திரமண்டலம்	n̪ ɐ ʈ s ɐ t̪ː i ɾ ɐ m ɐ ɳ ɖ ɐ l ɐ m
நட்சத்திரம்	n̪ ɐ ʈ s ɐ t̪ː i ɾ ɐ m
நட்பு	n̪ ɐ ʈ p ɯ
நண்டு	n̪ ɐ ɳ ɖ ɯ
நனிசைவம்	n̪ ɐ n i s a ɪ̯ ʋ ɐ m
நன்கு	n̪ ɐ n ɡ ɯ
நன்பு	n̪ ɐ n b ɯ
நன்றாக	n̪ ɐ n d r aː ɡ ɐ
நன்றி	n̪ ɐ n d r i
நம்பு	n̪ ɐ m b ɯ
நரம்பு	n̪ ɐ ɾ ɐ m b ɯ
நறுக்கு	n̪ ɐ r u kː ɯ
நற்செய்தி	n̪ ɐ r s e j d̪ i
நற்றிணை	n̪ ɐ t r i ɳ a ɪ̯
நல்கு	n̪ ɐ l ɡ ɯ
நல்லது	n̪ ɐ l l ɐ d̪ ɯ
நல்வாக்கு	n̪ ɐ l ʋ aː kː ɯ
நள்ளிரவு	n̪ ɐ ɭː i ɾ ɐ ʋ ɯ
நாகசுரம்	n̪ aː ɡ ɐ s u ɾ ɐ m
நாகாலாந்து	n̪ aː ɡ aː l aː n̪ d̪ ɯ
நாக்கு	n̪ aː kː ɯ
நாசம்	n̪ aː s ɐ m
நாசி	n̪ aː s i
நாடாளுமன்றம்	n̪ aː ɖ aː ɭ u m ɐ n d r ɐ m
நாடு	n̪ aː ɖ ɯ
நாட்டுமஞ்சட்சீனக்கிழங்கு	n̪ aː ʈː u m ɐ ɲ d͡ʑ ɐ ʈ s iː n ɐ kː i ɻ ɐ ŋ ɡ ɯ
நாதசுவரம்	n̪ aː d̪ ɐ s u ʋ ɐ ɾ ɐ m
நானூறு	n̪ aː n uː r ɯ
நான்கு	n̪ aː n ɡ ɯ
நாறு	n̪ aː r ɯ
நாற்பது	n̪ aː r p ɐ d̪ ɯ
நாற்றம்	n̪ aː t r ɐ m
நாற்று	n̪ aː t r ɯ
நாற்றுநடவு	n̪ aː t r u n̪ ɐ ɖ ɐ ʋ ɯ
நாற்றுப்பாத்தி	n̪ aː t r u pː aː t̪ː i
நாலு	n̪ aː l ɯ
நால்	n̪ ɑː l ɯ
நால்கு	n̪ aː l ɡ ɯ
நால்கு	n̪ ɑː l ɣ ɯ
நாளுக்கு	n̪ aː ɭ u kː ɯ
நாவல்	n̪ aː ʋ ə l
நாவு	n̪ aː ʋ ɯ
நிகண்டு	n̪ i ɡ ɐ ɳ ɖ ɯ
நிகர்ப்பு	n̪ i ɡ ɐ ɾ pː ɯ
நிகழ்த்து	n̪ i ɡ ɐ ɻ t̪ː ɯ
நிகழ்வு	n̪ i ɡ ɐ ɻ ʋ ɯ
நிசப்தம்	n̪ i s ɐ p t̪ ɐ m
நிசம்	n̪ i s ɐ m
நினைப்பு	n̪ i n a ɪ̯ pː ɯ
நினைவு	n̪ i n a ɪ̯ ʋ ɯ
நின்று	n̪ i n d r ɯ
நியாசம்	n̪ i j aː s ɐ m
நிரப்பு	n̪ i ɾ ɐ pː ɯ
நிரம்பு	n̪ i ɾ ɐ m b ɯ
நிறுவு	n̪ i r u ʋ ɯ
நிறைவு	n̪ i r a ɪ̯ ʋ ɯ
நிலங்கு	n̪ i l ɐ ŋ ɡ ɯ
நிலநடுக்கோடு	n̪ i l ɐ n̪ ɐ ɖ u kː oː ɖ ɯ
நிலவு	n̪ i l ɐ ʋ ɯ
நிலவேம்பு	n̪ i l ɐ ʋ eː m b ɯ
நிலைப்பு	n̪ i l a ɪ̯ pː ɯ
நிவசதி	n̪ i ʋ ɐ s ɐ d̪ i
நிவப்பு	n̪ i ʋ ɐ pː ɯ
நிவாசம்	n̪ i ʋ aː s ɐ m
நீக்கு	n̪ iː kː ɯ
நீங்கு	n̪ iː ŋ ɡ ɯ
நீடு	n̪ iː ɖ ɯ
நீட்டு	n̪ iː ʈː ɯ
நீதிமன்றம்	n̪ iː d̪ i m ɐ n d r ɐ m
நீத்து	n̪ iː t̪ː ɯ
நீந்து	n̪ iː n̪ d̪ ɯ
நீனு	n̪ iː n ɯ
நீராடு	n̪ iː ɾ aː ɖ ɯ
நீர்ப்புன்கு	n̪ iː ɾ pː u n ɡ ɯ
நீர்மருது	n̪ iː ɾ m ɐ ɾ u d̪ ɯ
நீலிரும்பு	n̪ iː l i ɾ u m b ɯ
நீளிப்பு	n̪ iː ɭ i pː ɯ
நுகைவு	n̪ u ɡ a ɪ̯ ʋ ɯ
நுங்கு	n̪ u ŋ ɡ ɯ
நுழைவாசல்	n̪ u ɻ a ɪ̯ ʋ aː s ɐ l
நுழைவு	n̪ u ɻ a ɪ̯ ʋ ɯ
நூதனசாலை	n̪ uː d̪ ɐ n ɐ s aː l a ɪ̯
நூறாயிசு	n̪ uː r aː j i s ɯ
நூறு	n̪ uː r ɯ
நூலறிவு	n̪ uː l ɐ r i ʋ ɯ
நெசவாளர்	n̪ e s ɐ ʋ aː ɭ ɐ ɾ
நெசவு	n̪ e s ɐ ʋ ɯ
நெஞ்சு	n̪ e ɲ d͡ʑ ɯ
நெய்ப்பு	n̪ e j pː ɯ
நெருஞ்சி	n̪ e ɾ ʉ ɲ d͡ʒ ɨ
நெருப்பு	n̪ e ɾ u pː ɯ
நெற்றி	n̪ e t r i
நேசி	n̪ eː s i
நேத்து	n̪ eː t̪ː ɯ
நேர்பாடு	n̪ eː ɾ b aː ɖ ɯ
நேர்முகத்தேர்வு	n̪ eː ɾ m u ɡ ɐ t̪ː eː ɾ ʋ ɯ
நேர்வு	n̪ eː ɾ ʋ ɯ
நேற்று	n̪ eː t r ɯ
நேற்று	n̪ eː ʈː ɯ
நேற்றுமுந்தாநாள்	n̪ eː t r u m u n̪ d̪ aː n̪ aː ɭ
நேற்றையதினம்	n̪ eː t r a ɪ̯ j ɐ d̪ i n ɐ m
நொடிப்பு	n̪ o ɖ i pː ɯ
நொறுக்கு	n̪ o r u kː ɯ
நொறுங்கு	n̪ o r u ŋ ɡ ɯ
நோக்காடு	n̪ oː kː aː ɖ ɯ
நோக்கு	n̪ oː kː ɯ
நோண்டு	n̪ oː ɳ ɖ ɯ
நோன்பு	n̪ oː n b ɯ
பகர்த்து	p ɐ ɡ ɐ ɾ t̪ː ɯ
பகு	p ɐ ɡ ɯ
பகுத்தறிவு	p ɐ ɡ u t̪ː ɐ r i ʋ ɯ
பகுப்பாய்வு	p ɐ ɡ u pː aː j ʋ ɯ
பக்குவாசயம்	p ɐ kː u ʋ aː s ɐ j ɐ m
பங்களிப்பு	p ɐ ŋ ɡ ɐ ɭ i pː ɯ
பசலிப்பழம்	p ɐ s ɐ l i pː ɐ ɻ ɐ m
பசளி	p ɐ s ɐ ɭ i
பசி	p ɐ s i
பசியம்	p ɐ s i j ɐ m
பசியாறை	p ɐ s i j aː r a ɪ̯
பசு	p ɐ s ɯ
பசுங்கோலா	p ɐ s u ŋ ɡ oː l aː
பசுப்பு	p ɐ s u pː ɯ
பசுமுன்னை	p ɐ s u m u nː a ɪ̯
பசுமை	p ɐ s u m a ɪ̯
பசை	p ɐ s a ɪ̯
பஞ்சாயத்து	p ɐ ɲ d͡ʑ aː j ɐ t̪ː ɯ
பஞ்சு	p ɐ ɲ d͡ʑ ɯ
படகு	p ɐ ɖ ɐ ɡ ɯ
படப்பு	p ɐ ɖ ɐ pː ɯ
படிப்பறிவு	p ɐ ɖ i pː ɐ r i ʋ ɯ
படிப்பு	p ɐ ɖ i pː ɯ
படு	p ɐ ɖ ɯ
படுத்து	p ɐ ɖ u t̪ː ɯ
படைப்பு	p ɐ ɖ a ɪ̯ pː ɯ
பட்சி	p ɐ ʈ s i
பட்டு	p ɐ ʈː ɯ
பணிமுட்டு	p ɐ ɳ i m u ʈː ɯ
பணிவு	p ɐ ɳ i ʋ ɯ
பண்ணு	p ɐ ɳː ɯ
பண்பாடு	p ɐ ɳ b aː ɖ ɯ
பண்பு	p ɐ ɳ b ɯ
பதப்படுத்து	p ɐ d̪ ɐ pː ɐ ɖ u t̪ː ɯ
பதற்றம்	p ɐ d̪ ɐ t r ɐ m
பதினான்கு	p ɐ d̪ i n aː n ɡ ɯ
பதினாறு	p ɐ d̪ i n aː r ɯ
பதினெட்டு	p ɐ d̪ i n e ʈː ɯ
பதினேழு	p ɐ d̪ i n eː ɻ ɯ
பதினைந்து	p ɐ d̪ i n a ɪ̯ n̪ d̪ ɯ
பதினொன்று	p ɐ d̪ i n o n d r ɯ
பதிப்பு	p ɐ d̪ i pː ɯ
பதிமூன்று	p ɐ d̪ i m uː n d r ɯ
பதிவு	p ɐ d̪ i ʋ ɯ
பதிவேற்றம்	p ɐ d̪ i ʋ eː t r ɐ m
பத்து	p ɐ t̪ː ɯ
பத்துப்பாட்டு	p ɐ t̪ː u pː aː ʈː ɯ
பத்தொன்பது	p ɐ t̪ː o n b ɐ d̪ ɯ
பந்து	p ɐ n̪ d̪ ɯ
பனாயிப்பு	p ɐ n aː j i pː ɯ
பனிக்காற்று	p ɐ n i kː aː t r ɯ
பன்னாட்டு	p ɐ nː aː ʈː ɯ
பன்னிரண்டு	p ɐ nː i ɾ ɐ ɳ ɖ ɯ
பன்றி	p ɐ n d r i
பன்றிக்குட்டி	p ɐ n d r i kː u ʈː i
பயன்படு	p ɐ j ɐ n b ɐ ɖ ɯ
பயன்பாடு	p ɐ j ɐ n b aː ɖ ɯ
பயப்படு	b ɐ j ɐ pː ɐ ɖ ɯ
பயமுறுத்து	b ɐ j ɐ m u r u t̪ː ɯ
பயிரடைப்பு	p ɐ j i ɾ ɐ ɖ a ɪ̯ pː ɯ
பயிரிடு	p ɐ j i ɾ i ɖ ɯ
பயிருழவு	p ɐ j i ɾ u ɻ ɐ ʋ ɯ
பயிர்ச்செலவு	p ɐ j i ɾ t͡ɕː e l ɐ ʋ ɯ
பயிற்சி	p ɐ j i r s i
பயிற்சியாளர்	p ɐ j i r s i j aː ɭ ɐ ɾ
பரப்பு	p ɐ ɾ ɐ pː ɯ
பரவசம்	p ɐ ɾ ɐ ʋ ɐ s ɐ m
பரவு	p ɐ ɾ ɐ ʋ ɯ
பராசக்தி	p ɐ ɾ aː s ɐ k t̪ i
பராமரிப்பு	p ɐ ɾ aː m ɐ ɾ i pː ɯ
பரிசில்	p ɐ ɾ i s i l
பரிசீலனை	p ɐ ɾ i s iː l ɐ n a ɪ̯
பரிசு	p ɐ ɾ i s ɯ
பரிசுத்த	p ɐ ɾ i s u t̪ː ɐ
பரிசுத்தம்	p ɐ ɾ i s u t̪ː ɐ m
பரிசுத்தாவி	p ɐ ɾ i s u t̪ː aː ʋ i
பரிசோதனை	p ɐ ɾ i s oː d̪ ɐ n a ɪ̯
பரிட்சை	p ɐ ɾ i ʈ s a ɪ̯
பரிமாற்றம்	p ɐ ɾ i m aː t r ɐ m
பரிவு	p ɐ ɾ i ʋ ɯ
பரீட்சை	p ɐ ɾ iː ʈ s a ɪ̯
பருந்து	p ɐ ɾ u n̪ d̪ ɯ
பருப்பு	p ɐ ɾ u pː ɯ
பருவக்காற்று	p ɐ ɾ u ʋ ɐ kː aː t r ɯ
