అ	ɐ
గోరుచుట్టు	ɡ oː ɾ ʊ t͡ɕ ʊ ʈː ʊ
గోరువెచ్చని	ɡ oː ɾ ʊ ʋ ɛ t͡ɕː ɐ n̪ ɪ
గోల	ɡ oː l a
గౌను	ɡ ɐ ʊ̯ n̪ ʊ
గ్రద్ద	ɡ r̪ a d̪ː a
గ్రాహం	ɡ ɾ aː h ɐ m̃
గ్రీష్మము	ɡ ɾ iː ʂ m ɐ m ʊ
గ్రుడ్డు	ɡ r u ɖː u
ఘంటాపథము	ɡʱ ɐ ɳ ʈ aː p ɐ t̪ʰ ɐ m ʊ
ఘ్రాణించు	ɡʱ ɾ aː ɳ ɪ ɲ t͡ɕ ʊ
ఙ	ŋ a
చ	t͡ʃ a
చందమామ	t͡ɕ ɐ n̪ d̪ ɐ m aː m ɐ
చంద్రబిందు	t͡ɕ ɐ n̪ d̪ ɾ ɐ b ɪ n̪ d̪ ʊ
చంద్రశాల	t͡ɕ ɐ n̪ d̪ ɾ ɐ ɕ aː l ɐ
చంద్రుడు	t͡ɕ ɐ n̪ d̪ ɾ ʊ ɖ ʊ
చంపాడు	t͡ɕ ɐ m p aː ɖ ʊ
చంపాను	t͡ɕ ɐ m p aː n̪ ʊ
చంపాము	t͡ɕ ɐ m p aː m ʊ
చంపారు	t͡ɕ ɐ m p aː ɾ ʊ
చంపావు	t͡ɕ ɐ m p aː ʋ ʊ
చంపించు	t͡ɕ ɐ m p ɪ ɲ t͡ɕ ʊ
చంపింది	t͡ɕ ɐ m p ɪ n̪ d̪ ɪ
చంపు	t͡ɕ ɐ m p ʊ
చక్కదనము	t͡ɕ ɐ kː ɐ d̪ ɐ n̪ ɐ m ʊ
చక్కన	t͡ɕ ɐ kː ɐ n̪ ɐ
చక్కని	t͡ɕ ɐ kː ɐ n̪ ɪ
చక్కెర	t͡ɕ ɐ kː ɛ ɾ ɐ
చక్రపాణి	t͡ʃ a k r a p aː ɳ i
చక్రము	t͡ɕ ɐ k ɾ ɐ m ʊ
చచ్చు	t͡ɕ ɐ t͡ɕː ʊ
చట్టం	t͡ɕ ɐ ʈː ɐ m̃
చట్టము	t͡ɕ ɐ ʈː ɐ m ʊ
చట్టములు	t͡ɕ ɐ ʈː ɐ m ʊ l ʊ
చట్టి	t͡ɕ ɐ ʈː ɪ
చట్టు	t͡ɕ ɐ ʈː ʊ
చదరంగము	t ʃ ə d ə r ə ŋ ɡ ə m u
చదును	t͡ɕ ɐ d̪ ʊ n̪ ʊ
చదునైన	t͡ɕ ɐ d̪ ʊ n̪ ɐ ɪ̯ n̪ ɐ
చదువు	t͡ɕ ɐ d̪ ʊ ʋ ʊ
చద్ది	t͡ɕ ɐ d̪ː ɪ
చనుదోయి	t͡ɕ ɐ n̪ ʊ d̪ oː j ɪ
చనుముక్కు	t͡ɕ ɐ n̪ ʊ m ʊ kː ʊ
చన్ను	t͡ɕ ɐ n̪ n̪ ʊ
చపలము	t͡ɕ ɐ p ɐ l ɐ m ʊ
చప్పుడు	t͡ɕ ɐ pː ʊ ɖ ʊ
చర్చి	t͡ɕ ɐ ɾ t͡ɕ ɪ
చలనం	t͡ɕ ɐ l ɐ n̪ ɐ m̃
చలనము	t͡ɕ ɐ l ɐ n̪ ɐ m ʊ
చలి	t͡ɕ ɐ l ɪ
చలిది	t͡ɕ ɐ l ɪ d̪ ɪ
చల్ది	t͡ɕ ɐ l d̪ ɪ
చవక	t͡ɕ ɐ ʋ ɐ k ɐ
చవకచేయు	t͡ɕ ɐ ʋ ɐ k ɐ t͡ɕ eː j ʊ
చవిగొను	t͡ɕ ɐ ʋ ɪ ɡ ɔ n̪ ʊ
చవిచూచు	t͡ɕ ɐ ʋ ɪ t͡ɕ uː t͡ɕ ʊ
చవుక	t͡ɕ ɐ ʋ ʊ k ɐ
చవుకచేయు	t͡ɕ ɐ ʋ ʊ k ɐ t͡ɕ eː j ʊ
చాకిరీ	t ʃ aː k i r iː
చాటింపు	t͡ɕ aː ʈ ɪ m p ʊ
చాటు	t͡ɕ aː ʈ ʊ
చాప	t͡ɕ aː p ɐ
చాపము	t͡ɕ aː p ɐ m ʊ
చాపలు	t͡ɕ aː p ɐ l ʊ
చారుడు	t͡ʃ aː r u ɖ u
చాల	t͡ɕ aː l ɐ
చాలనం	t͡ɕ aː l ɐ n̪ ɐ m̃
చాలనము	t͡ɕ aː l ɐ n̪ ɐ m ʊ
చాలా	t͡ɕ aː l aː
చాలు	t͡ɕ aː l ʊ
చావు	t͡ɕ aː ʋ ʊ
చింతపిక్క	p i kː a
చిక్కదనము	t͡ɕ ɪ kː ɐ d̪ ɐ n̪ ɐ m ʊ
చిక్కు	t͡ɕ ɪ kː ʊ
చిక్కుడు	t͡ɕ ɪ kː ʊ ɖ ʊ
చిక్కుడుకాయ	t͡ɕ ɪ kː ʊ ɖ ʊ k aː j ɐ
చిచ్చు	t͡ɕ ɪ t͡ɕː ʊ
చిచ్చుపెట్టు	t͡ɕ ɪ t͡ɕː ʊ p ɛ ʈː ʊ
చిచ్చుబుడ్డి	t͡ɕ ɪ t͡ɕː ʊ b ʊ ɖː ɪ
చిట్టా	t͡ɕ ɪ ʈː aː
చిట్టి	t͡ɕ ɪ ʈː ɪ
చిట్టు	t͡ʃ i ʈː u
చిత్త	t͡ʃ i tː a
చిత్తు	t͡ʃ i tː u
చిత్తూరు	t͡ɕ ɪ t̪ː uː ɾ ʊ
చిత్రకళ	t͡ɕ ɪ t̪ ɾ ɐ k ɐ ɭ ɐ
చిత్రము	t͡ɕ ɪ t̪ ɾ ɐ m ʊ
చిత్రించు	t͡ɕ ɪ t̪ ɾ ɪ ɲ t͡ɕ ʊ
చినుకు	t͡ɕ ɪ n̪ ʊ k ʊ
చిన్న	t͡ɕ ɪ n̪ n̪ ɐ
చిన్నకథ	t͡ɕ ɪ n̪ n̪ ɐ k ɐ t̪ʰ ɐ
చిన్నకథలు	t͡ɕ ɪ n̪ n̪ ɐ k ɐ t̪ʰ ɐ l ʊ
చిన్నమెదడు	t͡ɕ ɪ n̪ n̪ ɐ m ɛ d̪ ɐ ɖ ʊ
చిప్ప	t͡ɕ ɪ pː ɐ
చిప్పలు	t͡ɕ ɪ pː ɐ l ʊ
చిరి	t͡ɕ ɪ ɾ ɪ
చిరిచెమట	t͡ɕ ɪ ɾ ɪ t͡ɕ ɛ m ɐ ʈ ɐ
చిరినవ్వు	t͡ɕ ɪ ɾ ɪ n̪ ɐ ʋː ʊ
చిరు	t͡ɕ ɪ ɾ ʊ
చిరుగాలి	t͡ɕ ɪ ɾ ʊ ɡ aː l ɪ
చిరుచెమట	t͡ɕ ɪ ɾ ʊ t͡ɕ ɛ m ɐ ʈ ɐ
చిరునవ్వు	t͡ɕ ɪ ɾ ʊ n̪ ɐ ʋː ʊ
చిరునామా	t͡ɕ ɪ ɾ ʊ n̪ aː m aː
చిఱి	t͡ɕ ɪ r ɪ
చిఱినవ్వు	t͡ɕ ɪ r ɪ n̪ ɐ ʋː ʊ
చిఱు	t͡ɕ ɪ r ʊ
చిఱుగాలి	t͡ɕ ɪ r ʊ ɡ aː l ɪ
చిఱుచెమట	t͡ɕ ɪ r ʊ t͡ɕ ɛ m ɐ ʈ ɐ
చిఱునవ్వు	t͡ɕ ɪ r ʊ n̪ ɐ ʋː ʊ
చిఱునామా	t͡ɕ ɪ r ʊ n̪ aː m aː
చిలక	t͡ɕ ɪ l ɐ k ɐ
చిలకపచ్చ	t͡ɕ ɪ l ɐ k ɐ p ɐ t͡ɕː ɐ
చిలీ	t͡ɕ ɪ l iː
చిలుకు	t͡ɕ ɪ l ʊ k ʊ
చిలుకుట	t͡ɕ ɪ l ʊ k ʊ ʈ ɐ
చిలుకుడు	t͡ɕ ɪ l ʊ k ʊ ɖ ʊ
చిల్లర	t͡ɕ ɪ lː ɐ ɾ ɐ
చివర	t͡ɕ ɪ ʋ ɐ ɾ ɐ
చిహ్నము	t͡ɕ ɪ h n̪ ɐ m ʊ
చీ	t͡ʃ iː
చీకటి	t͡ɕ iː k ɐ ʈ ɪ
చీపురు	t͡ɕ iː p ʊ ɾ ʊ
చీపురుకట్ట	t͡ɕ iː p ʊ ɾ ʊ k ɐ ʈː ɐ
చుక్క	t͡ɕ ʊ kː ɐ
చుట్ట	t͡ɕ ʊ ʈː ɐ
చుట్టం	t͡ɕ ʊ ʈː ɐ m̃
చుట్టతాగు	t͡ɕ ʊ ʈː ɐ t̪ aː ɡ ʊ
చుట్టత్రాగు	t͡ɕ ʊ ʈː ɐ t̪ ɾ aː ɡ ʊ
చుట్టత్రావు	t͡ɕ ʊ ʈː ɐ t̪ ɾ aː ʋ ʊ
చుట్టము	t͡ɕ ʊ ʈː ɐ m ʊ
చుట్టములు	t͡ɕ ʊ ʈː ɐ m ʊ l ʊ
చుట్టు	t͡ɕ ʊ ʈː ʊ
చుట్టుపట్టు	t͡ɕ ʊ ʈː ʊ p ɐ ʈː ʊ
చుట్టుపట్లు	t͡ɕ ʊ ʈː ʊ p ɐ ʈ l ʊ
చుట్టుముట్టు	t͡ɕ ʊ ʈː ʊ m ʊ ʈː ʊ
చుల్ల	t͡ɕ ʊ lː ɐ
చుల్లి	t͡ɕ ʊ lː ɪ
చూచు	t͡ɕ uː t͡ɕ ʊ
చూడ	t͡ɕ uː ɖ ɐ
చూడు	t͡ɕ uː ɖ ʊ
చూపరి	t͡ɕ uː p ɐ ɾ ɪ
చూపించాడు	t͡ɕ uː p ɪ ɲ t͡ɕ aː ɖ ʊ
చూపించాను	t͡ɕ uː p ɪ ɲ t͡ɕ aː n̪ ʊ
చూపించాము	t͡ɕ uː p ɪ ɲ t͡ɕ aː m ʊ
చూపించారు	t͡ɕ uː p ɪ ɲ t͡ɕ aː ɾ ʊ
చూపించావు	t͡ɕ uː p ɪ ɲ t͡ɕ aː ʋ ʊ
చూపించింది	t͡ɕ uː p ɪ ɲ t͡ɕ ɪ n̪ d̪ ɪ
చూపించు	t͡ɕ uː p ɪ ɲ t͡ɕ ʊ
చూపు	t͡ɕ uː p ʊ
చూపులు	t͡ɕ uː p ʊ l ʊ
చెంగు	t͡ʃ ẽ ŋ ɡ u
చెందు	t͡ɕ ɛ n̪ d̪ ʊ
చెంప	t͡ɕ ɛ m p ɐ
చెంపలు	t͡ɕ ɛ m p ɐ l ʊ
చెక్క	t͡ɕ ɛ kː ɐ
చెక్కు	t͡ʃ e kː u
చెట్టు	t͡ɕ ɛ ʈː ʊ
చెడు	t͡ɕ ɛ ɖ ʊ
చెడ్డ	t͡ɕ ɛ ɖː ɐ
చెత్త	t͡ɕ ɛ t̪ː ɐ
చెన్నై	t͡ɕ ɛ n̪ n̪ ɐ ɪ̯
చెప్పని	t͡ɕ ɛ pː ɐ n̪ ɪ
చెప్పాను	t͡ɕ ɛ pː aː n̪ ʊ
చెప్పించు	t͡ɕ ɛ pː ɪ ɲ t͡ɕ ʊ
చెప్పిన	t͡ɕ ɛ pː ɪ n̪ ɐ
చెప్పు	t͡ɕ ɛ pː ʊ
చెప్పులు	t͡ɕ ɛ pː ʊ l ʊ
చెయి	t͡ɕ ɛ j ɪ
చెయిదము	t͡ɕ ɛ j ɪ d̪ ɐ m ʊ
చెయిది	t͡ɕ ɛ j ɪ d̪ ɪ
చెయ్ది	t͡ɕ ɛ j d̪ ɪ
చెయ్యి	t͡ɕ ɛ jː ɪ
చెరువు	t͡ɕ ɛ ɾ ʊ ʋ ʊ
చెలి	t͡ɕ ɛ l ɪ
చెలికత్తె	t͡ɕ ɛ l ɪ k ɐ t̪ː ɛ
చెలికాడు	t͡ɕ ɛ l ɪ k aː ɖ ʊ
చెలిమి	t͡ɕ ɛ l ɪ m ɪ
చెలిమికత్తె	t͡ɕ ɛ l ɪ m ɪ k ɐ t̪ː ɛ
చెలిమికాడు	t͡ɕ ɛ l ɪ m ɪ k aː ɖ ʊ
చెలియ	t͡ɕ ɛ l ɪ j ɐ
చెల్లి	t͡ɕ ɛ lː ɪ
చెల్లించాడు	t͡ɕ ɛ lː ɪ ɲ t͡ɕ aː ɖ ʊ
చెల్లించాను	t͡ɕ ɛ lː ɪ ɲ t͡ɕ aː n̪ ʊ
చెల్లించాము	t͡ɕ ɛ lː ɪ ɲ t͡ɕ aː m ʊ
చెల్లించారు	t͡ɕ ɛ lː ɪ ɲ t͡ɕ aː ɾ ʊ
చెల్లించావు	t͡ɕ ɛ lː ɪ ɲ t͡ɕ aː ʋ ʊ
చెల్లించింది	t͡ɕ ɛ lː ɪ ɲ t͡ɕ ɪ n̪ d̪ ɪ
చెల్లించు	t͡ɕ ɛ lː ɪ ɲ t͡ɕ ʊ
చెల్లు	t͡ɕ ɛ lː ʊ
చెవిటి	t͡ɕ ɛ ʋ ɪ ʈ ɪ
చెవుడు	t͡ɕ ɛ ʋ ʊ ɖ ʊ
చెవులపిల్లి	t͡ɕ ɛ ʋ ʊ l ɐ p ɪ lː ɪ
చెవులపోతు	t͡ɕ ɛ ʋ ʊ l ɐ p oː t̪ ʊ
చే	t͡ɕ eː
చేకత్తి	t͡ɕ eː k ɐ t̪ː ɪ
చేకలుపు	t͡ɕ eː k ɐ l ʊ p ʊ
చేతి	t͡ɕ eː t̪ ɪ
చేతివెల	t͡ɕ eː t̪ ɪ ʋ ɛ l ɐ
చేదు	t͡ɕ eː d̪ ʊ
చేనేత	t͡ɕ eː n̪ eː t̪ ɐ
చేప	t͡ɕ eː p ɐ
చేపట్టు	t͡ɕ eː p ɐ ʈː ʊ
చేపలు	t͡ɕ eː p ɐ l ʊ
చేపు	t͡ɕ eː p ʊ
చేపెట్టె	t͡ɕ eː p ɛ ʈː ɛ
చేబ్రోలు	t͡ɕ eː b ɾ oː l ʊ
చేయి	t͡ɕ eː j ɪ
చేయికలుపు	t͡ɕ eː j ɪ k ɐ l ʊ p ʊ
చేయు	t͡ɕ eː j ʊ
చేష్ట	t͡ɕ eː ʂ ʈ ɐ
చొక్కా	t͡ɕ ɔ kː aː
చొక్కు	t͡ɕ ɔ kː ʊ
చొల్లు	t͡ɕ ɔ lː ʊ
చోటు	t͡ɕ oː ʈ ʊ
చోప్రా	t͡ɕ oː p ɾ aː
చౌక	t͡ɕ ɐ ʊ̯ k ɐ
చౌకచేయు	t͡ɕ ɐ ʊ̯ k ɐ t͡ɕ eː j ʊ
జ	d͡ʒ a
జంట	d͡ʑ ɐ ɳ ʈ ɐ
జగడమాడు	d͡ʑ ɐ ɡ ɐ ɖ ɐ m aː ɖ ʊ
జగడము	d͡ʑ ɐ ɡ ɐ ɖ ɐ m ʊ
జగన్నాథుఁడు	d͡ʑ ɐ ɡ ɐ n̪ n̪ aː t̪ʰ ʊ ɖ ʊ
జగన్నాథుడు	d͡ʑ ɐ ɡ ɐ n̪ n̪ aː t̪ʰ ʊ ɖ ʊ
జత	d͡ʑ ɐ t̪ ɐ
జతి	d͡ʑ ɐ t̪ ɪ
జననం	d͡ʑ ɐ n̪ ɐ n̪ ɐ m̃
జననము	d͡ʑ ɐ n̪ ɐ n̪ ɐ m ʊ
జననములు	d͡ʑ ɐ n̪ ɐ n̪ ɐ m ʊ l ʊ
జననాలు	d͡ʑ ɐ n̪ ɐ n̪ aː l ʊ
జనని	d͡ʑ ɐ n̪ ɐ n̪ ɪ
జనుము	d͡ʑ ɐ n̪ ʊ m ʊ
జన్మం	d͡ʑ ɐ n̪ m ɐ m̃
జన్మము	d͡ʑ ɐ n̪ m ɐ m ʊ
జపమాల	d͡ʑ ɐ p ɐ m aː l ɐ
జపమాలలు	d͡ʑ ɐ p ɐ m aː l ɐ l ʊ
జబ్బ	d ʒ a bː a
జరిమానా	d͡ʑ ɐ ɾ ɪ m aː n̪ aː
జరుగు	d͡ʑ ɐ ɾ ʊ ɡ ʊ
జరుపు	d͡ʑ ɐ ɾ ʊ p ʊ
జలుబు	d͡ʑ ɐ l ʊ b ʊ
జలౌకసము	d͡ʑ ɐ l ɐ ʊ̯ k ɐ s ɐ m ʊ
జల్లు	d͡ʒ a lː u
జవాబు	d͡ʑ ɐ ʋ aː b ʊ
జాగ్రత	d͡ʑ aː ɡ ɾ ɐ t̪ ɐ
జాగ్రత్త	d͡ʑ aː ɡ ɾ ɐ t̪ː ɐ
జాడ	d͡ʑ aː ɖ ɐ
జాతి	d ʒ aː t i
జామ	d͡ʑ aː m ɐ
జాము	d͡ʑ aː m ʊ
జారు	d͡ʒ aː r u
జీవము	d͡ʑ iː ʋ ɐ m ʊ
జీవి	d͡ʑ iː ʋ ɪ
జీవితం	d͡ʑ iː ʋ ɪ t̪ ɐ m̃
జీవితము	d͡ʑ iː ʋ ɪ t̪ ɐ m ʊ
జీవితములు	d͡ʑ iː ʋ ɪ t̪ ɐ m ʊ l ʊ
జీవితాలు	d͡ʑ iː ʋ ɪ t̪ aː l ʊ
జుట్టు	d͡ʑ ʊ ʈː ʊ
జున్ను	d͡ʑ ʊ n̪ n̪ ʊ
జున్నుపాలు	d͡ʑ ʊ n̪ n̪ ʊ p aː l ʊ
జెండా	d͡ʑ ɛ ɳ ɖ aː
జెలగ	d͡ʑ ɛ l ɐ ɡ ɐ
జేజే	d͡ʑ eː d͡ʑ eː
జేబు	d͡ʑ eː b ʊ
జేబుదొంగ	d͡ʑ eː b ʊ d̪ ɔ ŋ ɡ ɐ
జేమ	d͡ʑ eː m ɐ
జొన్న	d͡ʑ ɔ n̪ n̪ ɐ
జొల్లు	d͡ʑ ɔ lː ʊ
జ్ఞా	d͡ʑ ɲ aː
జ్ఞాపకము	d͡ʑ ɲ aː p ɐ k ɐ m ʊ
జ్యేష్ఠము	d͡ʒ j eː ʂ ʈʰ a m u
జ్వాల	d͡ʑ ʋ aː l ɐ
ఞ	ɲ
ఞాయిరు	ɲ aː j ɪ ɾ ʊ
ఞాయిఱు	ɲ aː j ɪ r ʊ
టంకశాల	ʈ ɐ ŋ k ɐ ɕ aː l ɐ
టంకసాల	ʈ ɐ ŋ k ɐ s aː l ɐ
టపా	ʈ ɐ p aː
టా	ʈ aː
టాక్సీ	ʈ aː k s iː
టూ	ʈ uː
టె	ʈ e
టెక్కు	ʈ ɛ kː ʊ
టెక్కెము	ʈ ɛ kː ɛ m ʊ
టెన్నిసు	ʈ ɛ n̪ n̪ ɪ s ʊ
టే	ʈ eː
ఠా	ʈʰ aː
ఠి	ʈʰ i
డప్పు	ɖ a pː u
డబ్బు	ɖ ɐ bː ʊ
డి	ɖ i
డు	ɖ u
డెకాలీటరు	ɖ ɛ k aː l iː ʈ ɐ ɾ ʊ
డెక్క	ɖ ɛ kː ɐ
డెసీలీటరు	ɖ ɛ s iː l iː ʈ ɐ ɾ ʊ
డేగ	ɖ eː ɡ ɐ
డేగలు	ɖ eː ɡ ɐ l ʊ
డేగాట	ɖ eː ɡ aː ʈ ɐ
డొక్క	ɖ ɔ kː ɐ
తండా	t̪ ɐ ɳ ɖ aː
తండ్రి	t̪ ɐ ɳ ɖ ɾ ɪ
తండ్రితండ్రి	t̪ ɐ ɳ ɖ ɾ ɪ t̪ ɐ ɳ ɖ ɾ ɪ
తండ్రులు	t̪ ɐ ɳ ɖ ɾ ʊ l ʊ
తక్కాళీ	t̪ ɐ kː aː ɭ iː
తక్కిన	t̪ ɐ kː ɪ n̪ ɐ
తక్కు	t̪ ɐ kː ʊ
తక్కువ	t̪ ɐ kː ʊ ʋ ɐ
తగ్గించు	t̪ ɐ ɡː ɪ ɲ t͡ɕ ʊ
తగ్గు	t̪ ɐ ɡː ʊ
తగ్గుదల	t̪ ɐ ɡː ʊ d̪ ɐ l ɐ
తట్ట	t a ʈː a
తడవ	t̪ ɐ ɖ ɐ ʋ ɐ
తడవలు	t̪ ɐ ɖ ɐ ʋ ɐ l ʊ
తడి	t̪ ɐ ɖ ɪ
తన	t̪ a n̪ a
తప్ప	t̪ ɐ pː ɐ
తప్పక	t̪ ɐ pː ɐ k ɐ
తప్పకుండా	t̪ ɐ pː ɐ k ʊ ɳ ɖ aː
తప్పనిసరి	t̪ ɐ pː ɐ n̪ ɪ s ɐ ɾ ɪ
తప్పనిసరిగా	t̪ ɐ pː ɐ n̪ ɪ s ɐ ɾ ɪ ɡ aː
తప్పించు	t̪ ɐ pː ɪ ɲ t͡ɕ ʊ
తప్పింౘు	t̪ ɐ pː ɪ n̪ t͡s ʊ
తప్పు	t̪ a pː u
తప్పులు	t̪ ɐ pː ʊ l ʊ
తమలపాకు	t̪ ɐ m ɐ l ɐ p aː k ʊ
తమలపు	t̪ ɐ m ɐ l ɐ p ʊ
తమలము	t̪ ɐ m ɐ l ɐ m ʊ
తమ్ముడు	t̪ ɐ mː ʊ ɖ ʊ
తయారు	t̪ ɐ j aː ɾ ʊ
తరగతి	t̪ ɐ ɾ ɐ ɡ ɐ t̪ ɪ
తరము	t̪ ɐ ɾ ɐ m ʊ
తరి	t̪ ɐ ɾ ɪ
తరువాత	t̪ ɐ ɾ ʊ ʋ aː t̪ ɐ
తరువు	t̪ ɐ ɾ ʊ ʋ ʊ
తల	t̪ ɐ l ɐ
తలఁపు	t̪ ɐ l ɐ p ʊ
తలంటు	t̪ ɐ l ɐ ɳ ʈ ʊ
తలంపు	t̪ ɐ l ɐ m p ʊ
తలకప్ప	t̪ ɐ l ɐ k ɐ pː ɐ
తలచు	t̪ ɐ l ɐ t͡ɕ ʊ
తలనొప్పి	t̪ ɐ l ɐ n̪ ɔ pː ɪ
తలపు	t̪ ɐ l ɐ p ʊ
తలపులు	t̪ ɐ l ɐ p ʊ l ʊ
తలపెట్టు	t̪ ɐ l ɐ p ɛ ʈː ʊ
తలవెండ్రుకలు	t̪ ɐ l ɐ ʋ ɛ ɳ ɖ ɾ ʊ k ɐ l ʊ
తలుపు	t̪ ɐ l ʊ p ʊ
తల్లి	t̪ ɐ lː ɪ
తల్లులు	t̪ ɐ lː ʊ l ʊ
తవ్వు	t a ʋː u
తస్స	t̪ ɐ sː ɐ
తాఁకు	t̪ aː k ʊ
తాకించు	t̪ aː k ɪ ɲ t͡ɕ ʊ
తాకు	t̪ aː k ʊ
తాగించు	t̪ aː ɡ ɪ ɲ t͡ɕ ʊ
తాగు	t̪ aː ɡ ʊ
తాగుట	t̪ aː ɡ ʊ ʈ ɐ
తాగునీరు	t̪ aː ɡ ʊ n̪ iː ɾ ʊ
తాగుబోతు	t̪ aː ɡ ʊ b oː t̪ ʊ
తాగుబోతులు	t̪ aː ɡ ʊ b oː t̪ ʊ l ʊ
తాటి	t̪ aː ʈ ɪ
తాడి	t̪ aː ɖ ɪ
తాత	t̪ aː t̪ ɐ
తాతమ్మ	t̪ aː t̪ ɐ mː ɐ
తానము	t̪ aː n̪ ɐ m ʊ
తాను	t̪ aː n̪ ʊ
తాపి	t̪ aː p ɪ
తాబేలు	t̪ aː b eː l u
తామ్రము	t̪ aː m ɾ ɐ m ʊ
తార	t̪ aː ɾ ɐ
తారలు	t̪ aː ɾ ɐ l ʊ
తాళపుచెవి	t̪ aː ɭ ɐ p ʊ t͡ɕ ɛ ʋ ɪ
తాళము	t̪ aː ɭ ɐ m ʊ
తిండి	t̪ ɪ ɳ ɖ ɪ
తిండికాడు	t̪ ɪ ɳ ɖ ɪ k aː ɖ ʊ
తిండిపంద	t̪ ɪ ɳ ɖ ɪ p ɐ n̪ d̪ ɐ
తిండీడు	t̪ ɪ ɳ ɖ iː ɖ ʊ
తిక్క	t i kː a
తిక్తము	t̪ ɪ k t̪ ɐ m ʊ
తిట్టు	t i ʈː u
తినిపించాడు	t̪ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː ɖ ʊ
తినిపించాను	t̪ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː n̪ ʊ
తినిపించాము	t̪ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː m ʊ
తినిపించారు	t̪ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː ɾ ʊ
తినిపించావు	t̪ ɪ n̪ ɪ p ɪ ɲ t͡ɕ aː ʋ ʊ
తినిపించింది	t̪ ɪ n̪ ɪ p ɪ ɲ t͡ɕ ɪ n̪ d̪ ɪ
తినిపించు	t̪ ɪ n̪ ɪ p ɪ ɲ t͡ɕ ʊ
తిప్ప	t̪ ɪ pː ɐ
తిప్పలు	t̪ ɪ pː ɐ l ʊ
తిప్పు	t̪ i pː u
తియ్యన	t̪ ɪ jː ɐ n̪ ɐ
తియ్యని	t̪ ɪ jː ɐ n̪ ɪ
తిరు	t̪ ɪ ɾ ʊ
తిరుగు	t̪ ɪ ɾ ʊ ɡ ʊ
తిరుగుట	t̪ ɪ ɾ ʊ ɡ ʊ ʈ ɐ
తిరుగుడు	t̪ ɪ ɾ ʊ ɡ ʊ ɖ ʊ
తీపి	t̪ iː p ɪ
తీయని	t̪ iː j ɐ n̪ ɪ
తీయు	t̪ iː j ʊ
తీరిక	t̪ iː ɾ ɪ k ɐ
తీరుబడి	t̪ iː ɾ ʊ b ɐ ɖ ɪ
తీర్పు	t iː r p u
తీసివేయు	t̪ iː s ɪ ʋ eː j ʊ
తీసుకొను	t̪ iː s ʊ k ɔ n̪ ʊ
తుడుచు	t̪ ʊ ɖ ʊ t͡ɕ ʊ
తుత్తునాగము	t̪ ʊ t̪ː ʊ n̪ aː ɡ ɐ m ʊ
తునుము	t̪ ʊ n̪ ʊ m ʊ
తుపాకి	t̪ ʊ p aː k ɪ
తుప్పు	t̪ u pː u
తూగు	t̪ uː ɡ ʊ
తూర్పు	t̪ uː ɾ p ʊ
తృప్తి	t̪ ɻ̍ p t̪ ɪ
తెచ్చు	t̪ ɛ t͡ɕː ʊ
తెడ్డు	t e ɖː u
తెన్ను	t̪ e n̪ː u
తెప్ప	t e pː a
తెప్పించు	t̪ ɛ pː ɪ ɲ t͡ɕ ʊ
తెప్పింౘు	t̪ ɛ pː ɪ n̪ t͡s ʊ
తెర	t̪ ɛ ɾ ɐ
తెరచు	t̪ ɛ ɾ ɐ t͡ɕ ʊ
తెరలు	t̪ ɛ ɾ ɐ l ʊ
తెలంగాణ	t̪ ɛ l ɐ ŋ ɡ aː ɳ ɐ
తెలిగించు	t̪ ɛ l ɪ ɡ ɪ ɲ t͡ɕ ʊ
తెలుఁగు	t̪ ɛ l ʊ ɡ ʊ
తెలుంగు	t̪ ɛ l ʊ ŋ ɡ ʊ
తెలుగు	t̪ ɛ l ʊ ɡ ʊ
తెలుగువాడు	t̪ ɛ l ʊ ɡ ʊ ʋ aː ɖ ʊ
తెలుపు	t̪ ɛ l ʊ p ʊ
తెల్పు	t̪ ɛ l p ʊ
తెల్ల	t̪ ɛ lː ɐ
తెల్లన	t̪ ɛ lː ɐ n̪ ɐ
తెల్లని	t̪ ɛ lː ɐ n̪ ɪ
తేజస్సు	t eː d͡ʒ a sː u
తేట	t̪ eː ʈ ɐ
తేడా	t̪ eː ɖ aː
తేయాకు	t̪ eː j aː k ʊ
తేరు	t̪ eː ɾ ʊ
తేలు	t eː l u
తైలము	t̪ ɐ ɪ̯ l ɐ m ʊ
తొండ	t̪ ɔ ɳ ɖ ɐ
తొందర	t̪ ɔ n̪ d̪ ɐ ɾ ɐ
తొందరగా	t̪ ɔ n̪ d̪ ɐ ɾ ɐ ɡ aː
తొక్క	t o kː a
తొడ	t̪ ɔ ɖ ɐ
తొడపుట్టువు	t̪ ɔ ɖ ɐ p ʊ ʈː ʊ ʋ ʊ
తొడబొక్క	t̪ ɔ ɖ ɐ b ɔ kː ɐ
తొడయెముక	t̪ ɔ ɖ ɐ j ɛ m ʊ k ɐ
తొడలు	t̪ ɔ ɖ ɐ l ʊ
తొన	t̪ o n̪ a
తొప్పె	t̪ ɔ pː ɛ
తొర	t̪ ɔ ɾ ɐ
తొలి	t̪ ɔ l ɪ
తొలిప్రేమ	t̪ ɔ l ɪ p ɾ eː m ɐ
