𐌰𐌱𐌿	a b u
𐌳𐌿𐌸𐌴𐌹	d u θ iː
𐌳𐌿𐌸𐌸𐌴	d u θ θ eː
𐌳𐌿𐌻𐌸𐌾𐌰𐌼	d u l θ j a m
𐌳𐌿𐌻𐌸𐌾𐌰𐌽	d u l θ j a n
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽	d u r i n n a n
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐌰𐌽𐍃	d u r i n n a n d a n s
𐌳𐌿𐍂𐌹𐌽𐌽𐌰𐌽𐌳𐍃	d u r i n n a n d s
𐌳𐌿𐍃𐍄𐍉𐌳𐌴𐌹𐌸	d u s t oː d iː θ
𐌳𐌿𐍃𐍄𐍉𐌳𐌹𐌳𐌰	d u s t oː d i d a
𐌳𐌿𐍃𐍄𐍉𐌳𐌾𐌰𐌽	d u s t oː d j a n
𐌳𐌿𐍅𐌰𐌺𐌰𐌽	d u w a k a n
𐌳𐌿𐍅𐌰𐌺𐌰𐌽𐌳𐌰𐌽𐍃	d u w a k a n d a n s
𐌳𐌿𐍅𐌰𐌺𐌰𐌽𐌳𐍃	d u w a k a n d s
𐌳𐍂𐌰𐌲𐌺𐌾𐌰𐌽	d r a n k j a n
𐌳𐍂𐌰𐌹𐌱𐌴𐌹	d r ɛː v j a n
𐌳𐍂𐌰𐌹𐌱𐌴𐌹𐍃	d r ɛː v iː s
𐌳𐍂𐌰𐌹𐌱𐌹𐌸𐍃	d r ɛː v i θ s
𐌳𐍂𐌰𐌹𐌱𐌾𐌰𐌽	d r ɛː v j a n
𐌳𐍂𐌴𐌹𐌱𐌰𐌽	d r iː β a n
𐌳𐍂𐌹𐌲𐌺𐌰𐌽	d r i n k a n
𐌳𐍂𐌹𐌿𐌲𐌰𐌹𐍃	d r i u̯ ɡ ɛː s
𐌳𐍂𐌹𐌿𐌲𐌰𐌽	d r i u̯ ɡ a n
𐌳𐍂𐌹𐌿𐍃𐌰𐌽	d r i u̯ s a n
𐌳𐍂𐌹𐌿𐍃𐌰𐌽𐌳𐌰𐌽	d r i u̯ s a n d a n
𐌳𐍂𐌹𐌿𐍃𐍉	d r i u̯ s oː
𐌳𐍂𐍉𐌱𐌾𐌰𐌽	d r oː b j a n
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐌰𐌼	d r oː b j a n d a m
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐌰𐌽𐍃	d r oː b j a n d a n s
𐌳𐍂𐍉𐌱𐌾𐌰𐌽𐌳𐍃	d r oː b j a n d s
𐌴𐌹𐌸𐌰𐌽	iː θ a n
𐌵𐌰𐌹𐌽𐍉𐌽	kʷ ɛː n oː n
𐌵𐌰𐌼𐍄	kʷ a m t
𐌵𐌴𐌽𐍃	kʷ eː n s
𐌵𐌹𐌼𐌰𐌽	kʷ i m a n
𐌵𐌹𐌽𐍉	kʷ i n oː
𐌷𐌰𐌱𐌰𐌹𐌳𐌴𐌳𐌿𐌽	h a b ɛː d eː d u n
𐌷𐌰𐌱𐌰𐌽	h a b aː n
𐌷𐌰𐌶𐌾𐌰𐌽	h a z j a n
𐌷𐌰𐌹𐌸𐌹	h ɛː θ i
𐌷𐌰𐌹𐌻𐌰𐌲𐍃	h ɛː l a x s
𐌷𐌰𐌹𐍂𐌳𐌰	h ɛ r d a
𐌷𐌰𐌹𐍂𐌳𐌰𐌹	h ɛ r d ɛː
𐌷𐌰𐌹𐍂𐌳𐌴𐌹𐍃	h ɛ r d iː s
𐌷𐌰𐌹𐍂𐌳𐌾𐌰𐌼	h ɛ r d j a m
𐌷𐌰𐌹𐍂𐌳𐌾𐌰𐌽𐍃	h ɛ r d j a n s
𐌷𐌰𐌹𐍂𐌳𐌾𐍉𐍃	h ɛ r d j oː s
𐌷𐌰𐌹𐍂𐌿	h ɛ r u
𐌷𐌰𐌹𐍂𐌿𐌼	h ɛ r u m
𐌷𐌰𐌹𐍂𐌿𐍃	h ɛ r u s
𐌷𐌰𐌹𐍄𐌰𐌽	h ɛː t a n
𐌷𐌰𐌹𐍄𐌹	h ɛː t i
𐌷𐌰𐌽𐌰	h a n a
𐌷𐌰𐌽𐌹𐌽𐍃	h a n i n s
𐌷𐌰𐌿𐌷𐌾𐌰𐌽	h ɔː h j a n
𐌷𐌰𐌿𐌽𐌾𐌰𐌽	h ɔː n j a n
𐌷𐌰𐌿𐌾𐌰	h ɔː j a
𐌷𐌰𐌿𐍂𐌹	h ɔ r i
𐌷𐌰𐌿𐍂𐌾𐌰	h ɔ r j a
𐌷𐌰𐌿𐍃𐌾𐌰𐌽	h ɔː s j a n
𐌷𐌰𐍄𐌰𐌽	h a t aː n
𐌷𐌰𐍄𐌾𐌰𐌽	h a t j a n
𐌷𐌰𐍅𐌹	h a w i
𐌷𐌹𐌻𐌼𐍃	h i l m s
𐌷𐌹𐌽𐌳𐌰𐍂𐍅𐌴𐌹𐍃	h i n d a r w iː s
𐌷𐌹𐌽𐌳𐌰𐍂𐍅𐌴𐌹𐍃𐌴𐌹	h i n d a r w iː s iː
𐌷𐌻𐌰𐌹𐍅	h l ɛː w
𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐌰	h l iː d u m a
𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐌴𐌹	h l iː d u m iː
𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐌴𐌹𐌽	h l iː d u m iː n
𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐍉𐌽𐌰	h l iː d u m oː n a
𐌷𐌻𐌹𐍆𐌰𐌽	h l i ɸ a n
𐌷𐌻𐌹𐍆𐍄𐌿𐍃	x l i ɸ t u s
𐌷𐌽𐌴𐌹𐍅𐌰𐌽	h n iː w a n
𐌷𐌿𐌲𐌲𐍂𐌾𐌰𐌽	h u ŋ ɡ r i j a n
𐌷𐌿𐌲𐌾𐌰𐌽	h u ɡ j a n
𐌷𐌿𐌽𐌳𐌰𐌼	h u n d a m
𐌷𐌿𐌽𐌳𐌰𐌽𐍃	h u n d a n s
𐌷𐌿𐌽𐌳𐍃	h u n d s
𐌷𐌿𐌽𐌳𐍉𐍃	h u n d oː s
𐌷𐍂𐌰𐌹𐍅𐌰𐌳𐌿𐌱𐍉	h r ɛː w a d uː b oː
𐌷𐍂𐌰𐌹𐍅𐌰𐌳𐌿𐌱𐍉𐌽𐍉	h r ɛː w a d uː b oː n oː
𐌷𐍂𐌿𐌺	h r uː k
𐌷𐍂𐌿𐌺𐌴𐌹𐌸	h r uː k iː θ
𐌷𐍂𐌿𐌺𐌹𐌳𐌰	h r uː k i d a
𐌷𐍂𐌿𐌺𐌾𐌰𐌹	h r uː k j ɛː
𐌷𐍂𐌿𐌺𐌾𐌰𐌽	h r uː k j a n
𐌸𐌰𐌷𐍄𐌰	θ aː h t a
𐌸𐌰𐌹𐍂𐌺𐍉	θ ɛ r k oː
𐌸𐌰𐌽	θ a n
𐌸𐌰𐌽𐌳𐌴	θ a n d eː
𐌸𐌰𐌿𐍂𐌱𐌰𐌽	θ ɔ r β a n
𐌸𐌰𐌿𐍂𐌽𐌴𐌹𐌽𐌰	θ ɔ r n iː n a
𐌸𐌰𐌿𐍂𐌽𐌴𐌹𐌽𐌰𐌽	θ ɔ r n iː n a n
𐌸𐌰𐌿𐍂𐌽𐌴𐌹𐌽𐍃	θ ɔ r n iː n s
𐌸𐌰𐌿𐍂𐌽𐌹𐍅𐌴	θ ɔ r n i w eː
𐌸𐌰𐌿𐍂𐌽𐌾𐌿𐍃	θ ɔ r n j u s
𐌸𐌰𐌿𐍂𐌽𐌿𐌼	θ ɔ r n u m
𐌸𐌰𐌿𐍂𐌽𐌿𐌽𐍃	θ ɔ r n u n s
𐌸𐌰𐌿𐍂𐌽𐌿𐍃	θ ɔ r n u s
𐌸𐌰𐌿𐍂𐍃𐍄𐌴𐌹	θ ɔ r s t iː
𐌸𐌰𐍂	θ a r
𐌸𐌴𐌹𐌷𐌰𐌽	θ iː h a n
𐌸𐌴𐌹𐌽𐍃	θ iː n s
𐌸𐌴𐌹𐍈𐍉	θ iː ʍ oː
𐌸𐌴𐌹𐍈𐍉𐌽	θ iː ʍ oː n
𐌸𐌴𐌹𐍈𐍉𐌽𐍃	θ iː ʍ oː n s
𐌸𐌹𐌿𐌱𐌹	θ i u̯ b i
𐌸𐌹𐌿𐍆𐍃	θ i u̯ ɸ s
𐌸𐌻𐌹𐌿𐌷𐌰𐌽	θ l i u h a n
𐌸𐌿	θ uː
𐌸𐌿𐌺	θ u k
𐌸𐌿𐍃	θ u s
𐌸𐍂𐌰𐌼𐍃𐍄𐌴𐌹	θ r a m s t iː
𐌸𐍂𐌰𐌼𐍃𐍄𐌴𐌹𐌽𐍃	θ r a m s t iː n s
𐌸𐍅𐌰𐌷	θ w a x
𐌸𐍅𐌰𐌷𐌰𐌽	θ w a h a n
𐌸𐍅𐌰𐌷𐌰𐌽𐌳	θ w a h a n d
𐌸𐍅𐍉𐌷𐌹	θ w oː h i
𐌹𐌱𐌰𐌹	i β ɛː
𐌹𐌲𐌵𐌰𐍂	i ŋ kʷ a r
𐌹𐌲𐌵𐌹𐍃	i ŋʷ kʷ i s
𐌹𐌶𐍅𐌰𐍂	i z w a r
𐌹𐌶𐍅𐌹𐍃	i z w i s
𐌹𐌺	i k
𐌹𐌽	i n
𐌹𐌽𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌳𐌰	i n b r a nː j a d a
𐌹𐌽𐌱𐍂𐌰𐌽𐌽𐌾𐌰𐌽	i n b r a nː j a n
𐌹𐌽𐌽𐌹𐌼𐌰𐌽	i n n i m a n
𐌹𐌽𐌽𐌹𐌿𐌾𐌹𐌸𐌰	i n n i u̯ j i θ a
𐌹𐌽𐌿𐌷𐍃𐌰𐌽𐌳𐌹𐌳𐌴𐌳𐌿𐌽	i n u h s a n d i d eː d u n
𐌹𐌽𐍃𐌰𐌷𐍄𐍃	i n s a x t s
𐌹𐌽𐍄𐌿𐌽𐌳𐌽𐌰𐌽	i n t u n d n a n
𐌹𐍄𐌰𐌽	i t a n
𐌺𐌰𐌹𐍃𐌰𐍂	k ɛː s a r
𐌺𐌰𐌻𐌱𐍉	k a l b oː
𐌺𐌰𐌻𐌱𐍉𐌽𐍃	k a l b oː n s
𐌺𐌰𐌻𐌳	k a l d
𐌺𐌰𐌻𐌳𐌹𐍃	k a l d i s
𐌺𐌰𐌻𐌳𐍃	k a l d s
𐌺𐌰𐌿𐍂𐌽	k ɔ r n
𐌺𐌰𐌿𐍂𐌽𐌹𐍃	k ɔ r n i s
𐌺𐌰𐌿𐍂𐌽𐍉	k ɔ r n oː
𐌺𐌰𐍂𐍉𐌽	k a r oː n
𐌺𐌰𐍄𐌹𐌻𐍃	k a t i l s
𐌺𐌻𐌹𐍃𐌼𐍉	k l i s m oː
𐌺𐌿𐌺𐌾𐌰𐌽	k u k j a n
𐌺𐌿𐌽𐌽𐌰𐌽	k u nː a n
𐌺𐍂𐌹𐌿𐍃𐍄𐌰𐌽	k r i u̯ s t a n
𐌻𐌰𐌲𐌲𐍃	l a ŋ ɡ s
𐌻𐌰𐌹𐍃𐌰𐍂𐌴𐌹𐍃	l ɛː s aː r iː s
𐌻𐌰𐌹𐍅𐌰	l ɛ w a
𐌻𐌰𐌹𐍅𐌰𐌽𐌴	l ɛ w a n eː
𐌻𐌰𐌼𐌱	l a m b
𐌻𐌰𐌼𐌱𐌰	l a m b a
𐌻𐌰𐌼𐌱𐌰𐌼	l a m b a m
𐌻𐌰𐌼𐌱𐌴	l a m b eː
𐌻𐌰𐌿𐌱𐍉𐍃	l ɔː b oː s
𐌻𐌰𐌿𐌷𐌰𐍄𐌾𐌰𐌽	l ɔ h a t j a n
𐌻𐌰𐌿𐌷𐌰𐍄𐌾𐌰𐌽𐌳𐌴𐌹	l ɔ h a t j a n d iː
𐌻𐌰𐌿𐌷𐌰𐍄𐌾𐌰𐌽𐌳𐍃	l ɔ h a t j a n d s
𐌻𐌰𐌿𐌷𐌼𐌿𐌽𐌹	l ɔː h m u n i
𐌻𐌰𐌿𐌷𐌼𐌿𐌽𐌾𐌰	l ɔː h m u n j a
𐌻𐌰𐌿𐌷𐌼𐌿𐌽𐌾𐌰𐌹	l ɔː h m u n j ɛː
𐌻𐌰𐌿𐍆	l ɔː f
𐌻𐌰𐌿𐍆𐍃	l ɔː f s
𐌻𐌴𐌹𐌺𐌰𐌽	l iː k aː n
𐌻𐌴𐌺𐌹𐌽𐍉𐌽	l eː k i n oː n
𐌻𐌴𐍄𐌰𐌽	l eː t a n
𐌻𐌹𐌸𐌿𐍃	l i θ u s
𐌻𐌿𐍆𐍄𐌰𐌿	l u f t ɔː
𐌻𐌿𐍆𐍄𐌰𐌿𐍃	l u f t ɔː s
𐌻𐌿𐍆𐍄𐌿	l u f t u
𐌻𐌿𐍆𐍄𐌿𐍃	l u f t u s
𐌼𐌰𐌲𐌰𐌽	m a ɣ a n
𐌼𐌰𐌸𐌰	m a θ a
𐌼𐌰𐌹𐌼𐌱𐍂𐌰𐌽𐌰	m ɛː m b r a n a
𐌼𐌰𐌹𐍃	m ɛː s
𐌼𐌰𐌹𐍄𐌰𐌽	m ɛː t a n
𐌼𐌰𐌻𐍉	m a l oː
𐌼𐌰𐌼𐌼𐍉	m a mː oː
𐌼𐌰𐌽𐌰𐍃𐌴𐌳𐌰𐌹	m a n a s eː d ɛː
𐌼𐌰𐌽𐌰𐍃𐌴𐌳𐌰𐌹𐍃	m a n a s eː d ɛː s
𐌼𐌰𐌽𐌰𐍃𐌴𐌸	m a n a s eː θ
𐌼𐌰𐌽𐌰𐍃𐌴𐌸𐍃	m a n a s eː θ s
𐌼𐌰𐌽𐌽𐌹𐍃𐌺𐍃	m a nː i s k s
𐌼𐌰𐌿𐍂𐌸𐍂𐌾𐌰𐌽	m ɔ r θ r i j a n
𐌼𐌴𐌹𐌽𐍃	m iː n s
𐌼𐌴𐌺𐌴𐌹𐍃	m eː k iː s
𐌼𐌴𐌺𐌹	m eː k i
𐌼𐌴𐌻𐌾𐌰𐌽	m eː l j a n
𐌼𐌴𐌽𐌰	m eː n a
𐌼𐌴𐍂𐌹𐌻𐌰	m eː r i l a
𐌼𐌴𐍂𐌾𐌰𐌽	m eː r j a n
𐌼𐌹𐌳𐌾𐌹𐍃	m i ð j i s
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳	m i d j u n ɡ a r d
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐌹𐍃	m i d j u n ɡ a r d i s
𐌼𐌹𐌳𐌾𐌿𐌽𐌲𐌰𐍂𐌳𐍃	m i d j u n ɡ a r d s
𐌼𐌹𐌸	m i θ
𐌼𐌹𐌺	m i k
𐌼𐌹𐌻𐌷𐌼𐌰	m i l h m a
𐌼𐌹𐌻𐌷𐌼𐌰𐌼	m i l h m a m
𐌼𐌹𐌻𐌷𐌼𐌹𐌽	m i l h m i n
𐌼𐌹𐌻𐌹𐌸	m i l i θ
𐌼𐌹𐌽𐍃	m i n s
𐌼𐌹𐍃	m i s
𐌼𐌹𐍄𐌰𐌽	m i t a n
𐌼𐌿𐌽𐌰𐌽	m u n a n
𐌼𐌿𐌽𐌰𐌽	m u n aː n
𐌽𐌰𐌳𐍂𐌴	n a d r eː
𐌽𐌰𐌳𐍂𐍃	n a d r s
𐌽𐌰𐌵𐌰𐌳𐌴𐌹	n a kʷ a ð iː
𐌽𐌰𐌼𐌹𐌽	n a m i n
𐌽𐌰𐌼𐌹𐌽𐍃	n a m i n s
𐌽𐌰𐌼𐌽𐌰	n a m n a
𐌽𐌰𐌼𐌽𐌰𐌼	n a m n a m
𐌽𐌰𐌼𐌽𐌴	n a m n eː
𐌽𐌰𐌼𐍉	n a m oː
𐌽𐌰𐌿𐌱𐌰𐌹𐌼𐌱𐌰𐌹𐍂	n ɔ β ɛ m b ɛ r
𐌽𐌰𐍂𐌳𐌰𐌿𐍃	n a r d ɔː s
𐌽𐌰𐍂𐌳𐌿𐍃	n a r d u s
𐌽𐌴𐌸𐌻𐌰	n eː θ l a
𐌽𐌴𐌸𐌻𐍉𐍃	n eː θ l oː s
𐌽𐌴𐍈𐌾𐌰𐌽	n eː ʍ j a n
𐌽𐌹𐌳𐍅𐌰	n i d w a
𐌽𐌹𐌼𐌰𐌽	n i m a n
𐌽𐌹𐌿𐌾𐌹𐌸𐌰	n i u̯ j i θ a
𐌽𐌹𐍃𐍄	n i s t
𐌾𐌰𐌱𐌰𐌹	j a β ɛː
𐌾𐌰𐌹𐌽𐍃	j ɛː n s
𐌾𐌹𐌿𐌻𐌴𐌹𐍃	j i u̯ l iː s
𐌾𐌿𐍃	j uː s
𐌾𐌿𐍄	j u t
𐌿𐌱𐌹𐌶𐍅𐌰	u β i z w a
𐌿𐌲𐌲𐌺𐌹𐍃	u ŋ k i s
𐌿𐌲𐌺𐌰𐍂	u ŋ k a r
𐌿𐌲𐌺𐌹𐍃	u ŋ k i s
𐌿𐌻𐌱𐌰𐌽𐌳𐌰𐌿	u l b a n d ɔː
𐌿𐌻𐌱𐌰𐌽𐌳𐌰𐌿𐍃	u l b a n d ɔː s
𐌿𐌻𐌱𐌰𐌽𐌳𐌿𐍃	u l b a n d u s
𐌿𐌽𐌱𐌹𐌰𐍂𐌹	u n b i a r i
𐌿𐌽𐌱𐌹𐌰𐍂𐌾𐌰	u n b i a r j a
𐌿𐌽𐌳𐌲𐍂𐌴𐌹𐍀𐌰𐌽	u n d ɡ r iː p a n
𐌿𐌽𐌷𐌹𐌽𐌳𐌰𐍂𐍅𐌴𐌹𐍃	u n h i n d a r w iː s
𐌿𐌽𐍃	u n s
𐌿𐌽𐍃𐌰𐍂	u n s a r
𐌿𐌽𐍃𐌹𐍃	u n s i s
𐌿𐍂𐍂𐌰𐌽𐍄	u r r a n t
𐌿𐍂𐍂𐌿𐌽𐍃	u r r u n s
𐌿𐍂𐍂𐌿𐌽𐍃𐌰	u r r u n s a
𐌿𐍃	u s
𐌿𐍃𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽	u s b l i ɡ ɡ w a n
𐌿𐍃𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐌰𐌽𐍃	u s b l i ɡ ɡ w a n d a n s
𐌿𐍃𐌱𐌻𐌹𐌲𐌲𐍅𐌰𐌽𐌳𐍃	u s b l i ɡ ɡ w a n d s
𐌿𐍃𐌳𐌰𐌿𐌳𐌴𐌹	u s d ɔː d iː
𐌿𐍃𐌳𐌰𐌿𐌸𐍃	u s d ɔː θ s
𐌿𐍃𐌳𐍂𐌴𐌹𐌱𐌰𐌽	u s d r iː β a n
𐌿𐍃𐌳𐍂𐌹𐌿𐍃𐌰𐌽	u s d r i u̯ s a n
𐌿𐍃𐍆𐌿𐌻𐌻𐌽𐌰𐌽	u s ɸ u l l n a n
𐌿𐍆𐌱𐍂𐌰𐌽𐌽	u f b r a nː
𐌿𐍆𐌱𐍂𐌹𐌽𐌽𐌰𐌽	u f b r i n n a n
𐌿𐍆𐍃𐍄𐍂𐌰𐌿𐌾𐌰𐌽	u ɸ s t r ɔː j a n
𐍀𐌴𐌹𐌺𐌰𐌱𐌰𐌲𐌼𐌴	p iː k a b a ɡ m eː
𐍀𐌴𐌹𐌺𐌰𐌱𐌰𐌲𐌼𐍃	p iː k a b a ɡ m s
𐍀𐌻𐌹𐌽𐍃𐌾𐌰𐌽	p l i n s j a n
𐍂𐌰𐌿𐍃	r ɔː s
𐍂𐌰𐌿𐍃𐌰	r ɔː s a
𐍂𐌴𐌹𐌺𐌴𐌹𐍃	r iː k iː s
𐍂𐌴𐌹𐌺𐍃	r iː k s
𐍂𐌹𐌲𐌽	r i ɡ n
𐍂𐌹𐌲𐌽𐌴𐌹𐌸	r i ɡ n iː θ
𐍂𐌹𐌲𐌽𐌹𐌳𐌰	r i ɡ n i d a
𐍂𐌹𐌲𐌽𐌾𐌰𐌽	r i ɡ n j a n
𐍂𐌹𐌺𐌰𐌽	r i k a n
𐍂𐌹𐌽𐌽𐌰𐌽	r i nː a n
𐍃𐌰	s a
𐍃𐌰𐌲𐌲𐌵𐌰	s a n kʷ a
𐍃𐌰𐌲𐌵	s a n kʷ
𐍃𐌰𐌴𐌹	s a iː
𐍃𐌰𐌹𐌷𐍃	s ɛ x s
𐍃𐌰𐌿𐌹𐌻	s ɔː i l
𐍃𐌰𐍄𐌾𐌰𐌽	s a t j a n
𐍃𐌴𐌹𐌽𐍃	s iː n s
𐍃𐌹𐌱𐌿𐌽	s i β u n
𐍃𐌹𐌲𐌵𐌰𐌽	s i n kʷ a n
𐍃𐌹𐌺	s i k
𐍃𐌹𐌽𐌰𐍀𐌹𐍃	s i n aː p i s
𐍃𐌹𐌽𐌴𐌹𐌲𐍃	s i n iː x s
𐍃𐌹𐌽𐍄𐌴𐌹𐌽𐍃	s i n t iː n s
𐍃𐌹𐍃	s i s
𐍃𐌹𐍄𐌰𐌽	s i t a n
𐍃𐌹𐍄𐌻𐌰𐌽𐍃	s i t l a n s
𐍃𐌹𐍄𐌻𐍃	s i t l s
𐍃𐌹𐍄𐌻𐍉𐍃	s i t l oː s
𐍃𐌺𐌰𐌸𐌾𐌰𐌽	s k a θ j a n
𐍃𐌺𐌰𐌹𐌳𐌰𐌹	s k ɛː d ɛː
𐍃𐌺𐌰𐌹𐌳𐌰𐌽	s k ɛː d a n
𐍃𐌺𐌰𐌹𐌳𐌹𐌸	s k ɛː d i θ
𐍃𐌺𐌰𐌼𐌰𐌽	s k a m aː n
𐍃𐌺𐌰𐌿𐍂𐍀𐌾𐍉	s k ɔ r p j oː
𐍃𐌺𐌰𐌿𐍂𐍀𐌾𐍉𐌽𐍉	s k ɔ r p j oː n oː
𐍃𐌺𐌴𐌹𐌼𐌰	s k iː m a
𐍃𐌺𐌴𐌹𐌽𐌰𐌽	s k iː n a n
𐍃𐌺𐌴𐌹𐍂𐌴𐌹𐌽𐍃	s k iː r iː n s
𐍃𐌺𐌹𐌻𐌳𐌿𐍃	s k i l d u s
𐍃𐌺𐌹𐌻𐌻𐌹𐌲𐌲𐍃	s k i l l i ŋ ɡ s
𐍃𐌺𐌿𐌻𐌰	s k u l a
𐍃𐌺𐌿𐌻𐌰𐌽	s k u l a n
𐍃𐌺𐌿𐍂𐌰	s k uː r a
𐍃𐌻𐌰𐌷𐌰𐌻𐍃	s l a h a l s
𐍃𐌼𐌰𐌺𐌺𐌰	s m a k k a
𐍃𐌼𐌰𐌺𐌺𐌰𐌱𐌰𐌲𐌼	s m a k k a b a ɡ m
𐍃𐌼𐌰𐌺𐌺𐌰𐌱𐌰𐌲𐌼𐌰	s m a k k a b a ɡ m a
𐍃𐌼𐌰𐌺𐌺𐌰𐌱𐌰𐌲𐌼𐍃	s m a k k a b a ɡ m s
𐍃𐌼𐌰𐌺𐌺𐌰𐌽𐌴	s m a k k a n eː
𐍃𐌼𐌰𐌺𐌺𐌰𐌽𐍃	s m a k k a n s
𐍃𐌽𐌰𐌹𐍅𐍃	s n ɛː w s
𐍃𐌽𐌹𐍅𐌰𐌽	s n i w a n
𐍃𐌽𐌿𐍄𐍂𐌴𐌹	s n u t r iː
𐍃𐌿𐌲𐌵𐌿𐌽	s u n kʷ u n
𐍃𐌿𐌽𐌽𐌹𐌽	s u n n i n
𐍃𐌿𐌽𐌽𐍉	s u n n oː
𐍃𐌿𐌽𐌽𐍉𐌽	s u n n oː n
𐍃𐌿𐌽𐌾𐌹𐍃	s u n j i s
𐍃𐍀𐌰𐌿𐍂𐌳𐍃	s p ɔː r d s
𐍃𐍀𐌰𐍂𐍅𐌰	s p a r w a
𐍃𐍀𐌰𐍂𐍅𐌰𐌼	s p a r w a m
𐍃𐍀𐌰𐍂𐍅𐌰𐌽𐍃	s p a r w a n s
𐍃𐍀𐌴𐌹𐍅𐌰𐌽	s p iː w a n
𐍃𐍄𐌰𐌹𐍂𐌽𐍉	s t ɛ r n oː
𐍃𐍄𐌰𐌹𐍂𐌽𐍉𐌽𐍃	s t ɛ r n oː n s
𐍃𐍄𐌰𐌹𐍂𐍉	s t ɛ r oː
𐍃𐍄𐌰𐌽𐌳𐌰𐌽	s t a n d a n
𐍃𐍄𐌹𐌻𐌰𐌽	s t i l a n
𐍃𐍄𐌹𐌿𐍂	s t i u̯ r
𐍃𐍄𐍂𐌰𐌿𐌾𐌰𐌽	s t r ɔː j a n
𐍃𐍅𐌴𐌹𐌽	s w iː n
𐍃𐍅𐌴𐌹𐌽𐌰	s w iː n a
𐍃𐍅𐌴𐌹𐌽𐌴	s w iː n eː
𐍃𐍅𐌹𐌲𐌻𐍉𐌽	s w i ɣ l oː n
𐍃𐍅𐌹𐌻𐍄𐌰𐌽	s w i l t a n
𐍃𐍅𐌽𐌰𐌲𐍉𐌲𐌴	s y n a ɡ oː ɡ eː
𐍄𐌰𐌲𐍂𐌹𐌳𐌰	t a ɡ r i d a
𐍄𐌰𐌲𐍂𐌾𐌰𐌽	t a ɡ r j a n
𐍄𐌰𐌷𐌾𐌰𐌽	t a x j a n
𐍄𐌰𐌹𐌷𐌿𐌽	t ɛ h u n
𐍄𐌰𐌹𐌷𐌿𐌽𐍄𐌴𐍅𐌴𐌹𐍃	t ɛ h u n t eː w iː s
𐍄𐌰𐌹𐌷𐍃𐍅𐌰	t ɛ h s w a
𐍄𐌰𐌹𐌷𐍃𐍅𐌰𐌹	t ɛ h s w ɛː
𐍄𐌰𐌹𐌷𐍃𐍅𐍉	t ɛ h s w oː
𐍄𐌰𐌹𐌷𐍃𐍅𐍉𐌽	t ɛ h s w oː n
𐍄𐌰𐌹𐌷𐍃𐍅𐍉𐌽𐌰	t ɛ h s w oː n a
𐍄𐌰𐌹𐌷𐍃𐍅𐍉𐌽𐍃	t ɛ h s w oː n s
𐍄𐌰𐌹𐌽𐌴	t ɛː n eː
𐍄𐌰𐌹𐌽𐍃	t ɛː n s
𐍄𐌰𐌽𐌳𐌴𐌹𐌸	t a n d iː θ
𐍄𐌰𐌽𐌳𐌾𐌰𐌽	t a n d j a n
𐍄𐌰𐌽𐌳𐌾𐌰𐌽𐌳𐍃	t a n d j a n d s
𐍄𐌰𐌿𐌾𐌰𐌽	t ɔː j a n
𐍄𐌹𐌲𐌿𐍃	t i ɣ u s
𐍄𐌹𐌿𐌷𐌰𐌽	t i u̯ h a n
𐍄𐌿𐌲𐌲𐌻	t u n ɡ l
𐍄𐌿𐌽𐌳𐌽𐌰𐌽	t u n d n a n
𐍄𐌿𐌽𐌳𐌽𐌰𐌿	t u n d n ɔː
𐍄𐍂𐌹𐌲𐌲𐍅𐍃	t r i ɡ ɡʷ s
𐍄𐍂𐌹𐌿	t r i u̯
𐍄𐍂𐌹𐍅𐌰𐌼	t r i w a m
𐍄𐍂𐌹𐍅𐌴𐌹𐌽𐌰	t r i w iː n a
𐍄𐍂𐌹𐍅𐌴𐌹𐌽𐍃	t r i w iː n s
𐍄𐍅𐌰	t w a
𐍄𐍅𐌰𐌳𐌳𐌾𐌴	t w a ɟ ɟ eː
𐍄𐍅𐌰𐌹	t w ɛː
𐍄𐍅𐌰𐌹𐌼	t w ɛː m
𐍄𐍅𐌰𐌻𐌹𐌱𐍅𐌹𐌽𐍄𐍂𐌿𐍃	t w a l i b w i n t r u s
𐍄𐍅𐌰𐌻𐌹𐍆	t w a l i ɸ
𐍄𐍅𐌰𐌽𐍃	t w a n s
𐍄𐍅𐍉𐍃	t w oː s
𐍅𐌰𐌲𐌲𐍃	w a ŋ ɡ s
𐍅𐌰𐌹𐌰𐌽	w ɛː a n
𐍅𐌰𐌹𐌰𐌽𐌳𐌹𐌽	w ɛː a n d i n
