'ਤੇ	t eː
ਬਲਕਿ	b ə l k eː
ਬਲਵੰਤ	b ə l ʋ ə n t̪
ਬਲਹੀਣ	b ə l ɦ iː ɳ
ਬਲਾਤਕਾਰ	b ə l äː t̪ k äː ɾ ə̆
ਬਲੂਤ	b ə l uː t̪
ਬਲੂੰਗਾ	b ə l uː ŋ ɡ äː
ਬਵੰਜਾ	b ə ʋ ə n d ʒ äː
ਬਸਤੀ	b ə s t̪ iː
ਬਸੀਠ	b ə s iː ʈʰ ə̆
ਬਸੰਤ	b ə s ə n t̪ ə̆
ਬਹੁਤ	b ɔː ˩˥ t
ਬਾਂਦਰ	b äː n d̪ ə ɾᵊ
ਬਾਂਹ	b ä̃ː ˦
ਬਾਈ	b äː iː
ਬਾਕ਼ੀ	b äː q iː
ਬਾਕੀ	b äː k iː
ਬਾਗ਼	b aː ɣ ə̆
ਬਾਘ	b ɑ́ː ɡ
ਬਾਜਵਾ	b äː d͡ʒ ʋ äː
ਬਾਜਾਰ	b ɑː d͡ʒ ɑː ɾ
ਬਾਜਾਰ	b ɑː z ɑː ɾ
ਬਾਜਾਰ	b ə d͡ʒ ɑː ɾ
ਬਾਜਾਰ	b ə z ɑː ɾ
ਬਾਝੋਂ	b äː ˥ d͡ʒ õː
ਬਾਣੀ	b äː ɳ iː
ਬਾਦਸ਼ਾਹ	b äː d̪ ʃ äː ˥
ਬਾਪੂ	b äː p uː
ਬਾਰਾਂ	b äː ɾ ä̃ː
ਬਾਰਿਸ਼	b aː ɾ ɪ ʃ
ਬਾਰੀ	b äː ɾ iː
ਬਾਹਮਣ	b äː ˥ m ə ɳ
ਬਾਹਰ	b äː ˦ ɾ ə̆
ਬਾਹਰਲਾ	b äː ˥ ɾ ə l äː
ਬਿਨ	b ɪ n
ਬਿਨਾਂ	b ɪ n ä̃ː
ਬਿਸਕੁਟ	b ɪ s k ʊ ʈ
ਬਿਹਾਰ	b i ɦ aː ɾ ə
ਬਿੰਦੀ	b ɪ n d̪ iː
ਬਿੱਲੀ	b ɪ lː iː
ਬੀਜ	b iː d͡ʒ ə̆
ਬੁਰਕੀ	b ʊ ɾ k iː
ਬੁਰਾ	b ʊ ɾ äː
ਬੁੱਧਵਾਰ	b ʊ ˦ d̪ː ʋ ä ɾ
ਬੂਟਾ	b uː ʈ äː
ਬੂਥਾ	b uː t̪ʰ äː
ਬੂਹਾ	b uː h äː
ਬੂੰਦੀ	b uː n d̪ iː
ਬੇਕਾਰੀ	b eː k äː ɾ iː
ਬੇਲੀ	b eː l iː
ਬੇਵਾ	b eː ʋ äː
ਬੇਹੂਦਗੀ	b eː ɦ uː d̪ ɡ iː
ਬੇੜਾ	b eː ɽ äː
ਬੇੜੀ	b eː ɽ iː
ਬੋਲਣਾ	b oː lᵊ ɳ äː
ਬੰਦ	b ə n d̪
ਬੰਦਾ	b ə n d̪ aː
ਬੰਦੂਕ	b ə n d̪ uː k
ਬੱਕਰਾ	b ə k k ə ɾ äː
ਬੱਕਰੀ	b ə k̚ k ɾ iː
ਬੱਕਰੀਆਂ	b ə k̚ k ɾ iː ä̃ː
ਬੱਕਰੀਓਂ	b ə k̚ k ɾ iː õː
ਬੱਚਾ	b ə t̪ t͡ʃ äː
ਬੱਤੀ	b ə t̪ t̪ iː
ਬੱਦਲ	b ə d̪ d̪ ə l
ਬੱਦਲ਼	b ə d̪ d̪ ə ɭᵊ
ਬੱਧਾ	b ə ˥ d̪̚ d̪ äː
ਬੱਬਾ	b ə bː aː
ਭ	bʱ
ਭ	bʱ ə b bʱ äː
ਭ	p ə̀ b b äː
ਭ	p ◌̀
ਭ	◌́ b
ਭਤ੍ਰੀਯਾ	b̥ ə ˥˩ t ɾ iː j aː
ਭਰੋਸਾ	p ə ˨ ɾ oː ˨ s ɑː
ਭਸੂੜੀ	p ə ˨ s uː ɽ iː
ਭਾਂਡਾ	p ä̃ː ˨ ɳ ɖ äː
ਭਾਈ	p äː ˩ iː ˧
ਭਾਜਪਾ	p äː d͡ʒ ˩ p äː
ਭਾਟੀਆ	p äː ˩ ʈ iː äː
ਭਾਦੋਂ	p äː ˩ d̪ õː
ਭਾਫ	p äː pʰ ˩
ਭਾਰਤ	p äː ˩ ɾ ə t̪
ਭਾਰਤੀ	p äː ɾ ˩ t̪ iː
ਭਾਰਾ	b h ɑː ˩˨ ɾ ɑː
ਭਾਲੂ	p äː ˩ l uː
ਭਾਵੇਂ	p ä̃ː ˥˩ m ẽː
ਭਾਵੇਂ	p ä̃ː ˥˩ ʋ ẽː
ਭਾਸ਼ਾ	p äː ˩ ʃ äː
ਭਾਸ਼ਾ	p äː ˩ ʃ äː ˧
ਭਿੰਡੀ	p ɪ ɳ ˩˨ ɖ iː
ਭਿੰਨ	p ɪ n n ˩
ਭੁੱਲ	p ʊ l l ˩
ਭੁੱਲਣਾ	p ʊ lː ˩ ɳ äː
ਭੂਏਂ	b uː ˦˨ ẽː
ਭੇਤ	p eː t̪ ˩
ਭੈਣ	p ɛ ˨ ɳ ə̆
ਭੈੜਾ	p ɛː ˨ ɽ äː
ਭੋਂਯੇ	b̥ oː ˥˩ ɲ d͡ʒ eː
ਭੋਂਯੇ	b̥ õː ˥˩ j eː
ਭੋਏਂ	b̥ oː ˥˩ ẽː
ਭੋਜਨ	p oː ˨ d͡ʒ ə n ə̆
ਭੜਕ	p ə ˩ ɽ ə k
ਭੰਗੜਾ	p ə ˨ ŋ ɡ ə̆ ɽ äː
ਭੱਜ	p ə ˨ d͡ʒː ə̆
ਭੱਜਣਾ	p ə ˨ d͡ʒː ə̆ ɳ aː
ਭੱਭਾ	bʱ ə b bʱ äː
ਭੱਭਾ	p ə̀ b b äː
ਮ	m ə
ਮ	m ə̆
ਮਕਾਨ	m ə k äː n
ਮਕਾਨਾ	m ə k äː n äː
ਮਕਾਨਾਂ	m ə k äː n ä̃ː
ਮਕਾਨੀਂ	m ə k äː n ĩː
ਮਕਾਨੋ	m ə k äː n oː
ਮਕਾਨੋਂ	m ə k äː n õː
ਮਗਰਲਾ	m ə ɡ ə ɾ l äː
ਮਗਰੋਂ	m ə ɡ ɾ õː
ਮਜ਼ੀਦ	m ə z iː d̪
ਮਠ	m ə ʈʰ
ਮਤੀਰਾ	m ə t̪ iː ɾ äː
ਮਨੀਪੁਰ	m ə ɳ iː p ʊ ɾ ə
ਮਨੋ	m ə n oː
ਮਮੇਰ	m a m eː ɾ ə̆
ਮਮੇਰਾ	m a m eː ɾ aː
ਮਰਗ	m ə ɾ ɡᵊ
ਮਸਤ	m ə s t̪
ਮਸਰੂਫ਼	m ə s ɾ uː f
ਮਸ਼ਗ਼ੂਲ	m ə ʃ ɣ uː l
ਮਸ਼ਹੂਰ	m ə ʃᵊ ɦ uː ɾ
ਮਸਾਲ	m ə s äː l
ਮਸੀਤ	m ə s iː t̪
ਮਸੇਰ	m a s eː ɾ ə̆
ਮਸੇਰਾ	m a s eː ɾ aː
ਮਹਾਰਾਜਾ	m äː ˨ː ɾ aː d͡ʒ aː
ਮਹਾਰਾਜਾ	m ə ɦ äː ɾ aː d͡ʒ aː
ਮਹਿੰਗਾ	m ɛ́ː ŋ ɡ aː
ਮਾਂ	m ä̃ː
ਮਾਂਹ	m ä̃ː ˦
ਮਾਈਆਂ	m äː iː j ä̃ː
ਮਾਘਰ	m aː ˩˥ ɡ ɡ ə ɾ
ਮਾਝਾ	m äː ˥ d͡ʒ äː
ਮਾਝੀ	m aː ˩˥ d d͡ʒ iː
ਮਾਦਾ	m äː d äː
ਮਾਨ	m ɑ n
ਮਾਪੇ	m äː p eː
ਮਾਰਚ	m äː ɾ t͡ʃ
ਮਾਰਚ	m äː ɾ ə t͡ʃ
ਮਾਰਨਾ	m äː ɾ n äː
ਮਾਲਿਸ਼	m aː l ɪ ʃ
ਮਾਲੀ	m äː lː iː
ਮਾਸਟਰ	m äː s ʈ ə ɾ
ਮਾਸੀ	m ɑː s s iː
ਮਾਹੀ	m äː ɦ iː
ਮਿਜ਼ੋਰਮ	m ɪ z oː ɾ ə m ə
ਮਿਨਟ	m ɪ n ə ʈ ʈᵊ
ਮਿਨਟ	m ɪ ɳ ʈᵊ
ਮਿਲ	m ɪ l
ਮਿੱਟੀ	m ɪ ʈ ʈ iː
ਮਿੱਠਾ	m ɪ ʈ̚ ʈʰ äː
ਮਿੱਤਰਾਂ	m ɪ t̪̚ t̪ ə ɾ ä̃ː
ਮੀਂਹ	m ĩː ˦
ਮੁਲਕ	m ʊ l ə k ə̆
ਮੁਹੰਮਦ	m ʊ ɦ ə m m ə d̪
ਮੁੰਡਾ	m ʊ ɳ ɖ äː
ਮੁੱਢ	m ʊ ˦ ɖː ə̆
ਮੁੱਲ	m ʊ lːᵊ
ਮੁੱਲਾਂ	m ʊ lː ãː
ਮੂਤਰ	m uː t̪ ə ɾ ə̆
ਮੂਰਖ	m uː ɾ kʰ ə̆
ਮੂਰਖ	m uː ɾ ə kʰ ə̆
ਮੂਲੀ	m uː l iː
ਮੂਸਾ	m uː s äː
ਮੂੰਹ	m ũː ˥
ਮੇਘਾਲਿਆ	m eː ɡ aː l ɪ aː
ਮੇਜ਼	m eː d͡ʒ ə̆
ਮੇਜ਼	m eː z ə̆
ਮੇਰਾ	m eː ɾ äː
ਮੈਂ	m ə ĩ
ਮੈਂ	m ɛ̃ː
ਮੈਂਡਾ	m ɛ̃ː ɳ ɖ aː
ਮੈਡਾ	m ɛː ɖ ɖ aː
ਮੈਥੋਂ	m ɛː t̪ʰ õː
ਮੈਨੂੰ	m ɛː n ũː
ਮੈਰਿਜ	m ɛː ɾ ɪ d͡ʒ ə̆
ਮੋਟਾ	m oː ʈː aː
ਮੋਰਚਾ	m oː ɾ t͡ʃ äː
ਮੋਹਰਾ	m oː ˥ ɾ äː
ਮੌਨਸੂਨ	m ɔː n s uː n
ਮੌਸਮ	m ɔː s ə m
ਮ੍ਹੈਂਸ	m ɛ̃ː s ˥˩
ਮੰਗਲ਼	m ə ŋ ɡ ə ɭ
ਮੰਝ	m ə ˨˦ ɲ d͡ʒ
ਮੰਝ	m ə ˨˦ ɲ d͡ʒʱ
ਮੰਝ	m ə ˩˥ ɲ d͡ʒ
ਮੰਡਣਾ	m ə ɳ ɖ ɳ aː
ਮੰਡਾ	m ə ɳ ɖ aː
ਮੰਨੀ	m ə n n iː
ਮੰਮਾ	m ə mː aː
ਮੱਛੀ	m ə t͡ʃʰː iː
ਮੱਝ	m ə ˩˥ d͡ʒːᵊ
ਮੱਮਾ	m ə mː aː
ਯ	j ə
ਯਕ	j ə k
ਯਕ਼ੀਨ	j ə q iː n
ਯਕ਼ੀਨਨ	j ə q iː n ə n
ਯਕੀਨ	j ə k iː n
ਯਕੀਨਨ	j ə k iː n ə n
ਯਸੂ	j ə s uː
ਯਸੂਹ	j ə s uː ˩˥
ਯਹਯਾ	j ə ˥ j äː
ਯਹੂਦੀ	j ə ɦ uː d̪ iː
ਯਾਕ਼ੂਬ	j äː q uː b
ਯਿਸੂ	j ɪ s uː
ਯੁਨਾਨ	j ʊ n äː nᵊ
ਯੂਕਰੇਨ	j uː k ɾ eː nᵊ
ਯੂਨਾਨ	j uː n äː nᵊ
ਯੂਨੁਸ	j uː n ʊ s
ਯੂਸੁਫ਼	j uː s ʊ f
ਯੱਯਾ	j ə jː aː
ਰ	ɾ ə
ਰਸਦ	ɾ ə s ə d̪
ਰਸੋਈ	ɾ ə s oː iː
ਰਹਿਣਾ	ɾ æ ˥ ɦ ɳ äː
ਰਹਿਣਾ	ɾ æ ˥ ɳ äː
ਰਹਿਣਾ	ɾ ɛ ˥ ɦ ɳ äː
ਰਹਿਣਾ	ɾ ɛ ˥ ɳ äː
ਰਾਖੀ	ɾ äː kʰ iː
ਰਾਜ	ɾ äː d͡ʒ ə̆
ਰਾਜਸਥਾਨ	ɾ aː d͡ʒ ə s ə t̪ aː n ə
ਰਾਜਾ	ɾ äː d͡ʒ äː
ਰਾਤ	ɾ äː t̪ ə̆
ਰਾਰਾ	ɾ aː ɾ aː
ਰਾਵਲਪਿੰਡੀ	ɾ äː w ə l p ɪ̃ ɳ ɖ iː
ਰਾਵਲਪਿੰਡੀ	ɾ äː ʋ ə l p ɪ̃ ɳ ɖ iː
ਰਾਵਲਪਿੰਡੀ	ɾ äː ˦ ɭ ə̆ p ɪ̃ ɳ ɖ iː
ਰਿਕਸ਼ਾ	ɾ ɪ k ʃ äː
ਰਿਸ਼ਤਾ	ɾ ɪ ʃ t̪ ä
ਰਿੱਛ	ɾ ɪ t̪ t͡ʃʰ
ਰੁਖ	ɾ ʊ kʰᵊ
ਰੁਖ਼	ɾ ʊ kʰᵊ
ਰੁਖ਼	ɾ ʊ xᵊ
ਰੁੱਤ	ɾ ʊ t̪ t̪
ਰੂਸ	ɾ uː s
ਰੇਖਾ	ɾ eː kʰ äː
ਰੌਲ਼ਾ	ɾ ɔː ɭ ɑː
ਰੰਗ	ɾ ə ŋ ɡᵊ
ਰੰਡੀ	ɾ ə ɳ ɖ iː
ਰੰਨ	ɾ ə n n
ਰੱਖਣਾ	ɾ ə kːʰ ə̆ ɳ äː
ਰੱਬ	ɾ ə b b ə̆
ਰੱਬੀ	ɾ ə b b iː
ਰੱਸੀ	ɾ ə s iː
ਲ	l ə
ਲਈ	l ə iː
ਲਫ਼ਜ਼	l ə f z ə̆
ਲਫ਼ਜ਼	l ə f ə z ə̆
ਲਫ਼ਜ਼	l ə pʰ ə d͡ʒ ə̆
ਲਫ਼ਾਫ਼ਾ	l ə f äː f äː
ਲਲਾਰੀ	l ə l äː ɾ iː
ਲਹਿਰ	l ə ɦ ɪ ɾ
ਲਹਿੰਦਾ	l ɛː ˩˥ n d aː
ਲਹੌਰ	l ɔː ˨ ɾ ə̆
ਲਹੌਰ	l ə ɦ ɔː ɾ
ਲ਼	ɭ ə
ਲਾਂਘਾ	l äː ˦ ŋ ɡ äː ˨
ਲਾਧਾ	l äː ˥ d̪ äː
ਲਾਮ	l äː m
ਲਾਮ	l äː m ə̆
ਲਿਆ	l ɪ äː
ਲੀਤਾ	l i t̪ t̪ aː
ਲੀਤਾ	l iː t̪ t̪ aː
ਲੁਧਿਆਣਾ	l ʊ t̪ ɪ aː ɳ aː
ਲੁੱਲੀ	l ʊ l l iː
ਲੂਣ	l uː nᵊ
ਲੂਣ	l uː ɳᵊ
ਲੂਤ	l uː t̪
ਲੂੰਬੜ	l uː m b ə ɽ
ਲੂੰਬੜੀ	l uː m b ə ɽ iː
ਲੂੰਬੜੀ	l uː m b ɽ iː
ਲੈਣਾ	l ɛː ɳ äː
ਲੋੜ	l oː ɽᵊ
ਲ੍ਹਾਸਾ	l aː s s aː
ਲ੍ਹਾਸਾ	l aː s ˥˩ s aː
ਲੜਾਕਾ	l ə ɽ aː k aː
ਲੱਡੂ	l ə ɖ̚ ɖ uː
ਲੱਦਾਖ਼	l ə d̪ d̪ äː x
ਲੱਧਾ	l ə ˥ d̪ː äː
ਲੱਭਣਾ	l ə ˦ bˑᵊ ɳ äː
ਲੱਲਾ	l ə l l aː
ਵ	ʋ ə
ਵਖਾਣਨਾ	ʋ ə kʰ äː ɳ n äː
ਵਜ਼ੀਰ	ʋ ə z iː ɾ
ਵਢਾਉਣਾ	ʋ ə ˩˥ ɖ äː ʊ ɳ äː
ਵਢਾਉਣਾ	ʋ ə ˩˥ ɖ ä͜ɔː ɳ äː
ਵਧਣਾ	ʋ ə d̪ ə̆ ɳ ä
ਵਧਣਾ	ʋ ə d̪ː ə̆ ɳ ä
ਵਧਣਾ	ʋ ə ˥ d̪ ə̆ ɳ ä
ਵਧਣਾ	ʋ ə ˥ d̪ː ə̆ ɳ ä
ਵਧੀਆ	ʋ ə d̪ʱ i j aː
ਵਧੀਆ	ʋ ə ˩˥ d̪ i j aː
ਵਰ	v ə rᵊ
ਵਰਗ	ʋ ə ɾ ə ɡ ə̆
ਵਰਗ	ʋ ə ɾ ɡ ə̆
ਵਰਗਾ	ʋ ə ɾ ɡ äː
ਵਰੁਣ	ʋ ə ɾ ʊ ɳ
ਵਲਾਇਤ	ʋ ə l æː t̪ ə̆
ਵਸਤੂ	b ə s t̪
ਵਸਨੀਕ	ʋ ə s n iː k
ਵਹੁਟੀ	ʋ ɔː ˦ ʈ iː
ਵਾਂਗ	ʋ äː ŋ ɡ
ਵਾਰ	ʋ ɑ̈ː ɾᵊ
ਵਾਰੀ	ʋ äː ɾ iː
ਵਾਲ	ʋ ɑː l
ਵਾਲ	ʋ ɑː ɭ
ਵਾਲ਼ਾ	ʋ äː ɭ äː
ਵਾਲ਼ੀ	ʋ äː ɭ iː
ਵਾਵਾ	ʋ aː ʋ aː
ਵਾਸਤਵ	ʋ äː s t̪ ə ʋ
ਵਾਸ਼ਪ	ʋ äː ʃ ə p
ਵਾਹਵਾ	ʋ äː ˦ ʋ äː
ਵਾਹਿਗੁਰੂ	ʋ ɑː h ǽ ɡ ʊ r uː
ਵਾੜ	ʋ äː ɽ ə̆
ਵਿਆਹ	ʋ ɪ äː ˥
ਵਿਚਕਾਰ	ʋ ɪ t͡ʃ k äː ɾ
ਵਿਸ਼ਾਣੂ	ʋ ɪ ʃ ɑː ɳ uː
ਵਿਹੁ	ʋ ɪ ˩˥
ਵਿਹੁ	ʋ ɪ ˩˥ʱ ʊ
ਵਿਹੂੰ	ʋ ɪ ɦ ũː
ਵਿਹੂੰ	ʋ ɪ ˩˥ ũː
ਵਿਹੂੰ	ʋ ɪ ˩˥ ũː ˥˩
ਵਿੱਚ	b ɪ t͡ʃː ɪ̆
ਵਿੱਚ	ɪ t͡ʃː ɪ̆
ਵਿੱਚ	ʋ ɪ t͡ʃː ɪ̆
ਵਿੱਚੋਂ	ʋ ɪ t̪ t͡ʃ õː
ਵਿੱਸ	ʋ ɪ sːᵊ
ਵਿੱਸੂ	ʋ ɪ s s uː
ਵੀ	ʋ iː
ਵੀਰਾਨ	ʋ iː ɾ aː n ə̆
ਵੀਹ	ʋ iː ˩˥
ਵੇਖਣਾ	ʋ eː kʰ ə̆ ɳ äː
ਵੇਖਣਾ	ʋ eː kʰ ɳ äː
ਵੇਲ਼ਾ	ʋ eː l äː
ਵੇਲ਼ਾ	ʋ eː ɭ äː
ਵੇੜ੍ਹਾ	ʋ eː ˦ ɽ äː
ਵੜਨਾ	ʋ ə ɽ ə̆ n ä
ਵੰਞਣਾ	ʋ ə̃ ɲ d͡ʒ ə ɳ aː
ਵੰਡਣਾ	ʋ ə ɳ ɖ ɳ äː
ਵੱਧ	ʋ ə d̪ː ˥ ə̆
ਵੱਲ	ə l l ɪ̆
ਵੱਲ	ʋ ə l l ɪ̆
ਵੱਲੋਂ	ʋ ə l l õː
ਸ	s ə
ਸਊਦੀ	s ə uː d d iː
ਸਗੁਣ	s ə ɡ ʊ ɳ
ਸਟੋਰੀ	s ʈ oː ɾ iː
ਸਤਵਾਂ	s ə t̪ ʋ ä̃ː
ਸਤਵੰਜਾ	s ə t̪ᵊ ʋ ə n d ʒ äː
ਸਤਾਈ	s ə t̪ äː iː
ਸਤਾਰਾਂ	s ə t̪ äː ɾ ä̃ː
ਸਨਮ	s ə n ə m ə̆
ਸਬਜ਼ੀ	s ə b z iː
ਸਬਰ	s ə b ə ɾ
ਸਮ	s ə m
ਸਮਾਜਵਾਦ	s ə m äː d͡ʒ ʋ äː d̪
ਸਮਾਧ	s ə m äː ˥
ਸਮਾਨ	s ə m äː n
ਸਮੇਂ	s ə m ẽː
ਸਮੈ	s ə m ɛː
ਸਮੋਸਾ	s ə m oː s äː
ਸਮੱਗਰੀ	s ə m ə ɡ ɡ ə ɾ iː
ਸਰਗੁਣ	s ə ɾ ɡ ʊ ɳ
ਸਰਦਾਰ	s ə ɾ d̪ äː ɾ
ਸਰਫ਼ਰਾਜ਼	s ə ɾᵊ f ə ɾ äː d͡ʒ ə̆
ਸਰਫ਼ਰਾਜ਼	s ə ɾᵊ f ə ɾ äː z
ਸਰਫ਼ਰਾਜ਼	s ə ɾᵊ f ɾ äː d͡ʒ ə̆
ਸਰਫ਼ਰਾਜ਼	s ə ɾᵊ f ɾ äː z
ਸਰਫ਼ਰਾਜ਼	s ə ɾᵊ pʰ ə ɾ äː d͡ʒ ə̆
ਸਰੀਰ	s ə ɾ iː ɾ
ਸਵਖਤਾ	s ə ʋ kʰ ə t̪ äː
ਸਵਰਨ	s ə ʋ ɾ ə n
ਸਵਾਰ	s ə ʋ äː ɾ
ਸਵੇਰ	s ə ʋ eː ɾ
ਸਵੇਰਾ	s ə ʋ eː ɾ äː
ਸਵੇਰੇ	s ə ʋ eː ɾ eː
ਸਸਕਾਰ	s ə s k aː ɾᵊ
ਸਸਤਾ	s ə s t̪ aː
ਸਹਾ	s ə ɦ aː
ਸਹਾ	s ɛ ˩˥ äː
ਸਹਾ	s ɛ ˩˥ ɦ äː
ਸਹੀ	s ə ɦ iː
ਸਹੀ	s ə ɦ iː ˩˥
ਸਹੀ	s ə ˩˥ iː
ਸਹੁਰਾ	s ɔː ˦ ɾ äː
ਸ਼	ʃ ə
ਸ਼ਤਰੰਜ	ʃ ə t̪ r ə n d͡ʒᵊ
ਸ਼ਬਦ	s ə b ə d̪ ə̆
ਸ਼ਬਦ	ʃ ə b d ə̪̆
ਸ਼ਬਦ	ʃ ə b ə d̪ ə̆
ਸ਼ਮਸ਼ਾਨ	ʃ ə m ʃ äː n
ਸ਼ਮਸ਼ਾਲ	ʃ ə m ʃ äː l
ਸ਼ਰਤ	ʃ ə ɾ t̪
ਸ਼ਰਮ	ʃ ə ɾ ə m ə̆
ਸ਼ਰਾਫ਼ਤ	ʃ ə ɾ äː f ə t̪
ਸ਼ਰਾਰਤ	ʃ ə ɾ äː ɾ ə t̪
ਸ਼ਲਗਮ	ʃ ə l ɡ ə m
ਸ਼ਲਗਮ	ʃ ə l ɣ ə m
ਸ਼ਹਿਦ	ʃ ə ɦ ɪ d̪ ə̆
ਸ਼ਹਿਦ	ʃ ɛː ˦ d̪ ə̆
ਸ਼ਹਿਰ	ʃ ɛː ˦ ɾ ə̆
ਸ਼ਾਂਤੀ	ʃ ɑ̃ː n t̪ iː
ਸ਼ਾਗਿਰਦ	ʃ äː ɡ ɪ ɾ ə d̪
ਸ਼ਾਦੀ	ʃ ɑː d̪ iː
ਸ਼ਾਬਾਸ਼	ʃ äː b äː ʃᵊ
ਸ਼ੀਂਹ	ʃ ĩː ˩˥
ਸ਼ੁਕਰੀਆ	ʃ ʊ k ə̆ ɾ i j aː
ਸ਼ੁਕਰੀਆ	ʃ ʊ k ɾ i j aː
ਸ਼ੁਭ	ʃ ʊ b ˥
ਸ਼ੁਯੈਬ	ʃ ʊ j ɛː b
ਸ਼ੁੱਕਰ	ʃ ʊ k k ə ɾ
ਸ਼ੁੱਕਰਵਾਰ	ʃ ʊ k k ə ɾ ʋ äː ɾ
ਸ਼ੇਰ	ʃ eː ɾ
ਸ਼ੈਤਾਨ	ʃ ɛ t aː n
ਸ਼੍ਰੀ	s ɾ iː
ਸ਼੍ਰੀ	ʃ ɾ iː
ਸ਼ੱਕ	ʃ ə kː ə̆
ਸ਼ੱਕਰ	ʃ ə kː ə ɾ
ਸ਼ੱਕਰ	ʃ ə kː ɾ
ਸਾਂਦ	s äː n d̪ ɪ̆
ਸਾਂਭ	s äː m ˥
ਸਾਂਭਣਾ	s äː m ˥ b ɳ äː
ਸਾਊਦੀ	s aː u d iː
ਸਾਡਾ	s äː ɖ äː
ਸਾਨੂੰ	s ä̃ː n ũː
ਸਾਫ਼	s ɑː f
ਸਾਫ਼	s ɑː pʰ
ਸਾਮਾਨ	s äː m äː n
ਸਾਰਾ	s ɑː ɾ ɑː
ਸਾਲਿਹ	s äː l ɪ ˥
ਸਾਵਾ	s äː ʋ äː
ਸਾਹ	s äː ˦
ਸਾਹ	s äː ˦ ɦ
ਸਾਹਿਬ	s ɑː ˦ ɦ ə bᵊ
ਸਿਆਪਾ	s ɪ äː p äː
ਸਿਕਿਮ	s ɪ k ɪ m ə
ਸਿਕੰਜਵੀਂ	s ɪ̆ k ə ɲ d͡ʒ ə̆ m ĩː
ਸਿਕੰਜਵੀਂ	s ɪ̆ k ə ɲ d͡ʒ ə̆ ĩː
ਸਿਕੰਜਵੀਂ	s ɪ̆ k ə ɲ d͡ʒ ə̆ ʋ ĩː
ਸਿਫ਼ਤ	s ɪ f ə t̪
ਸਿਫ਼ਰ	s ɪ f ə ɾ ə̆
ਸਿਫ਼ਰ	s ɪ pʰ ə ɾ ə̆
ਸਿਰ	s ɪ ɾ ə̆
ਸਿਰਹਾਣਾ	s ɪ ɾ äː ˨ ɳ äː
ਸਿੰਘ	s ɪ ˩˥ ŋ ɡ
ਸੀਟ	s iː ʈᵊ
ਸੀਲ	s iː l
ਸੀਸ	s iː s ə̆
ਸੁਆਦ	s o w ɑ̈ː d̪
ਸੁਆਦ	s o ɑ̈ː d̪
ਸੁਆਦ	s w ɑ̈ː d̪
ਸੁਆਦ	s ə w ɑ̈ː d̪
ਸੁਆਦ	s ə ʋ ɑ̈ː d̪
ਸੁਆਦ	s ʊ ɑ̈ː d̪ᵊ
ਸੁਆਦ	s ʋ ɑ̈ː d̪
ਸੁਆਸ	s ʊ äː s
ਸੁਆਹ	s ʊ äː ˥
ਸੁਨੇਹਾ	s ʊ n eː ˨ äː
ਸੁਬ੍ਹਾ	s ʊ ˥ b äː
ਸੁਲੇਮਾਨ	s ʊ l eː m äː n
ਸੁਸੂ	s ʊ s uː
ਸੁੰਘਣਾ	s ʊ ŋ ˥ ɡ ɳ äː
ਸੁੱਟਣਾ	s ʊ ʈ ʈ ə̆ ɳ aː
ਸੂਰ	s uː ɾ ə̆
ਸੂਸੂ	s uː s uː
ਸੇਉ	s eː w
ਸੇਬ	s eː b ə̆
ਸੇਵਾਦਾਰ	s eː ʋ äː d̪ äː ɾ
ਸੈਂਤੀ	s ɛ̃ː t̪ iː
ਸੋਚਣਾ	s oː t͡ʃ ɳ äː
ਸੋਧ	s oː dᵊ ˦
ਸੋਧਣਾ	s oː d ˥ ɳ äː
ਸੋਨਾ	s oː n ɑː
ਸੋਮਵਾਰ	s oː m ʋ äː ɾ
ਸੋਲ਼ਾਂ	s oː ɭ ãː ˦˨
ਸੋਹਣਾ	s oː ˦ ɳ äː
ਸੌ	s ɔː
ਸੌਵਾਂ	s ə̯ u ʋ ä̃ː
ਸ੍ਰੀ	s ɾ iː
ਸ੍ਰੀ	ʃ ɾ iː
ਸ੍ਵਰ	s ʋ ə ɾ ə̆
ਸੜਨਾ	s ə ɽ n äː
ਸੰਗ	s ə ŋ ɡ
ਸੰਝ	s ə ˥ ɲ d͡ʒ ə̆
ਸੰਤਾਲ਼ੀ	s ə n t̪ äː ɭ iː
ਸੰਦੂਕ਼ੜੀ	s ə n d̪ uː q ɽ iː
ਸੰਧਿਆ	s ə ˩˥ n d ɪ aː
ਸੰਬੰਧ	s ə m b ə ˦ n d̪
ਸੰਯੁਕਤ	s ə ɲ d͡ʒ ʊ k t ə̆
ਸੰਯੁਕਤ	s ə ɲ j ʊ k t ə̆
ਸੱਚ	s ə t̪ t͡ʃᵊ
ਸੱਜਣ	s ə d͡ʒ d͡ʒ ə ɳᵊ
ਸੱਟ	s ə ʈːᵊ
ਸੱਟਣਾ	s ə ʈ ʈ ə̆ ɳ aː
ਸੱਠ	s ə ʈ ʈʰ
ਸੱਤ	s ə t̪ː ə̆
ਸੱਤਰ	s ə t̪ t̪ ə ɾ
ਸੱਪ	s ə p p
ਸੱਸ	s ə sːᵊ
ਸੱਸਾ	s ə s s aː
ਹ	ɦ
ਹ	ɦ aː ɦ a
ਹ	ɦ ə
ਹ	˥˩
ਹ	˩˥
ਹਉਕਾ	ɦ ɔː kː aː
ਹਉਕਾ	ɦ ə u kː aː
