Achab	aː k a b
lordlyng	l ɔː r d l i n ɡ
lordlyng	l ɔː r l i n ɡ
lordlyng	l ɔː v ə r d l i n ɡ
lore	l aː r
lore	l ɑː r ə
lore	l ɔː r ə
lore	l ɛː r
lore	l ɛː r ə
loresman	l aː r ɛ s m a n
loresman	l ɔː r ɛ s m a n
lorfadyr	l aː r f a d ə r
lorfadyr	l ɔː r f a d ə r
lorþein	l aː r ð ɛ j n
lorþein	l ɔː r ð ɛ i̯ n
los	l ɔ s
los	l ɔː s
losen	l a u̯ s ə n
losen	l oː s ə n
losen	l ɔ u̯ s ə n
losenge	l ɔ z a n d͡ʒ ə
losenge	l ɔ z ɛ n d͡ʒ ə
losengen	l ɔ z ɛ n d͡ʒ ə n
losengeour	l ɔ z ɛ n d͡ʒ eː r
losengeour	l ɔ z ɛ n d͡ʒ u r
losengeour	l ɔ z ɛ n d͡ʒ uː r
losengeour	l ɔ z ɛ n d͡ʒ ə r
losengerie	l ɔ z ɛ n d͡ʒ ə r iː ə
losse	l ɔ s ɛ
losynge	l oː s i n ɡ
loth	l ɔː θ
loud	l uː d
loude	l uː d ə
lous	l uː s
louten	l uː t j ə n
louten	l uː t ə n
lovable	l u v aː b l ə
lovable	l u v aː b ə l
lovable	l ɔː v aː b l ə
lovable	l ɔː v aː b ə l
love	l aː f
love	l aː v ə
love	l oː f
love	l oː v ə
love	l u v ə
love	l ɔː v ə
loveache	l u v a d͡ʒ ə
loveache	l u v ə aː t͡ʃ ə
loveday	l u v ə d æ i̯
loveles	l u v ə l ɛ s
loveles	l u v ə l ɛː s
lovely	l u v ə l i t͡ʃ
lovely	l u v ə l i t͡ʃ ə
lovely	l u v ə l iː
lovelyly	l u v ə l i l iː
lovelyly	l u v ə l iː l iː
loven	l oː v ə n
loven	l u v ə n
loven	l ɒː v ə n
loven	l ɔ v ə n
loven	l ɔː v ə n
lover	l oː v eː r
lover	l oː v ə r
lover	l u v eː r
lover	l u v ə r
lovere	l u v j ə r ə
lovere	l u v ə r ə
lovere	l ɔ v ə r ə
lovere	l ɔː v ə r ə
loverede	l u v ə r ɛ d ə
loverede	l u v ə r ɛː d ə
loverede	l u v ə r ɛː d ə n
lovesom	l u f s u m
lovesom	l u v ə s u m
lovynge	l oː v i n ɡ ə
lovynge	l u v i n ɡ ə
lovynge	l ɔ v i n ɡ ə
lovynge	l ɔː v i n ɡ ə
lowting	l uː t i n ɡ
loyne	l i u̯ n ə
loyne	l u i̯ n ə
lude	l i u̯ d ə
lude	l uː d ə
luk	l u k
lukky	l u k iː
lune	l i u̯ n ə
lusk	l u s k
lusty	l u s t iː
lustyhede	l u s t iː h ɛː d
luxurie	l u k s j u r i ə
luxurie	l u k s j uː r ə
luxurious	l u k s j uː r i u s
luxurious	l u k s j uː r i uː s
lyard	l iː a r d
lyard	l iː a r t
lycorys	l i k u r i s
lycorys	l i k u r iː s
lyf	l iː f
lyfles	l iː f l ɛ s
lyfles	l iː f l ɛː s
lykewyse	l iː k w iː z
lym	l iː m
lymbo	l i m b ɔː
lyme	l eː m ə
lyme	l i m ə
lymon	l i m u n
lymon	l i m ə n
lyne	l i n
lyne	l iː n
lyne	l iː n ə
lynet	l i n ɛ t ə
lyng	l i n ɡ
lynx	l i n k s
lyoun	l i uː n
lyoun	l iː u n
lyoun	l iː uː n
lyoun	l ɛ uː n
lyoun	l ɛː u n
lyoun	l ɛː uː n
lyoure	l iː u r ə
lyoure	l iː uː r ə
lyoure	l iː ə r ə
lyven	l eː v ə n
lyven	l i v ə n
lyvere	l eː v ə r ə
lyvere	l i v r ə
lyvere	l i v ə r ə
lyveren	l i v ə r ə n
lyverwort	l eː v ə r w u r t
lyverwort	l i v r ə w u r t
lyverwort	l i v ə r w u r t
maate	m iː t
maate	m ɔː t
maate	m ɛ t
macche	m a t͡ʃ ə
macche	m ɛ t͡ʃ ə
macchen	m a t͡ʃ ə n
macchen	m ɛ t͡ʃ ə n
mace	m aː s ə
macer	m aː s ə r
macer	m aː s ɛː r
macula	m a k i u̯ l a
macys	m aː s i s
macys	m aː s ə
mad	m a d
mad	m aː d
mad	m ɛ d
madame	m a d a m ə
madame	m a d aː m ə
madden	m a d ə n
mader	m a d r ə
mader	m a d ə r ə
madhede	m a d h ɛː d
madli	m a d l iː
madli	m a d l iː t ʃ ə
madnesse	m a d n ɛ s ə
madschipe	m a d ʃ i p ə
mages	m aː d ʒ i s
mages	m aː d ʒ iː
mageste	m a d͡ʒ ɛ s t eː
mageste	m aː d͡ʒ ɛ s t eː
magicien	m a d͡ʒ i s i ɛː n
magicien	m a d͡ʒ i s j ɛ n
magik	m a d ʒ i k ə
magik	m a d ʒ iː k ə
magnes	m a ɡ n ɛ s
magnes	m a ɡ n ɛː s
magnete	m a ɡ n ɛ t ə
magnete	m a ɡ n ɛː t ə
magot	m a ɡ ɔ t
maidenchild	m ɛ i̯ d ə n t͡ʃ i l d
maistresse	m æ i̯ s t r ɛ s ə
make	i m aː k ə
make	m a k ə
make	m aː k ə
maken	m a k ə n
maken	m aː k ə n
maker	m aː k ə r ə
maladie	m a l a d iː ə
maladie	m a l ə d iː ə
malard	m a l a r d
malard	m a u̯ d ə l a r d
malard	m a u̯ l a r d
male	m aː d l ə
male	m aː d ə l
male	m aː l
male	m aː l ə
malediccion	m a l ɛ d i k s i oː n
malediccion	m a l ɛ d i k s j u n
malencolie	m a l ə n k ɔː l iː ə
malencolie	m a l ɛ n k ɔ l iː ə
malencolie	m ɛ l ə n k ɔː l iː ə
malencolie	m ɛ l ɛ n k ɔ l iː ə
malencolien	m a l ə n k ɔː l iː ɛ n
malencolien	m a l ɛ n k ɔ l iː ɛ n
malencolien	m ɛ l ə n k ɔː l iː ɛ n
malencolien	m ɛ l ɛ n k ɔ l iː ɛ n
malencolik	m a l ə n k ɔː l i k
malencolik	m a l ɛ n k ɔ l i k
malencolik	m ɛ l ə n k ɔː l i k
malencolik	m ɛ l ɛ n k ɔ l i k
malencolious	m a l ə n k ɔː l i uː s
malencolious	m a l ɛ n k ɔː l i uː s
malencolious	m ɛ l ə n k ɔː l i uː s
malencolious	m ɛ l ɛ n k ɔː l i uː s
maligne	m a l i n ɡ n ə
maligne	m a l iː n ə
malignen	m a l i n ɡ n ə n
malignen	m a l iː n ə n
malisoun	m a l i s u n
malisoun	m a l i s uː n
malisoun	m a l i z u n
malisoun	m a l i z uː n
malmesye	m a l m ɛ z iː ə
malt	m a l t
malt	m a u̯ l t
maltalent	m a l t a l ɛ n t
maltalent	m a u̯ t a l ɛ n t
maltalent	m aː l t a l ɛ n t
maltestere	m a l t s t ə r ə
maltestere	m a l t ə s t ə r ə
malvesye	m a l v ɛ z iː ə
malwe	m a l i u̯ ə
malwe	m a l v ə
malwe	m a l w ə
malwe	m a l ɔ u̯ ə
manace	m a n a s ə
manace	m a n aː s ə
manacen	m a n a s ə n
manacen	m a n aː s ə n
manchet	m a n t͡ʃ ɛ t
manchet	m a n t͡ʃ ɛː t
mane	m aː n ə
maner	m a n uː r
maner	m a n ə r
maner	m a n ə r ə
maner	m a n ɛː r
maner	m a n ɛː r ə
maner	m aː n ə r ə
maner	m aː n ɛː r ə
manered	m a n ə r i d
manered	m a n ɛː r i d
manered	m aː n ə r d
manered	m aː n ə r i d
manered	m aː n ɛː r i d
manerly	m a n eː r l iː
manerly	m a n ə r l iː
manful	m a n f u l
manfully	m a n f u l l iː
manger	m aː n d ʒ uː r
manger	m aː n d ʒ ə r
mangerie	m a u̯ n d͡ʒ ə r iː ə
mangerie	m aː n d͡ʒ ə r iː ə
manly	m a n l iː
manly	m ɔ n d l iː
manly	m ɔ n l iː
manquellere	m a n k w ɛ l ə r ə
manrede	m a n r ɛː d ə
manrede	m a n r ɛː d ə n
mansioun	m a n s j u n
mansioun	m a n s j uː n
mantel	m a n t ə l
mantel	m a n t ɛː l
mantellen	m a n t ə l ə n
mapel	m a p ə l
mapel	m aː p ə l
mareys	m a r i s
mareys	m a r i ʃ
mareys	m a r æ i̯ s
margyn	m a r d͡ʒ i n
margyn	m a r d͡ʒ iː n
marien	m a r iː ə n
marin	m a r i n
marin	m a r iː n
marinel	m a r i n ɛ l
mariner	m a r i n eː r
mariner	m a r i n ə r
maris	m a r i s
maris	m a r iː s
market	m a r k a t
market	m a r k eː t
market	m a r k ɛ t
market	m a r k ɛ θ
market	m a r k ɛː θ
market	θ
marle	m a r l ə
marle	m aː r l ə
marlen	m a r l ə n
marow	m a r i u̯
marow	m a r x
marow	m a r ɔ u̯
marowy	m a r ɔ u̯ iː
marowy	m ɛ r ɔ u̯ iː
marschal	m a r i s t͡ʃ a l
marschal	m a r i s t͡ʃ aː l
marschal	m a r t͡ʃ a l
marschal	m a r t͡ʃ aː l
marschal	m a r ʃ a l
masculyn	m a s k i u̯ l i n ə
masculyn	m a s k i u̯ l iː n ə
mase	m aː z ə
mased	m aː z d
mased	m aː z ə d
masedliche	m aː z ə d l iː
masedliche	m aː z ə d l iː t ʃ ə
masen	m aː z ə n
maser	m aː z ə r
maser	m aː z ɛː r
masse	m a s ə
massif	m a s i f
massy	m a s iː
mastik	m a s t i k
mastyf	m a s t i f
mastyf	m a s t iː f
mat	m a t
mat	m aː t
mate	m aː t ə
maten	m aː t ə n
materas	m a t ə r a s
materas	m a t ə r aː s
materas	m a t ə r ə s
matere	m a t ə r ə
matere	m a t ɛː r ə
matere	m aː t ə r
matere	m aː t ə r ə
material	m a t ɛ r i aː l
material	m a t ɛ r i ɛː l
material	m a t ɛː r i a l
material	m a t ɛː r i ɛ l
material	m aː t ɛ r i aː l
materialy	m a t ɛ r i aː l iː
materialy	m a t ɛː r i a l iː
materialy	m a t ɛː r i a l iː t ʃ ə
materialy	m aː t ɛ r i aː l iː
matrice	m aː t r i s ə
matrice	m aː t r iː s ə
matrone	m aː t r oː n ə
matrone	m aː t r u n ə
matrone	m aː t r uː n ə
matrone	m aː t r ɔ n ə
matte	m a t ə
mattok	m a t ɔ k
maturacioun	m aː t i u̯ r aː s i uː n
maturacioun	m aː t i u̯ r aː s j u n
maturatif	m aː t i u̯ r aː t i f
maturatif	m aː t i u̯ r aː t iː f
mature	m a t i u̯ r ə
mature	m aː t i u̯ r ə
maturen	m a t i u̯ r ə n
maturen	m aː t i u̯ r ə n
maturynge	m a t i u̯ r i n ɡ ə
maturynge	m aː t i u̯ r i n ɡ ə
matyns	m a t i n s
matyns	m a t iː n s
maunde	m a n d eː
maunde	m a u̯ n d eː
maunde	m a u̯ n d ə
maundement	m a n d i m ɛ n t
maundement	m a u̯ n d i m ɛ n t
mavys	m aː v i s
mavys	m aː v iː s
mawe	m a u̯ ə
mawe	m a ɣ ə
mawmene	m a u̯ m ɛ n eː
mawmet	m a u̯ m ɛ n t
mawmet	m a u̯ m ɛ t
mawmet	m a u̯ m ɛː t
mawmetrie	m a u̯ m ɛ n t r iː ə
mawmetrie	m a u̯ m ɛ t r iː ə
mawmetrie	m a u̯ m ɛː t r iː ə
mayden	m ɛ i̯ d ə n
mayle	m ɛ i̯ l ə
mayled	m ɛ i̯ l i d
mayled	m ɛ i̯ l ɛ d
maylet	m ɛ i̯ l ɛ t
mayn	m a j ə n
mayn	m æ i̯ n
maynful	m æ i̯ n f u l
maynly	m ɛ i̯ n l iː
maynly	m ɛ i̯ n l iː t ʃ ə
maynouren	m a n i u̯ r ə n
maynouren	m æ i̯ n u r ə n
maynouren	m æ i̯ n uː r ə n
maynouren	m æ i̯ n ə r ə n
maythe	m a u̯ ð ə
maythe	m æ i̯ ð ə
mazidnesse	m aː z ə d n ɛ s
me	m eː
mecche	m a t͡ʃ ə
mecche	m ɛ t͡ʃ ə
meche	m eː t͡ʃ ə
meche	m ɛː t͡ʃ ə
mede	m eː d ə
mede	m ɛː d ə
mede	m ɛː θ
medeful	m eː d ə f u l
medefully	m eː d ə f u l iː
meden	m eː d ə n
medewax	m ɛː d ə w a k s
medewax	m ɛː d ə w ɛ k s
medewort	m ɛː d ə w u r t
medle	m ɛ d l ə
medle	m ɛ d ə l
medle	m ɛː l ə
medler	m ɛ d l eː r
medler	m ɛ d l ə r
medwe	m ɛː d i u̯ ə
medwe	m ɛː d w ə
medwe	m ɛː d ɔ u̯ ə
megre	m ɛː ɡ r ə
megre	m ɛː ɡ ə r
mekanyk	m ɛː k a n i k ə
mekanyk	m ɛː k a n iː k ə
mel	m ɛː l
mele	m æː l ə
mele	m ɛː l ə
melten	m ɛ l t ə n
menage	m æ i̯ n aː d͡ʒ ə
menage	m ɛ n aː d͡ʒ ə
menage	m ɛː n aː d͡ʒ ə
menowe	m ɛ n i u̯ ə
menowe	m ɛ n ɔ u̯ ə
mensk	m ɛ n s k ə
menske	m ɛ n k ə
menske	m ɛ n s k ə
mensken	m ɛ n s k ə n
menskful	m ɛ n s k ə f u l
menskfully	m ɛ n s k ə f u l l iː
menskly	m ɛ n s k ə l iː
menuse	m ɛ n i s ə
menuse	m ɛ n i u̯ s ə
menuse	m ɛ n u s ə
merche	m a r t͡ʃ ə
merche	m ɛ r t͡ʃ ə
mereswyn	m æː r ə s w iː n
mereswyn	m ɛ r ə s w iː n
mereswyn	m ɛː r ə s w iː n
merily	m i r i l iː
merily	m i r iː l iː
merily	m i r iː l iː t ʃ ə
merily	m u r iː l iː
merily	m ɛ r i l iː
merily	m ɛ r iː l iː
merines	m i r iː n ɛ s
merines	m ɛ r iː n ɛ s
merlioun	m ɛ r l i n
merlioun	ɛ m ɛ r l i uː n
merlioun	ɛ m ɛ r l j u n
merssh	m a r ʃ
merssh	m ɛ r ʃ
mersshy	m a r ʃ iː
mersshy	m ɛ r ʃ iː
merveile	m ɛ r v æ i̯ l ə
merveile	m ɛ r v ə l ə
merveile	m ɛ r v ɛ l ə
merveilen	m ɛ r v æ i̯ l ə n
merveilen	m ɛ r v ɛ l ə n
merveilous	m ɛ r v ə l ə s
merveilous	m ɛ r v ɛ l u s
merveilous	m ɛ r v ɛ l uː s
merveilously	m ɛ r v ə l ə s l iː
merveilously	m ɛ r v ɛ l u s l i t͡ʃ ə
merveilously	m ɛ r v ɛ l u s l iː
merveilously	m ɛ r v ɛ l uː s l i t͡ʃ ə
merveilously	m ɛ r v ɛ l uː s l iː
merveilynge	m ɛ r v æ i̯ l i n ɡ
merveilynge	m ɛ r v ə l i n ɡ ə
merveilynge	m ɛ r v ɛ l i n ɡ ə
mery	m i r iː ə
mery	m u r iː ə
mery	m ɛ r iː ə
messe	m ɛ s ə
messen	m ɛ s ə n
met	m ɛ t
metal	m ɛ t a l
metal	m ɛ t aː l
metal	m ɛ t ə l
mete	m ɛ t
mete	m ɛː t ə
meteles	m ɛ t l ɛː s
meteles	m ɛː t ə l ɛ s
meteles	m ɛː t ə l ɛː s
metropol	m ɛː t r ɔ p ɔ l
mette	m ɛ t ə
mewe	m i u̯ ə
mewe	m ɛ u̯
mewen	m i u̯ ə n
mewen	m ɛ u̯ ə n
mewynge	m i u̯ i n ɡ
meyne	m æ i̯ n eː
meyne	m ɛː n eː
meyneal	m æ i̯ n eː aː l
meyneal	m æ i̯ n i a l
meyneal	m ɛː n i a l
mi	m i
mi	m iː
mid	m i d
middel	m i d ə l
middel	m ɛ d ə l
middelerd	m i d ə l a r d
middelerd	m i d ə l ɛ r d
middelerthe	m i d ə l ɛ r θ ə
middenerd	m i d ə n a r d
middenerd	m i d ə n ɛ r d
mile	m i l
mile	m iː l
milte	m i l t ə
min	m iː n
mincen	m i n s ə n
mincen	m i n t ʃ ə n
ministracioun	m i n i s t r aː s i uː n
ministracioun	m i n i s t r aː s j u n
ministre	m i n i s t ə r
ministre	m i n ə s t ə r
mire	m iː r
mire	m iː r ə
mire	m yː r
mirien	m i r iː ə n
mirien	m u r iː ə n
mirour	m i r u r
mirour	m i r uː r
mirour	m ɛ r uː r
mirre	m i r ə
miserie	m i z ɛ r iː
misgang	m i s ɡ a n ɡ
mistel	m i s t ə l
mistelto	m i s t ə l t ɔː
mistelto	m i s t ə l t ə n
misten	m i s t ə n
mister	m i s t ə r
mister	m i s t ɛː r
mithen	m iː ð ə n
miȝen	m iː ə n
miȝen	m iː ɣ ə n
mo	m ɔː
moddrie	m ɔ d r iː ə
mode	m oː d
mode	m oː d ə
mode	m ɔː d ə
moder	m oː d ə r
moder	m oː ð ə r
moderhede	m oː d ə r h oː d
moderhede	m oː d ə r h ɔː d
moderhede	m oː d ə r h ɛː d
moderles	m oː d ə r l ɛ s
moderles	m oː d ə r l ɛː s
moderly	m oː d ə r l iː
moderly	m oː d ə r l iː t ʃ
moderwort	m oː d ə r w u r t
modilich	m oː d iː l iː
modilich	m oː d iː l iː k ə
modilich	m oː d iː l iː t ʃ ə
modinesse	m oː d iː n ɛ s
mody	m oː d iː
moiste	m ɔ i̯ s t ə
moisten	m ɔ i̯ s t ə n
moistinge	m ɔ i̯ s t i n ɡ
moistnesse	m ɔ i̯ s t ə n ɛ s
moisture	m ɔ i̯ s t i u̯ r ə
moisture	m ɔ i̯ s t u r ə
moisture	m ɔ i̯ s t ə r ə
molde	m oː l d ə
molde	m ɔ l d ə
moldebred	m oː l d ə b r ɛ d ə
moldebred	m ɔ l d ə b r ɛ d ə
molden	m ɔː l d ə n
moldere	m ɔː l d ə r ə
moldewarpe	m ɔ l d ə w a r p ə
moldewarpe	m ɔ l d ə w ɛ r p ə
moldyng	m ɔː l d i n ɡ
molesten	m ɔ l ɛ s t ə n
moleyne	m u l i n ə
moleyne	m u l æ i̯ n ə
molle	m u l
molle	m ɔ l
molle	m ɔ l ə
mollen	m u i̯ l ə n
mollen	m u l ə n
mollen	m ɔ l ə n
mollifien	m ɔ l i f iː ə n
mon	m a n
mon	m ɔ n
mone	m oː n ə
mone	m u n ə
mone	m ɔː n
monen	m u n ə n
monen	m ɔː n ə n
moneth	m oː n ə θ
moneth	m ɔ n ə θ
moneye	m u n ɛ i̯ ə
moneyeles	m u n ɛ i̯ ə l ɛː s
moneyen	m u n ɛ i̯ ə n
moneyour	m u n i u r
moneyour	m u n i u̯ r
moneyour	m u n ɛ i̯ u r
moneyour	m u n ɛ i̯ uː r
moneyour	m u n ɛ i̯ ə r
monfulnesse	m ɔ n f u l n ɛ s
mongere	m ɔ n ɡ ə r ə
monstre	m ɔ n s t r ə
monstre	m ɔ n s t ə r
monstruous	m ɔ n s t r i u̯ uː s
monstruous	m ɔ n s t r uː s
monymaker	m u n i m aː k ə r ə
monymaker	m u n ɛ i̯ m aː k ə r ə
mor	m oː r
more	m ɒː r ə
more	m ɔː r ə
morsel	m ɔ r s ə l
morter	m ɔ r t eː r
morter	m ɔ r t ɛ r
morter	m ɔː r t ɛ r
morteys	m ɔ r t i s
morteys	m ɔ r t æ i̯ s
morther	m u r d ə r
morther	m u r ð ə r
morther	m ɔ r ð ə r
morwe	m ɔ r i u̯ ə
morwe	m ɔ r i u̯ ə n
morwe	m ɔ r n
morwe	m ɔ r u n
morwe	m ɔ r w ə
morwe	m ɔ r w ə n
morwe	m ɔ r ɔ u̯ ə
morwe	m ɔ r ɔ u̯ ə n
morwe	m ɔ r ə n
morwenyng	m ɔ r w ə n i n ɡ
morwenyng	m ɔ r ə n i n ɡ
morwenyng	m ɔː r w ə n i n ɡ
morwenyng	m ɔː r ə n i n ɡ
mot	m oː t
mot	m ɔː t
mote	m ɔː t ə
moten	m oː t ə n
motoun	m u t u n
motoun	m u t uː n
motoun	m u t ə n
mounde	m uː n d ə
mount	m u n t
mount	m uː n t
mountant	m u n t a u̯ n t
mountant	m uː n t a n t
mountayne	m u n t æ i̯ n ə
mountayne	m uː n t i n ə
mountayne	m uː n t æ i̯ n ə
mounten	m u n t ə n
mounten	m uː n t ə n
mountuous	m u n t i u̯ uː s
mountuous	m uː n t i u̯ uː s
mounture	m uː n t i u̯ r ə
mous	m uː s
mousepese	m uː s p ɛ z ə
mousepese	m uː s p ɛː z ə
mousere	m uː s ɛː r ə
mouth	m uː θ
mowen	m a ɣ ə n
mowen	m u ɣ ə n
mowen	m uː
mowen	m uː ə n
mowen	m ɑ u̯
mowen	m ɑ u̯ ə n
mowen	m ɔ u̯ ə n
mowere	m ɔ u̯ ə r ə
mowlde	m ɔ u̯ l d
mowlen	m uː l ə n
mowlen	m ɔ u̯ l ə n
mowsyn	m uː s ə n
mowtynge	m uː t i n ɡ
mowynge	m ɔ u̯ i n ɡ
muet	m i u̯ t
muet	m i u̯ ɛ t
mugwort	m u ɡ w u r t
muk	m u k
mukken	m u k ə n
mule	m i u̯ l ə
mund	m u n d
mund	m uː n d
murage	m i u̯ r aː d͡ʒ ə
murage	m u r aː d͡ʒ ə
mure	m i u̯ r
muren	m i u̯ r ə n
muren	m u r ə n
murmur	m u r m u r
murrey	m u r eː
murrey	m u r æ i̯
musard	m i u̯ z a r d
musard	m u z a r d
muscheron	m u s ə r uː n
muscheron	m u ʃ ə r oː n
muscilage	m i u̯ s i l aː d͡ʒ ə
muscilage	m u s i l aː d͡ʒ ə
muscle	m u s k i u̯ l ə
muscle	m u s k l ə
muscle	m u s k ə l
muscle	m u s l ə
muscle	m u s ə l
musen	m i u̯ z ə n
musicien	m i u̯ z i s i ɛ n
musicien	m i u̯ z i s i ɛː n
musicien	m i u̯ z i s j ə n
musike	m i u̯ z i k ə
musike	m i u̯ z iː k ə
muskadel	m u s k a d ɛ l ə
muskadel	m u s k ə d ɛ l
muske	m u s k
muske	m u s k a
muske	m u s k ɔ
muske	m u s k ə
musket	m u s k i t
musket	m u s k ɛ t
must	m u s t
mustard	m u s t a r d ə
mustard	m u s t ə r d ə
mutabilite	m i u̯ t a b i l i t eː
mutable	m i u̯ t aː b l ə
mutable	m i u̯ t aː b ə l
mutacioun	m i u̯ t aː s i uː n
mutacioun	m i u̯ t aː s j u n
mychen	m i t͡ʃ ə n
mychen	m iː t͡ʃ ə n
mycher	m i t͡ʃ ə r
mycher	m iː t͡ʃ ə r
mydge	m i d ʒ
mygge	m i d ʒ ə
myght	m a u̯ x t
myght	m i x t
myghty	m a u x t iː
myghty	m i x t iː
myle	m iː l ə
mylne	m i l n ə
mylne	m i l ə
mylnere	m i l n ə r ə
mylnere	m i l ə r ə
mylneston	m i l n ə s t ɔː n
mylneston	m i l ə s t ɔː n
mynisterie	m i n i s t ə r iː ə
mynt	m i n t
mynte	m i n t ə
mynte	m ɛ n t ə
mynten	m i n t ə n
mynter	m i n t ə r ə
mynute	m i n i t ə
mynute	m i n i u̯ t ə
mynute	m i n u t ə
mynystren	m i n i s t ə r ə n
mynystrynge	m i n i s t ə r i n ɡ ə
myren	m iː r ə n
myrthe	m i r x θ ə
myrthe	m i r θ ə
myrthe	m u r x θ ə
myrthe	m u r θ ə
myrthe	m ɛ r x θ ə
myrthe	m ɛ r θ ə
myrthen	m i r θ ə n
myrthen	m u r θ ə n
myrthen	m ɛ r θ ə n
mysansweren	m i s a n d s w æː r ə n
mysansweren	m i s a n d s w ɛː r ə n
myschef	m i s t͡ʃ eː f
myschef	m i s t͡ʃ i f
myschef	m ɛ s t͡ʃ eː f
myscheven	m i s t͡ʃ eː v ə n
myscheven	m ɛ s t͡ʃ eː v ə n
myschevous	m i s t͡ʃ eː v u s
myschevous	m i s t͡ʃ eː v uː s
myschevous	m ɛ s t͡ʃ eː v uː s
myschevously	m i s t͡ʃ eː v u s l iː
myschevously	m i s t͡ʃ eː v uː s l iː
myschevously	m i s t͡ʃ i v ə s l iː
myscreaunce	m i s k r ɛː a u̯ n s ə
myscreaunt	m i s k r ɛː a u̯ n t
myself	m i s ɛ l f
myself	m iː s ɛ l f
myst	m i s t
mysteren	m i s t ə r ə n
mysteren	m i s t ɛː r ə n
mysterie	m i s t ə r iː ə
mysterie	m i s t ɛː r iː ə
mysty	m i s t iː
mystynesse	m i s t iː n ɛ s ə
mysword	m i s w oː r d
mysword	m i s w u r d
myteyne	m i t i n ə
myteyne	m i t æ i̯ n ə
mytre	m i t ə r
mytre	m iː t ə r
myxen	m i k s ə n
nacioun	n aː s i uː n
nacioun	n aː s j u n
nacioun	n aː s j uː n
nai	n æ i̯
nake	n aː k ə
naked	n aː k i d
nakedhed	n aː k i d h ɛː d
nakednesse	n aː k i d n ɛ s
naken	n a k ə n
naken	n aː k ə n
nakenen	n a k n ə n
nakenen	n aː k ə n ə n
nakenynge	n aː k ə n i n ɡ ə
nakidly	n aː k i d l iː
nakidly	n aː k i d l iː t ʃ ə
name	n aː m ə
nap	n a p
nape	n aː p ə
naperie	n aː p ə r iː ə
naperoun	n a p ə r u n
naperoun	n aː p ə r u n
naperoun	n aː p ə r uː n
napkyn	n a p k i n
napkyn	n aː p k i n
nappen	n a p ə n
nappynge	n a p i n ɡ ə
napyn	n a p ə n
narde	n a r d ə
narowly	n a r w ə l i t͡ʃ ə
narowly	n a r w ə l iː
narowly	n a r ɔ u̯ l iː
narwe	n a r i u̯
narwe	n a r w ə
narwe	n a r ɔ u̯
narwen	n a r i u̯ ə n
narwen	n a r w ə n
narwen	n a r ɔ u̯ ə n
narwenesse	n a r w ə n ɛ s
narwenesse	n a r ɔ u̯ n ɛ s
nasturcium	n a r s t u s i u m
nasturcium	n a s t u r s i u m
natural	n a t i u̯ r a l
natural	n a t i u̯ r ɛ l
natural	n aː t i u̯ r a l
natural	n aː t i u̯ r ɛ l
nature	n aː t i u̯ r
nauger	n a u̯ ɡ ə r
nave	n a f
nave	n aː v ə
navel	n aː v ə l ə
nayl	n æ i̯ l
nayled	n æ i̯ l i d
nayled	n æ i̯ l ɛ d
naylen	n æ i̯ l ə n
nayler	n æ i̯ l ə r ə
naylynge	n æ i̯ l i n ɡ
ne	n ə
ne	n ɛ
nece	n eː s ə
neden	n eː d ə n
nedle	n eː d l ə
nedle	n eː d ə l
nedle	n eː l d ə
nedlere	n eː d l ə r ə
neep	n eː p
nekke	n ɛ k ə
nerve	n ɛ r f
nerve	n ɛ r v ə
nervous	n ɛ r v u s
nervous	n ɛ r v uː s
nese	n ɛ s ə
nese	n ɛː z ə
nesethirl	n ɛː z ə θ i r l
nest	n ɛ s t
net	n ɛ t
net	n ɛː t
netle	n ɛ t l ə
netle	n ɛ t ə l ə
neve	n ɛː f ə
neve	n ɛː v ə
nevere	n ɛ v r ə
nevere	n ɛ v ə r ə
nevew	n ɛ v i u̯
newe	n i u̯ ə
newte	n ɛ u̯ t ə
neygh	n eː x
neygh	n iː x
neyghebour	n iː b u r
neyghebour	n iː x ə b u r
neyghebour	n ɛ i̯ b u r
neyghebour	n ɛ i̯ x ə b u r
neyghebour	n ɛː b u r
nihterne	n i x t ə r n ə
nik	n i k
nik	n iː k
nimphe	n i m f ə
nith	n iː θ
nithful	n iː θ f u l
no	n ɑː
no	n ɔː
node	n ɔː d ə
nol	n ɔ l
nombre	n u m b r ə
nombre	n u m b ə r
nombre	n u m ə r
nombren	n u m b ə r ə n
nombren	n u m ə r ə n
nombrynge	n u m b ə r i n ɡ ə
nombrynge	n u m ə r i n ɡ ə
nonne	n u n ə
nonnerie	n u n ə r iː ə
norice	n u r i s ə
norice	n u r iː s ə
noricerie	n u r i s ə r iː ə
norischaunt	n u r i ʃ a n t
norischaunt	n u r i ʃ a u̯ n t
norischaunt	n u r ə ʃ a n t
norischen	n u r i s ə n
norischen	n u r i ʃ ə n
norischen	n u r ʃ ə n
norischer	n u r i ʃ ə r ə
norischer	n u r i ʃ ɛː r ə
norischer	n u r ə ʃ ə r ə
norisshement	n u r i ʃ m ɛ n t
norisshyng	n u r i s i n ɡ
norisshyng	n u r i ʃ i n ɡ
norisshyng	n u r ə ʃ i n ɡ
north	n ɔ r θ
northerne	n ɔ r ð ə r n ə
norture	n u r i t i u̯ r ə
norture	n u r t u r ə
norture	n u r t ə r ə
norturely	n u r ə t i u̯ r l iː
norturen	n u r t i u̯ r ə n
norturen	n u r ə t u r ə n
nose	n oː s
