ꜣ	ɑ
wfj	w ɛ f i
wmwt	w ɛ m uː t
wmt	w ɛ m ɛ t
wn	w aː n
wn	w aː n
wn	w aː n
wn	w oː n
wn	w aː n
wn	w aː n
wn	w aː n
wn	w oː n
wn	w ɛ n
wn	w ɛ n
wn	w a n
wn	w a n
wn	w ɛ n
wnj	w iː n i t
wnj	w iː n i ʔ
wnj	w iː n a
wnj	w iː n ə
wnj	w iː n i t
wnj	w iː n i ʔ
wnj	w iː n a
wnj	w iː n ə
wnj	w ɛ n i
wnjs	w a n j a s
wnjs	w a n j a s
wnjs	w ɛ n i s
wnwn	w ɛ n uː n
wnwt	w V n aː w a t
wnwt	w V n aː j a ʔ
wnwt	w ə n aː ʔ ə
wnwt	w ə n oː ʔ
wnwt	w V n aː w a t
wnwt	w V n aː j a ʔ
wnwt	w ə n aː ʔ ə
wnwt	w ə n oː ʔ
wnwt	w ɛ n uː t
wnb	w ɛ n ɛ b
wnm	w aː n a m
wnm	w aː n a m
wnm	w aː n ə m
wnm	w oː n ə m
wnm	w aː n a m
wnm	w aː n a m
wnm	w aː n ə m
wnm	w oː n ə m
wnm	w ɛ n ɛ m
wnmj	w ɛ n m i
wnmw	w ɛ n ɛ m uː
wnmt	w ɛ n m ɛ t
wnn	w a n a n
wnn	w a n a n
wnn	w ə n a n
wnn	w ə n a n
wnn	w a n a n
wnn	w a n a n
wnn	w ə n a n
wnn	w ə n a n
wnn	w ɛ n ɛ n
wnnt	w ɛ n ɛ n ɛ t
wnḫwj	w ɛ n ɛ x uː i
wngbw	w ɛ n ɛ ɡ b uː
wnt	w ɛ n ɛ t
wnḏw	w ɛ n d͡ʒ uː
wnḏwt	w ɛ n ɛ d͡ʒ uː t
wr	w uː ɾ V j
wr	w uː ɾ V j
wr	w uː ɾ ə
wr	w eː ɾ
wr	w uː ɾ V j
wr	w uː ɾ V j
wr	w uː ɾ ə
wr	w eː ɾ
wr	w ɛ r
wrm	w ɛ r ɛ m
wrm	w V ɾ a m
wrm	w V ɾ a m
wrm	w ə ɾ a m
wrm	w ə ɾ a m
wrm	w V ɾ a m
wrm	w V ɾ a m
wrm	w ə ɾ a m
wrm	w ə ɾ a m
wrm	w ɛ r ɛ m
wrm	w V ɾ aː m
wrm	w V ɾ aː m
wrm	w ə ɾ aː m
wrm	w ə ɾ oː m
wrm	w V ɾ aː m
wrm	w V ɾ aː m
wrm	w ə ɾ aː m
wrm	w ə ɾ oː m
wrm	w ɛ r ɛ m
wrmt	w ɛ r m ɛ t
wrmtj	w ɛ r m ɛ t i
wrr	w a ɾ a ɾ
wrr	w a ɾ a ʔ
wrr	w ə ɾ a ʔ
wrr	w ə ɾ a ʔ
wrr	w a ɾ a ɾ
wrr	w a ɾ a ʔ
wrr	w ə ɾ a ʔ
wrr	w ə ɾ a ʔ
wrr	w ɛ r ɛ r
wrryt	w ɛ r ɛ r iː t
wrrt	w V ɾ i ɾ j V t
wrrt	w V ɾ i ʔ j V ʔ
wrrt	w ə ɾ e ʔ j a
wrrt	w ə ɾ e ʔ j ə
wrrt	w V ɾ i ɾ j V t
wrrt	w V ɾ i ʔ j V ʔ
wrrt	w ə ɾ e ʔ j a
wrrt	w ə ɾ e ʔ j ə
wrrt	w ɛ r ɛ r ɛ t
wrḥ	w ɛ r ɛ h
wrs	w ɛ r ɛ s
wrš	w ɛ r ɛ ʃ
wršy	w ɛ r ʃ iː
wrt	w ɛ r ɛ t
wrt	w uː ɾ a t
wrt	w uː ɾ a ʔ
wrt	w eː ɾ ə
wrt	w uː ɾ a t
wrt	w uː ɾ a ʔ
wrt	w eː ɾ ə
wrt	w ɛ r ɛ t
wrḏ	w ɛ r ɛ d͡ʒ
whj	w ɛ h i
wḥꜣ	w ɛ h ɑ
wḥꜣt	w a ħ ʀ a t
wḥꜣt	w a ħ ʀ a ʔ
wḥꜣt	w a ħ j ə
wḥꜣt	w a ħ i
wḥꜣt	w a ħ ʀ a t
wḥꜣt	w a ħ ʀ a ʔ
wḥꜣt	w a ħ j ə
wḥꜣt	w a ħ i
wḥꜣt	w ɛ h ɑ t
wḥꜣtjw	w ɛ h ɑ t i uː
wḥyt	w ɛ h iː t
wḥꜥ	w ɛ h ɑː
wḥm	w ɛ h ɛ m
wḥmyt	w ɛ h m iː t
wḥmt	w ɛ h m ɛ t
wḫꜣ	w iː χ i ʀ
wḫꜣ	w iː χ i ʀ
wḫꜣ	w iː χ ə
wḫꜣ	w iː χ
wḫꜣ	w iː χ i ʀ
wḫꜣ	w iː χ i ʀ
wḫꜣ	w iː χ ə
wḫꜣ	w iː χ
wḫꜣ	w ɛ x ɑ
wḫt	w a χ uː ʀ a t
wḫt	w a χ uː ʀ a ʔ
wḫt	w ə χ uː ʔ a
wḫt	w ə χ eː ʔ ə
wḫt	w a χ uː ʀ a t
wḫt	w a χ uː ʀ a ʔ
wḫt	w ə χ uː ʔ a
wḫt	w ə χ eː ʔ ə
wḫt	w ɛ x ɛ t
wḫd	w ɛ x ɛ d
wḫdw	w ɛ x ɛ d uː
wḫdt	w ɛ x d ɛ t
wzf	w aː z a f
wzf	w aː s a f
wzf	w aː s ə f
wzf	w oː s ə f
wzf	w aː z a f
wzf	w aː s a f
wzf	w aː s ə f
wzf	w oː s ə f
wzf	w ɛ z ɛ f
wzfw	w ɛ z ɛ f uː
wzš	w ɛ z ɛ ʃ
ws	w ɛ s
wsj	w iː s i t
wsj	w iː s i ʔ
wsj	w iː s a
wsj	w iː s ə
wsj	w iː s i t
wsj	w iː s i ʔ
wsj	w iː s a
wsj	w iː s ə
wsj	w ɛ s i
wsjr	w ɛ s i r
wspjsyns	w ɛ s p i s iː n ɛ s
wsn	w ɛ s ɛ n
wsr	w ɛ s ɛ r
wsrw	w ɛ s ɛ r uː
wsrt	w a s ɾ i t
wsrt	w a s ɾ i ʔ
wsrt	w a s ɾ a
wsrt	w a s ɾ ə
wsrt	w a s ɾ i t
wsrt	w a s ɾ i ʔ
wsrt	w a s ɾ a
wsrt	w a s ɾ ə
wsrt	w ɛ s r ɛ t
wsḫ	w ɛ s ɛ x
wsḫt	w i s χ a t
wsḫt	w i s χ a ʔ
wsḫt	w e s χ a
wsḫt	w e s χ ə
wsḫt	w i s χ a t
wsḫt	w i s χ a ʔ
wsḫt	w e s χ a
wsḫt	w e s χ ə
wsḫt	w ɛ s x ɛ t
wsḫt	w ɛ s x ɛ t
wsḫt	w ɛ s x ɛ t
wst	w ɛ s ɛ t
wsṯn	w a s c a n
wsṯn	w a s t a n
wsṯn	w a s t ə n
wsṯn	w a s t ə n
wsṯn	w a s c a n
wsṯn	w a s t a n
wsṯn	w a s t ə n
wsṯn	w a s t ə n
wsṯn	w ɛ s t͡ʃ ɛ n
wš	w ɛ ʃ
wšb	w aː ʃ a b
wšb	w aː ʃ a b
wšb	w aː ʃ ə b
wšb	w oː ʃ ə β
wšb	w aː ʃ a b
wšb	w aː ʃ a b
wšb	w aː ʃ ə b
wšb	w oː ʃ ə β
wšb	w ɛ ʃ ɛ b
wšm	w ɛ ʃ ɛ m
wšn	w ɛ ʃ ɛ n
wšr	w ɛ ʃ ɛ r
wšš	w ɛ ʃ ɛ ʃ
wšd	w aː ʃ a tʼ
wšd	w aː ʃ a tʼ
wšd	w aː ʃ ə tʼ
wšd	w oː ʃ ə tʼ
wšd	w aː ʃ a tʼ
wšd	w aː ʃ a tʼ
wšd	w aː ʃ ə tʼ
wšd	w oː ʃ ə tʼ
wšd	w ɛ ʃ ɛ d
wgg	w ɛ ɡ ɛ ɡ
wt	w ɛ t
wtḫ	w ɛ t ɛ x
wtṯ	w ɛ t ɛ t͡ʃ
wṯz	w ɛ t͡ʃ ɛ z
wdj	w ɛ d i
wdpw	w ɛ d p uː
wdfj	w i tʼ f i t
wdfj	w i tʼ f i ʔ
wdfj	w e tʼ f a
wdfj	w e tʼ f ə
wdfj	w i tʼ f i t
wdfj	w i tʼ f i ʔ
wdfj	w e tʼ f a
wdfj	w e tʼ f ə
wdfj	w ɛ d ɛ f i
wdn	w ɛ d ɛ n
wdḥw	w ɛ d ɛ h uː
wḏ	w ɛ d͡ʒ
wḏꜣ	w a cʼ a ʀ
wḏꜣ	w a t͡ʃʼ a ʀ
wḏꜣ	w ə t͡ʃʼ e j
wḏꜣ	w ə t͡ʃʼ e j
wḏꜣ	w a cʼ a ʀ
wḏꜣ	w a t͡ʃʼ a ʀ
wḏꜣ	w ə t͡ʃʼ e j
wḏꜣ	w ə t͡ʃʼ e j
wḏꜣ	w ɛ d͡ʒ ɑ
wḏꜣ	w aː cʼ a ʀ
wḏꜣ	w aː tʼ a ʀ
wḏꜣ	w iː tʼ ə
wḏꜣ	w iː tʼ ə
wḏꜣ	w aː cʼ a ʀ
wḏꜣ	w aː tʼ a ʀ
wḏꜣ	w iː tʼ ə
wḏꜣ	w iː tʼ ə
wḏꜣ	w ɛ d͡ʒ ɑ
wḏꜣt	w ɛ d͡ʒ ɑ t
wḏj	w ɛ d͡ʒ i
wḏyt	w ɛ d͡ʒ iː t
wḏꜥ	w aː cʼ a ʕ
wḏꜥ	w aː t͡ʃʼ a ʕ
wḏꜥ	w aː t͡ʃʼ ə ʕ
wḏꜥ	w oː t͡ʃʼ ə ʕ
wḏꜥ	w aː cʼ a ʕ
wḏꜥ	w aː t͡ʃʼ a ʕ
wḏꜥ	w aː t͡ʃʼ ə ʕ
wḏꜥ	w oː t͡ʃʼ ə ʕ
wḏꜥ	w ɛ d͡ʒ ɑː
wḏb	w aː cʼ a b
wḏb	w aː tʼ a b
wḏb	w aː tʼ ə b
wḏb	w oː tʼ ə β
wḏb	w aː cʼ a b
wḏb	w aː tʼ a b
wḏb	w aː tʼ ə b
wḏb	w oː tʼ ə β
wḏb	w ɛ d͡ʒ ɛ b
wḏb	w ɛ d͡ʒ ɛ b
wḏt	w ɛ d͡ʒ ɛ t
bꜣ	b i ʀ
bꜣ	b i ʀ
bꜣ	b e j
bꜣ	β e j
bꜣ	b i ʀ
bꜣ	b i ʀ
bꜣ	b e j
bꜣ	β e j
bꜣ	b ɑ
bꜣj	b ɑ i
bꜣjr	β ø ʔ ɾ ə
bꜣjr	β ø ʔ ɾ ə
bꜣjr	b ɑ i r
bꜣyt	b ɑ iː t
bꜣw	b i ʀ uː w a w
bꜣw	b i ʀ uː w a w
bꜣw	b ə ʔ uː w ə
bꜣw	β eː w
bꜣw	b i ʀ uː w a w
bꜣw	b i ʀ uː w a w
bꜣw	b ə ʔ uː w ə
bꜣw	β eː w
bꜣw	b ɑ uː
bꜣw	b ɑ uː
bꜣbꜣrw	b ɑ b ɑ r uː
bꜣḥ	b ɑ h
bꜣẖ	b ɑ ç
bꜣẖw	b a ʀ ç a w
bꜣẖw	b a ʀ ç a w
bꜣẖw	b aː ç ə
bꜣẖw	β oː ç
bꜣẖw	b a ʀ ç a w
bꜣẖw	b a ʀ ç a w
bꜣẖw	b aː ç ə
bꜣẖw	β oː ç
bꜣẖw	b ɑ ç uː
bꜣs	b ɑ s
bꜣst	b ɑ s ɛ t
bꜣstt	b u ʀ i s t i t
bꜣstt	b u ʀ i s t i ʔ
bꜣstt	ʔ u b e s t a
bꜣstt	ʔ u β e s t ə
bꜣstt	b u ʀ i s t i t
bꜣstt	b u ʀ i s t i ʔ
bꜣstt	ʔ u b e s t a
bꜣstt	ʔ u β e s t ə
bꜣstt	b ɑ s t ɛ t
bꜣk	b aː ʀ a k
bꜣk	b aː ʀ a k
bꜣk	b aː ʔ ə k
bꜣk	β oː ʔ ə k
bꜣk	b aː ʀ a k
bꜣk	b aː ʀ a k
bꜣk	b aː ʔ ə k
bꜣk	β oː ʔ ə k
bꜣk	b ɑ k
bꜣkꜣ	b ɑ k ɑ
bꜣkw	b a ʀ k u w
bꜣkw	b a ʀ k u w
bꜣkw	b ə k u ʔ
bꜣkw	b ə k ø ʔ
bꜣkw	b a ʀ k u w
bꜣkw	b a ʀ k u w
bꜣkw	b ə k u ʔ
bꜣkw	b ə k ø ʔ
bꜣkw	b ɑ k uː
bꜣkt	b a ʀ k a t
bꜣkt	b a ʀ k a ʔ
bꜣkt	b aː k a
bꜣkt	β oː k ə
bꜣkt	b a ʀ k a t
bꜣkt	b a ʀ k a ʔ
bꜣkt	b aː k a
bꜣkt	β oː k ə
bꜣkt	b ɑ k ɛ t
bꜣgj	b i ʀ kʼ i t
bꜣgj	b i ʀ kʼ i ʔ
bꜣgj	b iː kʼ a
bꜣgj	β iː kʼ ə
bꜣgj	b i ʀ kʼ i t
bꜣgj	b i ʀ kʼ i ʔ
bꜣgj	b iː kʼ a
bꜣgj	β iː kʼ ə
bꜣgj	b ɑ ɡ i
bꜣgsw	b ɑ ɡ s uː
bꜣt	b aː ʀ a t
bꜣt	b aː ʀ a ʔ
bꜣt	b aː ʔ a
bꜣt	β oː ʔ ə
bꜣt	b aː ʀ a t
bꜣt	b aː ʀ a ʔ
bꜣt	b aː ʔ a
bꜣt	β oː ʔ ə
bꜣt	b ɑ t
bjꜣ	b i ɑ
bjꜣyt	b i ɑ iː t
bjꜣt	b i ɑ t
bjf	b i f
bjn	b aː j i n
bjn	b aː j i n
bjn	b aː ʔ ə n
bjn	β oː ʔ ə n
bjn	b aː j i n
bjn	b aː j i n
bjn	b aː ʔ ə n
bjn	β oː ʔ ə n
bjn	b i n
bjnt	b i n ɛ t
bjnt	b a j n V t
bjnt	b a j n V ʔ
bjnt	b a j n a
bjnt	β a j n ə
bjnt	b a j n V t
bjnt	b a j n V ʔ
bjnt	b a j n a
bjnt	β a j n ə
bjnt	b i n ɛ t
bjrwnygꜣt	β ə ɾ ə n iː k ə
bjrwnygꜣt	β ə ɾ ə n iː k ə
bjrwnygꜣt	b i r uː n iː ɡ ɑ t
bjk	b aː j V k
bjk	b aː j V k
bjk	b i k
bjt	b i j a t
bjt	b i j a ʔ
bjt	b ə j a ʔ
bjt	β ə j a ʔ
bjt	b i j a t
bjt	b i j a ʔ
bjt	b ə j a ʔ
bjt	β ə j a ʔ
bjt	b i t
bjt	b i t
bjtj	b i j aː t V j
bjtj	b i j aː t V j
bjtj	b ə j aː t ə
bjtj	β ə j oː t
bjtj	b i j aː t V j
bjtj	b i j aː t V j
bjtj	b ə j aː t ə
bjtj	β ə j oː t
bjtj	b i t i
bꜥr	b a ʕ l u
bꜥr	b a ʕ l u
bꜥr	b ɑː r
bꜥḥ	b ɑː h
bꜥḥj	b i ʕ ħ i t
bꜥḥj	b i ʕ ħ i ʔ
bꜥḥj	b e ʕ ħ a
bꜥḥj	β e ʕ ħ ə
bꜥḥj	b i ʕ ħ i t
bꜥḥj	b i ʕ ħ i ʔ
bꜥḥj	b e ʕ ħ a
bꜥḥj	β e ʕ ħ ə
bꜥḥj	b ɑː h i
bꜥḥw	b ɑː h uː
bw	b uː
bwt	b uː t
bwtj	b uː t i
bbwt	b ɛ b uː t
bbr	b aː b i l u
bbr	b aː b i l u
bbr	b ɛ b ɛ r
bbt	b ɛ b ɛ t
bbt	b ɛ b ɛ t
bn	b ɛ n
bnw	b ɛ n uː
bnbnt	b ɛ n b ɛ n ɛ t
bnr	b ɛ n ɛ r
bnr	b i n i ɾ
bnr	b i n i j
bnr	b ə n e ʔ
bnr	β ə n e ʔ
bnr	b i n i ɾ
bnr	b i n i j
bnr	b ə n e ʔ
bnr	β ə n e ʔ
bnr	b ɛ n ɛ r
bns	b ɛ n ɛ s
bnš	b ɛ n ɛ ʃ
bntj	b ɛ n t i
bntwt	b ɛ n t uː t
brwgtj	b ɛ r uː ɡ t i
bhꜣ	b ɛ h ɑ
bhꜣw	b ɛ h ɑ uː
bhn	b ɛ h ɛ n
bht	b ɛ h ɛ t
bhd	b ɛ h ɛ d
bḥ	b ɛ h
bḥw	b ɛ h uː
bḥn	b ɛ h ɛ n
bḥnj	b ɛ h ɛ n i
bḥnt	b ɛ h n ɛ t
bḥz	b ɛ h ɛ z
bḥs	b ɛ h ɛ s
bḥdt	b ɛ h d ɛ t
bḫnt	b ɛ x n ɛ t
bẖbẖ	b ɛ ç b ɛ ç
bzj	b ɛ z i
bs	b ɛ s
bšj	b ɛ ʃ i
bšṯ	b ɛ ʃ ɛ t͡ʃ
bkꜣ	b ɛ k ɑ
bgs	b ɛ ɡ ɛ s
btꜣ	b ɛ t ɑ
btj	b ɛ t i
bṯ	b ɛ t͡ʃ
bdš	b ɛ d ɛ ʃ
bdt	b ɛ d ɛ t
p	p ɛ
pꜣ	p i ʀ
pꜣ	p i ʀ
pꜣ	p ə
pꜣ	p ə
pꜣ	p i ʀ
pꜣ	p i ʀ
pꜣ	p ə
pꜣ	p ə
pꜣ	p ɑ
pꜣj	p ɑ i
pꜣy	p ɑ iː
pꜣw	p ɑ uː
pꜣwt	p ɑ uː t
pꜣwtj	p ɑ uː t i
pꜣḫd	p ɑ x ɛ d
pꜣz	p ɑ z
pꜣq	p ɑ k
pꜣqj	p i ʀ qʼ i t
pꜣqj	p i ʀ qʼ i ʔ
pꜣqj	p iː qʼ a
pꜣqj	p iː qʼ ə
pꜣqj	p i ʀ qʼ i t
pꜣqj	p i ʀ qʼ i ʔ
pꜣqj	p iː qʼ a
pꜣqj	p iː qʼ ə
pꜣqj	p ɑ k i
pꜣqt	p ɑ k ɛ t
pꜣḏ	p ɑ d͡ʒ
pj	p i
py	p iː
pꜥt	p iː ʕ V t
pꜥt	p iː ʕ V ʔ
pꜥt	p eː ʕ a
pꜥt	p eː ʕ ə
pꜥt	p iː ʕ V t
pꜥt	p iː ʕ V ʔ
pꜥt	p eː ʕ a
pꜥt	p eː ʕ ə
pꜥt	p ɑː t
pw	p uː
pwy	p uː iː
pwnt	p uː n ɛ t
pwntjw	p uː n t i uː
pwrꜣsꜣtj	p uː r ɑ s ɑ t i
ppy	p ɛ p iː
pf	p ɛ f
pfꜣ	p ɛ f ɑ
pn	p ɛ n
pnꜥ	p aː n a ʕ
pnꜥ	p aː n a ʕ
pnꜥ	p aː n ə ʕ
pnꜥ	p oː n ə ʕ
pnꜥ	p aː n a ʕ
pnꜥ	p aː n a ʕ
pnꜥ	p aː n ə ʕ
pnꜥ	p oː n ə ʕ
pnꜥ	p ɛ n ɑː
pnw	p iː n V w
pnw	p iː n V w
pnw	p iː n ə
pnw	p iː n
pnw	p iː n V w
pnw	p iː n V w
pnw	p iː n ə
pnw	p iː n
pnw	p ɛ n uː
pr	p aː ɾ u w
pr	p aː ɾ u w
pr	p aː ɾ ə
pr	p oː ɾ
pr	p aː ɾ u w
pr	p aː ɾ u w
pr	p aː ɾ ə
pr	p oː ɾ
pr	p ɛ r
prj	p iː ɾ i t
prj	p iː ɾ i ʔ
prj	p iː ɾ a
prj	p iː ɾ ə
prj	p iː ɾ i t
prj	p iː ɾ i ʔ
prj	p iː ɾ a
prj	p iː ɾ ə
prj	p ɛ r i
prj	p ɛ r i
pryt	p ɛ r iː t
prwypwsꜣ	p ɛ r uː iː p uː s ɑ
prt	p V ɾ aː j V t
prt	p V ɾ aː j V ʔ
prt	p ə ɾ aː ʔ ə
prt	p ə ɾ oː ʔ
prt	p V ɾ aː j V t
prt	p V ɾ aː j V ʔ
prt	p ə ɾ aː ʔ ə
prt	p ə ɾ oː ʔ
prt	p ɛ r ɛ t
prt	p u ɾ u t
prt	p u ɾ u ʔ
prt	p ə ɾ u ʔ
prt	p ə ɾ ø ʔ
prt	p u ɾ u t
prt	p u ɾ u ʔ
prt	p ə ɾ u ʔ
prt	p ə ɾ ø ʔ
prt	p ɛ r ɛ t
pr.sn	p ɛ r ʔ s ɛ n
pḥ	p aː ħ
pḥ	p aː ħ
pḥ	p aː ħ
pḥ	p oː ħ
pḥ	p aː ħ
pḥ	p aː ħ
pḥ	p aː ħ
pḥ	p oː ħ
pḥ	p ɛ h
pḥwj	p ɛ h uː i
pḥrr	p ɛ h r ɛ r
pḥtj	p i ħ t V j
pḥtj	p i ħ t V j
pḥtj	p e ħ t ə
pḥtj	p e ħ t ə
pḥtj	p e ħ t
pḥtj	p i ħ t V j
pḥtj	p i ħ t V j
pḥtj	p e ħ t ə
pḥtj	p e ħ t ə
pḥtj	p e ħ t
pḥtj	p ɛ h t i
pẖr	p ɛ ç ɛ r
pẖrt	p ɛ ç r ɛ t
pzn	p ɛ z ɛ n
pzḥ	p aː z a ħ
pzḥ	p aː s a ħ
pzḥ	p aː s ə ħ
pzḥ	p oː s ə ħ
pzḥ	p oː ħ ə s
pzḥ	p aː z a ħ
pzḥ	p aː s a ħ
pzḥ	p aː s ə ħ
pzḥ	p oː s ə ħ
pzḥ	p oː ħ ə s
pzḥ	p ɛ z ɛ h
pzḫ	p aː z a χ
pzḫ	p aː s a χ
pzḫ	p aː s ə χ
pzḫ	p oː s ə χ
pzḫ	p aː z a χ
pzḫ	p aː s a χ
pzḫ	p aː s ə χ
pzḫ	p oː s ə χ
pzḫ	p ɛ z ɛ x
psj	p iː s i t
psj	p iː s i ʔ
psj	p iː s a
psj	p iː s ə
psj	p iː s i t
psj	p iː s i ʔ
psj	p iː s a
psj	p iː s ə
psj	p ɛ s i
psmṯk	p s a m aː t͡ʃ ə k
psmṯk	p s a m aː t͡ʃ ə k
psmṯk	p ɛ s m ɛ t͡ʃ ɛ k
psš	p aː s a ʃ
psš	p aː s a ʃ
psš	p aː s ə ʃ
psš	p oː s ə ʃ
psš	p aː s a ʃ
psš	p aː s a ʃ
psš	p aː s ə ʃ
psš	p oː s ə ʃ
psš	p ɛ s ɛ ʃ
psš	p ɛ s ɛ ʃ
psšt	p u s ʃ a t
psšt	p u s ʃ a ʔ
psšt	p u ʃ ʃ a
psšt	p ø ʃ ʃ ə
psšt	p u s ʃ a t
psšt	p u s ʃ a ʔ
psšt	p u ʃ ʃ a
psšt	p ø ʃ ʃ ə
psšt	p ɛ s ʃ ɛ t
psšt	p ɛ s ʃ ɛ t
psštj	p ɛ s ʃ ɛ t i
psg	p aː s a kʼ
psg	p aː s a kʼ
psg	p aː kʼ ə s
psg	p oː kʼ ə s
psg	p aː s a kʼ
psg	p aː s a kʼ
psg	p aː kʼ ə s
psg	p oː kʼ ə s
psg	p ɛ s ɛ ɡ
psḏ	p ɛ s ɛ d͡ʒ
psḏj	p i s cʼ i t
psḏj	p i s tʼ i ʔ
psḏj	p e s tʼ a
psḏj	p e s tʼ ə
psḏj	p i s cʼ i t
psḏj	p i s tʼ i ʔ
psḏj	p e s tʼ a
psḏj	p e s tʼ ə
psḏj	p ɛ s ɛ d͡ʒ i
psḏjw	p i s cʼ i j j a w
psḏjw	p i s cʼ i j j a w
psḏjw	p ɛ s ɛ d͡ʒ i uː
psḏw	p i s iː cʼ a w
psḏw	p i s iː tʼ a w
psḏw	p ə s iː tʼ ə
psḏw	p ə s iː tʼ
psḏw	p i s iː cʼ a w
psḏw	p i s iː tʼ a w
psḏw	p ə s iː tʼ ə
psḏw	p ə s iː tʼ
psḏw	p ɛ s ɛ d͡ʒ uː
psḏnw	p ɛ s ɛ d͡ʒ n uː
psḏntjw	p ɛ s d͡ʒ ɛ n t i uː
psḏt	p i s iː cʼ a t
psḏt	p i s iː tʼ a ʔ
psḏt	p ə s iː tʼ a
psḏt	p ə s iː tʼ ə
psḏt	p i s iː cʼ a t
psḏt	p i s iː tʼ a ʔ
psḏt	p ə s iː tʼ a
psḏt	p ə s iː tʼ ə
psḏt	p ɛ s ɛ d͡ʒ ɛ t
pšn	p ɛ ʃ ɛ n
pqt	p ɛ k ɛ t
pgꜣ	p ɛ ɡ ɑ
pt	p i t
pt	p i ʔ
pt	p e ʔ
pt	p e ʔ
pt	p i t
pt	p i ʔ
pt	p e ʔ
pt	p e ʔ
pt	p uː w a t
pt	p uː w a ʔ
pt	p uː w a
pt	p eː w ə
pt	p uː w a t
pt	p uː w a ʔ
pt	p uː w a
pt	p eː w ə
pt	p ɛ t
ptwꜣrwmys	p ɛ t uː ɑ r uː m iː s
ptpt	p ɛ t p ɛ t
ptr	p ɛ t ɛ r
ptr	p ɛ t ɛ r
ptḥ	p i t a ħ
ptḥ	p i t a ħ
ptḥ	p ə t a ħ
ptḥ	p ə t a ħ
ptḥ	p i t a ħ
ptḥ	p i t a ħ
ptḥ	p ə t a ħ
ptḥ	p ə t a ħ
ptḥ	p ɛ t ɛ h
pds	p ɛ d ɛ s
pḏ	p ɛ d͡ʒ
pḏt	p iː cʼ a t
pḏt	p iː tʼ a ʔ
pḏt	p iː tʼ a
pḏt	p iː tʼ ə
pḏt	p iː cʼ a t
pḏt	p iː tʼ a ʔ
pḏt	p iː tʼ a
pḏt	p iː tʼ ə
pḏt	p ɛ d͡ʒ ɛ t
pḏtj	p ɛ d͡ʒ ɛ t i
fꜣj	f iː ʀ i t
fꜣj	f iː ʀ i ʔ
fꜣj	f iː ʔ ə
fꜣj	f iː ʔ
fꜣj	f iː ʀ i t
fꜣj	f iː ʀ i ʔ
fꜣj	f iː ʔ ə
fꜣj	f iː ʔ
fꜣj	f ɑ i
fꜣt	f ɑ t
fn	f ɛ n
fnḫw	f ɛ n ɛ x uː
fnṯ	f i n c V w
fnṯ	f i n t V w
fnṯ	f i n t ə
fnṯ	f e n t
fnṯ	f i n c V w
fnṯ	f i n t V w
fnṯ	f i n t ə
fnṯ	f e n t
fnṯ	f ɛ n ɛ t͡ʃ
fnḏ	f ɛ n ɛ d͡ʒ
fḫ	f ɛ x
fḫt	f ɛ x ɛ t
fk	f ɛ k
fgn	f ɛ ɡ ɛ n
ftft	f ɛ t f ɛ t
fdq	f ɛ d ɛ k
m	m a
m	m ə
m	m ə
m	m̩
m	m a
m	m ə
m	m ə
m	m̩
m	ɛ m
mꜣ	m ɑ
mꜣꜣ	m ɑ ʔ ɑ
mꜣj	m aː ʀ i j
mꜣj	m aː ʀ i j
mꜣj	m aː j ə
mꜣj	m oː j
mꜣj	m aː ʀ i j
mꜣj	m aː ʀ i j
mꜣj	m aː j ə
mꜣj	m oː j
mꜣj	m ɑ i
mꜣy	m ɑ iː
mꜣꜥ	m aː ʀ a ʕ
mꜣꜥ	m aː ʀ a ʕ
mꜣꜥ	m aː ʔ ə ʕ
mꜣꜥ	m oː ʔ ə ʕ
mꜣꜥ	m aː ʀ a ʕ
mꜣꜥ	m aː ʀ a ʕ
mꜣꜥ	m aː ʔ ə ʕ
mꜣꜥ	m oː ʔ ə ʕ
mꜣꜥ	m a ʕ
mꜣꜥ	m a ʕ
mꜣꜥ	m ɑ ʔ ɑː
mꜣꜥw	m ɑ ʔ ɑː uː
mꜣꜥt	m u ʀ ʕ a t
mꜣꜥt	m u ʀ ʕ a ʔ
mꜣꜥt	m uː ʕ a
mꜣꜥt	m eː ʕ ə
mꜣꜥt	m u ʀ ʕ a t
mꜣꜥt	m u ʀ ʕ a ʔ
mꜣꜥt	m uː ʕ a
mꜣꜥt	m eː ʕ ə
mꜣꜥt	m ɑ ʔ ɑː t
mꜣꜥtj	m ɑ ʔ ɑː t i
mꜣꜥtj	m ɑ ʔ ɑː t i
mꜣwj	m i ʀ w i t
mꜣwj	m i ʀ w i ʔ
mꜣwj	m iː w a
mꜣwj	m iː w ə
mꜣwj	m i ʀ w i t
mꜣwj	m i ʀ w i ʔ
mꜣwj	m iː w a
mꜣwj	m iː w ə
mꜣwj	m ɑ uː i
mꜣwt	m a ʀ w V t
mꜣwt	m a ʀ w V ʔ
mꜣwt	m aː w a
mꜣwt	m oː w ə
mꜣwt	m a ʀ w V t
mꜣwt	m a ʀ w V ʔ
mꜣwt	m aː w a
mꜣwt	m oː w ə
mꜣwt	m ɑ uː t
mꜣnw	m ɑ n uː
mꜣr	m ø ʔ
mꜣr	m ø ʔ
mꜣr	m ɑ r
mꜣẖ	m aː ʀ a ç
mꜣẖ	m aː ʀ a ç
mꜣẖ	m aː ʔ ə ç
mꜣẖ	m oː ʔ ə ç
