â	a
goronafeirws	ɡ ɔ r ɔ n a v e i̯ r ʊ s
gorsaf	ɡ ɔ r s a v
gorwedd	ɡ ɔ r w ɛ ð
gorweiddiog	ɡ ɔ r w e i̯ ð j ɔ ɡ
gorwel	ɡ ɔ r w ɛ l
gosod	ɡ ɔ s ɔ d
gosteg	ɡ ɔ s d ɛ ɡ
gostwng	ɡ ɔ s d ʊ ŋ
gostyngaidd	ɡ ɔ s d ə ŋ a i̯ ð
gosyn	ɡ ɔ s ɨ̞ n
got	ɡ ɔ t
gôt	ɡ oː t
gôt law	ɡ oː t l aː u̯
grac	ɡ r a k
gradd	ɡ r aː ð
graddio	ɡ r a ð j ɔ
graean	ɡ r e ɨ̯ a n
graff	ɡ r a f
graff	ɡ r aː f
gramadeg	ɡ r a m a d ɛ ɡ
grau	ɡ r a ɨ̯
grawnwin	ɡ r a u̯ n w ɪ n
gre	ɡ r eː
greda	ɡ r ɛ d a
gredi	ɡ r ɛ d ɪ
gredo	ɡ r ɛ d ɔ
gref	ɡ r eː v
grefi	ɡ r ɛ v i
grêt	ɡ r eː t
greto	ɡ r ɛ t ɔ
gril	ɡ r ɪ l
griliau	ɡ r ɪ l j a ɨ̯
griliau	ɡ r ɪ l j ɛ
griliau	ɡ r ɪ l j a
griliau	ɡ r ɪ l j ɛ
griliau	ɡ r ɪ l j a
grilio	ɡ r ɪ l j ɔ
gris	ɡ r iː s
grisiau	ɡ r ɪ ʃ a
grist	ɡ r iː s t
groeg	ɡ r oː ɨ̯ ɡ
groes	ɡ r oː ɨ̯ s
grog	ɡ r oː ɡ
gronell	ɡ r ɔ n ɛ ɬ
gronellau	ɡ r ɔ n ɛ ɬ a ɨ̯
gronellau	ɡ r ɔ n ɛ ɬ ɛ
gronellau	ɡ r ɔ n ɛ ɬ a
gronellau	ɡ r ɔ n ɛ ɬ ɛ
gronellau	ɡ r ɔ n ɛ ɬ a
grôt	ɡ r oː t
grug	ɡ r ɨː ɡ
gruga	ɡ r ɨ̞ ɡ a
grwban	ɡ r ʊ b a n
grŵp	ɡ r uː p
grwpiau	ɡ r ʊ p j a ɨ̯
grwpiau	ɡ r ʊ p j ɛ
grwpiau	ɡ r ʊ p j a
grwpiau	ɡ r ʊ p j ɛ
grwpiau	ɡ r ʊ p j a
grwth	ɡ r uː θ
gryf	ɡ r ɨː v
grym	ɡ r ɨ̞ m
grymus	ɡ r ə m ɨ̞ s
gu	ɡ ɨː
gusan	ɡ ɨ̞ s a n
gusanau	ɡ ɨ̞ s a n a ɨ̯
gusanau	ɡ ɨ̞ s a n ɛ
gusanau	ɡ ɨ̞ s a n a
gusanau	ɡ ɨ̞ s a n ɛ
gusanau	ɡ ɨ̞ s a n a
gusanu	ɡ ɨ̞ s a n ɨ̞
gut	ɡ ɨ̞ t
gwadd	ɡ w aː ð
gwaed	ɡ w aː ɨ̯ d
gwaedu	ɡ w e ɨ̯ d ɨ
gwael	ɡ w aː ɨ̯ l
gwaelod	ɡ w e ɨ̯ l ɔ d
gwaeth	ɡ w aː ɨ̯ θ
gwaethaf	ɡ w e ɨ̯ θ a v
gwaethaf	ɡ w e ɨ̯ θ a
gwaethaf	ɡ w e ɨ̯ θ a
gwag	ɡ w aː ɡ
gwagedd	ɡ w a ɡ ɛ ð
gwahân	ɡ w a h aː n
gwahaniaeth	ɡ w a h a n j a ɨ̯ θ
gwahaniaeth	ɡ w a h a n j ɛ θ
gwahaniaeth	ɡ w a h a n j a θ
gwahaniaeth	ɡ w a n j ɛ θ
gwahaniaeth	ɡ w a n j a θ
gwahaniaeth	ɡ w a h a n j ɛ θ
gwahaniaeth	ɡ w a h a n j a θ
gwahaniaeth	ɡ w a n j ɛ θ
gwahaniaeth	ɡ w a n j a θ
gwahaniaethiad	ɡ w a h a n j e ɨ̯ θ j a d
gwahaniaethu	ɡ w a h a n j e ɨ̯ θ ɨ
gwahaniaethu	ɡ w a n j e ɨ̯ θ ɨ
gwahaniaethu	ɡ w a n j e ɨ̯ θ ɨ
gwahanol	ɡ w a h a n ɔ l
gwahanu	ɡ w a h a n ɨ
gwahardd	ɡ w a h a r ð
gwahodd	ɡ w a h ɔ ð
gwahodd	ɡ w a h oː ð
gwain	ɡ w a i̯ n
gwair	ɡ w a i̯ r
gwaith	ɡ w a i̯ θ
gwal	ɡ w a l
gwâl	ɡ w aː l
gwalch	ɡ w a l χ
gwalch glas	ɡ w a l χ ɡ l aː s
gwalch marth	ɡ w a l χ m a r θ
gwalch y nos	ɡ w a l χ ə n oː s
gwalch y penwaig	ɡ w a l χ ə p ɛ n w a i̯ ɡ
gwalch y pysgod	ɡ w a l χ ə p ə s ɡ ɔ d
gwall	ɡ w a ɬ
gwallt	ɡ w aː ɬ d
gwallus	ɡ w a ɬ ɨ̞ s
gwan	ɡ w a n
gwanu	ɡ w a n ɨ
gwanwyn	ɡ w a n w ɨ̞ n
gwanwynau	ɡ w a n w ə n a ɨ̯
gwanwynau	ɡ w a n w ə n ɛ
gwanwynau	ɡ w a n w ə n a
gwanwynau	ɡ w a n w ə n ɛ
gwanwynau	ɡ w a n w ə n a
gwar	ɡ w a r
gwâr	ɡ w aː r
gwarchod	ɡ w a r χ ɔ d
gwared	ɡ w a r ɛ d
gwaredu	ɡ w a r ɛ d ɨ
gwario	ɡ w a r j ɔ
gwariodd	ɡ w a r j ɔ ð
gwarthal	ɡ w a r θ a l
gwarthegydd	ɡ w a r θ ɛ ɡ ɨ̞ ð
gwarthegyddion	ɡ w a r θ ɛ ɡ ə ð j ɔ n
gwas	ɡ w aː s
gwasanaeth	ɡ w a s a n a ɨ̯ θ
gwasanaeth	ɡ w a s a n ɛ θ
gwasanaeth	ɡ w a s a n a θ
gwasanaeth	ɡ w a s a n ɛ θ
gwasanaeth	ɡ w a s a n a θ
gwasanaethau	ɡ w a s a n e ɨ̯ θ a ɨ̯
gwasanaethau	ɡ w a s a n e ɨ̯ θ ɛ
gwasanaethau	ɡ w a s a n e ɨ̯ θ a
gwasanaethau	ɡ w a s a n e ɨ̯ θ ɛ
gwasanaethau	ɡ w a s a n e ɨ̯ θ a
gwasgaru	ɡ w a s ɡ a r ɨ
gwastad	ɡ w a s t a d
gwastraff	ɡ w a s d r a f
gwau	ɡ w a ɨ̯
gwawl	ɡ w a u̯ l
gwawn	ɡ w a u̯ n
gwawr	ɡ w a u̯ r
gwayw	ɡ w e ɨ̯ u
gwaywffon	ɡ w e ɨ̯ w f ɔ n
gwaywffyn	ɡ w e ɨ̯ w f ɨ̞ n
gwbl	ɡ ʊ b l
gwbl	ɡ ʊ b ʊ l
gwbl	ɡ ʊ b ʊ l
gwch	ɡ ʊ χ
gwchi	ɡ ʊ χ i
gwdihŵ	ɡ ʊ d ɪ h uː
gwddf	ɡ ʊ ð v
gwddf	ɡ ʊ ð ʊ v
gwddf	ɡ ʊ ð u
gwddf	ɡ ʊ ð ʊ v
gwddf	ɡ ʊ ð u
gwddw	ɡ ʊ ð u
gwddwg	ɡ ʊ ð ʊ ɡ
gwe	ɡ w eː
gwedd	ɡ w eː ð
gweddi	ɡ w ɛ ð ɪ
gweddïau	ɡ w ɛ ð iː a ɨ̯
gweddïau	ɡ w ɛ ð iː ɛ
gweddïau	ɡ w ɛ ð iː a
gweddïau	ɡ w ɛ ð iː ɛ
gweddïau	ɡ w ɛ ð iː a
gweddïo	ɡ w ɛ ð ɪ ɔ
gweddïon	ɡ w ɛ ð ɪ ɔ n
gweddi'r arglwydd	ɡ w ɛ ð ɪ r a r ɡ l u ɨ̯ ð
gweddïwr	ɡ w ɛ ð ɪ ʊ r
gweddol	ɡ w ɛ ð ɔ l
gweddw	ɡ w ɛ ð u
gweddwon	ɡ w ɛ ð w ɔ n
gweedig	ɡ w ɛ ɛ d i ɡ
gwefan	ɡ w ɛ v a n
gweinidog	ɡ w e i̯ n ɪ d ɔ ɡ
gweinidogion	ɡ w e i̯ n ɪ d ɔ ɡ j ɔ n
gweinydd	ɡ w e i̯ n ɨ̞ ð
gweinyddes	ɡ w e i̯ n ə ð ɛ s
gweinyddesau	ɡ w e i̯ n ə ð ɛ s a ɨ̯
gweinyddesau	ɡ w e i̯ n ə ð ɛ s ɛ
gweinyddesau	ɡ w e i̯ n ə ð ɛ s a
gweinyddesau	ɡ w e i̯ n ə ð ɛ s ɛ
gweinyddesau	ɡ w e i̯ n ə ð ɛ s a
gweinyddiad	ɡ w e i̯ n ə ð j a d
gweinyddiadau	ɡ w e i̯ n ə ð j a d a ɨ̯
gweinyddiadau	ɡ w e i̯ n ə ð j a d ɛ
gweinyddiadau	ɡ w e i̯ n ə ð j a d a
gweinyddiadau	ɡ w e i̯ n ə ð j a d ɛ
gweinyddiadau	ɡ w e i̯ n ə ð j a d a
gweinyddiaeth	ɡ w e i̯ n ə ð j a ɨ̯ θ
gweinyddiaeth	ɡ w e i̯ n ə ð j ɛ θ
gweinyddiaeth	ɡ w e i̯ n ə ð j ɛ θ
gweinyddiaethau	ɡ w e i̯ n ə ð j e ɨ̯ θ a ɨ̯
gweinyddiaethau	ɡ w e i̯ n ə ð j e ɨ̯ θ ɛ
gweinyddiaethau	ɡ w e i̯ n ə ð j e ɨ̯ θ a
gweinyddiaethau	ɡ w e i̯ n ə ð j e ɨ̯ θ ɛ
gweinyddiaethau	ɡ w e i̯ n ə ð j e ɨ̯ θ a
gweinyddion	ɡ w e i̯ n ə ð j ɔ n
gweinyddol	ɡ w e i̯ n ə ð ɔ l
gweinyddu	ɡ w e i̯ n ə ð ɨ
gweinyddwr	ɡ w e i̯ n ə ð ʊ r
gweinyddwyr	ɡ w e i̯ n ə ð w ɨ̞ r
gweiriau	ɡ w e i̯ r j a ɨ̯
gweiriau	ɡ w e i̯ r j ɛ
gweiriau	ɡ w e i̯ r j a
gweiriau	ɡ w e i̯ r j ɛ
gweiriau	ɡ w e i̯ r j a
gweision	ɡ w e i̯ ʃ ɔ n
gweithdy	ɡ w ə i̯ θ d ɨ
gweithgaredd	ɡ w e i̯ θ ɡ a r ɛ ð
gweithio	ɡ w e i̯ θ j ɔ
gweithiwr	ɡ w e i̯ θ j ʊ r
gweithlu	ɡ w e i̯ θ l ɨ
gweithluoedd	ɡ w e i̯ θ l ɨː ɔ ɨ̯ ð
gweithredu	ɡ w e i̯ θ r ɛ d ɨ
gweithwyr	ɡ w e i̯ θ w ɨ̞ r
gwêl	ɡ w eː l
gwelais	ɡ w ɛ l a i̯ s
gwelais	ɡ w ɛ l ɛ s
gwelais	ɡ w ɛ l ɛ ʃ
gwelais	ɡ w ɛ l ɪ ʃ
gwelais	ɡ w ɛ l ɛ s
gwelais	ɡ w ɛ l ɛ ʃ
gwelais	ɡ w ɛ l ɪ ʃ
gwelaist	ɡ w ɛ l a i̯ s t
gwelaist	ɡ w ɛ l ɛ s t
gweld	ɡ w ɛ l d
gweled	ɡ w ɛ l ɛ d
gwelen	ɡ w ɛ l ɛ n
gweler	ɡ w ɛ l ɛ r
gweles	ɡ w ɛ l ɛ s
gwelet	ɡ w ɛ l ɛ t
gwelsen	ɡ w ɛ l s ɛ n
gwelwch	ɡ w ɛ l ʊ χ
gwelwn	ɡ w ɛ l ʊ n
gwely	ɡ w ɛ l ɨ
gwell	ɡ w ɛ ɬ
gwella	ɡ w ɛ ɬ a
gwelliant	ɡ w ɛ ɬ j a n t
gwellt	ɡ w eː ɬ d
gwellta	ɡ w ɛ ɬ d a
gwen	ɡ w ɛ n
gwên	ɡ w eː n
gwener	ɡ w ɛ n ɛ r
gwener	ɡ w ɛ n a r
gwenhwyfar	ɡ w ɛ n h ʊ ɨ̯ v a r
gwenith	ɡ w ɛ n ɪ θ
gwenithfaen	ɡ w ɛ n ɪ θ v a ɨ̯ n
gwenllian	ɡ w ɛ n ɬ iː a n
gwennol	ɡ w ɛ n ɔ l
gwenoliaid	ɡ w ɛ n ɔ l j a i̯ d
gwenoliaid	ɡ w ɛ n ɔ l j ɛ d
gwenoliaid	ɡ w ɛ n ɔ l j ɛ d
gwenu	ɡ w ɛ n ɨ̞
gwenwyn	ɡ w ɛ n w ɨ̞ n
gwenyn	ɡ w ɛ n ɨ̞ n
gwenyn gwyllt	ɡ w ɛ n ɨ̞ ŋ ɡ w ɨː ɬ d
gwenyn meirch	ɡ w ɛ n ɨ̞ m m e i̯ r χ
gwenyn mêl	ɡ w ɛ n ɨ̞ m m eː l
gwenynen	ɡ w e n ə n ɛ n
gwenynen	ɡ w e n ə n a n
gwenynen	ɡ w e n ə n a n
gwenynen feirch	ɡ w ɛ n ə n ɛ n v e i̯ r χ
gwenynen feirch	ɡ w ɛ n ə n a n v e i̯ r χ
gwenynen feirch	ɡ w ɛ n ə n a n v e i̯ r χ
gwenynen fêl	ɡ w e n ə n ɛ n v eː l
gwenynen fêl	ɡ w e n ə n a n v eː l
gwenynen fêl	ɡ w e n ə n a n v eː l
gwenynen wyllt	ɡ w e n ə n ɛ ŋ w ɨː ɬ d
gwenynen wyllt	ɡ w e n ə n a ŋ w ɨː ɬ d
gwenynen wyllt	ɡ w e n ə n a ŋ w ɨː ɬ d
gweplyfr	ɡ w ɛ p l ɨ̞ v r
gwerdd	ɡ w ɛ r ð
gwerddon	ɡ w ɛ r ð ɔ n
gwerddonau	ɡ w ɛ r ð ɔ n a ɨ̯
gwerddonau	ɡ w ɛ r ð ɔ n ɛ
gwerddonau	ɡ w ɛ r ð ɔ n a
gwerddonau	ɡ w ɛ r ð ɔ n ɛ
gwerddonau	ɡ w ɛ r ð ɔ n a
gweriniaeth	ɡ w ɛ r ɪ n j a ɨ̯ θ
gweriniaeth	ɡ w ɛ r ɪ n j ɛ θ
gweriniaeth	ɡ w ɛ r ɪ n j ɛ θ
gweriniaethau	ɡ w ɛ r ɪ n j e ɨ̯ θ a ɨ̯
gweriniaethau	ɡ w ɛ r ɪ n j e ɨ̯ θ ɛ
gweriniaethau	ɡ w ɛ r ɪ n j e ɨ̯ θ a
gweriniaethau	ɡ w ɛ r ɪ n j e ɨ̯ θ ɛ
gweriniaethau	ɡ w ɛ r ɪ n j e ɨ̯ θ a
gwerinwr	ɡ w ɛ r ɪ n ʊ r
gwerinwyr	ɡ w ɛ r ɪ n w ɨ̞ r
gwern	ɡ w ɛ r n
gwernen	ɡ w ɛ r n ɛ n
gwernog	ɡ w ɛ r n ɔ ɡ
gwers	ɡ w ɛ r s
gwerth	ɡ w ɛ r θ
gwerthiant	ɡ w ɛ r θ j a n t
gwerthu	ɡ w ɛ r θ ɨ
gwerthwr	ɡ w ɛ r θ ʊ r
gwerthwyr	ɡ w ɛ r θ w ɨ̞ r
gweryd	ɡ w ɛ r ɨ̞ d
gwesgyr	ɡ w ɛ s ɡ ɨ̞ r
gwest	ɡ w eː s d
gwestai	ɡ w ɛ s d a i̯
gwesteion	ɡ w ɛ s d e i̯ ɔ n
gwestiwn	ɡ w ɛ s d j ʊ n
gwesty	ɡ w ɛ s d ɨ̞
gweud	ɡ w e ɨ̯ d
gwg	ɡ uː ɡ
gwialen bysgota	ɡ w i a l ɛ n b ə s ɡ ɔ t a
gwialen bysgota	ɡ w j a l ɛ m b ə s ɡ ɔ t a
gwialen bysgota	ɡ w j a l a m b ə s ɡ ɔ t a
gwialen bysgota	ɡ w j a l ɛ m b ə s ɡ ɔ t a
gwialen bysgota	ɡ w j a l a m b ə s ɡ ɔ t a
gwiber	ɡ w ɪ b ɛ r
gwiberlys	ɡ w ɪ b ɛ r l ɨ̞ s
gwiberod	ɡ w ɪ b ɛ r ɔ d
gwilym	ɡ w ɪ l ɨ̞ m
gwin	ɡ w iː n
gwin newydd	ɡ w iː n n ɛ u̯ ɨ̞ ð
gwinoedd	ɡ w ɪ n ɔ ɨ̯ ð
gwir	ɡ w iː r
gwirfoddol	ɡ w ɪ r v ɔ ð ɔ l
gwisg	ɡ w iː s ɡ
gwisga	ɡ w ɪ s ɡ a
gwisgo	ɡ w ɪ s ɡ ɔ
gwiw	ɡ w ɪ u̯
gwiwer	ɡ w ɪ u̯ ɛ r
gwiwer	ɡ w ɪ u̯ a r
gwiwer	ɡ w ɪ u̯ a r
gwiwerod	ɡ w ɪ u̯ ɛ r ɔ d
gwlad	ɡ w l aː d
gwlad belg	ɡ w l aː d b ɛ l ɡ
gwlad pwyl	ɡ w l aː d p uː ɨ̯ l
gwlad yr iâ	ɡ w l aː d ə r j aː
gwladfa	ɡ w l a d v a
gwladfeydd	ɡ w l a d v e ɨ̯ ð
gwladgarol	ɡ w l a d ɡ a r ɔ l
gwladgarwr	ɡ w l a d ɡ a r ʊ r
gwladgarwyr	ɡ w l a d ɡ a r w ɨ̞ r
gwlân	ɡ w l aː n
gwlana	ɡ w l a n a
gwlanog	ɡ w l a n ɔ ɡ
gwledydd	ɡ w l ɛ d ɨ̞ ð
gwledd	ɡ w l eː ð
gwleidydd	ɡ w l e i̯ d ɨ̞ ð
gwleidyddol	ɡ w l e i̯ d ə ð ɔ l
gwlith	ɡ w l iː θ
gwlithlaw	ɡ w l ɪ θ l a u̯
gwlyb	ɡ w l ɨː b
gwlych	ɡ w l ɨː χ
gwlychu	ɡ w l ə χ ɨ
gwlychu	ɡ l ə χ i
gwlypach	ɡ w l ə p a χ
gwlypaf	ɡ w l ə p a v
gwmpas	ɡ ʊ m p a s
gwn	ɡ ʊ n
gwnaed	ɡ w n aː ɨ̯ d
gwnaeth	ɡ w n aː ɨ̯ θ
gwnaeth	ɡ n aː θ
gwnaeth	n aː θ
gwnaeth	ɡ n aː θ
gwnaeth	n aː θ
gwnaethpwyd	ɡ w n e ɨ̯ θ p ʊ ɨ̯ d
gwnei	ɡ w n e i̯
gwneud	ɡ w n e ɨ̯ d
gwneud	ɡ n e ɨ̯ d
gwneud	n e ɨ̯ d
gwneud	ɡ n e ɨ̯ d
gwneud	n e ɨ̯ d
gwneud y llestri	ɡ w n e ɨ̯ d ə ɬ ɛ s t r ɪ
gwningen	ɡ ʊ n ɪ ŋ ɛ n
gwningen	ɡ ʊ n ɪ ŋ a n
gwningen	ɡ ʊ n ɪ ŋ a n
gwobr	ɡ w ɔ b r
gwobrau	ɡ w ɔ b r a ɨ̯
gwobrau	ɡ w ɔ b r ɛ
gwobrau	ɡ w ɔ b r a
gwobrau	ɡ w ɔ b r ɛ
gwobrau	ɡ w ɔ b r a
gwobrwyon	ɡ w ɔ b r ʊ ɨ̯ ɔ n
gwpan	ɡ ʊ p a n
gwpwrdd	ɡ ʊ p ʊ r ð
gŵr	ɡ uː r
gwragedd	ɡ w r a ɡ ɛ ð
gwragedd	ɡ w r a ɡ a ð
gwragedd	ɡ w r a ɡ a ð
gwraidd	ɡ w r a i̯ ð
gẃraidd	ɡ ʊ r a i̯ ð
gwraig	ɡ w r a i̯ ɡ
gwrandawodd	ɡ w r a n d a u̯ ɔ ð
gwrando	ɡ w r a n d ɔ
gwrdd	ɡ ʊ r ð
gwregys	ɡ w r ɛ ɡ ɨ̞ s
gwregys llaethol	ə ɡ w r ɛ ɡ ɨ̞ s ɬ e ɨ̯ θ ɔ l
gwreiddio	ɡ w r e i̯ ð j ɔ
gwreiddiol	ɡ w r e i̯ ð j ɔ l
gwreiddyn	ɡ w r e i̯ ð ɨ̞ n
gwrendy	ɡ w r ɛ n d ɨ
gwres	ɡ w r eː s
gwrol	ɡ ʊ r ɔ l
gwrs	ɡ ʊ r s
gwrthdystio	ɡ ʊ r θ d ə s d j ɔ
gwrthgymdeithasol	ɡ ʊ r θ ɡ ə m d e i̯ θ a s ɔ l
gwrthiselder	ɡ ʊ r θ ɪ s ɛ l d ɛ r
gwrthiselydd	ɡ ʊ r θ ɪ s ɛ l ɨ̞ ð
gwrthiselyddion	ɡ ʊ r θ ɪ s ɛ l ə ð j ɔ n
gwrthod	ɡ ʊ r θ ɔ d
gwrthrych	ɡ ʊ r θ r ɨ̞ χ
gwrthrychol	ɡ ʊ r θ r ə χ ɔ l
gwrthryfel	ɡ ʊ r θ r ə v ɛ l
gwrthryfel	ɡ ʊ r θ r ə v ɛ l
gwrthryfela	ɡ ʊ r θ r ə v ɛ l a
gwrthryfelgar	ɡ ʊ r θ r ə v ɛ l ɡ a r
gwrthryfeloedd	ɡ ʊ r θ r ə v ɛ l ɔ ɨ̯ ð
gwrthryfelwr	ɡ ʊ r θ r ə v ɛ l ʊ r
gwrthryfelwyr	ɡ ʊ r θ r ə v ɛ l w ɨ̞ r
gwrthwynebair	ɡ ʊ r θ w ɨ̞ n ɛ b a i̯ r
gwrthwynebiad	ɡ ʊ r θ w ɨ̞ n ɛ b j a d
gwrthwynebiadau	ɡ ʊ r θ w ɨ̞ n ɛ b j a d a ɨ̯
gwrthwynebiadau	ɡ ʊ r θ w ɨ̞ n ɛ b j a d ɛ
gwrthwynebiadau	ɡ ʊ r θ w ɨ̞ n ɛ b j a d a
gwrthwynebiadau	ɡ ʊ r θ w ɨ̞ n ɛ b j a d ɛ
gwrthwynebiadau	ɡ ʊ r θ w ɨ̞ n ɛ b j a d a
gwrthwynebu	ɡ ʊ r θ w ɨ̞ n ɛ b ɨ
gwrthwynebwyr	ɡ ʊ r θ w ɨ̞ n ɛ b w ɨ̞ r
gwrthwynebydd	ɡ ʊ r θ w ɨ̞ n ɛ b ɨ̞ ð
gwrw	ɡ ʊ r u
gwsberen	ɡ ʊ s b ɛ r ɛ n
gwsberen	ɡ ʊ s b ɛ r a n
gwsberen	ɡ ʊ s b ɛ r a n
gwsberis	ɡ ʊ s b ɛ r ɪ s
gwth	ɡ uː θ
gwthio	ɡ ʊ θ j ɔ
gwy	ɡ uː ɨ̯
gwyach	ɡ ʊ ɨ̯ a χ
gwyar	ɡ ʊ ɨ̯ a r
gwybed	ɡ w ə b ɛ d
gwybed ffwng	ɡ w ə b ɛ d f ʊ ŋ
gwybedyn	ɡ w ə b ɛ d ɨ̞ n
gwybod	ɡ w ɨ̞ b ɔ d
gwybod	ɡ ʊ b ɔ d
gwybod	ɡ ʊ b ɔ
gwybod	ɡ ʊ b ɔ d
gwybod	ɡ ʊ b ɔ
gwybodaeth	ɡ w ə b ɔ d a ɨ̯ θ
gwybodaeth	ɡ w ɨ̞ b ɔ d a ɨ̯ θ
gwybodaeth	ɡ w ə b ɔ d ɛ θ
gwybodaeth	ɡ w ɨ̞ b ɔ d ɛ θ
gwybodaeth	ɡ ʊ b ɔ d a ɨ̯ θ
gwybodaeth	ɡ w ə b ɔ d ɛ θ
gwybodaeth	ɡ w ɨ̞ b ɔ d ɛ θ
gwybodaeth	ɡ ʊ b ɔ d a ɨ̯ θ
gwych	ɡ w ɨː χ
gwychach	ɡ w ə χ a χ
gwyched	ɡ w ə χ ɛ d
gwydr	ɡ w ɨ̞ d ɨ̞ r
gwydraid	ɡ w ə d r a i̯ d
gwŷdd	ɡ w ɨː ð
gŵydd	ɡ uː ɨ̯ ð
gwyddau	ɡ ʊ ɨ̯ ð a ɨ̯
gwyddau	ɡ ʊ ɨ̯ ð ɛ
gwyddau	ɡ ʊ ɨ̯ ð a
gwyddau	ɡ ʊ ɨ̯ ð ɛ
gwyddau	ɡ ʊ ɨ̯ ð a
gwyddbwyll	ɡ w ɨ̞ ð b ʊ ɨ̯ ɬ
gwyddel	ɡ ʊ ɨ̯ ð ɛ l
gwyddeleg	ɡ ʊ ɨ̯ ð ɛ l ɛ ɡ
gwydden	ɡ w ɨ̞ ð ɛ n
gwyddion	ɡ w ə ð j ɔ n
gwyddon	ɡ w ə ð ɔ n
gwyddor	ɡ ʊ ɨ̯ ð ɔ r
gwyfyn	ɡ w ə v ɨ̞ n
gwŷl	ɡ w ɨː l
gŵyl	ɡ uː ɨ̯ l
gwylan	ɡ ʊ ɨ̯ l a n
gwylanod	ɡ ʊ ɨ̯ l a n ɔ d
gwyliedydd	ɡ w ɨ̞ l j ɛ d ɨ̞ ð
gwyliedyddion	ɡ w ɨ̞ l j ɛ d ə ð j ɔ n
gwylio	ɡ w ɪ l j ɔ
gwylio	ɡ w ɨ̞ l j ɔ
gwylog	ɡ ʊ ɨ̯ l ɔ ɡ
gwylogod	ɡ ʊ ɨ̯ l ɔ ɡ ɔ d
gwyll	ɡ w ɨ̞ ɬ
gŵyll	ɡ uː ɨ̯ ɬ
gwylliaid	ɡ ʊ ɨ̯ ɬ j a i̯ d
gwylliaid	ɡ w ɨ̞ ɬ j a i̯ d
gwylliaid	ɡ ʊ ɨ̯ ɬ j ɛ d
gwylliaid	ɡ w ɨ̞ ɬ j ɛ d
gwylliaid	ɡ ʊ ɨ̯ ɬ j ɛ d
gwylliaid	ɡ w ɨ̞ ɬ j ɛ d
gwyllon	ɡ w ə ɬ ɔ n
gwyllt	ɡ w ɨː ɬ d
gwymona	ɡ w ɨ̞ m ɔ n a
gwympo	ɡ w ɨ m p ɔ
gwyn	ɡ w ɨ̞ n
gwŷn	ɡ w ɨː n
gwyndyd	ɡ ʊ ɨ̯ n d ɨ̞ d
gwynedd	ɡ u ɨ̯ n ɛ ð
gwyneira	ɡ w ɨ̞ n e i̯ r a
gwyneth	ɡ w ɨ̞ n ɛ θ
gwynnach	ɡ w ə n a χ
gwynnu	ɡ w ə n ɨ
gwyno	ɡ ʊ ɨ̯ n ɔ
gwynt	ɡ w ɨ̞ n t
gwŷr	ɡ w ɨː r
gŵyr	ɡ uː ɨ̯ r
gŵyr	ɡ uː ɨ̯ r
gwyrdd	ɡ w ɨ̞ r ð
gwyrddfaen	ɡ w ə r ð v a ɨ̯ n
gwyrddion	ɡ w ə r ð j ɔ n
gwyrddsug	ɡ w ə r ð s ɨ̞ ɡ
gwyrth	ɡ w ɨ̞ r θ
gwyryf	ɡ w ə r ɨ v
gwŷs	ɡ w ɨː s
gwystl	ɡ w ɨ̞ s d l
gŵyth	ɡ uː ɨ̯ θ
gwythi	ɡ ʊ ɨ̯ θ ɪ
gychwyn	ɡ ə χ w ɨ̞ n
gyd	ɡ iː d
gyda	ɡ ɨ̞ d a
gyda	d a
gyda hyn	ɡ ɨ̞ d a h ɨ̞ n
gydag	ɡ ɨ̞ d a ɡ
gydag	d a ɡ
gyda'i gilydd	ɡ ɨ̞ d a i̯ ɡ ɪ l ɪ ð
gyda'i gilydd	ɡ ɨ̞ d a i̯ ɡ ɪ l ɨ̞ ð
gydbreswylwyr	ɡ ɨː d b r ɛ s ʊ ɨ̯ l w ɨ̞ r
gyddfau	ɡ ə ð v a ɨ̯
gyddfau	ɡ ə ð v ɛ
gyddfau	ɡ ə ð v a
gyddfau	ɡ ə ð v ɛ
gyddfau	ɡ ə ð v a
gyfaill	ɡ ə v a i̯ ɬ
gyfaredd	ɡ ə v a r ɛ ð
gyfarfod	ɡ ə v a r v ɔ d
gyfarfod	ɡ w a r v ɔ d
gyfarfod	ɡ w a r v ɔ d
gyfeillion	ɡ ə v e i̯ ɬ j ɔ n
gyfiawnder	ɡ ə v j a u̯ n d ɛ r
gyflym	ɡ ə v l ɨ̞ m
gyflymach	ɡ ə v l ə m a χ
gyfnither	ɡ ə v n ɪ θ ɛ r
gyfnither	ɡ ə v n ɪ θ a r
gyfnither	ɡ ə v n ɪ θ a r
gyfoethog	ɡ ə v ɔ ɨ̯ θ ɔ ɡ
gyfreithiwr	ɡ ə v r e i̯ θ j ʊ r
gyfun	ɡ ə v ɨ̞ n
gyfforddus	ɡ ə f ɔ r ð ɨ̞ s
gyngerdd	ɡ ə ŋ ɛ r ð
gylch	ɡ ɨ̞ l χ
gylchgrawn	ɡ ə l χ ɡ r a u̯ n
gylchgrawn	ɡ ɨ̞ l χ ɡ r a u̯ n
gylfin	ɡ ə l v ɪ n
gylfinau	ɡ ə l v ɪ n a ɨ̯
gylfinau	ɡ ə l v ɪ n ɛ
gylfinau	ɡ ə l v ɪ n a
gylfinau	ɡ ə l v ɪ n ɛ
gylfinau	ɡ ə l v ɪ n a
