ং	ŋ
নভেল	n ɔ bʱ e l
নভেল	n ɔ v e l
নমস্কার	n ɔ m o ʃ k a ɹ
নমস্কার	n ɔ m o ʃ k a ɾ
নমাজ	n ɔ m a d ʑ
নমাজ	n ɔ m a d͡ʒ
নমায	n ɔ m a d ʑ
নমায	n ɔ m a d͡ʒ
নম্বর	n ɔ m b o ɹ
নম্বর	n ɔ m b o ɾ
নয়	n ɔ e̯
নয়ন	n ɔ e̯ o n
নয়া	n ɔ e̯ aˑ
নর	n ɔ ɹ
নর	n ɔ ɾ
নর	n ɔː ɾ
নরক	n ɔ ɹ o k
নরক	n ɔ ɾ o k
নরম	n ɔ ɹ o m
নরম	n ɔ ɾ o m
নষ্ট	n ɔ s t oˑ
নষ্ট	n ɔ ʂ ʈ oˑ
নষ্ট	n ɔ ʃ t oˑ
না	n aː
না	n aˑ
নাক	n a k
নাক	n aː k
নাগাল্যান্ড	n a ɡ a l æ ɳ ɖ
নাগাল্যান্ড	n a ɡ a l ɛ n d
নাঙ্গল	n a ŋ ɡ ɔ l
নাঙ্গা	n a ŋ ɡ aˑ
নাচা	n a t ɕ aˑ
নাচা	n a t͡ʃ aˑ
নাজাত	n a d ʑ a t̪
নাজাত	n a d͡ʒ a t̪
নাটক	n a ʈ̟ o k
নাড়া	n a ɹ aˑ
নাড়া	n a ɽ aˑ
নাড়া	n a ɾ aˑ
নাতনী	n a t̪ n iˑ
নাতি	n a t̪ iˑ
নাতিশীতোষ্ণ	n a t̪ i ʃ i t̪ o ʃ n oˑ
নাথ	n a t̪
নানা	n a n aˑ
নানী	n a n iˑ
নাপিত	n a p i t̪
নাপ্পি	n a pː iˑ
নাবালক	n a b a l ɔ k
নাম	n a m
নাম	n aː m
নামক	n a m ɔ k
নামজাদা	n a m d ʑ a d̪ aˑ
নামজাদা	n a m d͡ʒ a d̪ aˑ
নামহীন	n a m h i n
নামহীন	n a mː i n
নামা	n a m a
নামাজ	n a m a d ʑ
নামাজ	n a m a d̪ z
নামাজ	n a m a d͡ʒ
নামাজ	n a m a z
নামানো	n a m a n o
নারকেল	n a ɹ k e l
নারকেল	n a ɾ k e l
নারাজ	n a ɹ a d ʑ
নারাজ	n a ɹ a z
নারাজ	n a ɾ a d͡ʒ
নারাজ	n a ɾ a z
নারায়ণ	n a ɹ a e̯ n
নারায়ণ	n a ɹ a e̯ o n
নারায়ণ	n a ɾ a e̯ n
নারায়ণ	n a ɾ a e̯ o n
নারিকেল	n a ɹ i k e l
নারিকেল	n a ɾ i k e l
নারিন্দা	n a ɹ i n d̪ aˑ
নারিন্দা	n a ɾ i n d̪ aˑ
নারী	n a ɹ iˑ
নারী	n a ɾ iˑ
নারীবাদ	n a ɹ i b a d̪
নারীবাদ	n a ɾ i b a d̪
নার্গিস	n a ɾ ɡ i s
নালিশ	n a l i ʃ
নাশকতা	n a ʃ ɔ k ɔ t̪ aˑ
নাসরিন	n a s ɹ i n
নাসরিন	n a s ɾ i n
নাস্তানাবুদ	n a s t̪ a n a b u d̪
নিঃশ্বসন	n i h ʃː ɔ ʃ ɔ n
নিকটবর্তী	n i k ɔ t b o ɹ t̪ iˑ
নিকটবর্তী	n i k ɔ t o b o ɹ t̪ iˑ
নিকটবর্তী	n i k ɔ ʈ b o ɾ t̪ iˑ
নিকটবর্তী	n i k ɔ ʈ o b o ɾ t̪ iˑ
নিকড়িয়া	n i k o ɹ i̯ aˑ
নিকড়িয়া	n i k o ɽ i̯ aˑ
নিকড়িয়া	n i k o ɾ i̯ aˑ
নিকাহ	n i k aˑ
নিখিল	n i kʰ i l
নিখিলবিশ্ব	n i kʰ i l b i ʃː oˑ
নিখুঁত	n i kʰ u t̪
নিখুঁত	n i kʰ ũ t̪
নিধি	n i d̪ʱ iˑ
নিমন্ত্রণ	n i m o n t̪ː ɹ o n
নিমন্ত্রণ	n i m o n t̪ː ɾ o n
নিমিষ	n i m i ʃ
নিমেষ	n i m e ʂ
নিমেষ	n i m e ʃ
নিমেষ	n i m ɛ ʃ
নিম্ন	n i m n oˑ
নিম্নে	n i m n eˑ
নিয়ম	n i̯ o m
নিয়ে	n i̯ eˑ
নিযুক্ত	n i d ʑ u k t̪ oˑ
নিযুক্ত	n i d͡ʒ u k t̪ oˑ
নির্দেশ	n i ɹ d̪ e ʃ
নির্দেশ	n i ɾ d̪ e ʃ
নির্দেশনা	n i ɹ d̪ e ʃ ɔ n aˑ
নির্দেশনা	n i ɾ d̪ e ʃ ɔ n aˑ
নির্বাচন	n i ɹ b a t ɕ ɔ n
নির্বাচন	n i ɾ b a t͡ʃ ɔ n
নির্ভর	n i ɹ bʱ ɔ ɹ
নির্ভর	n i ɹ v ɔ ɹ
নির্ভর	n i ɾ bʱ ɔ ɾ
নির্ভর	n i ɾ v ɔ ɾ
নিলাম	n i l a m
নিশান	n i ʃ a n
নিশ্চয়	n i s t ɕ ɔ e̯
নিশ্চয়	n i s t͡ʃ ɔ e̯
নিশ্চয়	n i ʃ t ɕ ɔ e̯
নিশ্চয়	n i ʃ t͡ʃ ɔ e̯
নিশ্চিত	n i s t ɕ i t̪ oˑ
নিশ্চিত	n i s t͡ʃ i t̪ oˑ
নিশ্চিত	n i ʃ t ɕ i t̪ oˑ
নিশ্চিত	n i ʃ t͡ʃ i t̪ oˑ
নিশ্বসন	n i ʃː ɔ ʃ ɔ n
নিশ্বাস	n i ʃː a ʃ
নিষিদ্ধ	n i ʃ i d̪ʱː oˑ
নিষ্ঠুর	n i s tʰ u ɹ
নিষ্ঠুর	n i ʂ ʈʰ u ɾ
নিষ্ঠুর	n i ʃ tʰ u ɹ
নিস্তব্ধ	n i s t̪ ɔ b d̪ʱ o
নীতি	n i t̪ iˑ
নীলুফার	n i l u f a ɹ
নীলুফার	n i l u f a ɾ
নুন	n u n
নুন	n uː n
নুনি	n u n iˑ
নুনু	n u n uˑ
নুসরাত	n u s ɹ a t̪
নুসরাত	n u s ɾ a t̪
নূতন	n u t̪ ɔ n
নূরানী	n u ɹ a n iˑ
নূরানী	n u ɾ a n iˑ
নেউল	n e u l
নেওয়া	n a o̯ aˑ
নেওয়া	n e o̯ aˑ
নেওয়া	n æ o̯ aˑ
নেওয়া	n ɛ o̯ aˑ
নেকড়ে	n e k ɹ eˑ
নেকড়ে	n e k ɽ eˑ
নেকড়ে	n e k ɾ eˑ
নেছার	n e t ɕʰ a ɹ
নেছার	n e t͡ʃʰ a ɾ
নেটওয়ার্ক	n e t o̯ a ɹ k
নেটওয়ার্ক	n e ʈ o̯ a ɾ k
নেতাজি	n e t̪ a d ʑ iˑ
নেতাজি	n e t̪ a d͡ʒ iˑ
নেতৃত্ব	n e t̪ː ɹ i t̪ː oˑ
নেতৃত্ব	n e t̪ː ɾ i t̪ː oˑ
নেপচুন	n e p t ɕ u n
নেপচুন	n e p t͡ʃ u n
নেপাল	n e p a l
নেপিদ	n e p i d̪ ɔ̜ˑ
নেবা	n e b aˑ
নেবানো	n e b a n oˑ
নেভানো	n e bʱ a n oˑ
নেভানো	n e v a n oˑ
নেয়ামৎ	n e a m ɔ t̪
নেশা	n e ʃ a
নেহ	n e h oˑ
নেহেরু	n e h e ɹ uˑ
নেহেরু	n e h e ɾ uˑ
নৈরাজ্যবাদ	n o i̯ ɹ a d ʑː ɔ b a d̪
নৈরাজ্যবাদ	n o i̯ ɾ a d͡ʒ d͡ʒ ɔ b a d̪
নৈরাজ্যবাদ	n o i̯ ɾ a z̪̪ d͡ʒ ɔ b a d̪
নৈশভোজ	n o i̯ ʃ ɔ bʱ o d ʑ
নৈশভোজ	n o i̯ ʃ ɔ bʱ o d͡ʒ
নৈশভোজ	n o i̯ ʃ ɔ v o d ʑ
নৈশভোজ	n o i̯ ʃ ɔ v o d͡ʒ
নোড়া	n o ɹ aˑ
নোড়া	n o ɽ aˑ
নোড়া	n o ɾ aˑ
নোয়াখাইল্লা	n o̯ a kʰ a i̯ lː aˑ
নোয়াখালী	n o̯ a kʰ a l iˑ
নৌকা	n o u̯ k aˑ
ন্যূন	n u n
ন্যূন	n uː n
ন্যূনতম	n u n o t̪ ɔ m oˑ
পঁহাত	p ɔ̃ h a t̪
পকেট	p ɔ k e t
পকেট	p ɔ k e ʈ
পকেট	p ɔ k ɛ t
পকেট	ɸ ɔ x ɛ t
পক্ষসমর্থন	p ɔ kʰː ɔ ʃ ɔ m ɔ ɹ t̪ʰ ɔ n
পক্ষসমর্থন	p ɔ kʰː ɔ ʃ ɔ m ɔ ɾ t̪ʰ ɔ n
পক্ষী	p ɔ kʰː iˑ
পক্ষী	ɸ ɔ x x iˑ
পক্ষে	p ɔ kʰː eˑ
পঙ্খী	p ɔ ŋ kʰ iˑ
পঙ্খী	ɸ ɔ ŋ x iˑ
পচা	p ɔ t ɕ aˑ
পচা	p ɔ t͡ʃ aˑ
পছন্দ	p ɔ s o n d̪ oˑ
পছন্দ	p ɔ t ɕʰ o n d̪ oˑ
পছন্দ	p ɔ t͡ʃʰ o n d̪ oˑ
পছন্দ	ɸ ɔ s o n d̪ oˑ
পঞ্চান্ন	p ɔ n t ɕ a nː oˑ
পঞ্চান্ন	p ɔ n t͡ʃ a nː oˑ
পঞ্চায়েত	p ɔ n t ɕ a e̯ t̪
পঞ্চায়েত	p ɔ n t͡ʃ a e̯ t̪
পঞ্চায়েতি	p ɔ n t͡ʃ ä e t̪ iˑ
পঞ্চাশ	p ɔ n t ɕ a ʃ
পঞ্চাশ	p ɔ n t͡ʃ a ʃ
পটেল	p ɔ t e l
পটেল	p ɔ ʈ e l
পটোল	p ɔ t o l
পটোল	p ɔ ʈ o l
পড়শী	p o ɹ ʃ iˑ
পড়শী	p o ɽ ʃ iˑ
পড়শী	p o ɾ ʃ iˑ
পড়া	p ɔ ɹ aˑ
পড়া	p ɔ ɽ aˑ
পড়া	p ɔ ɾ aˑ
পড়া	ɸ ɔ ɹ aˑ
পণ্ডিত	p o n d i t̪
পণ্ডিত	p o ɳ ɖ i t̪
পতাকা	p ɔ t̪ a k aˑ
পত্নী	p ɔ t̪ n iˑ
পত্নী	ɸ ɔ t̪ n iˑ
পত্রিকা	p ɔ t̪ː ɹ i k aˑ
পত্রিকা	p ɔ t̪ː ɾ i k aˑ
পথ	p ɔ t̪
পদ	p ɔ d̪
পদ্ম	p ɔ d̪ː oˑ
পদ্মা	p ɔ d̪ː aˑ
পনীর	p o n i ɹ
পনীর	p o n i ɾ
পবিত্র	p o b i t̪ː ɾ oˑ
পয়গম্বর	p ɔ e̯ ɡ ɔ m b ɔ ɹ
পয়গম্বর	p ɔ e̯ ɡ ɔ m b ɔ ɾ
পয়লা	p ɔ e̯ l aˑ
পয়সা	p ɔ e̯ ʃ aˑ
পরমাণু	p ɔ ɹ o m a n uˑ
পরমাণু	p ɔ ɾ o m a n uˑ
পরশু	p o ɾ ʃ uˑ
পরশ্রীকাতরতা	p ɔ ɹ o s ɹ i k a t̪ː ɹ ɔ t̪ aˑ
পরশ্রীকাতরতা	p ɔ ɾ o s ɾ i k a t̪ː ɾ ɔ t̪ aˑ
পরা	p ɔ ɹ aˑ
পরা	p ɔ ɾ aˑ
পরাগ	p ɔ ɹ a ɡ
পরাগ	p ɔ ɾ a ɡ
পরাত	p ɔ ɹ a t̪
পরাত	p ɔ ɾ a t̪
পরানো	p ɔ ɹ a n oˑ
পরানো	p ɔ ɾ a n oˑ
পরামর্শ	p ɔ r a m ɔ r ʃ o
পরামর্শদাতা	p ɔ ɹ a m ɔ ɹ ʃ ɔ d̪ a t̪ aˑ
পরামর্শদাতা	p ɔ ɾ a m ɔ ɾ ʃ ɔ d̪ a t̪ aˑ
পরিকল্পনা	p o ɹ i k ɔ l p o n aˑ
পরিকল্পনা	p o ɾ i k ɔ l p o n aˑ
পরিচয়	p o ɹ i t ɕ ɔ e̯
পরিচয়	p o ɾ i t͡ʃ ɔ e̯
পরিচালিত	p o ɹ i t ɕ a l i t̪ oˑ
পরিচালিত	p o ɾ i t͡ʃ a l i t̪ oˑ
পরিণতি	p o ɹ i n o t̪ iˑ
পরিণতি	p o ɾ i n o t̪ iˑ
পরিত্রাণ	p o ɹ i t̪ː ɹ a n
পরিত্রাণ	p o ɾ i t̪ː ɾ a n
পরিবর্তন	p o ɹ i b ɔ ɹ t̪ o n
পরিবর্তন	p o ɾ i b ɔ ɾ t̪ o n
পরিবর্তে	p o ɹ i b ɔ ɹ t̪ eˑ
পরিবর্তে	p o ɾ i b ɔ ɾ t̪ eˑ
পরিবার	p o ɹ i b a ɹ
পরিবার	p o ɾ i b a ɾ
পরিশ্রম	p o ɹ i s ɹ ɔ m
পরিশ্রম	p o ɾ i s ɾ ɔ m
পরিষদ	p o ɹ i ʃ ɔ d̪
পরিষদ	p o ɾ i ʃ ɔ d̪
পরিস্থিতি	p o ɹ i s t̪ʰ i t̪ iˑ
পরিস্থিতি	p o ɾ i s t̪ʰ i t̪ iˑ
পরী	p o ɹ iˑ
পরী	p o ɾ iˑ
পরেন্দা	p ɔ ɾ e n d̪ aˑ
পরোয়া	p ɔ ɹ o̯ aˑ
পরোয়া	p ɔ ɹ u̯ aˑ
পরোয়া	p ɔ ɾ o̯ aˑ
পরোয়া	p ɔ ɾ u̯ aˑ
পর্তুগাল	p o ɾ t̪ u ɡ a l
পর্দা	p ɔ ɹ d̪ aˑ
পর্দা	p ɔ ɾ d̪ aˑ
পর্দানশীন	p ɔ ɹ d̪ a n ɔ ʃ i n
পর্দানশীন	p ɔ ɾ d̪ a n ɔ ʃ i n
পর্নো	p ɔ ɹ n oˑ
পর্নো	p ɔ ɾ n oˑ
পর্যটন	p ɔ ɹ d ʑ ɔ t ɔ n
পর্যটন	p ɔ ɾ d͡ʒ ɔ ʈ ɔ n
পর্যন্ত	p ɔ ɹ d ʑ o n t̪ oˑ
পর্যন্ত	p ɔ ɾ d͡ʒ o n t̪ oˑ
পলিনেশিয়া	p ɔ l i n e ʃ ŷ aˑ
পল্টন	p ɔ l̪ t ɔ n
পল্টন	p ɔ ɭ ʈ ɔ n
পল্লি	p ɔ lː iˑ
পশুপাল	p ɔ ʃ u p a l
পশ্চিমবঙ্গ	p ɔ s t ɕ i m b ɔ ŋ ɡ oˑ
পশ্চিমবঙ্গ	p ɔ s t͡ʃ i m b ɔ ŋ ɡ oˑ
পশ্চিমবঙ্গ	p ɔ ʃ t ɕ i m b ɔ ŋ ɡ oˑ
পশ্চিমবঙ্গ	p ɔ ʃ t͡ʃ i m b ɔ ŋ ɡ oˑ
পশ্চিমবঙ্গে	p ɔ s t ɕ i m b ɔ ŋ ɡ eˑ
পশ্চিমবঙ্গে	p ɔ s t͡ʃ i m b ɔ ŋ ɡ eˑ
পশ্চিমবঙ্গে	p ɔ ʃ t ɕ i m b ɔ ŋ ɡ eˑ
পশ্চিমবঙ্গে	p ɔ ʃ t͡ʃ i m b ɔ ŋ ɡ eˑ
পশ্চিমবাংলা	p ɔ s t ɕ i m b a ŋ l aˑ
পশ্চিমবাংলা	p ɔ s t͡ʃ i m b a ŋ l aˑ
পশ্চিমবাংলা	p ɔ ʃ t ɕ i m b a ŋ l aˑ
পশ্চিমবাংলা	p ɔ ʃ t͡ʃ i m b a ŋ l aˑ
পহু	p o h uˑ
পহেলা	p ɔ h e l aˑ
পা	p aː
পা	p aˑ
পাঁউরুটি	p a u̯ ɹ u t iˑ
পাঁউরুটি	p ã u ɾ u ʈ iˑ
পাঁক	p a k
পাঁক	p aː k
পাঁক	p ã k
পাঁক	p ãː k
পাঁচ	p a t ɕ
পাঁচ	p ã t͡ʃ
পাঁচিল	p a t ɕ i l
পাঁচিল	p ã t͡ʃ i l
পাঁজর	p a d ʑ ɔ ɹ
পাঁজর	p a d̪ z ɔ ɾ
পাঁজর	p ã d͡ʒ ɔ ɾ
পাঁজর	ɸ a z ɔ ɹ
পাঁঠা	p a tʰ aˑ
পাঁঠা	p ã ʈʰ aˑ
পাঁঠি	p ã ʈ̟ʰ i
পাঁড়ে	p a ɾ eˑ
পাঁড়ে	p ã ɽ eˑ
পাঁড়ে	p ã ɾ eˑ
পাঁতি	p a t̪ iˑ
পাঁতি	p ã t̪ iˑ
পাইখানা	p a i̯ kʰ a n aˑ
পাইথন	p ä i̯ t̪ʰ ɔ̜ˑ n
পাওয়া	p a o̯ aˑ
পাকস্থলী	p a k ɔ s t̪ʰ o l iˑ
পাকা	p a k a
পাকিস্তান	p a k i s t̪ a n
পাখ	p a x
পাখ	p aː k
পাখা	p a kʰ aˑ
পাখি	p a kʰ iˑ
পাখী	p a kʰ iˑ
পাঙ্গাশ	p a ŋ a ʃ
পাঙ্গাশ	p a ŋ ɡ a ʃ
পাছা	p a s aˑ
পাছা	p a t ɕʰ aˑ
পাছা	p a t͡ʃʰ aˑ
পাছা	ɸ a s aˑ
পাঞ্জা	p a n d ʑ aˑ
পাঞ্জা	p a n d͡ʒ aˑ
পাঞ্জাব	p a n d ʑ a b
পাঞ্জাব	p a n d͡ʒ a b
পাটা	p a t aˑ
পাটা	p a ʈ aˑ
পাঠ	p a tʰ
পাঠ	p a ʈ
পাঠ	p aː ʈ
পাঠা	p a tʰ aˑ
পাঠা	p a ʈʰ aˑ
পাঠান	p a tʰ a n
পাঠান	p a ʈʰ a n
পাঠানো	p a tʰ a n oˑ
পাঠানো	p a ʈʰ a n oˑ
পাড়া	p a ɹ aˑ
পাড়া	p a ɽ aˑ
পাড়া	p a ɾ aˑ
পাণ	p ɐ n
পাতক	p a t̪ ɔ k
পাতলা	p a t̪ː l aˑ
পাতা	p a t̪ a
পাতিহাঁস	p a t̪ i h a ʃ
পাতিহাঁস	p a t̪ i h ã ʃ
পাত্তা	p a t̪ː aˑ
পাত্র	p a t̪ː ɹ oˑ
পাত্র	p a t̪ː ɾ oˑ
পাদ	p äː d̪
পাদটীকা	p a d̪ o t i k aˑ
পাদটীকা	p a d̪ o ʈ i k aˑ
পাদা	p ä d̪ äˑ
পাদ্রি	p a d̪ː ɹ iˑ
পাদ্রি	p a d̪ː ɾ iˑ
পান	p a n
পান	p aː n
পানি	p a n iˑ
পানিফল	p a n i f ɔ l
পানু	p ä n uˑ
পান্ডা	p a n d aˑ
পান্ডা	p a ɳ ɖ aˑ
পাপ	p a p
পাপ	p aː p
পাপকর্ম	p a p o k ɔ ɹ m oˑ
পাপকর্ম	p a p o k ɔ ɾ m oˑ
পাপড়ি	p a p ɹ iˑ
পাপড়ি	p a p ɽ iˑ
পাপড়ি	p a p ɾ iˑ
পাপী	p a p iˑ
পাবনা	p a b n aˑ
পাবনাইয়া	p a b n a i̯ aˑ
পায়খানা	p a e̯ kʰ a n aˑ
পায়খানা	ɸ a e̯ x a n aˑ
পায়স	p a eˑ s̠
পায়ু	p ä e̯ uˑ
পারদ	p ä ɾ oˑ d̪
পারভেজ	p a ɹ bʱ e z
পারভেজ	p a ɹ v e z
পারভেজ	p a ɾ bʱ e z
পারভেজ	p a ɾ v e z
পারমাণবিক	p a ɹ o m a n o b i k
পারমাণবিক	p a ɾ o m a n o b i k
পারা	p a ɾ aˑ
পারিবারিক	p a ɹ i b a ɹ i k
পারিবারিক	p a ɾ i b a ɾ i k
পার্কিং	p a ɹ k i ŋ
পার্কিং	p a ɾ k i ŋ
পার্থ	p a ɹ t̪ʰ oˑ
পার্থ	p a ɾ t̪ʰ oˑ
পার্থক্য	p a ɾ t̪ʰ o kː oˑ
পালং	p a l ɔ ŋ
পালক	p a l o k
পালন	p a l o n
পালানো	p a l a n oˑ
পাহাড়	p a h a ɽ
পাহারা	p a h a ɹ aˑ
পাহারা	p a h a ɾ aˑ
পিঁপড়া	p i p ɔ ɹ aˑ
পিঁপড়া	p ĩ p ɔ ɽ aˑ
পিঁপড়া	p ĩ p ɔ ɾ aˑ
পিছনে	p i t ɕʰ o n eˑ
পিছনে	p i t͡ʃʰ o n eˑ
পিছা	p i t ɕʰ aˑ
পিছা	p i t͡ʃʰ aˑ
পিঞ্জর	p i n d ʑ ɔ ɹ
পিঞ্জর	p i n d͡ʒ ɔ ɾ
পিঠ	p i tʰ
পিঠ	p i ʈ
পিঠ	p iː ʈ
পিতা	p i t̪ aˑ
পিনাকী	p i n a k iˑ
পিপুল	p i p uˑ l
পিপ্পল	p i pː ɔ l
পিয়ন	p i̯ o n
পিয়া	p i̯ aˑ
পিয়াদা	p i̯ a d̪ aˑ
পিয়াস	p i̯ a ʃ
পিরিচ	p i ɹ i t ɕ
পিরিচ	p i ɾ i t̪ s
পিরিচ	p i ɾ i t͡ʃ
পিরিচ	ɸ i ɹ i s
পিরিতি	p i ɾ i t̪ iˑ
পিরিতি	ɸ i ɹ i t̪ iˑ
পিষা	p i ʃ aˑ
পিসি	p i ʃ iˑ
পিস্তল	p i s t̪ ɔ l
পীরিতি	p i ɾ i t̪ iˑ
পীরিতি	ɸ i ɹ i t̪ iˑ
পুঁজিবাদ	p u d ʑ i b a d̪
পুঁজিবাদ	p ũ d͡ʒ i b a d̪
পুঁটি	p u t iˑ
পুঁটি	p ũ ʈ iˑ
পুঁথি	p u t̪ʰ iˑ
পুঁথি	p ũ t̪ʰ iˑ
পুকুর	p u k u ɹ
পুকুর	p u k u ɾ
পুঙ্খানুপুঙ্খ	p u ŋ kʰ a n u p u ŋ kʰ oˑ
পুচ্ছ	p u t ɕʰː oˑ
পুচ্ছ	p u t̪ sː ɔˑ
পুচ্ছ	p u t͡ʃʰː oˑ
পুচ্ছ	ɸ u sː ɔˑ
পুছা	p u t ɕʰ aˑ
পুছা	p u t͡ʃʰ aˑ
পুজো	p u d͡ʒ oˑ
পুতুল	p u t̪ u l
পুত্র	p u t̪ː ɹ oˑ
পুত্র	p u t̪ː ɾ oˑ
পুদিনা	p u d̪ i n aˑ
পুনঃ	p u n ɔ h
পুনরুত্থান	p u n o ɹ u t̪ʰː a n
পুনরুত্থান	p u n o ɾ u t̪ʰː a n
পুনরুত্থিত	p u n o ɹ u t̪ʰː i t̪ oˑ
পুনরুত্থিত	p u n o ɾ u t̪ʰː i t̪ oˑ
পুব	p u b
পুব	p uː b
পুরনো	p u ɹ ɔ n oˑ
পুরনো	p u ɾ ɔ n oˑ
পুরস্কার	p u ɹ o ʃ k a ɹ
পুরস্কার	p u ɾ o ʃ k a ɾ
পুরা	p u ɹ aˑ
পুরা	p u ɾ aˑ
পুরাণ	p u ɹ a n
পুরাণ	p u ɾ a n
পুরানো	p u ɹ a n oˑ
পুরানো	p u ɾ a n oˑ
পুরাপুরি	p u ɹ a p u ɹ iˑ
পুরাপুরি	p u ɾ a p u ɾ iˑ
পুরুষ	p u ɾ u ʃ
পুরুষাঙ্গ	p u ɹ u ʃ a ŋ ɡ oˑ
পুরুষাঙ্গ	p u ɾ u ʃ a ŋ ɡ oˑ
পুরোনো	p u ɹ o n oˑ
পুরোনো	p u ɾ o n oˑ
পুরোপুরি	p u ɹ o p u ɹ iˑ
পুরোপুরি	p u ɾ o p u ɾ iˑ
পুল	p u l
পুল	p uː l
পুলিশ	p u l i ʃ
পুষ্প	p u ʃ p oˑ
পুস্তক	p u s t̪ ɔ k
পূজা	p u d͡ʒ äˑ
পূজারী	p u d ʑ a ɹ iˑ
পূজারী	p u d͡ʒ a ɾ iˑ
পূরণ	p u ɹ o n
পূরণ	p u ɹ ɔ n
পূরণ	p u ɾ o n
পূরণ	p u ɾ ɔ n
পূর্ণ	p u ɹ n oˑ
পূর্ণ	p u ɾ n oˑ
পূর্ব	p u ɹ b oˑ
পূর্ব	p u ɾ b oˑ
পূর্ববাংলা	p u ɹ b ɔ b a ŋ l aˑ
পূর্ববাংলা	p u ɾ b ɔ b a ŋ l aˑ
পৃথকীকরণ	p ɹ i t̪ʰ k i k ɹ o n
পৃথকীকরণ	p ɾ i t̪ʰ k i k ɾ o n
পৃথিবী	p ɹ i t̪ʰ i b iˑ
পৃথিবী	p ɾ i t̪ʰ i b iˑ
পেঁচ	p æ̃ t͡ʃ
পেঁচ	p ɛ t ɕ
পেঁড়া	p æ̃ ɽ aˑ
পেঁড়া	p æ̃ ɾ aˑ
পেঁড়া	p ɛ ɹ aˑ
পেঁপে	p e p eˑ
পেঁপে	p ẽ p eˑ
পেঁয়াজ	p e a d ʑ
পেঁয়াজ	p e a z
পেঁয়াজ	p e ã d͡ʒ
পেঁয়াজ	p e ã z
পেচ্ছাপ	p e t͡ʃːʰ äˑ p
পেটা	p e ʈ̟ a
পেনিস	p e n i ʃ
পেয়ারা	p e a ɹ aˑ
পেয়ারা	p e a ɾ aˑ
পেয়ালা	p e a l aˑ
পেরু	p e ɹ uˑ
পেরু	p e ɾ uˑ
পেরেক	p e ɹ e k
পেরেক	p e ɾ e k
পেরেশান	p e ɹ e ʃ a n
পেরেশান	p e ɾ e ʃ a n
পেস্তা	p e s t̪ aˑ
পোঁছা	p o t ɕʰ aˑ
পোঁছা	p õ t ɕʰ aˑ
পোঁছা	p õ t͡ʃʰ aˑ
পোঁতা	p o t̪ aˑ
পোঁতা	p õ t̪ aˑ
পোকা	p o k a
পোছা	p o t ɕʰ aˑ
পোছা	p o t͡ʃʰ aˑ
পোড়া	p o ɽ̟ aˑ
পোড়ানো	p o ɽ̟ a n o
পোরা	p o ɹ aˑ
পোরা	p o ɾ aˑ
পোশাক	p o ʃ a k
পৌঁছনো	p o ũ t͡ʃʰ ɔ n oˑ
পৌঁছা	p o u̯ t ɕʰ aˑ
পৌঁছা	p o ũ t͡ʃʰ aˑ
পৌনে	p o n eˑ
পৌনে	p o n ɛˑ
পৌনে	p o u̯ n eˑ
পৌনে	p o u̯ n ɛˑ
পৌনে	ɸ o n ɛˑ
পৌনে	ɸ o u̯ n ɛˑ
পৌষ	p o u̯ ʃ
প্যাঁচা	p æ̃ t͡ʃ aˑ
প্যাঁচা	p ɛ t ɕ aˑ
প্যান্ডেল	p æ ɳ ɖ e l
প্যান্ডেল	p ɛ n d e l
প্যারিস	p æ ɾ i s
প্যারিস	p ɛ ɹ i s
প্যালেস্টাইন	p æ l e s ʈ a i̯ n
প্যালেস্টাইন	p æ l e ʂ ʈ a i̯ n
প্যালেস্টাইন	p ɛ l e s t a i̯ n
প্রকাশ	p ɹ o k a ʃ
প্রকাশ	p ɾ o k a ʃ
প্রকাশনা	p o k a ʃ o n aˑ
প্রকাশনা	p ɹ o k a ʃ o n aˑ
প্রকাশনা	p ɾ o k a ʃ o n aˑ
প্রকাশনা	ɸ o x a ʃ o n aˑ
প্রকাশিত	p ɹ o k a ʃ i t̪ oˑ
প্রকাশিত	p ɾ o k a ʃ i t̪ oˑ
প্রকৃত	p ɹ o k ɹ i t̪ oˑ
প্রকৃত	p ɾ o k ɾ i t̪ oˑ
প্রকৃত	p ɾ o kː i t̪ oˑ
প্রকৃতি	p ɹ o k ɹ i t̪ iˑ
প্রকৃতি	p ɾ o k ɾ i t̪ iˑ
প্রকৃতি	p ɾ o kː i t̪ iˑ
প্রচণ্ড	p ɹ o t ɕ o n d oˑ
প্রচণ্ড	p ɾ o t͡ʃ o ɳ ɖ oˑ
প্রচার	p ɹ o t ɕ a ɹ
প্রচার	p ɾ o t͡ʃ a ɾ
প্রচুর	p ɹ o t ɕ u ɹ
প্রচুর	p ɾ o t͡ʃ u ɾ
প্রজাপতি	p ɹ o d ʑ a p o t̪ iˑ
প্রজাপতি	p ɾ o d͡ʒ a p o t̪ iˑ
প্রজেক্ট	p ɹ ɔ d ʑ e k t
প্রজেক্ট	p ɾ ɔ d͡ʒ e k ʈ
প্রতিজ্ঞা	p ɹ o t̪ i ɡː aˑ
প্রতিজ্ঞা	p ɾ o t̪ i ɡː aˑ
প্রতিধ্বনি	p ɹ o t̪ i d̪ʱː o n iˑ
প্রতিধ্বনি	p ɾ o t̪ i d̪ʱː o n iˑ
প্রতিমা	p ɾ o t̪ i m aˑ
