अ	ə
पंतप्रधान	p ə n t̪ ə p ɾ ə d̪ʱ a n
पंधरा	p ə n d̪ʱ ɾ a
पकडणे	p ə k ə ɖ ɳ e
पकडणे	p ə k ə ɖ ɳ ə
पगार	p ə ɡ a ɾ
पचणे	p ə t͡s ɳ e
पचणे	p ə t͡s ɳ ə
पचवणे	p ə t͡s ə ʋ ɳ e
पचवणे	p ə t͡s ə ʋ ɳ ə
पटणे	p ə ʈ ɳ e
पटणे	p ə ʈ ɳ ə
पटवणे	p ə ʈ ə ʋ ɳ e
पटवणे	p ə ʈ ə ʋ ɳ ə
पट्टा	p ə ʈ ʈ a
पट्टी	p ə ʈ ʈ i
पट्टे	p ə ʈ ʈ e
पट्टे	p ə ʈ ʈ ə
पट्ट्या	p ə ʈ ʈ j a
पठाण	p ə ʈʰ a ɳ
पठार	p ə ʈʰ a ɾ
पडणे	p ə ɖ ɳ e
पडणे	p ə ɖ ɳ ə
पडदा	p ə ɖ d̪ a
पडवळ	p ə ɖ ʋ ə ɭ̆
पडाव	p ə ɖ a ʋ
पढवणे	p ə ɖʱ ə ʋ ɳ e
पढवणे	p ə ɖʱ ə ʋ ɳ ə
पण	p ə ɳ
पणजी	p ə ɳ d͡ʑ i
पणती	p ə ɳ t̪ i
पणतू	p ə ɳ t̪ u
पणत्या	p ə ɳ ə t̪ j a
पताका	p ə t̪ a k a
पताके	p ə t̪ a k e
पताके	p ə t̪ a k ə
पती	p ə t̪ i
पत्ता	p ə t̪ t̪ a
पत्ते	p ə t̪ t̪ e
पत्ते	p ə t̪ t̪ ə
पत्रकार	p ə t̪ ɾ ə k a ɾ
पथ	p ə t̪ʰ
पदार्थ	p ə d̪ a ɾ t̪ʰ ə
पदार्पण	p ə d̪ a ɾ p ə ɳ
पदार्पणे	p ə d̪ a ɾ p ə ɳ e
पदार्पणे	p ə d̪ a ɾ p ə ɳ ə
पन्हे	p ə nʱ e
पन्हे	p ə nʱ ə
परत	p ə ɾ ə t̪
परतणे	p ə ɾ ə t̪ ɳ e
परतणे	p ə ɾ ə t̪ ɳ ə
परवड	p ə ɾ ʋ ə ɖ
परवडणे	p ə ɾ ʋ ə ɖ ɳ e
परवडणे	p ə ɾ ʋ ə ɖ ɳ ə
परवा	p ə ɾ ʋ a
पराजय	p ə ɾ a d͡ʑ ə j
परिपूर्ण	p ə ɾ i p u ɾ ɳ ə
परिस्थिती	p ə ɾ i s t̪ʰ i t̪ i
पर्यटक	p ə ɾ j ə ʈ ə k
पर्यटन	p ə ɾ j ə ʈ ə n
पलंग	p ə l ə ŋ ɡ ə
पळणे	p ə ɭ̆ ɳ e
पळणे	p ə ɭ̆ ɳ ə
पळवणे	p ə ɭ̆ ə ʋ ɳ e
पळवणे	p ə ɭ̆ ə ʋ ɳ ə
पशू	p ə ɕ u
पश्चिम	p ə ɕ t͡ɕ i m
पसंत	p ə s ə n t̪ ə
पसारा	p ə s a ɾ a
पस्तावणे	p ə s t̪ a ʋ ɳ e
पस्तावणे	p ə s t̪ a ʋ ɳ ə
पस्तीस	p ə s t̪ i s
पहाट	p ə ɦ a ʈ
पहिले	p ə ɦ i l e
पांगणे	p a ŋ ɡ ə ɳ e
पांगणे	p a ŋ ɡ ə ɳ ə
पांघरणे	p a ŋ ɡʱ ə ɾ ɳ e
पांघरणे	p a ŋ ɡʱ ə ɾ ɳ ə
पांघरुणे	p a ŋ ɡʱ ɾ u ɳ e
पांघरुणे	p a ŋ ɡʱ ɾ u ɳ ə
पांघरूण	p a ŋ ɡʱ ɾ u ɳ
पाऊल	p a u l
पाऊलखूण	p a u l kʰ u ɳ
पाऊस	p a u s
पाक	p a k
पाकळी	p a k ɭ̆ i
पाखरू	p a kʰ ɾ u
पाखरे	p a kʰ ɾ e
पाखरे	p a kʰ ɾ ə
पाच	p a t͡s
पाजणे	p a d͡z ɳ e
पाजणे	p a d͡z ɳ ə
पाझर	p a d͡zʱ ə ɾ
पाझरणे	p a d͡zʱ ə ɾ ɳ e
पाझरणे	p a d͡zʱ ə ɾ ɳ ə
पाठ	p a ʈʰ
पाठवणे	p a ʈʰ ə ʋ ɳ e
पाठवणे	p a ʈʰ ə ʋ ɳ ə
पाठ्यपुस्तक	p a ʈʰ j ə p u s t̪ ə k
पाडणे	p a ɖ ɳ e
पाडणे	p a ɖ ɳ ə
पाडवणे	p a ɖ ə ʋ ɳ e
पाडवणे	p a ɖ ə ʋ ɳ ə
पाडवा	p a ɖ ʋ a
पाडवा	p a ɖ ʋ ə
पाणावणे	p a ɳ a ʋ ɳ e
पाणावणे	p a ɳ a ʋ ɳ ə
पाणी	p a ɳ i
पादणे	p a d̪ ɳ e
पादणे	p a d̪ ɳ ə
पाद्री	p a d̪ ɾ i
पान	p a n
पाने	p a n e
पाने	p a n ə
पाय	p a j
पायथा	p a j t̪ʰ a
पायपुसणे	p a j p u s ɳ e
पायपुसणे	p a j p u s ɳ ə
पायरी	p a j ɾ i
पायवाट	p a j ʋ a ʈ
पारखणे	p a ɾ ə kʰ ɳ e
पारखणे	p a ɾ ə kʰ ɳ ə
पारिभाषिक	p a ɾ i bʱ a ʂ i k
पारोसे	p a ɾ o s e
पारोसे	p a ɾ o s ə
पार्वती	p a ɾ ʋ ə t̪ i
पाल	p a l
पालटणे	p a l ə ʈ ɳ e
पालटणे	p a l ə ʈ ɳ ə
पाळणे	p a ɭ̆ ɳ e
पाळणे	p a ɭ̆ ɳ ə
पाव	p a ʋ
पाहणे	p a ɦ ɳ e
पाहणे	p a ɦ ɳ ə
पाहुणा	p a ɦ u ɳ a
पिंजरा	p i n d͡z ɾ a
पिक्चर	p i k t͡ɕ ə ɾ
पिझ्झा	p i d͡z d͡zʱ a
पिठी	p i ʈʰ i
पिल्लू	p i l l u
पिळणे	p i ɭ̆ ɳ e
पिळणे	p i ɭ̆ ɳ ə
पिवळा	p i ʋ ɭ̆ a
पिशवी	p i ɕ ʋ i
पिशव्या	p i ɕ ə ʋ j a
पिसणे	p i s ɳ e
पिसणे	p i s ɳ ə
पिसारा	p i s a ɾ a
पिसुरडा	p i s u ɾ ɖ a
पीठ	p i ʈʰ
पील	p i l
पीस	p i s
पुठ्ठा	p u ʈ ʈʰ a
पुडा	p u ɖ a
पुडी	p u ɖ i
पुडे	p u ɖ e
पुडे	p u ɖ ə
पुड्या	p u ɖ j a
पुढे	p u ɖʱ e
पुणे	p u ɳ e
पुतण्या	p u t̪ ə ɳ j a
पुतळा	p u t̪ ɭ̆ a
पुनावाला	p u n a ʋ a l a
पुन्हा	p u nʱ a
पुरणे	p u ɾ ɳ e
पुरणे	p u ɾ ɳ ə
पुरते	p u ɾ t̪ e
पुरते	p u ɾ t̪ ə
पुरस्कार	p u ɾ ə s k a ɾ
पुराणा	p u ɾ a ɳ a
पुरावा	p u ɾ a ʋ a
पुरुष	p u ɾ u ʂ
पुल्लिंग	p u l l i ŋ ɡ ə
पुष्कलावती	p u ʂ k ə l a ʋ ə t̪ i
पुसणे	p u s ɳ e
पुसणे	p u s ɳ ə
पुस्तक	p u s t̪ ə k
पुस्तकालय	p u s t̪ ə k a l ə j
पुस्तके	p u s t̪ ə k e
पुस्तके	p u s t̪ ə k ə
पुस्तिका	p u s t̪ i k a
पूड	p u ɖ
पूनावाला	p u n a ʋ a l a
पूर	p u ɾ
पूर्ण	p u ɾ ɳ ə
पूर्व	p u ɾ ʋ ə
पूर्वज	p u ɾ ʋ ə d͡ʑ
पृथ्वी	p ɾ u t̪ʰ ʋ i
पृथ्व्या	p ɾ u t̪ʰ ʋ j a
पॅरिस	p æ ɾ i s
पेज	p e d͡z
पेटी	p e ʈ i
पेठ	p e ʈʰ
पेढा	p e ɖʱ a
पेढी	p e ɖʱ i
पेढ्या	p e ɖʱ j a
पेरणे	p e ɾ ɳ e
पेरणे	p e ɾ ɳ ə
पेरू	p e ɾ u
पेलणे	p e l ɳ e
पेलणे	p e l ɳ ə
पेला	p e l a
पेहलवान	p e ɦ ə l ʋ a n
पैज	p ə i d͡z
पैदा	p ə i d̪ a
पैसा	p ə i s a
पोकळ	p o k ə ɭ̆
पोक्त	p o k t̪ ə
पोट	p o ʈ
पोत	p o t̪
पोते	p o t̪ e
पोते	p o t̪ ə
पोतेरे	p o t̪ e ɾ e
पोतेरे	p o t̪ e ɾ ə
पोपटी	p o p ʈ i
पोवाडा	p o ʋ a ɖ a
पोषाख	p o ʂ a kʰ
प्यादे	p j a d̪ e
प्यादे	p j a d̪ ə
प्रकार	p ɾ ə k a ɾ
प्रचंड	p ɾ ə t͡ɕ ə ɳ ɖ ə
प्रजासत्ताक	p ɾ ə d͡ʑ a s ə t̪ t̪ a k
प्रतिक्रिया	p ɾ ə t̪ i k ɾ i j a
प्रतिज्ञा	p ɾ ə t̪ i d͡ʑ n a
प्रतिनिधित्व	p ɾ ə t̪ i n i d̪ʱ i t̪ ʋ ə
प्रतिनिधी	p ɾ ə t̪ i n i d̪ʱ i
प्रत्येक	p ɾ ə t̪ j e k
प्रथिन	p ɾ ə t̪ʰ i n
प्रथिने	p ɾ ə t̪ʰ i n e
प्रथिने	p ɾ ə t̪ʰ i n ə
प्रदेश	p ɾ ə d̪ e ɕ
प्रबोधिका	p ɾ ə b o d̪ʱ i k a
प्रभा	p ɾ ə bʱ a
प्रभुत्व	p ɾ ə bʱ u t̪ ʋ ə
प्रमाद	p ɾ ə m a d̪
प्रवास	p ɾ ə ʋ a s
प्रश्न	p ɾ ə ɕ n ə
प्राकृत	p ɾ a k ɾ u t̪
प्राचार्य	p ɾ a t͡ɕ a ɾ j ə
प्रादेशिक	p ɾ a d̪ e ɕ i k
प्रादेशिकता	p ɾ a d̪ e ɕ i k t̪ a
प्रेम	p ɾ e m
फ	f ə
फ	pʰ ə
फजिती	pʰ ə d͡ʑ i t̪ i
फरक	pʰ ə ɾ ə k
फराळ	pʰ ə ɾ a ɭ̆
फरीदाबाद	pʰ ə ɾ i d̪ a b a d̪
फळ	pʰ ə ɭ̆
फळं	pʰ ə ɭ̆ ə
फळा	pʰ ə ɭ̆ a
फळे	pʰ ə ɭ̆ e
फळे	pʰ ə ɭ̆ ə
फसणे	pʰ ə s ɳ e
फसणे	pʰ ə s ɳ ə
फसवणे	pʰ ə s ə ʋ ɳ e
फाडणे	pʰ a ɖ ɳ e
फाडणे	pʰ a ɖ ɳ ə
फावडे	pʰ a ʋ ɖ e
फावडे	pʰ a ʋ ɖ ə
फावणे	pʰ a ʋ ɳ e
फावणे	pʰ a ʋ ɳ ə
फिरणे	pʰ i ɾ ɳ e
फिरणे	pʰ i ɾ ɳ ə
फिर्याद	pʰ i ɾ j a d̪
फिसकटणे	pʰ i s k ə ʈ ɳ e
फिसकटणे	pʰ i s k ə ʈ ɳ ə
फुगणे	pʰ u ɡ ɳ e
फुगणे	pʰ u ɡ ɳ ə
फुगा	pʰ u ɡ a
फुटणे	pʰ u ʈ ɳ e
फुटणे	pʰ u ʈ ɳ ə
फुफ्फुस	pʰ u p pʰ u s
फुफ्फुसे	pʰ u p pʰ u s e
फुफ्फुसे	pʰ u p pʰ u s ə
फुरसत	pʰ u ɾ s ə t̪
फुरसोनं	pʰ u ɾ s o n ə
फुलणे	pʰ u l ɳ e
फुलणे	pʰ u l ɳ ə
फुलपाखरू	pʰ u l p a kʰ ɾ u
फुलपाखरे	pʰ u l p a kʰ ɾ e
फुलपाखरे	pʰ u l p a kʰ ɾ ə
फुले	pʰ u l e
फुले	pʰ u l ə
फूल	pʰ u l
फेब्रुवारी	pʰ e b ɾ u ʋ a ɾ i
फोड	pʰ o ɖ
फोडणे	pʰ o ɖ ɳ e
फोडणे	pʰ o ɖ ɳ ə
फौज	pʰ ə u d͡z
फ्रान्स	pʰ ɾ a n s
ब	b ə
बँक	b æ ŋ k
बंगला	b ə ŋ ɡ l a
बंगले	b ə ŋ ɡ l e
बंगळूर	b ə ŋ ɡ ɭ̆ u ɾ
बंगाली	b ə ŋ ɡ a l i
बंद	b ə n d̪ ə
बंदी	b ə n d̪ i
बंब	b ə m b ə
बकणे	b ə k ɳ e
बकणे	b ə k ɳ ə
बक्षीस	b ə k ʂ i s
बघणे	b ə ɡʱ ɳ e
बघणे	b ə ɡʱ ɳ ə
बचावणे	b ə t͡ɕ a ʋ ɳ e
बचावणे	b ə t͡ɕ a ʋ ɳ ə
बजावणे	b ə d͡ʑ a ʋ ɳ e
बजावणे	b ə d͡ʑ a ʋ ɳ ə
बत्ती	b ə t̪ t̪ i
बदाम	b ə d̪ a m
बनणे	b ə n ɳ e
बनणे	b ə n ɳ ə
बनवणे	b ə n ə ʋ ɳ e
बनवणे	b ə n ə ʋ ɳ ə
बनावट	b ə n a ʋ ə ʈ
बरे	b ə ɾ e
बरे	b ə ɾ ə
बरोबर	b ə ɾ o b ə ɾ
बर्फ	b ə ɾ pʰ ə
बळ	b ə ɭ̆
बशी	b ə ɕ i
बसणे	b ə s ɳ e
बसणे	b ə s ɳ ə
बहरैन	b ə ɦ ɾ ə i n
बहाद्दर	b ə ɦ a d̪ d̪ ə ɾ
बहुतेक	b ə ɦ u t̪ e k
बांगलादेश	b a ŋ ɡ l a d̪ e ɕ
बाक	b a k
बाकी	b a k i
बाक्या	b a k j a
बाजार	b a d͡z a ɾ
बाटली	b a ʈ l i
बाटल्या	b a ʈ ə l j a
बाण	b a ɳ
बातमी	b a t̪ m i
बातम्या	b a t̪ ə m j a
बादशहा	b a d̪ ɕ ə ɦ a
बारा	b a ɾ a
बारीक	b a ɾ i k
बाळ	b a ɭ̆
बाळे	b a ɭ̆ e
बाळे	b a ɭ̆ ə
बावीस	b a ʋ i s
बाहुली	b a ɦ u l i
बाहू	b a ɦ u
बिंदू	b i n d̪ u
बिचारे	b i t͡ɕ a ɾ e
बिचारे	b i t͡ɕ a ɾ ə
बिर्याणी	b i ɾ j a ɳ i
बी	b i
बुगडी	b u ɡ ɖ i
बुडबुडा	b u ɖ b u ɖ a
बुद्ध	b u d̪ d̪ʱ ə
बुद्धिबळ	b u d̪ d̪ʱ i b ə ɭ̆
बुद्धिमत्ता	b u d̪ d̪ʱ i m ə t̪ t̪ a
बुद्धी	b u d̪ d̪ʱ i
बुद्ध्यांक	b u d̪ d̪ʱ j a ŋ k ə
बुध	b u d̪ʱ
बुधवार	b u d̪ʱ ʋ a ɾ
बुरशी	b u ɾ ɕ i
बुवा	b u ʋ a
बॅंक	b æ ŋ k ə
बेचाळीस	b e t͡ɕ a ɭ̆ i s
बेजबाबदार	b e d͡z ə b a b d̪ a ɾ
बेडूक	b e ɖ u k
बेसुमार	b e s u m a ɾ
बैठक	b ə i ʈʰ ə k
बैरूत	b ə i ɾ u t̪
बोकड	b o k ə ɖ
बोका	b o k a
बोके	b o k e
बोट	b o ʈ
बोल	b o l
बोलणे	b o l ɳ e
बोलणे	b o l ɳ ə
बोली	b o l i
बोलीभाषा	b o l i bʱ a ʂ a
बोळा	b o ɭ̆ a
बौद्ध	b ə u d̪ d̪ʱ ə
ब्राझील	b ɾ a d͡zʱ i l
ब्रुनेई	b ɾ u n e i
भ	bʱ ə
भगवा	bʱ ə ɡ ʋ a
भजन	bʱ ə d͡ʑ ə n
भटकणे	bʱ ə ʈ ə k ɳ e
भटकणे	bʱ ə ʈ ə k ɳ ə
भडकणे	bʱ ə ɖ ə k ɳ e
भडकणे	bʱ ə ɖ ə k ɳ ə
भणभणणे	bʱ ə ɳ bʱ ə ɳ ɳ e
भणभणणे	bʱ ə ɳ bʱ ə ɳ ɳ ə
भर	bʱ ə ɾ
भरणे	bʱ ə ɾ ɳ e
भरणे	bʱ ə ɾ ɳ ə
भरवणे	bʱ ə ɾ ə ʋ ɳ e
भरवणे	bʱ ə ɾ ə ʋ ɳ ə
भांडण	bʱ a ɳ ɖ ə ɳ
भांडणे	bʱ a ɳ ɖ ə ɳ e
भांडणे	bʱ a ɳ ɖ ə ɳ ə
भांडवल	bʱ a ɳ ɖ ə ʋ ə l
भाऊ	bʱ a u
भाकरी	bʱ a k ɾ i
भाची	bʱ a t͡ɕ i
भात	bʱ a t̪
भारत	bʱ a ɾ ə t̪
भारतीय	bʱ a ɾ t̪ i j ə
भावंड	bʱ a ʋ ə ɳ ɖ ə
भावजय	bʱ a ʋ d͡z ə j
भाषा	bʱ a ʂ a
भाषांतर	bʱ a ʂ a n t̪ ə ɾ
भाषांतरकार	bʱ a ʂ a n t̪ ə ɾ k a ɾ
भाषाकुळ	bʱ a ʂ a k u ɭ̆
भाषाविज्ञान	bʱ a ʂ a ʋ i d͡ʑ n a n
भास	bʱ a s
भासणे	bʱ a s ɳ e
भासणे	bʱ a s ɳ ə
भिंत	bʱ i n t̪ ə
भिडणे	bʱ i ɖ ɳ e
भिडणे	bʱ i ɖ ɳ ə
भिणे	bʱ i ɳ e
भिणे	bʱ i ɳ ə
भिनणे	bʱ i n ɳ e
भिनणे	bʱ i n ɳ ə
भिस्मिल्ला	bʱ i s m i l l a
भीक	bʱ i k
भीती	bʱ i t̪ i
भुई	bʱ u i
भू	bʱ u
भूक	bʱ u k
भूकंप	bʱ u k ə m p ə
भूगोल	bʱ u ɡ o l
भूजल	bʱ u d͡ʑ ə l
भूत	bʱ u t̪
भूतान	bʱ u t̪ a n
भूते	bʱ u t̪ e
भूते	bʱ u t̪ ə
भूमिती	bʱ u m i t̪ i
भूल	bʱ u l
भें	bʱ ẽ
भेद	bʱ e d̪
भेदभाव	bʱ e d̪ bʱ a ʋ
भेळ	bʱ e ɭ̆
भोक	bʱ o k
भोके	bʱ o k e
भोके	bʱ o k ə
भोजपुरी	bʱ o d͡ʑ p u ɾ i
भोळे	bʱ o ɭ̆ e
भोळे	bʱ o ɭ̆ ə
भोळेपणा	bʱ o ɭ̆ e p ɳ a
भोवरा	bʱ o ʋ ɾ a
भौतिक	bʱ ə u t̪ i k
भौतिकशास्त्र	bʱ ə u t̪ i k ɕ a s t̪ ɾ ə
म	m ə
मंगळवार	m ə ŋ ɡ ə ɭ̆ ʋ a ɾ
मंगेशकर	m ə ŋ ɡ e ɕ k ə ɾ
मंडई	m ə ɳ ɖ ə i
मंडळ	m ə ɳ ɖ ə ɭ̆
मंत्री	m ə n t̪ ɾ i
मंदी	m ə n d̪ i
मऊ	m ə u
मकर	m ə k ə ɾ
मका	m ə k a
मग	m ə ɡ
मगर	m ə ɡ ə ɾ
मजबूत	m ə d͡z b u t̪
मजला	m ə d͡z l a
मजा	m ə d͡ʑ a
मज्जा	m ə d͡ʑ d͡ʑ a
मडगाव	m ə ɖ ɡ a ʋ
मढवणे	m ə ɖʱ ə ʋ ɳ e
मढवणे	m ə ɖʱ ə ʋ ɳ ə
मत्सर	m ə t̪ s ə ɾ
मदत	m ə d̪ ə t̪
मद्य	m ə d̪ j ə
मध	m ə d̪ʱ
मधमाशी	m ə d̪ʱ m a ɕ i
मधु	m ə d̪ʱ u
मध्ये	m ə d̪ʱ e
मध्ये	m ə d̪ʱ j e
मन	m ə n
मनगट	m ə n ɡ ə ʈ
मनसुबा	m ə n s u b a
मनस्थिती	m ə n ə s t̪ʰ i t̪ i
मनुष्य	m ə n u ʂ j ə
मने	m ə n e
मने	m ə n ə
मनोरंजन	m ə n o ɾ ə n d͡ʑ ə n
मनोरा	m ə n o ɾ a
मरण	m ə ɾ ə ɳ
मरणे	m ə ɾ ɳ e
मरणे	m ə ɾ ɳ ə
मराठा	m ə ɾ a ʈʰ a
मराठी	m ə ɾ a ʈʰ i
मलपृष्ठ	m ə l p ɾ u ʂ ʈʰ ə
मला	m ə l a
मलूल	m ə l u l
मलेशिया	m ə l e ɕ i j a
मशीद	m ə ɕ i d̪
मस्करी	m ə s k ə ɾ i
मस्का	m ə s k a
मस्त	m ə s t̪ ə
महत्त्व	m ə ɦ ə t̪ t̪ ʋ ə
महत्व	m ə ɦ ə t̪ ʋ ə
महाग	m ə ɦ a ɡ
महान	m ə ɦ a n
महामंडळ	m ə ɦ a m ə ɳ ɖ ə ɭ̆
महाराष्ट्र	m ə ɦ a ɾ a ʂ ʈ ɾ ə
महाविद्यालय	m ə ɦ a ʋ i d̪ j a l ə j
मांजर	m a n d͡z ə ɾ
मांडणे	m a ɳ ɖ ə ɳ e
मांडणे	m a ɳ ɖ ə ɳ ə
मांदूस	m a n d̪ u s
मांस	m a u s ə
माकड	m a k ə ɖ
माकडे	m a k ɖ e
माकडे	m a k ɖ ə
मागणी	m a ɡ ɳ i
मागणे	m a ɡ ɳ e
मागणे	m a ɡ ɳ ə
मागे	m a ɡ e
मागे	m a ɡ ə
माज	m a d͡z
माजी	m a d͡ʑ i
माझे	m a d͡zʱ e
माणसे	m a ɳ s e
माणसे	m a ɳ s ə
माणूस	m a ɳ u s
माती	m a t̪ i
मातृभाषा	m a t̪ ɾ u bʱ a ʂ a
मान	m a n
मानणे	m a n ɳ e
मानणे	m a n ɳ ə
मानधन	m a n d̪ʱ ə n
मानसिकता	m a n s i k t̪ a
माने	m a n e
मामा	m a m a
मामी	m a m i
मायबोली	m a j b o l i
मारणे	m a ɾ ɳ e
मारणे	m a ɾ ɳ ə
मारेकरी	m a ɾ e k ɾ i
मार्ग	m a ɾ ɡ ə
मार्च	m a ɾ t͡ɕ ə
मालक	m a l ə k
माळ	m a ɭ̆
माळी	m a ɭ̆ i
मावणे	m a ʋ ɳ e
मावणे	m a ʋ ɳ ə
माशी	m a ɕ i
मासा	m a s a
माहीत	m a ɦ i t̪
माहेर	m a ɦ e ɾ
मिटणे	m i ʈ ɳ e
मिटणे	m i ʈ ɳ ə
मिठी	m i ʈʰ i
मिठ्या	m i ʈʰ j a
मिथुन	m i t̪ʰ u n
मिरवणे	m i ɾ ə ʋ ɳ e
मिरवणे	m i ɾ ə ʋ ɳ ə
मिळणे	m i ɭ̆ ɳ e
मिळणे	m i ɭ̆ ɳ ə
मिळवणे	m i ɭ̆ ə ʋ ɳ e
मिळवणे	m i ɭ̆ ə ʋ ɳ ə
मिशी	m i ɕ i
मिसळ	m i s ə ɭ̆
मिसळणे	m i s ə ɭ̆ ɳ e
मिसळणे	m i s ə ɭ̆ ɳ ə
मीठ	m i ʈʰ
मीन	m i n
मुंगी	m u ŋ ɡ i
मुंगूस	m u ŋ ɡ u s
मुंबई	m u m b ə i
मुंबा	m u m b a
मुकणे	m u k ɳ e
मुकणे	m u k ɳ ə
मुके	m u k e
मुके	m u k ə
मुक्काम	m u k k a m
मुक्त	m u k t̪ ə
मुक्ती	m u k t̪ i
मुख	m u kʰ
मुख्य	m u kʰ j ə
मुख्यमंत्री	m u kʰ j ə m ə n t̪ ɾ i
मुख्याध्यापक	m u kʰ j a d̪ʱ j a p ə k
मुतणे	m u t̪ ɳ e
मुतणे	m u t̪ ɳ ə
मुद्दा	m u d̪ d̪ a
मुद्दाम	m u d̪ d̪ a m
मुलगी	m u l ɡ i
मुलायम	m u l a j ə m
मुले	m u l e
मुले	m u l ə
मुळा	m u ɭ̆ a
मुळे	m u ɭ̆ e
मुळे	m u ɭ̆ ə
मुश्कील	m u ɕ k i l
मुसळ	m u s ə ɭ̆
मूग	m u ɡ
मूठ	m u ʈʰ
मूत्र	m u t̪ ɾ ə
मूळ	m u ɭ̆
मृत	m ɾ u t̪ ə
मे	m e
मेंदी	m e n d̪ i
मेंदू	m e n d̪ u
मेघ	m e ɡʱ
मेज	m e d͡z
मेण	m e ɳ
मेणबत्ती	m e ɳ b ə t̪ t̪ i
मेथी	m e t̪ʰ i
मेष	m e ʂ
मेहनत	m e ɦ n ə t̪
मेहनती	m e ɦ ə n t̪ i
मैथिली	m ə i t̪ʰ i l i
मैदा	m ə i d̪ a
मैदान	m ə i d̪ a n
मोका	m o k a
मोजणे	m o d͡z ɳ e
मोजा	m o d͡z a
मोटारसायकल	m o ʈ a ɾ s a j k ə l
मोडणे	m o ɖ ɳ e
मोडणे	m o ɖ ɳ ə
मोडी	m o ɖ i
मोहीम	m o ɦ i m
म्हणणे	mʱ ə ɳ ɳ e
म्हणणे	mʱ ə ɳ ɳ ə
म्हणवणे	mʱ ə ɳ ə ʋ ɳ e
म्हणवणे	mʱ ə ɳ ə ʋ ɳ ə
म्हणून	mʱ ə ɳ u n
य	j ə
यंत्रमानव	j ə n t̪ ɾ ə m a n ə ʋ
यम	j ə m
यादी	j a d̪ i
यान	j a n
युरेनस	j u ɾ e n ə s
येणे	j e ɳ e
येणे	j e ɳ ə
र	ɾ ə
रंग	ɾ ə ŋ ɡ ə
रंगणे	ɾ ə ŋ ɡ ə ɳ e
रंगणे	ɾ ə ŋ ɡ ə ɳ ə
रक्त	ɾ ə k t̪ ə
रक्तगट	ɾ ə k t̪ ə ɡ ə ʈ
रक्तदाब	ɾ ə k t̪ ə d̪ a b
रक्तपेढी	ɾ ə k t̪ ə p e ɖʱ i
रक्तपेशी	ɾ ə k t̪ ə p e ɕ i
रक्तवाहिनी	ɾ ə k t̪ ə ʋ a ɦ i n i
रक्तवाहिन्या	ɾ ə k t̪ ə ʋ a ɦ i n j a
रक्ताभिसरण	ɾ ə k t̪ a bʱ i s ɾ ə ɳ
रचणे	ɾ ə t͡s ɳ e
रचणे	ɾ ə t͡s ɳ ə
रडणे	ɾ ə ɖ ɳ e
रडणे	ɾ ə ɖ ɳ ə
रडवणे	ɾ ə ɖ ə ʋ ɳ e
रडवणे	ɾ ə ɖ ə ʋ ɳ ə
रताळे	ɾ ə t̪ a ɭ̆ e
रताळे	ɾ ə t̪ a ɭ̆ ə
रद्द	ɾ ə d̪ d̪ ə
रबर	ɾ ə b ə ɾ
रबरी	ɾ ə b ɾ i
रमजान	ɾ ə m d͡z a n
रमणे	ɾ ə m ɳ e
रमणे	ɾ ə m ɳ ə
रयत	ɾ ə j ə t̪
रवा	ɾ ə ʋ a
रविवार	ɾ ə ʋ i ʋ a ɾ
रशियन	ɾ ə ɕ i j ə n
रशिया	ɾ ə ɕ i j a
रस	ɾ ə s
रसायन	ɾ ə s a j ə n
रसायनशास्त्र	ɾ ə s a j ə n ɕ a s t̪ ɾ ə
रसायने	ɾ ə s a j n e
रसायने	ɾ ə s a j n ə
रस्ता	ɾ ə s t̪ a
रहस्य	ɾ ə ɦ ə s j ə
रांगोळी	ɾ a ŋ ɡ o ɭ̆ i
राई	ɾ a i
राऊ	ɾ a u
राऊत	ɾ a u t̪
राकस	ɾ a k ə s
राखणे	ɾ a kʰ ɳ e
राखणे	ɾ a kʰ ɳ ə
राखाडी	ɾ a kʰ a ɖ i
राग	ɾ a ɡ
राजकारण	ɾ a d͡ʑ k a ɾ ə ɳ
राजकारणी	ɾ a d͡ʑ k a ɾ ɳ i
राजस्थान	ɾ a d͡ʑ ə s t̪ʰ a n
राजा	ɾ a d͡ʑ a
राजी	ɾ a d͡z i
राजी	ɾ a d͡ʑ i
राज्यपाल	ɾ a d͡ʑ j ə p a l
राज्यभाषा	ɾ a d͡ʑ j ə bʱ a ʂ a
राणी	ɾ a ɳ i
रात्र	ɾ a t̪ ɾ ə
राबणे	ɾ a b ɳ e
राबणे	ɾ a b ɳ ə
राव	ɾ a ʋ
राष्ट्र	ɾ a ʂ ʈ ɾ ə
राष्ट्रपती	ɾ a ʂ ʈ ɾ ə p t̪ i
राष्ट्रभाषा	ɾ a ʂ ʈ ɾ ə bʱ a ʂ a
राष्ट्रवाद	ɾ a ʂ ʈ ɾ ə ʋ a d̪
राष्ट्रवादी	ɾ a ʂ ʈ ɾ ə ʋ a d̪ i
राष्ट्रीय	ɾ a ʂ ʈ ɾ i j ə
रास	ɾ a s
राहणे	ɾ a ɦ ɳ e
राहणे	ɾ a ɦ ɳ ə
रिकामे	ɾ i k a m e
रिकामे	ɾ i k a m ə
रीत	ɾ i t̪
रुंदी	ɾ u n d̪ i
रुंद्या	ɾ u n d̪ j a
रुग्ण	ɾ u ɡ ɳ ə
