ア	a̠
タントラ	t ã̠ n t o̞ ɾ a̠
タンバリン	t ã̠ m b a̠ ɾʲ ĩ ɴ
タンパ	t ã̠ m p a̠
タンポン	t ã̠ m p õ̞ ɴ
ターキー	t a̠ː kʲ iː
ターゲット	t a̠ː ɡ e̞ t̚ t o̞
ターナー	t a̠ː n a̠ː
ダ	d a̠
ダイア	d a̠ i a̠
ダイアモンド	d a̠ i a̠ m õ̞ n d o̞
ダイエット	d a̠ i e̞ t̚ t o̞
ダイオキシン	d a̠ i o̞ kʲ i̥ ɕ ĩ ɴ
ダイオード	d a̠ i o̞ː d o̞
ダイナマイト	d a̠ i n a̠ m a̠ i t o̞
ダイパー	d a̠ i p a̠ː
ダイヤ	d a̠ i j a̠
ダイヤモンド	d a̠ i j a̠ m õ̞ n d o̞
ダオ	d a̠ o̞
ダサダサ	d a̠ s a̠ d a̠ s a̠
ダチ	d a̠ t͡ɕ i
ダッカ	d a̠ k̚ k a̠
ダバオ	d a̠ b a̠ o̞
ダビデ	d a̠ bʲ i d e̞
ダミー	d a̠ mʲ iː
ダメージ	d a̠ m e̞ː ʑ i
ダモイ	d a̠ m o̞ i
ダリア	d a̠ ɾʲ i a̠
ダンサー	d ã̠ ɰ̃ s a̠ː
ダンジョン	d ã̠ ɲ̟ d͡ʑ õ̞ ɴ
ダート	d a̠ː t o̞
ダービー	d a̠ː bʲ iː
ダーリン	d a̠ː ɾʲ ĩ ɴ
チ	t͡ɕ i
チアジン	t͡ɕ i a̠ ʑ ĩ ɴ
チアノーゼ	t͡ɕ i a̠ n o̞ː z e̞
チアミン	t͡ɕ i a̠ mʲ ĩ ɴ
チアリーダー	t͡ɕ i a̠ ɾʲ iː d a̠ː
チェ	t͡ɕ e̞
チェケラ	t͡ɕ e̞ k e̞ ɾ a̠
チェコ	t͡ɕ e̞ k o̞
チェシャー	t͡ɕ e̞ ɕ a̠ː
チェチェン	t͡ɕ e̞ t͡ɕ ẽ̞ ɴ
チェリモヤ	t͡ɕ e̞ ɾʲ i m o̞ j a̠
チェロ	t͡ɕ e̞ ɾ o̞
チェンジ	t͡ɕ ẽ̞ ɲ̟ d͡ʑ i
チェンジャー	t͡ɕ ẽ̞ ɲ̟ d͡ʑ a̠ː
チェンバロ	t͡ɕ ẽ̞ m b a̠ ɾ o̞
チオフェン	t͡ɕ i o̞ ɸ ẽ̞ ɴ
チカニシ	t͡ɕ i k a̠ ɲ̟ i ɕ i
チキン	t͡ɕ i̥ kʲ ĩ ɴ
チケ	t͡ɕ i k e̞
チケット	t͡ɕ i̥ k e̞ t̚ t o̞
チゲ	t͡ɕ i ɡ e̞
チタン	t͡ɕ i̥ t ã̠ ɴ
チチン	t͡ɕ i t͡ɕ ĩ ɴ
チヂミ	t͡ɕ i ʑ i mʲ i
チベット	t͡ɕ i b e̞ t̚ t o̞
チャ	t͡ɕ a̠
チャイ	t͡ɕ a̠ i
チャイナ	t͡ɕ a̠ i n a̠
チャコ	t͡ɕ a̠ k o̞
チャコペン	t͡ɕ a̠ k o̞ p ẽ̞ ɴ
チャットボット	t͡ɕ a̠ t̚ t o̞ b o̞ t̚ t o̞
チャド	t͡ɕ a̠ d o̞
チャリ	t͡ɕ a̠ ɾʲ i
チャリオット	t͡ɕ a̠ ɾʲ i o̞ t̚ t o̞
チャリンコ	t͡ɕ a̠ ɾʲ ĩ ŋ k o̞
チャレンジ	t͡ɕ a̠ ɾ ẽ̞ ɲ̟ d͡ʑ i
チャレンジャー	t͡ɕ a̠ ɾ ẽ̞ ɲ̟ d͡ʑ a̠ː
チャンジャ	t͡ɕ ã̠ ɲ̟ d͡ʑ a̠
チャンピオン	t͡ɕ ã̠ m pʲ i õ̞ ɴ
チャージ	t͡ɕ a̠ː ʑ i
チャージャー	t͡ɕ a̠ː ʑ a̠ː
チャーター	t͡ɕ a̠ː t a̠ː
チャーハン	t͡ɕ a̠ː h ã̠ ɴ
チャーリー	t͡ɕ a̠ː ɾʲ iː
チョ	t͡ɕ o̞
チョキ	t͡ɕ o̞ kʲ i
チョコ	t͡ɕ o̞ k o̞
チョコパイ	t͡ɕ o̞ k o̞ p a̠ i
チョコレート	t͡ɕ o̞ k o̞ ɾ e̞ː t o̞
チョッキ	t͡ɕ o̞ k̚ʲ kʲ i
チョッテ	t͡ɕ o̞ t̚ t e̞
チョッパリ	t͡ɕ o̞ p̚ p a̠ ɾʲ i
チョハ	t͡ɕ o̞ h a̠
チョベリバ	t͡ɕ o̞ b e̞ ɾʲ i b a̠
チョモランマ	t͡ɕ o̞ m o̞ ɾ ã̠ mː a̠
チョレギ	t͡ɕ o̞ ɾ e̞ ɡʲ i
チョン	t͡ɕ õ̞ ɴ
チョーカー	t͡ɕ o̞ː k a̠ː
チリ	t͡ɕ i ɾʲ i
チリコンカン	t͡ɕ i ɾʲ i k õ̞ ŋ k ã̠ ɴ
チロシン	t͡ɕ i ɾ o̞ ɕ ĩ ɴ
チン	t͡ɕ ĩ ɴ
チンキ	t͡ɕ ĩ ŋʲ kʲ i
チンチラ	t͡ɕ ĩ ɲ̟ t͡ɕ i ɾ a̠
チンパン	t͡ɕ ĩ m p ã̠ ɴ
チンパンジー	t͡ɕ ĩ m p ã̠ ɲ̟ d͡ʑ iː
チンピラ	t͡ɕ ĩ m pʲ i ɾ a̠
チーター	t͡ɕ iː t a̠ː
チート	t͡ɕ iː t o̞
チーママ	t͡ɕ iː m a̠ m a̠
チーマー	t͡ɕ iː m a̠ː
ヂ	d͡ʑ i
ヂ	ʑ i
ヂェ	d͡ʑ e̞
ヂャ	d͡ʑ a̠
ヂョ	d͡ʑ o̞
ツァ	t͡s a̠
ツァイチェン	t͡s a̠ i t͡ɕ ẽ̞ ɴ
ツァイチエン	t͡s a̠ i t͡ɕ i ẽ̞ ɴ
ツァリーツァ	t͡s a̠ ɾʲ iː t͡s a̠
ツァー	t͡s a̠ː
ツァーリ	t͡s a̠ː ɾʲ i
ツェ	t͡s e̞
ツェツェバエ	t͡s e̞ t͡s e̞ b a̠ e̞
ツェナーダイオード	t͡s e̞ n a̠ː d a̠ i o̞ː d o̞
ツォ	t͡s o̞
ツォウ	t͡s o̞ː
ヅ	d͡z ɨᵝ
ヅ	z ɨᵝ
テ	t e̞
テイアー	t e̞ː a̠ː
テオリア	t e̞ o̞ ɾʲ i a̠
テキパキ	t e̞ kʲ i p a̠ kʲ i
テキーラ	t e̞ kʲ iː ɾ a̠
テコンドー	t e̞ k õ̞ n d o̞ː
テッサリア	t e̞ sː a̠ ɾʲ i a̠
テッサロニキ	t e̞ sː a̠ ɾ o̞ ɲ̟ i kʲ i
テッテレー	t e̞ t̚ t e̞ ɾ e̞ː
テナー	t e̞ n a̠ː
テネシン	t e̞ n e̞ ɕ ĩ ɴ
テネシー	t e̞ n e̞ ɕ iː
テビバイト	t e̞ bʲ i b a̠ i t o̞
テビビット	t e̞ bʲ i bʲ i t̚ t o̞
テヘラン	t e̞ h e̞ ɾ ã̠ ɴ
テモテ	t e̞ m o̞ t e̞
テラ	t e̞ ɾ a̠
テラビット	t e̞ ɾ a̠ bʲ i t̚ t o̞
テラリア	t e̞ ɾ a̠ ɾʲ i a̠
テリア	t e̞ ɾʲ i a̠
テリトリー	t e̞ ɾʲ i t o̞ ɾʲ iː
テリヤ	t e̞ ɾʲ i j a̠
テレアポ	t e̞ ɾ e̞ a̠ p o̞
テレカ	t e̞ ɾ e̞ k a̠
テレコ	t e̞ ɾ e̞ k o̞
テレパシー	t e̞ ɾ e̞ p a̠ ɕ iː
テレビ	t e̞ ɾ e̞ bʲ i
テレビジョン	t e̞ ɾ e̞ bʲ i ʑ õ̞ ɴ
テレフォン	t e̞ ɾ e̞ ɸ õ̞ ɴ
テレホン	t e̞ ɾ e̞ h õ̞ ɴ
テレポーテーション	t e̞ ɾ e̞ p o̞ː t e̞ː ɕ õ̞ ɴ
テレポート	t e̞ ɾ e̞ p o̞ː t o̞
テレミン	t e̞ ɾ e̞ mʲ ĩ ɴ
テロ	t e̞ ɾ o̞
テン	t ẽ̞ ɴ
テンキー	t ẽ̞ ŋʲ kʲ iː
テンション	t ẽ̞ ɰ̃ ɕ õ̞ ɴ
テント	t ẽ̞ n t o̞
テンペ	t ẽ̞ m p e̞
テンポ	t ẽ̞ m p o̞
テーゼ	t e̞ː z e̞
テータ	t e̞ː t a̠
テーマ	t e̞ː m a̠
デ	d e̞
デイケア	d e̞ː k e̞ a̠
デェ	d e̞ː
デカチチ	d e̞ k a̠ t͡ɕ i t͡ɕ i
デカン	d e̞ k ã̠ ɴ
デコイ	d e̞ k o̞ i
デコレーション	d e̞ k o̞ ɾ e̞ː ɕ õ̞ ɴ
デザイナー	d e̞ z a̠ i n a̠ː
デザイン	d e̞ z a̠ ĩ ɴ
デザート	d e̞ z a̠ː t o̞
デジ	d e̞ ʑ i
デジアナ	d e̞ ʑ i a̠ n a̠
デジカメ	d e̞ ʑ i k a̠ m e̞
デタント	d e̞ t ã̠ n t o̞
デッキ	d e̞ k̚ʲ kʲ i
デッサン	d e̞ sː ã̠ ɴ
デトロイト	d e̞ t o̞ ɾ o̞ i t o̞
デパート	d e̞ p a̠ː t o̞
デベ	d e̞ b e̞
デマ	d e̞ m a̠
デメリット	d e̞ m e̞ ɾʲ i t̚ t o̞
デモ	d e̞ m o̞
デリカシー	d e̞ ɾʲ i k a̠ ɕ iː
デリバリー	d e̞ ɾʲ i b a̠ ɾʲ iː
デリー	d e̞ ɾʲ iː
デント	d ẽ̞ n t o̞
デー	d e̞ː
データ	d e̞ː t a̠
デート	d e̞ː t o̞
デーモン	d e̞ː m õ̞ ɴ
デーヴァナーガリー	d e̞ː b a̠ n a̠ː ɡ a̠ ɾʲ iː
ト	t o̞
トイペ	t o̞ i p e̞
トイレ	t o̞ i ɾ e̞
トイレット	t o̞ i ɾ e̞ t̚ t o̞
トカラ	t o̞ k a̠ ɾ a̠
トッケイ	t o̞ k̚ k e̞ː
トッケビ	t o̞ k̚ k e̞ bʲ i
トッポギ	t o̞ p̚ p o̞ ɡʲ i
トッポッキ	t o̞ p̚ p o̞ k̚ʲ kʲ i
トニー	t o̞ ɲ̟ iː
トビリシ	t o̞ bʲ i ɾʲ i ɕ i
トポロジー	t o̞ p o̞ ɾ o̞ ʑ iː
トマト	t o̞ m a̠ t o̞
トミー	t o̞ mʲ iː
トヨタ	t o̞ j o̞ t a̠
トライ	t o̞ ɾ a̠ i
トラネコ	t o̞ ɾ a̠ n e̞ k o̞
トランシーバー	t o̞ ɾ ã̠ ɰ̃ ɕ iː b a̠ː
トランペット	t o̞ ɾ ã̠ m p e̞ t̚ t o̞
トランポリン	t o̞ ɾ ã̠ m p o̞ ɾʲ ĩ ɴ
トリアージ	t o̞ ɾʲ i a̠ː ʑ i
トリガー	t o̞ ɾʲ i ɡ a̠ː
トリコット	t o̞ ɾʲ i k o̞ t̚ t o̞
トリポリ	t o̞ ɾʲ i p o̞ ɾʲ i
トリヤッチ	t o̞ ɾʲ i j a̠ t̚ t͡ɕ i
トレイ	t o̞ ɾ e̞ː
トレオニン	t o̞ ɾ e̞ o̞ ɲ̟ ĩ ɴ
トレカ	t o̞ ɾ e̞ k a̠
トレパン	t o̞ ɾ e̞ p ã̠ ɴ
トレマ	t o̞ ɾ e̞ m a̠
トレモロ	t o̞ ɾ e̞ m o̞ ɾ o̞
トレンチ	t o̞ ɾ ẽ̞ ɲ̟ t͡ɕ i
トレント	t o̞ ɾ ẽ̞ n t o̞
トレンド	t o̞ ɾ ẽ̞ n d o̞
トレー	t o̞ ɾ e̞ː
トレーナー	t o̞ ɾ e̞ː n a̠ː
トレーラー	t o̞ ɾ e̞ː ɾ a̠ː
トロイメライ	t o̞ ɾ o̞ i m e̞ ɾ a̠ i
トロッコ	t o̞ ɾ o̞ k̚ k o̞
トロット	t o̞ ɾ o̞ t̚ t o̞
トロリー	t o̞ ɾ o̞ ɾʲ iː
トロント	t o̞ ɾ õ̞ n t o̞
トン	t õ̞ ɴ
トンガ	t õ̞ ŋ ɡ a̠
トンデモ	t õ̞ n d e̞ m o̞
トンファー	t õ̞ ɰ̃ ɸ a̠ː
トンペー	t õ̞ m p e̞ː
トンマナ	t õ̞ mː a̠ n a̠
トーキー	t o̞ː kʲ iː
トーゴ	t o̞ː ɡ o̞
トーチ	t o̞ː t͡ɕ i
トート	t o̞ː t o̞
トーナメント	t o̞ː n a̠ m ẽ̞ n t o̞
トーラー	t o̞ː ɾ a̠ː
ド	d o̞
ドア	d o̞ a̠
ドザ	d o̞ z a̠
ドジ	d o̞ ʑ i
ドタキャン	d o̞ t a̠ kʲ ã̠ ɴ
ドット	d o̞ t̚ t o̞
ドドマ	d o̞ d o̞ m a̠
ドナー	d o̞ n a̠ː
ドバイ	d o̞ b a̠ i
ドミノ	d o̞ mʲ i n o̞
ドメイン	d o̞ m e̞ ĩ ɴ
ドライアド	d o̞ ɾ a̠ i a̠ d o̞
ドライバ	d o̞ ɾ a̠ i b a̠
ドライバー	d o̞ ɾ a̠ i b a̠ː
ドライヤー	d o̞ ɾ a̠ i j a̠ː
ドラゴン	d o̞ ɾ a̠ ɡ õ̞ ɴ
ドラマ	d o̞ ɾ a̠ m a̠
ドラマー	d o̞ ɾ a̠ m a̠ː
ドラレコ	d o̞ ɾ a̠ ɾ e̞ k o̞
ドランゴ	d o̞ ɾ ã̠ ŋ ɡ o̞
ドリアン	d o̞ ɾʲ i ã̠ ɴ
ドリアード	d o̞ ɾʲ i a̠ː d o̞
ドロー	d o̞ ɾ o̞ː
ドン	d õ̞ ɴ
ドンセン	d õ̞ ɰ̃ s ẽ̞ ɴ
ドンペリ	d õ̞ m p e̞ ɾʲ i
ドードー	d o̞ː d o̞ː
ドーハ	d o̞ː h a̠
ドーパミン	d o̞ː p a̠ mʲ ĩ ɴ
ドーラン	d o̞ː ɾ ã̠ ɴ
ナ	n a̠
ナイジェリア	n a̠ i ʑ e̞ ɾʲ i a̠
ナイター	n a̠ i t a̠ː
ナイト	n a̠ i t o̞
ナイロビ	n a̠ i ɾ o̞ bʲ i
ナイロン	n a̠ i ɾ õ̞ ɴ
ナイン	n a̠ ĩ ɴ
ナガサキ	n a̠ ɡ a̠ s a̠ kʲ i
ナゲット	n a̠ ɡ e̞ t̚ t o̞
ナサ	n a̠ s a̠
ナシゴレン	n a̠ ɕ i ɡ o̞ ɾ ẽ̞ ɴ
ナシ・ゴレン	n a̠ ɕ i ɡ o̞ ɾ ẽ̞ ɴ
ナシード	n a̠ ɕ iː d o̞
ナセリー	n a̠ s e̞ ɾʲ iː
ナタン	n a̠ t ã̠ ɴ
ナターシャ	n a̠ t a̠ː ɕ a̠
ナチ	n a̠ t͡ɕ i
ナッソー	n a̠ sː o̞ː
ナット	n a̠ t̚ t o̞
ナトロン	n a̠ t o̞ ɾ õ̞ ɴ
ナニ	n a̠ ɲ̟ i
ナノ	n a̠ n o̞
ナノセカンド	n a̠ n o̞ s e̞ k ã̠ n d o̞
ナビ	n a̠ bʲ i
ナビゲーター	n a̠ bʲ i ɡ e̞ː t a̠ː
ナファカ	n a̠ ɸ a̠ k a̠
ナポリ	n a̠ p o̞ ɾʲ i
ナポリタン	n a̠ p o̞ ɾʲ i t ã̠ ɴ
ナマポ	n a̠ m a̠ p o̞
ナミビア	n a̠ mʲ i bʲ i a̠
ナレーター	n a̠ ɾ e̞ː t a̠ː
ナン	n ã̠ ɴ
ナンバー	n ã̠ m b a̠ː
ナンパ	n ã̠ m p a̠
ナーロッパ	n a̠ː ɾ o̞ p̚ p a̠
ニ	ɲ̟ i
ニアピン	ɲ̟ i a̠ pʲ ĩ ɴ
ニイニイゼミ	ɲ̟ iː ɲ̟ iː z e̞ mʲ i
ニェ	ɲ̟ e̞
ニエロ	ɲ̟ i e̞ ɾ o̞
ニオベー	ɲ̟ i o̞ b e̞ː
ニカーハ	ɲ̟ i k a̠ː h a̠
ニガー	ɲ̟ i ɡ a̠ː
ニキ	ɲ̟ i kʲ i
ニコシア	ɲ̟ i k o̞ ɕ i a̠
ニコチン	ɲ̟ i k o̞ t͡ɕ ĩ ɴ
ニコライ	ɲ̟ i k o̞ ɾ a̠ i
ニダ	ɲ̟ i d a̠
ニッチ	ɲ̟ i t̚ t͡ɕ i
ニッパー	ɲ̟ i p̚ p a̠ː
ニャ	ɲ̟ a̠
ニョ	ɲ̟ o̞
ニョッキ	ɲ̟ o̞ k̚ʲ kʲ i
ニーケー	ɲ̟ iː k e̞ː
ニーソ	ɲ̟ iː s o̞
ニート	ɲ̟ iː t o̞
ニーヤ	ɲ̟ iː j a̠
ネ	n e̞
ネオテニー	n e̞ o̞ t e̞ ɲ̟ iː
ネオナチ	n e̞ o̞ n a̠ t͡ɕ i
ネオン	n e̞ õ̞ ɴ
ネカノ	n e̞ k a̠ n o̞
ネカフェ	n e̞ k a̠ ɸ e̞
ネカレ	n e̞ k a̠ ɾ e̞
ネガ	n e̞ ɡ a̠
ネタ	n e̞ t a̠
ネチケット	n e̞ t͡ɕ i k e̞ t̚ t o̞
ネッコ	n e̞ k̚ k o̞
ネット	n e̞ t̚ t o̞
ネトサポ	n e̞ t o̞ s a̠ p o̞
ネトサヨ	n e̞ t o̞ s a̠ j o̞
ネバダ	n e̞ b a̠ d a̠
ノ	n o̞
ノア	n o̞ a̠
ノイジー	n o̞ i ʑ iː
ノット	n o̞ t̚ t o̞
ノパソ	n o̞ p a̠ s o̞
ノマ	n o̞ m a̠
ノマド	n o̞ m a̠ d o̞
ノミネート	n o̞ mʲ i n e̞ː t o̞
ノン	n õ̞ ɴ
ノンケ	n õ̞ ŋ k e̞
ノンデリ	n õ̞ n d e̞ ɾʲ i
ノンバイナリー	n õ̞ m b a̠ i n a̠ ɾʲ iː
ノンバイナリージェンダー	n õ̞ m b a̠ i n a̠ ɾʲ iː ʑ ẽ̞ n d a̠ː
ノー	n o̞ː
ノーカット	n o̞ː k a̠ t̚ t o̞
ノーカン	n o̞ː k ã̠ ɴ
ノーギャラ	n o̞ː ɡʲ a̠ ɾ a̠
ノーコメント	n o̞ː k o̞ m ẽ̞ n t o̞
ノータリン	n o̞ː t a̠ ɾʲ ĩ ɴ
ノート	n o̞ː t o̞
ノートパソコン	n o̞ː t o̞ p a̠ s o̞ k õ̞ ɴ
ノード	n o̞ː d o̞
ノーバン	n o̞ː b ã̠ ɴ
ノーパソ	n o̞ː p a̠ s o̞
ノーパン	n o̞ː p ã̠ ɴ
ノーヒント	n o̞ː ç ĩ n t o̞
ハ	h a̠
ハイエナ	h a̠ i e̞ n a̠
ハイカラ	h a̠ i k a̠ ɾ a̠
ハイカー	h a̠ i k a̠ː
ハイジニーナ	h a̠ i ʑ i ɲ̟ iː n a̠
ハイソ	h a̠ i s o̞
ハイチ	h a̠ i t͡ɕ i
ハイドラ	h a̠ i d o̞ ɾ a̠
ハイビジョン	h a̠ i bʲ i ʑ õ̞ ɴ
ハイファ	h a̠ i ɸ a̠
ハイライト	h a̠ i ɾ a̠ i t o̞
ハイラリ	h a̠ i ɾ a̠ ɾʲ i
ハイレゾ	h a̠ i ɾ e̞ z o̞
ハカ	h a̠ k a̠
ハザード	h a̠ z a̠ː d o̞
ハッカソン	h a̠ k̚ k a̠ s õ̞ ɴ
ハッカー	h a̠ k̚ k a̠ː
ハッショ	h a̠ ɕː o̞
ハッタショ	h a̠ t̚ t a̠ ɕ o̞
ハッタッショ	h a̠ t̚ t a̠ ɕː o̞
ハット	h a̠ t̚ t o̞
ハニトラ	h a̠ ɲ̟ i t o̞ ɾ a̠
ハニー	h a̠ ɲ̟ iː
ハノイ	h a̠ n o̞ i
ハノーファー	h a̠ n o̞ː ɸ a̠ː
ハバナ	h a̠ b a̠ n a̠
ハビビ	h a̠ bʲ i bʲ i
ハビービー	h a̠ bʲ iː bʲ iː
ハピエン	h a̠ pʲ i ẽ̞ ɴ
ハピバ	h a̠ pʲ i b a̠
ハボローネ	h a̠ b o̞ ɾ o̞ː n e̞
ハラショー	h a̠ ɾ a̠ ɕ o̞ː
ハラッパー	h a̠ ɾ a̠ p̚ p a̠ː
ハリッサ	h a̠ ɾʲ i sː a̠
ハリーサ	h a̠ ɾʲ iː s a̠
ハリーファ	h a̠ ɾʲ iː ɸ a̠
ハレーション	h a̠ ɾ e̞ː ɕ õ̞ ɴ
ハロー	h a̠ ɾ o̞ː
ハンカチ	h ã̠ ŋ k a̠ t͡ɕ i
ハンガリー	h ã̠ ŋ ɡ a̠ ɾʲ iː
ハンガー	h ã̠ ŋ ɡ a̠ː
ハンコン	h ã̠ ŋ k õ̞ ɴ
ハンター	h ã̠ n t a̠ː
ハンデ	h ã̠ n d e̞
ハント	h ã̠ n t o̞
ハンド	h ã̠ n d o̞
ハンバーガー	h ã̠ m b a̠ː ɡ a̠ː
ハンマー	h ã̠ mː a̠ː
ハーコー	h a̠ː k o̞ː
ハート	h a̠ː t o̞
ハード	h a̠ː d o̞
ハードカバー	h a̠ː d o̞ k a̠ b a̠ː
ハードコア	h a̠ː d o̞ k o̞ a̠
ハーモニカ	h a̠ː m o̞ ɲ̟ i k a̠
ハーモニー	h a̠ː m o̞ ɲ̟ iː
バ	b a̠
バイ	b a̠ i
バイオテロ	b a̠ i o̞ t e̞ ɾ o̞
バイオリン	b a̠ i o̞ ɾʲ ĩ ɴ
バイオロジー	b a̠ i o̞ ɾ o̞ ʑ iː
バイソン	b a̠ i s õ̞ ɴ
バイデン	b a̠ i d ẽ̞ ɴ
バイト	b a̠ i t o̞
バイトテロ	b a̠ i t o̞ t e̞ ɾ o̞
バイナリ	b a̠ i n a̠ ɾʲ i
バイバイ	b a̠ i b a̠ i
バイビー	b a̠ i bʲ iː
バカチョン	b a̠ k a̠ t͡ɕ õ̞ ɴ
バカッター	b a̠ k a̠ t̚ t a̠ː
バカラ	b a̠ k a̠ ɾ a̠
バギオ	b a̠ ɡʲ i o̞
バギナ	b a̠ ɡʲ i n a̠
バケット	b a̠ k e̞ t̚ t o̞
バゲット	b a̠ ɡ e̞ t̚ t o̞
バサリョテ	b a̠ s a̠ ɾʲ o̞ t e̞
バザー	b a̠ z a̠ː
バシリカ	b a̠ ɕ i ɾʲ i k a̠
バセンジー	b a̠ s ẽ̞ ɲ̟ d͡ʑ iː
バタンッ	b a̠ t ã̠ ɰ̃
バター	b a̠ t a̠ː
バチカン	b a̠ t͡ɕ i k ã̠ ɴ
バッセン	b a̠ sː ẽ̞ ɴ
バッター	b a̠ t̚ t a̠ː
バッテラ	b a̠ t̚ t e̞ ɾ a̠
バッテリー	b a̠ t̚ t e̞ ɾʲ iː
バット	b a̠ t̚ t o̞
バットマン	b a̠ t̚ t o̞ m ã̠ ɴ
バトン	b a̠ t õ̞ ɴ
バド	b a̠ d o̞
バドミントン	b a̠ d o̞ mʲ ĩ n t õ̞ ɴ
バナナ	b a̠ n a̠ n a̠
バナー	b a̠ n a̠ː
バニラ	b a̠ ɲ̟ i ɾ a̠
バニー	b a̠ ɲ̟ iː
バハマ	b a̠ h a̠ m a̠
バハラート	b a̠ h a̠ ɾ a̠ː t o̞
バハーラート	b a̠ h a̠ː ɾ a̠ː t o̞
ババリア	b a̠ b a̠ ɾʲ i a̠
バビロニア	b a̠ bʲ i ɾ o̞ ɲ̟ i a̠
バマコ	b a̠ m a̠ k o̞
バミー	b a̠ mʲ iː
バラモン	b a̠ ɾ a̠ m õ̞ ɴ
バラライカ	b a̠ ɾ a̠ ɾ a̠ i k a̠
バラード	b a̠ ɾ a̠ː d o̞
バリ	b a̠ ɾʲ i
バリエーション	b a̠ ɾʲ i e̞ː ɕ õ̞ ɴ
バリオン	b a̠ ɾʲ i õ̞ ɴ
バリカン	b a̠ ɾʲ i k ã̠ ɴ
バリキャリ	b a̠ ɾʲ i kʲ a̠ ɾʲ i
バリケン	b a̠ ɾʲ i k ẽ̞ ɴ
バリケード	b a̠ ɾʲ i k e̞ː d o̞
バリン	b a̠ ɾʲ ĩ ɴ
バレエ	b a̠ ɾ e̞ː
バレッタ	b a̠ ɾ e̞ t̚ t a̠
バレット	b a̠ ɾ e̞ t̚ t o̞
バレリーナ	b a̠ ɾ e̞ ɾʲ iː n a̠
バレンシア	b a̠ ɾ ẽ̞ ɰ̃ ɕ i a̠
バレー	b a̠ ɾ e̞ː
バン	b ã̠ ɴ
バンカー	b ã̠ ŋ k a̠ː
バンギャ	b ã̠ ŋʲ ɡʲ a̠
バンシー	b ã̠ ɰ̃ ɕ iː
バンジョー	b ã̠ ɲ̟ d͡ʑ o̞ː
バンテン	b ã̠ n t ẽ̞ ɴ
バンド	b ã̠ n d o̞
バンドエイド	b ã̠ n d o̞ e̞ i d o̞
バンドマン	b ã̠ n d o̞ m ã̠ ɴ
バンドン	b ã̠ n d õ̞ ɴ
バンパイア	b ã̠ m p a̠ i a̠
バー	b a̠ː
バーガー	b a̠ː ɡ a̠ː
バージニア	b a̠ː ʑ i ɲ̟ i a̠
バージョン	b a̠ː ʑ õ̞ ɴ
バーター	b a̠ː t a̠ː
バーテン	b a̠ː t ẽ̞ ɴ
バーテンダー	b a̠ː t ẽ̞ n d a̠ː
バード	b a̠ː d o̞
バーピー	b a̠ː pʲ iː
バーボン	b a̠ː b õ̞ ɴ
バーマン	b a̠ː m ã̠ ɴ
バーミー	b a̠ː mʲ iː
バーモント	b a̠ː m õ̞ n t o̞
バーロ	b a̠ː ɾ o̞
バーロー	b a̠ː ɾ o̞ː
パ	p a̠
パイ	p a̠ i
パイオニア	p a̠ i o̞ ɲ̟ i a̠
パイカ	p a̠ i k a̠
パイセン	p a̠ i s ẽ̞ ɴ
パイロット	p a̠ i ɾ o̞ t̚ t o̞
パイロン	p a̠ i ɾ õ̞ ɴ
パイン	p a̠ ĩ ɴ
パイント	p a̠ ĩ n t o̞
パエリア	p a̠ e̞ ɾʲ i a̠
パエーリャ	p a̠ e̞ː ɾʲ a̠
パケ	p a̠ k e̞
パケット	p a̠ k e̞ t̚ t o̞
パシャ	p a̠ ɕ a̠
パシリ	p a̠ ɕ i ɾʲ i
パジャマ	p a̠ ʑ a̠ m a̠
パセリ	p a̠ s e̞ ɾʲ i
パソコン	p a̠ s o̞ k õ̞ ɴ
パタゴニア	p a̠ t a̠ ɡ o̞ ɲ̟ i a̠
パタン	p a̠ t ã̠ ɴ
パタンナー	p a̠ t ã̠ nː a̠ː
パチンコ	p a̠ t͡ɕ ĩ ŋ k o̞
パッケージ	p a̠ k̚ k e̞ː ʑ i
パッション	p a̠ ɕː õ̞ ɴ
パッチギ	p a̠ t̚ t͡ɕ i ɡʲ i
パット	p a̠ t̚ t o̞
パッパ	p a̠ p̚ p a̠
パテ	p a̠ t e̞
パトカー	p a̠ t o̞ k a̠ː
パトナ	p a̠ t o̞ n a̠
パナジ	p a̠ n a̠ ʑ i
パナマ	p a̠ n a̠ m a̠
パニーニ	p a̠ ɲ̟ iː ɲ̟ i
パニーノ	p a̠ ɲ̟ iː n o̞
パネェ	p a̠ n e̞ː
パネラー	p a̠ n e̞ ɾ a̠ː
パノラマ	p a̠ n o̞ ɾ a̠ m a̠
パパ	p a̠ p a̠
パパイア	p a̠ p a̠ i a̠
パパイヤ	p a̠ p a̠ i j a̠
パパラッチ	p a̠ p a̠ ɾ a̠ t̚ t͡ɕ i
パフェ	p a̠ ɸ e̞
パラ	p a̠ ɾ a̠
パライソ	p a̠ ɾ a̠ i s o̞
パラオ	p a̠ ɾ a̠ o̞
パラコート	p a̠ ɾ a̠ k o̞ː t o̞
パラチンタ	p a̠ ɾ a̠ t͡ɕ ĩ n t a̠
パラボラ	p a̠ ɾ a̠ b o̞ ɾ a̠
パラメータ	p a̠ ɾ a̠ m e̞ː t a̠
パリ	p a̠ ɾʲ i
パリピ	p a̠ ɾʲ i pʲ i
