A	ə
Pelekiuma	p e l e t j u m ə
Pelelina	p e l e l i n ə
pelu	p ɛ l u
Penekelewinia	p e n e k e l e ʋ i n i j ə
Peneki	p ɛ n ɛ t i
penekuina	p e n e k u w i n ə
Peni	p ɛ n i
Peniʻamina	p e n i ʔ ə m i n ə
pepeiao	p e p e j j ɐ o̯
pepelu	p ɛ p ɛ l u
Pepeluali	p e p e l u w ɐ l i
peʻa	p ɛ ʔ ə
piapia	p i j ə p i j ə
pihaʻā	p i h ə ʔ aː
Pihemanu	p i h e m ɐ n u
pīhopa	p iː h o p ə
Pika	p i k ə
Pīkī	p iː t iː
Pila	p i l ə
pīlali	p iː l ɐ l i
pīlalilali	p iː l ɐ l i l ɐ l i
pilikana	p i l i k ɐ n ə
pilikia	p i l i t i j ə
pilina	p i l i n ə
piliona	p i l i j o n ə
Pinehaka	p i n e h ɐ k ə
Pinehasa	p i n e h ɐ k ə
Pinilana	p i n i l ɐ n ə
pio	p i j o
piwa	p i ʋ ə
pīʻao	p iː ʔ ɐ o̯
Piʻikea	p i ʔ i k ɛ j ə
Piʻilani	p i ʔ i l ɐ n i
piʻina	p i ʔ i n ə
Piʻolani	p i ʔ o l ɐ n i
Poepe	p o w ɛ p ɛ
poepoe	p o w e p o w e
pōhae	p oː h ɐ e̯
pōhai	p oː h ɐ j
pōhai	p oː h ɛ j
pōhaku	p oː h ɐ k u
pōhina	p oː h i n ə
poina	p o̯ i n ə
pōkaʻa	p oː k ɐ ʔ ə
pōkaʻo	p oː k ɐ ʔ o
Pokukala	p o k u k ɐ l ə
polalauahi	p o l ə l ɐ w w ɐ h i
polalauahi	p o l ə l ɔ w w ɐ h i
Pōlani	p oː l ɐ n i
Polenekia	p o l e n e t i j ə
Poliʻahu	p o l i ʔ ɐ h u
poloka	p o l o k ə
Pololika	p o l o l i k ə
polopeka	p o l o p ɛ k ə
Pōmaikaʻi	p oː m ə j k ɐ ʔ i
pōnalo	p oː n ɐ l o
pōniu	p oː n j u
Pōniuāʻena	p oː n j u w aː ʔ ɛ n ə
Popoka	p o p o k ə
pōpoki	p oː p o t i
pōwāwae	p oː ʋ aː ʋ ɐ e̯
Pōwehi	p oː ʋ ɛ h i
Pōwehi	p oː ʋ ɛ h i
pōʻaha	p oː ʔ ɐ h ə
Pōʻahā	p oː ʔ ə h aː
pōʻailani	p oː ʔ ɐ j l ɐ n i
pōʻailani	p oː ʔ ɛ j l ɐ n i
Pōʻakahi	p oː ʔ ə k ɐ h i
Pōʻakolu	p oː ʔ ə k o l u
Pōʻalima	p oː ʔ ə l i m ə
Pōʻalua	p oː ʔ ə l u w ə
Pōʻaono	p oː ʔ ə o n o
Pua	p u w ə
puaiohi	p u w ɐ j j o h i
puaiohi	p u w ɛ j j o h i
Pualani	p u w ə l ɐ n i
puana	p u w ɐ n ə
Puanani	p u w ə n ɐ n i
puaʻa	p u w ɐ ʔ ə
pueo	p u w ɛ j o
pūhenehene	p uː h ɛ n ɛ h ɛ n ɛ
pūhihio	p uː h i h i j o
puka	p u k ə
pūkiawe	p uː t i j ɐ ʋ e
Pukikī	p u t i t iː
pūkiʻi	p uː t i ʔ i
pūkonakona	p uː k o n ə k o n ə
pulelehua	p u l e l e h u w ə
Pulukalia	p u l u k ə l i j ə
pūnaewele	p uː n ɐ e̯ ʋ ɛ l ɛ
punihei	p u n i h ɛ j
pupuka	p u p u k ə
pupuka	p uː p u k ə
Puruma	p u l u m ə
puʻukani	p u ʔ u k ɐ n i
puʻuwai	p u ʔ u ʋ ɐ j
puʻuwai	p u ʔ u ʋ ɛ j
Roselani	l o k e l ɐ n i
Roselani	r o s e l ɐ n i
Rusia	l u t i j ə
Rūsia	l uː t i j ə
Sepania	k e p ə n i j ə
Sililanaka	t i l i l ə n ɐ k ə
Sinapoa	t i n ə p o w ə
Solowakia	k o l o ʋ ə t i j ə
Solowenia	k o l o ʋ e n i j ə
Suria	k u l i j ə
Tailani	k ə j l ɐ n i
Tesalonike	k e k ə l o n i k e
Tiberia	t i p e l i j ə
Timoteo	t i m o k ɛ j o
Toma	k o m ə
ua	u w ə
uaua	u w ɐ w w ə
uaua	u w ɔ w w ə
uhaele	u h ɐ e̯ l e
uhalula	u h ə l u l ə
uila	u w i l ə
Uilama	u w i l ɐ m ə
uka	u k ə
Uka	u k ə
ukana	u k ɐ n ə
ukiuki	u t i j u t i
ula	u l ə
ulana	u l ɐ n ə
uliuli	u l i j u l i
uluhua	u l u h u w ə
Ululani	u l u l ɐ n i
uluna	u l u n ə
uluwehi	u l u ʋ ɛ h i
una	u n ə
unahi	u n ɐ h i
Uʻilani	u ʔ i l ɐ n i
w	ʋ eː
W	ʋ eː
waena	ʋ ɐ e̯ n ə
wāhi	ʋ aː h i
wahine	ʋ ə h i n e
wāhine	ʋ aː h i n e
wahīʻeha	ʋ ə h iː ʔ ɛ h ə
wai	ʋ ɐ j
wai	ʋ ɛ j
waiho	ʋ ɐ j h o
waiho	ʋ ɛ j h o
Waikapū	ʋ ɐ j k ə p uː
Waikapū	ʋ ɛ j k ə p uː
Waikīkī	ʋ ɐ j t iː t iː
Waikīkī	ʋ ɛ j t iː t iː
Wailani	ʋ ə j l ɐ n i
wailua	ʋ ɐ j l u w ə
wailua	ʋ ɛ j l u w ə
waimaka	ʋ ə j m ɐ k ə
waina	ʋ ɐ j n ə
waina	ʋ ɛ j n ə
Waiola	ʋ ə j j o l ə
Waiomina	ʋ ə j j o m i n ə
waiū	ʋ ə j j uː
waiūhakuhaku	ʋ ɐ j j uː h ɐ k u h ɐ k u
waiūhakuhaku	ʋ ɛ j j uː h ɐ k u h ɐ k u
waiūpaʻa	ʋ ɐ j j uː p ɐ ʔ ə
waiūpaʻa	ʋ ɛ j j uː p ɐ ʔ ə
waiūtepe	ʋ ɐ j j uː k ɛ p ɛ
waiūtepe	ʋ ɛ j j uː k ɛ p ɛ
waiwai	ʋ ə j ʋ ɐ j
waiwai	ʋ ə j ʋ ɛ j
waka	ʋ ɐ k ə
Wakinekona	ʋ ə t i n e k o n ə
wala	ʋ ɐ l ə
wale	ʋ ɐ l e
waleluka	ʋ ə l e l u k ə
walu	ʋ ɐ l u
wana	ʋ ɐ n ə
Wanuatu	ʋ ə n u w ɐ k u
wau	ʋ ɐ w
wau	ʋ ɔ w
wauke	ʋ ɐ w k e
wauke	ʋ ɔ w k e
wawā	ʋ ə ʋ aː
waʻu	ʋ ɐ ʔ u
wehi	ʋ ɛ h i
wela	ʋ ɛ l ə
welaweka	ʋ ɛ l ə ʋ ɛ k ə
Welemoneka	ʋ e l e m o n ɛ k ə
welina	ʋ e l i n ə
Welinakona	ʋ e l i n ə k o n ə
Wenekola	ʋ e n e k o l ə
weo	ʋ ɛ j o
Wiekanama	ʋ i e k ə n ɐ m ə
wiki	ʋ i t i
wikiwiki	ʋ i t i ʋ i t i
Wikolia	ʋ i k o l i j ə
Wikonekina	ʋ i k o n e t i n ə
Wilama	ʋ i l ɐ m ə
wili	ʋ i l i
Wiliama	ʋ i l i j ɐ m ə
wilikī	ʋ i l i t iː
Wilikinia	ʋ i l i t i n i j ə
wiliwili	ʋ i l i ʋ i l i
wīwī	ʋ iː ʋ iː
woela	ʋ o w ɛ l ə
wolu	ʋ o l u
wulekula	ʋ u l e k u l ə
Zekaria	k e k ə l i j ə
Zepania	k e p ə n i j ə
ʻae	ʔ ɐ e̯
ʻaeʻa	ʔ ɐ e̯ ʔ ə
ʻaha	ʔ ɐ h ə
ʻahā	ʔ ə h aː
ʻahamaka	ʔ ɐ h ə m ɐ k ə
ʻahamele	ʔ ɐ h ə m ɛ l ɛ
ʻahaʻōlelo	ʔ ɐ h ə ʔ oː l ɛ l o
ʻāhewa	ʔ aː h ɛ ʋ ə
ʻahi	ʔ ɐ h i
ʻaho	ʔ ɐ h o
ʻaholo	ʔ ə h o l o
ʻai	ʔ ɐ j
ʻai	ʔ ɛ j
ʻaiā	ʔ ɐ j j aː
ʻaiā	ʔ ɛ j j aː
ʻaiāmanō	ʔ ɐ j j aː m ə n oː
ʻaiāmanō	ʔ ɛ j j aː m ə n oː
ʻaiāpuaʻa	ʔ ɐ j j aː p u w ɐ ʔ ə
ʻaiāpuaʻa	ʔ ɛ j j aː p u w ɐ ʔ ə
ʻAikake	ʔ ə j k ɐ k e
ʻAikiopia	ʔ ə j t i j o p i j ə
ʻAikupika	ʔ ə j k u p i k ə
ʻaina	ʔ ɐ j n ə
ʻaina	ʔ ɛ j n ə
ʻāina	ʔ aː j n ə
ʻāinapuniʻole	ʔ aː j n ə p u n i ʔ o l e
ʻaiʻē	ʔ ɐ j ʔ eː
ʻaiʻē	ʔ ɛ j ʔ eː
ʻaka	ʔ ɐ k ə
ʻākala	ʔ aː k ɐ l ə
ʻAkamu	ʔ ə k ɐ m u
ʻākau	ʔ aː k ɐ w
ʻākau	ʔ aː k ɔ w
ʻākaʻa	ʔ aː k ɐ ʔ ə
ʻakaʻaka	ʔ ɐ k ə ʔ ɐ k ə
ʻakaʻakai	ʔ ɐ k ə ʔ ə k ɐ j
ʻakaʻakai	ʔ ɐ k ə ʔ ə k ɛ j
ʻakekeʻe	ʔ ɐ k ɛ k ɛ ʔ ɛ
ʻAkela	ʔ ə k ɛ l ə
ʻakele	ʔ ə k ɛ l ɛ
ʻAkeneki	ʔ ə k ɛ n ɛ t i
ʻākepa	ʔ aː k ɛ p ə
ʻAkepaikana	ʔ ə k e p ə j k ɐ n ə
ʻakepeuʻie	ʔ ɐ k e p e w ʔ i e
ʻaki	ʔ ɐ t i
ʻakina	ʔ ə t i n ə
ʻAko	ʔ ɐ k o
ʻako	ʔ ɐ k o
ʻakolika	ʔ ə k o l i k ə
ʻakolu	ʔ ə k o l u
ʻAkoni	ʔ ə k o n i
ʻala	ʔ ɐ l ə
ʻalalā	ʔ ə l ə l aː
ʻalamihi	ʔ ɐ l ə m i h i
ʻālapa	ʔ aː l ɐ p ə
ʻAlapaki	ʔ ə l ə p ɐ t i
ʻAlapama	ʔ ə l ə p ɐ m ə
ʻale	ʔ ɐ l e
ʻAlekelia	ʔ ə l e k e l i j ə
ʻAlekina	ʔ ə l e t i n ə
ʻAlepania	ʔ ə l e p ə n i j ə
ʻaleʻale	ʔ ɐ l e ʔ ɐ l e
ʻali	ʔ ɐ l i
ʻAlika	ʔ ə l i k ə
ʻālina	ʔ aː l i n ə
ʻalo	ʔ ɐ l o
ʻalohi	ʔ ə l o h i
ʻAlohilani	ʔ ə l o h i l ɐ n i
ʻaloʻalo	ʔ ɐ l o ʔ ɐ l o
ʻalu	ʔ ɐ l u
ʻalua	ʔ ə l u w ə
ʻālualua	ʔ aː l u w ə l u w ə
ʻāluna	ʔ aː l u n ə
ʻaluʻalu	ʔ ɐ l u ʔ ɐ l u
ʻāmana	ʔ aː m ɐ n ə
ʻĀmēnia	ʔ aː m eː n i j ə
ʻAmosa	ʔ ə m o k ə
ʻAna	ʔ ɐ n ə
ʻanae	ʔ ə n ɐ e̯
ʻAnakalia	ʔ ə n ə k ə l i j ə
ʻAnalū	ʔ ə n ə l uː
ʻanāʻanā	ʔ ɐ n aː ʔ ə n aː
ʻAne	ʔ ɐ n e
ʻAnekelea	ʔ ə n e k ɛ l ɛ j ə
ʻanemoku	ʔ ə n e m o k u
ʻanoʻi	ʔ ə n o ʔ i
ʻanuʻu	ʔ ə n u ʔ u
ʻApekanikana	ʔ ə p e k ə n i k ɐ n ə
ʻApela	ʔ ə p ɛ l ə
ʻApelahama	ʔ ə p e l ə h ɐ m ə
ʻApelika	ʔ ə p e l i k ə
ʻApelila	ʔ ə p e l i l ə
ʻApikaʻila	ʔ ə p i k ə ʔ i l ə
ʻāpiki	ʔ aː p i t i
ʻāpikipiki	ʔ aː p i t i p i t i
ʻapōpō	ʔ ə p oː p oː
ʻāpuka	ʔ aː p u k ə
ʻAsedoda	ʔ ɐ k e k o k ə
ʻau	ʔ ɐ w
ʻau	ʔ ɔ w
ʻauhau	ʔ ɐ w h ɐ w
ʻauhau	ʔ ɔ w h ɔ w
ʻaui	ʔ ɐ w w i
ʻaui	ʔ ɔ w w i
ʻauina	ʔ ə w w i n ə
ʻauinalā	ʔ ə w w i n ə l aː
ʻauinapō	ʔ ə w w i n ə p oː
ʻAukai	ʔ ə w k ɐ j
ʻAukai	ʔ ə w k ɛ j
ʻAukake	ʔ ə w k ɐ k e
ʻAukekulelia	ʔ ə w k e k u l e l i j ə
ʻAukekulia	ʔ ə w k e k u l i j ə
ʻAulani	ʔ ə w l ɐ n i
ʻauʻau	ʔ ɐ w ʔ ɐ w
ʻauʻau	ʔ ɔ w ʔ ɔ w
ʻawa	ʔ ɐ ʋ ə
ʻawapuhi	ʔ ə ʋ ə p u h i
ʻawaʻawa	ʔ ɐ ʋ ə ʔ ɐ ʋ ə
ʻawe	ʔ ɐ ʋ e
ʻāwini	ʔ aː ʋ i n i
ʻāwīwī	ʔ aː ʋ iː ʋ iː
ʻaʻa	ʔ ɐ ʔ ə
ʻaʻā	ʔ ə ʔ aː
ʻAʻā	ʔ ə ʔ aː
ʻĀʻālona	ʔ aː ʔ aː l o n ə
ʻaʻano	ʔ ə ʔ ɐ n o
ʻaʻo	ʔ ɐ ʔ o
ʻaʻole	ʔ ə ʔ o l e
ʻeha	ʔ ɛ h ə
ʻehaʻeha	ʔ ɛ h ə ʔ ɛ h ə
ʻEhu	ʔ ɛ h u
ʻeiwa	ʔ ɛ j ʋ ə
ʻekahi	ʔ e k ɐ h i
ʻekalekia	ʔ e k ə l e t i j ə
ʻEkekela	ʔ e k ɛ k ɛ l ə
ʻEkela	ʔ ɛ k ɛ l ə
ʻElata	ʔ e l ɐ k ə
ʻele	ʔ ɛ l ɛ
ʻEleakala	ʔ e l e j ə k ɐ l ə
ʻelekule	ʔ ɛ l ɛ k u l e
ʻelele	ʔ ɛ l ɛ l ɛ
ʻelemakule	ʔ ɛ l ɛ m ə k u l e
ʻElena	ʔ ɛ l ɛ n ə
ʻelepani	ʔ e l e p ɐ n i
ʻeleu	ʔ ɛ l ɛ w
ʻeleʻele	ʔ ɛ l ɛ ʔ ɛ l ɛ
ʻElia	ʔ e l i j ə
ʻElikapeka	ʔ e l i k ə p ɛ k ə
ʻelima	ʔ e l i m ə
ʻelua	ʔ e l u w ə
ʻEma	ʔ ɛ m ə
ʻEmalia	ʔ e m ə l i j ə
ʻEmelē	ʔ e m ɛ l eː
ʻEmelia	ʔ e m e l i j ə
ʻEnelani	ʔ ɛ n ɛ l ɐ n i
ʻEnoka	ʔ e n o k ə
ʻeono	ʔ e j o n o
ʻEpeso	ʔ ɛ p ɛ k o
ʻEwa	ʔ ɛ ʋ ə
ʻewalu	ʔ e ʋ ɐ l u
ʻEzekiʻela	ʔ e k e t i ʔ ɛ l ə
ʻĪkālia	ʔ iː k aː l i j ə
ʻIkaʻaka	ʔ i k ə ʔ ɐ k ə
ʻIlaka	ʔ i l ɐ k ə
ʻIlana	ʔ i l ɐ n ə
ʻIlelani	ʔ i l e l ɐ n i
ʻilikai	ʔ i l i k ɐ j
ʻilikai	ʔ i l i k ɛ j
ʻīlio	ʔ iː l i j o
ʻinamona	ʔ i n ə m o n ə
ʻīnaʻi	ʔ iː n ɐ ʔ i
ʻInia	ʔ i n i j ə
ʻĪnia	ʔ iː n i j ə
ʻInidonesia	ʔ i n i k o n e t i j ə
ʻio	ʔ i j o
ʻiole	ʔ i j o l e
ʻIsaia	ʔ i k ɐ j j ə
ʻIsaia	ʔ i k ɛ j j ə
ʻIseraʻela	ʔ i k ɛ l ə ʔ ɛ l ə
ʻiwa	ʔ i ʋ ə
ʻIwalani	ʔ i ʋ ə l ɐ n i
ʻiʻiwi	ʔ i ʔ i ʋ i
ʻObadia	ʔ o p ə t i j ə
ʻoe	ʔ o w e
ʻohana	ʔ o h ɐ n ə
ʻōhaʻi	ʔ oː h ɐ ʔ i
ʻōhewa	ʔ oː h ɛ ʋ ə
ʻoia	ʔ o̯ i j ə
ʻOihana	ʔ o̯ i h ɐ n ə
ʻoihana	ʔ o̯ i h ɐ n ə
ʻōiwi	ʔ oː i ʋ i
ʻOkakopa	ʔ o k ə k o p ə
ʻokekelika	ʔ o k e k e l i k ə
ʻokikene	ʔ o t i k ɛ n ɛ
ʻokina	ʔ o t i n ə
ʻokomopila	ʔ o k o m o p i l ə
ʻōlapa	ʔ oː l ɐ p ə
ʻōlelo	ʔ oː l ɛ l o
ʻolua	ʔ o l u w ə
ʻōmalumalu	ʔ oː m ə l u m ɐ l u
ʻOmana	ʔ o m ɐ n ə
ʻōmaʻimaʻi	ʔ oː m ə ʔ i m ɐ ʔ i
ʻōmaʻo	ʔ oː m ɐ ʔ o
ʻōmaʻomaʻo	ʔ oː m ə ʔ o m ɐ ʔ o
ʻona	ʔ o n ə
ʻōnaehana	ʔ oː n ɐ e̯ h ɐ n ə
ʻōnaha	ʔ oː n ɐ h ə
ʻonaʻona	ʔ o n ə ʔ o n ə
ʻōnea	ʔ oː n ɛ j ə
ʻōneanea	ʔ oː n ɛ j ə n ɛ j ə
ʻonipaʻa	ʔ o n i p ɐ ʔ ə
ʻōpakapaka	ʔ oː p ɐ k ə p ɐ k ə
ʻoukou	ʔ o w k o w
ʻoumuamua	ʔ o w m u w ə m u w ə
ʻowau	ʔ o ʋ ɐ w
ʻowau	ʔ o ʋ ɔ w
ʻōwehe	ʔ oː ʋ ɛ h ɛ
ʻoʻoleʻa	ʔ o ʔ o l ɛ ʔ ə
ʻuao	ʔ u w ɐ o̯
ʻūheheʻe	ʔ uː h ɛ h ɛ ʔ ɛ
ʻūhōloʻa	ʔ uː h oː l o ʔ ə
ʻUkelena	ʔ u k ɛ l ɛ n ə
ʻukiʻuki	ʔ u t i ʔ u t i
ʻukulele	ʔ u k u l ɛ l ɛ
ʻula	ʔ u l ə
ʻulaʻula	ʔ u l ə ʔ u l ə
ʻumikūmāiwa	ʔ u m i k uː m aː i ʋ ə
ʻumikūmākahi	ʔ u m i k uː m aː k ɐ h i
ʻumikūmālima	ʔ u m i k uː m aː l i m ə
ʻumikūmālua	ʔ u m i k uː m aː l u w ə
ʻumikūmāwalu	ʔ u m i k uː m aː ʋ ɐ l u
ʻupena	ʔ u p ɛ n ə
ʻUsepekikana	ʔ u k e p e t i k ɐ n ə
