A	a
gorakada	ɡ o ɾ a k a d a
gorde	ɡ o r d e
gorosti	ɡ o ɾ o s̺ t i
gorotzil	ɡ o ɾ o t͡s̻ i l
gorputz	ɡ o r p u t͡s̻
gorri	ɡ o r i
gorrimin	ɡ o r i m i n
gorrimotel	ɡ o r i m o t e l
gorringo	ɡ o r i n ɡ o
gorrotatu	ɡ o r o t a t u
gosaldu	ɡ o s̺ a l d u
gotzon	ɡ o t͡s̻ o n
gozatu	ɡ o s̺ a t u
gozatu	ɡ o s̻ a t u
gozo	ɡ o s̻ o
gramatika	ɡ r a m a t i k a
granadari	ɡ r a n a d a ɾ i
grapagailu	ɡ r a p a ɡ a i̯ l u
grapagailu	ɡ r a p a ɡ a ʎ u
greko	ɡ r e k o
gris	ɡ r i s̺
gu	ɡ u
guda	ɡ u d a
gudaroste	ɡ u d a ɾ o s̺ t e
guk	ɡ u k
gune	ɡ u n e
guneka	ɡ u n e k a
guraize	ɡ u ɾ a i̯ s̺ e
guraize	ɡ u ɾ a i̯ s̻ e
gurdi	ɡ u r d i
gure	ɡ u ɾ e
guri	ɡ u ɾ i
gurin	ɡ u ɾ i n
gurpil	ɡ u r p i l
gurutze	ɡ u ɾ u t͡s̻ e
gustatu	ɡ u s̺ t a t u
gutizia	ɡ u t i s̺ i a
gutizia	ɡ u t i s̻ i a
guzti	ɡ u s̺ t i
guzti	ɡ u s̻ t i
guztia	ɡ u s̺ t i a
guztia	ɡ u s̻ t i a
guztiak	ɡ u s̺ t i a k
guztiak	ɡ u s̻ t i a k
guztiok	ɡ u s̺ t i o k
guztiok	ɡ u s̻ t i o k
h	a t͡ʃ e
h	h a t͡ʃ e
habe	a b e
habe	h a b e
habia	a b i a
habia	h a b i a
habil	a b i l
habil	h a b i l
habilen	a b i ʎ e n
habilen	h a b i l e n
habilke	a b i l k e
habilke	h a b i l k e
hadi	a d i
hadi	h a d i
hadila	a d i ʎ a
hadila	h a d i l a
hadin	a d i n
hadin	h a d i n
hagin	a ɡ i n
hagin	h a ɡ i n
hago	a ɡ o
hago	h a ɡ o
hagoen	a ɡ o e n
hagoen	h a ɡ o e n
hagoke	a ɡ o k e
hagoke	h a ɡ o k e
haiei	a i̯ e i̯
haiei	h a i̯ e i̯
haiek	a i̯ e k
haiek	h a i̯ e k
haien	a i̯ e n
haien	h a i̯ e n
haiteke	a i̯ t e k e
haiteke	h a i̯ t e k e
haitz	a i̯ t͡s̻
haitz	h a i̯ t͡s̻
haiz	a i̯ s̺
haiz	a i̯ s̻
haiz	h a i̯ s̻
haizateke	a i̯ s̺ a t e k e
haizateke	a i̯ s̻ a t e k e
haizateke	h a i̯ s̻ a t e k e
haize	a i̯ s̻ e
haize	h a i̯ s̻ e
haizetsu	a i̯ s̻ e t͡s̺ u
haizetsu	h a i̯ s̻ e t͡s̺ u
hakar	a k a r
hakar	h a k a r
hakien	a k i e n
hakien	h a k i e n
hala	a l a
hala	h a l a
haltz	a l t͡s̻
haltz	h a l t͡s̻
hamabi	a m a b i
hamabi	h a m a b i
hamabigarren	a m a b i ɡ a r e n
hamabigarren	h a m a b i ɡ a r e n
hamabost	a m a b o s̺ t
hamabost	h a m a b o s̺ t
hamahiru	a m a i̯ ɾ u
hamahiru	h a m a h i ɾ u
hamahirugarren	a m a i̯ ɾ u ɡ a r e n
hamahirugarren	h a m a h i ɾ u ɡ a r e n
hamaika	a m a i̯ k a
hamaika	h a m a i̯ k a
hamaikagarren	a m a i̯ k a ɡ a r e n
hamaikagarren	h a m a i̯ k a ɡ a r e n
hamairu	a m a i̯ ɾ u
hamairu	h a m a i̯ ɾ u
hamalau	a m a l a u̯
hamalau	h a m a l a u̯
hamalaugarren	a m a l a u̯ ɡ a r e n
hamalaugarren	h a m a l a u̯ ɡ a r e n
hamar	a m a r
hamar	h a m a r
hamargarren	a m a r ɡ a r e n
hamargarren	h a m a r ɡ a r e n
hamarren	a m a r e n
hamarren	h a m a r e n
hamasei	a m a s̺ e i̯
hamasei	h a m a s̺ e i̯
hamazazpi	a m a s̺ a s̺ p i
hamazazpi	a m a s̻ a s̻ p i
hamazazpi	h a m a s̻ a s̻ p i
hamazortzi	a m a s̺ o r t͡s̻ i
hamazortzi	a m a s̻ o r t͡s̻ i
hamazortzi	h a m a s̻ o r t͡s̻ i
han	a n
han	h a n
handitu	a n d i t u
handitu	h a n d i t u
haragi	a ɾ a ɡ i
haragi	h a ɾ a ɡ i
harakin	a ɾ a k i n
harakin	h a ɾ a k i n
haran	a ɾ a n
haran	h a ɾ a n
harategi	a ɾ a t e ɡ i
harategi	h a ɾ a t e ɡ i
haratustel	a ɾ a t u s̺ t e l
haratustel	h a ɾ a t u s̺ t e l
haren	a ɾ e n
haren	h a ɾ e n
hari	a ɾ i
hari	h a ɾ i
haritz	a ɾ i t͡s̻
haritz	h a ɾ i t͡s̻
haritzezko	a ɾ i t͡s̻ e s̺ k o
haritzezko	a ɾ i t͡s̻ e s̻ k o
haritzezko	h a ɾ i t͡s̻ e s̻ k o
harizki	a ɾ i s̺ k i
harizki	a ɾ i s̻ k i
harizki	h a ɾ i s̻ k i
hark	a r k
hark	h a r k
harrabots	a r a b o t͡s̺
harrabots	a r a b o t͡s̻
harrabots	h a r a b o t͡s̺
harri	a r i
harri	h a r i
harro	a r o
harro	h a r o
harrotu	a r o t u
harrotu	h a r o t u
hartan	a r t a n
hartan	h a r t a n
hartara	a r t a ɾ a
hartara	h a r t a ɾ a
hartarat	a r t a ɾ a t
hartarat	h a r t a ɾ a t
hartu	a r t u
hartu	h a r t u
hartz	a r t͡s̻
hartz	h a r t͡s̻
hartzitu	a r t͡s̻ i t u
hartzitu	h a r t͡s̻ i t u
haserretu	a s̺ e r e t u
haserretu	h a s̺ e r e t u
hasi	a s̺ i
hasi	h a s̺ i
haste	a s̺ t e
haste	h a s̺ t e
hasten	a s̺ t e n
hasten	h a s̺ t e n
hator	a t o r
hator	h a t o r
hatorke	a t o r k e
hatorke	h a t o r k e
hatorren	a t o r e n
hatorren	h a t o r e n
hatxe	a t͡ʃ e
hatxe	h a t͡ʃ e
hatxekie	a t͡ʃ e k i e
hatxekie	h a t͡ʃ e k i e
hatxekigu	a t͡ʃ e k i ɡ u
hatxekigu	h a t͡ʃ e k i ɡ u
hatxekio	a t͡ʃ e k i o
hatxekio	h a t͡ʃ e k i o
hatxekit	a t͡ʃ e k i t
hatxekit	h a t͡ʃ e k i t
hatz	a t͡s̻
hatz	h a t͡s̻
hatza	a t͡s̻ a
hatza	h a t͡s̻ a
hau	a u̯
hau	h a u̯
hauei	a u̯ e i̯
hauei	h a u̯ e i̯
hauek	a u̯ e k
hauek	h a u̯ e k
hauen	a u̯ e n
hauen	h a u̯ e n
hauetako	a u̯ e t a k o
hauetako	h a u̯ e t a k o
hauetan	a u̯ e t a n
hauetan	h a u̯ e t a n
hauetara	a u̯ e t a ɾ a
hauetara	h a u̯ e t a ɾ a
haugu	a u̯ ɡ u
haugu	h a u̯ ɡ u
hauka	a u̯ k a
hauka	h a u̯ k a
haukagu	a u̯ k a ɡ u
haukagu	h a u̯ k a ɡ u
haukat	a u̯ k a t
haukat	h a u̯ k a t
haukate	a u̯ k a t e
haukate	h a u̯ k a t e
hauke	a u̯ k e
hauke	h a u̯ k e
haukegu	a u̯ k e ɡ u
haukegu	h a u̯ k e ɡ u
hauket	a u̯ k e t
hauket	h a u̯ k e t
haukete	a u̯ k e t e
haukete	h a u̯ k e t e
haut	a u̯ t
haut	h a u̯ t
hautatu	a u̯ t a t u
hautatu	h a u̯ t a t u
haute	a u̯ t e
haute	h a u̯ t e
hauts	a u̯ t͡s̺
hauts	a u̯ t͡s̻
hauts	h a u̯ t͡s̺
hazadala	a s̺ a d a l a
hazadala	a s̻ a d a l a
hazadala	h a s̻ a d a l a
hazadan	a s̺ a d a n
hazadan	a s̻ a d a n
hazadan	h a s̻ a d a n
hazagu	a s̻ a ɡ u
hazagu	h a s̻ a ɡ u
hazagugu	a s̻ a ɡ u ɡ u
hazagugu	h a s̻ a ɡ u ɡ u
hazagula	a s̺ a ɡ u l a
hazagula	a s̻ a ɡ u l a
hazagula	h a s̻ a ɡ u l a
hazagun	a s̺ a ɡ u n
hazagun	a s̻ a ɡ u n
hazagun	h a s̻ a ɡ u n
hazagut	a s̻ a ɡ u t
hazagut	h a s̻ a ɡ u t
hazagute	a s̻ a ɡ u t e
hazagute	h a s̻ a ɡ u t e
hazake	a s̺ a k e
hazake	a s̻ a k e
hazake	h a s̻ a k e
hazakegu	a s̺ a k e ɡ u
hazakegu	a s̻ a k e ɡ u
hazakegu	h a s̻ a k e ɡ u
hazaket	a s̺ a k e t
hazaket	a s̻ a k e t
hazaket	h a s̻ a k e t
hazakete	a s̺ a k e t e
hazakete	a s̻ a k e t e
hazakete	h a s̻ a k e t e
hazala	a s̺ a l a
hazala	a s̻ a l a
hazala	h a s̻ a l a
hazan	a s̺ a n
hazan	a s̻ a n
hazan	h a s̻ a n
hazatela	a s̺ a t e l a
hazatela	a s̻ a t e l a
hazatela	h a s̻ a t e l a
hazaten	a s̺ a t e n
hazaten	a s̻ a t e n
hazaten	h a s̻ a t e n
hazil	a s̻ i l
hazil	h a s̻ i l
hazlodi	a s̺ l o d i
hazlodi	a s̻ l o d i
hazlodi	h a s̻ l o d i
hebreera	e b r e e ɾ a
hebreera	h e b r e e ɾ a
hega	e ɡ a
hega	h e ɡ a
hegal	e ɡ a l
hegal	h e ɡ a l
hegalari	e ɡ a l a ɾ i
hegalari	h e ɡ a l a ɾ i
hegaldatu	e ɡ a l d a t u
hegaldatu	h e ɡ a l d a t u
hegats	e ɡ a t͡s̺
hegats	h e ɡ a t͡s̺
hegazkin	e ɡ a s̺ k i n
hegazkin	e ɡ a s̻ k i n
hegazkin	h e ɡ a s̻ k i n
hegazti	e ɡ a s̻ t i
hegazti	h e ɡ a s̻ t i
hegien	e ɡ i e n
hegien	h e ɡ i e n
hegike	e ɡ i k e
hegike	h e ɡ i k e
hegitzake	e ɡ i t͡s̻ a k e
hegitzake	h e ɡ i t͡s̻ a k e
hegitzan	e ɡ i t͡s̻ a n
hegitzan	h e ɡ i t͡s̻ a n
hego	e ɡ o
hego	h e ɡ o
hekien	e k i e n
hekien	h e k i e n
hekike	e k i k e
hekike	h e k i k e
hekizke	e k i s̻ k e
hekizke	h e k i s̻ k e
hekizkien	e k i s̻ k i e n
hekizkien	h e k i s̻ k i e n
hekusan	e k u s̺ a n
hekusan	h e k u s̺ a n
hekusazke	e k u s̺ a s̻ k e
hekusazke	h e k u s̺ a s̻ k e
hekuske	e k u s̺ k e
hekuske	h e k u s̺ k e
hekuskien	e k u s̺ k i e n
hekuskien	h e k u s̺ k i e n
helburu	e l b u ɾ u
helburu	h e l b u ɾ u
heldu	e l d u
heldu	h e l d u
helikoptero	e l i k o p t e ɾ o
helio	e l i o
helio	h e l i o
helize	e l i s̻ e
helize	h e l i s̻ e
hemen	e m e n
hemen	h e m e n
hemeretzi	e m e ɾ e t͡s̻ i
hemeretzi	h e m e ɾ e t͡s̻ i
hemezortzi	e m e s̻ o r t͡s̻ i
hemezortzi	h e m e s̻ o r t͡s̻ i
henbilen	e m b i ʎ e n
henbilen	h e m b i l e n
henbilke	e m b i l k e
henbilke	h e m b i l k e
henbilkeen	e m b i l k e e n
henbilkeen	h e m b i l k e e n
hendila	e n d i ʎ a
hendila	h e n d i l a
hendin	e n d i n
hendin	h e n d i n
hengoen	e n ɡ o e n
hengoen	h e n ɡ o e n
hengoke	e n ɡ o k e
hengoke	h e n ɡ o k e
hengokeen	e n ɡ o k e e n
hengokeen	h e n ɡ o k e e n
henkien	e n k i e n
henkien	h e n k i e n
henkion	e n k i o n
henkion	h e n k i o n
hentorke	e n t o r k e
hentorke	h e n t o r k e
hentorkeen	e n t o r k e e n
hentorkeen	h e n t o r k e e n
hentorren	e n t o r e n
hentorren	h e n t o r e n
hentxekidake	e n t͡ʃ e k i d a k e
hentxekidake	h e n t͡ʃ e k i d a k e
hentxekidan	e n t͡ʃ e k i d a n
hentxekidan	h e n t͡ʃ e k i d a n
hentxekieke	e n t͡ʃ e k i e k e
hentxekieke	h e n t͡ʃ e k i e k e
hentxekien	e n t͡ʃ e k i e n
hentxekien	h e n t͡ʃ e k i e n
hentxekiguke	e n t͡ʃ e k i ɡ u k e
hentxekiguke	h e n t͡ʃ e k i ɡ u k e
hentxekigun	e n t͡ʃ e k i ɡ u n
hentxekigun	h e n t͡ʃ e k i ɡ u n
hentxekioke	e n t͡ʃ e k i o k e
hentxekioke	h e n t͡ʃ e k i o k e
hentxekion	e n t͡ʃ e k i o n
hentxekion	h e n t͡ʃ e k i o n
hentzake	e n t͡s̻ a k e
hentzake	h e n t͡s̻ a k e
hentzan	e n t͡s̻ a n
hentzan	h e n t͡s̻ a n
hentzuen	e n t͡s̻ u e n
hentzuen	h e n t͡s̻ u e n
hentzuke	e n t͡s̻ u k e
hentzuke	h e n t͡s̻ u k e
hentzuzke	e n t͡s̻ u s̻ k e
hentzuzke	h e n t͡s̻ u s̻ k e
hentzuzkien	e n t͡s̻ u s̻ k i e n
hentzuzkien	h e n t͡s̻ u s̻ k i e n
herakuske	e ɾ a k u s̺ k e
herakuske	h e ɾ a k u s̺ k e
herakuskien	e ɾ a k u s̺ k i e n
herakuskien	h e ɾ a k u s̺ k i e n
herakutsan	e ɾ a k u t͡s̺ a n
herakutsan	h e ɾ a k u t͡s̺ a n
herakutsazke	e ɾ a k u t͡s̺ a s̻ k e
herakutsazke	h e ɾ a k u t͡s̺ a s̻ k e
herdoil	e r d o i̯ l
herdoil	h e r d o i̯ l
heren	e ɾ e n
heren	h e ɾ e n
herenegun	e ɾ e n e ɡ u n
herenegun	h e ɾ e n e ɡ u n
herensuge	e ɾ e n s̺ u ɡ e
herensuge	h e ɾ e n s̺ u ɡ e
heriotza	e ɾ i o t͡s̻ a
heriotza	h e ɾ i o t͡s̻ a
heroake	e ɾ o a k e
heroake	h e ɾ o a k e
heroan	e ɾ o a n
heroan	h e ɾ o a n
heroatzan	e ɾ o a t͡s̻ a n
heroatzan	h e ɾ o a t͡s̻ a n
heroazke	e ɾ o a s̻ k e
heroazke	h e ɾ o a s̻ k e
herri	e r i
herri	h e r i
herrikoi	e r i k o i̯
herrikoi	h e r i k o i̯
herritar	e r i t a r
herritar	h e r i t a r
heu	e u̯
heu	h e u̯
heuk	e u̯ k
heuk	h e u̯ k
heukake	e u̯ k a k e
heukake	h e u̯ k a k e
heukan	e u̯ k a n
heukan	h e u̯ k a n
heure	e u̯ ɾ e
heure	h e u̯ ɾ e
heuzkake	e u̯ s̺ k a k e
heuzkake	e u̯ s̻ k a k e
heuzkake	h e u̯ s̻ k a k e
heuzkan	e u̯ s̺ k a n
heuzkan	e u̯ s̻ k a n
heuzkan	h e u̯ s̻ k a n
hezaguen	e s̻ a ɡ u e n
hezaguen	h e s̻ a ɡ u e n
hezaguke	e s̻ a ɡ u k e
hezaguke	h e s̻ a ɡ u k e
hezaguzke	e s̻ a ɡ u s̻ k e
hezaguzke	h e s̻ a ɡ u s̻ k e
hezaguzkien	e s̻ a ɡ u s̻ k i e n
hezaguzkien	h e s̻ a ɡ u s̻ k i e n
hezake	e s̺ a k e
hezake	e s̻ a k e
hezake	h e s̻ a k e
hezakeen	e s̺ a k e e n
hezakeen	e s̻ a k e e n
hezakeen	h e s̻ a k e e n
hezala	e s̺ a l a
hezala	e s̻ a l a
hezala	h e s̻ a l a
hezan	e s̺ a n
hezan	e s̻ a n
hezan	h e s̻ a n
hezueri	e s̺ u e ɾ i
hezueri	e s̻ u e ɾ i
hezueri	h e s̻ u e ɾ i
hezur	e s̻ u r
hezur	h e s̻ u r
hezurdura	e s̻ u r d u ɾ a
hezurdura	h e s̻ u r d u ɾ a
hezurtegi	e s̺ u r t e ɡ i
hezurtegi	e s̻ u r t e ɡ i
hezurtegi	h e s̻ u r t e ɡ i
hi	h i
hi	i
hidrogeno	h i d r o ɡ e n o
hidrogeno	i d r o ɡ e n o
hiena	h i e n a
hiena	i e n a
higan	h i ɡ a n
higan	i ɡ a n
hiharduen	h i h a r d u e n
hiharduen	i a r d u e n
hihardukake	h i h a r d u k a k e
hihardukake	i a r d u k a k e
hihardukan	h i h a r d u k a n
hihardukan	i a r d u k a n
hiharduke	h i h a r d u k e
hiharduke	i a r d u k e
hik	h i k
hik	i k
hika	h i k a
hika	i k a
hil	h i l
hil	i l
hilabete	h i l a b e t e
hilabete	i ʎ a b e t e
hilerri	h i l e r i
hilerri	i ʎ e r i
hindezagudan	h i n d e s̻ a ɡ u d a n
hindezagudan	i n d e s̻ a ɡ u d a n
hindezaguen	h i n d e s̻ a ɡ u e n
hindezaguen	i n d e s̻ a ɡ u e n
hindezagugun	h i n d e s̻ a ɡ u ɡ u n
hindezagugun	i n d e s̻ a ɡ u ɡ u n
hindezaguke	h i n d e s̻ a ɡ u k e
hindezaguke	i n d e s̻ a ɡ u k e
hindezagukegu	h i n d e s̻ a ɡ u k e ɡ u
hindezagukegu	i n d e s̻ a ɡ u k e ɡ u
hindezaguket	h i n d e s̻ a ɡ u k e t
hindezaguket	i n d e s̻ a ɡ u k e t
hindezagukete	h i n d e s̻ a ɡ u k e t e
hindezagukete	i n d e s̻ a ɡ u k e t e
hindezaguten	h i n d e s̻ a ɡ u t e n
hindezaguten	i n d e s̻ a ɡ u t e n
hindoake	h i n d o a k e
hindoake	i n d o a k e
hindoakeen	h i n d o a k e e n
hindoakeen	i n d o a k e e n
hindoan	h i n d o a n
hindoan	i n d o a n
hindudan	h i n d u d a n
hindudan	i n d u d a n
hinduen	h i n d u e n
hinduen	i n d u e n
hindugun	h i n d u ɡ u n
hindugun	i n d u ɡ u n
hindukadan	h i n d u k a d a n
hindukadan	i n d u k a d a n
hindukagun	h i n d u k a ɡ u n
hindukagun	i n d u k a ɡ u n
hindukake	h i n d u k a k e
hindukake	i n d u k a k e
hindukakegu	h i n d u k a k e ɡ u
hindukakegu	i n d u k a k e ɡ u
hindukaket	h i n d u k a k e t
hindukaket	i n d u k a k e t
hindukakete	h i n d u k a k e t e
hindukakete	i n d u k a k e t e
hindukan	h i n d u k a n
hindukan	i n d u k a n
hindukaten	h i n d u k a t e n
hindukaten	i n d u k a t e n
hinduke	h i n d u k e
hinduke	i n d u k e
hindukedan	h i n d u k e d a n
hindukedan	i n d u k e d a n
hindukeen	h i n d u k e e n
hindukeen	i n d u k e e n
hindukegu	h i n d u k e ɡ u
hindukegu	i n d u k e ɡ u
hindukegun	h i n d u k e ɡ u n
hindukegun	i n d u k e ɡ u n
hinduket	h i n d u k e t
hinduket	i n d u k e t
hindukete	h i n d u k e t e
hindukete	i n d u k e t e
hinduketen	h i n d u k e t e n
hinduketen	i n d u k e t e n
hinduten	h i n d u t e n
hinduten	i n d u t e n
hinteke	h i n t e k e
hinteke	i n t e k e
hintekeen	h i n t e k e e n
hintekeen	i n t e k e e n
hintzadala	h i n t͡s̻ a d a l a
hintzadala	i n t͡s̻ a d a l a
hintzadan	h i n t͡s̻ a d a n
hintzadan	i n t͡s̻ a d a n
hintzagula	h i n t͡s̻ a ɡ u l a
hintzagula	i n t͡s̻ a ɡ u l a
hintzagun	h i n t͡s̻ a ɡ u n
hintzagun	i n t͡s̻ a ɡ u n
hintzake	h i n t͡s̻ a k e
hintzake	i n t͡s̻ a k e
hintzakedan	h i n t͡s̻ a k e d a n
hintzakedan	i n t͡s̻ a k e d a n
hintzakeen	h i n t͡s̻ a k e e n
hintzakeen	i n t͡s̻ a k e e n
hintzakegu	h i n t͡s̻ a k e ɡ u
hintzakegu	i n t͡s̻ a k e ɡ u
hintzakegun	h i n t͡s̻ a k e ɡ u n
hintzakegun	i n t͡s̻ a k e ɡ u n
hintzaket	h i n t͡s̻ a k e t
hintzaket	i n t͡s̻ a k e t
hintzakete	h i n t͡s̻ a k e t e
hintzakete	i n t͡s̻ a k e t e
hintzaketen	h i n t͡s̻ a k e t e n
hintzaketen	i n t͡s̻ a k e t e n
hintzala	h i n t͡s̻ a l a
hintzala	i n t͡s̻ a l a
hintzan	h i n t͡s̻ a n
hintzan	i n t͡s̻ a n
hintzateke	h i n t͡s̻ a t e k e
hintzateke	i n t͡s̻ a t e k e
hintzatekeen	h i n t͡s̻ a t e k e e n
hintzatekeen	i n t͡s̻ a t e k e e n
hintzatela	h i n t͡s̻ a t e l a
hintzatela	i n t͡s̻ a t e l a
hintzaten	h i n t͡s̻ a t e n
hintzaten	i n t͡s̻ a t e n
hintzen	h i n t͡s̻ e n
hintzen	i n t͡s̻ e n
hipersoniko	i p e r s̺ o n i k o
hipopotamo	h i p o p o t a m o
hipopotamo	i p o p o t a m o
hirauen	h i ɾ a u̯ e n
hirauen	i ɾ a u̯ e n
hirauke	h i ɾ a u̯ k e
hirauke	i ɾ a u̯ k e
hire	h i ɾ e
hire	i ɾ e
hiregan	h i ɾ e ɡ a n
hiregan	i ɾ e ɡ a n
hiri	h i ɾ i
hiri	i ɾ i
hiriburu	h i ɾ i b u ɾ u
hiriburu	i ɾ i b u ɾ u
hirigile	h i ɾ i ɡ i l e
hirigile	i ɾ i ɡ i ʎ e
hirigintza	h i ɾ i ɡ i n t͡s̻ a
hirigintza	i ɾ i ɡ i n t͡s̻ a
hiriko	h i ɾ i k o
hiriko	i ɾ i k o
hiru	h i ɾ u
hiru	i ɾ u
hirudien	h i ɾ u d i e n
hirudien	i ɾ u d i e n
hirudike	h i ɾ u d i k e
hirudike	i ɾ u d i k e
hirugarren	h i ɾ u ɡ a r e n
hirugarren	i ɾ u ɡ a r e n
hiruhortz	h i ɾ u h o r t͡s̻
hiruhortz	i ɾ u o r t͡s̻
hirukoitz	h i ɾ u k o i̯ t͡s̻
hirukoitz	i ɾ u k o i̯ t͡s̻
hirurogei	h i ɾ u ɾ o ɡ e i̯
hirurogei	i ɾ u ɾ o ɡ e i̯
historia	h i s̺ t o ɾ i a
historia	i s̺ t o ɾ i a
hitan	h i t a n
hitan	i t a n
hituen	h i t u e n
hituen	i t u e n
hituzke	h i t u s̻ k e
hituzke	i t u s̺ k e
hituzke	i t u s̻ k e
hituzkeen	h i t u s̻ k e e n
hituzkeen	i t u s̺ k e e n
hituzkeen	i t u s̻ k e e n
hitz	h i t͡s̻
hitz	i t͡s̻
hitzake	h i t͡s̻ a k e
hitzake	i t͡s̻ a k e
hitzakeen	h i t͡s̻ a k e e n
hitzakeen	i t͡s̻ a k e e n
hitzala	h i t͡s̻ a l a
hitzala	i t͡s̻ a l a
hitzan	h i t͡s̻ a n
hitzan	i t͡s̻ a n
hitzordu	h i t͡s̻ o r d u
hitzordu	i t͡s̻ o r d u
hizkuntza	h i s̻ k u n t͡s̻ a
hizkuntza	i s̺ k u n t͡s̻ a
hizkuntza	i s̻ k u n t͡s̻ a
hizkuntzalaritza	h i s̻ k u n t͡s̻ a l a ɾ i t͡s̻ a
hizkuntzalaritza	i s̻ k u n t͡s̻ a l a ɾ i t͡s̻ a
hiztegi	h i s̻ t e ɡ i
hiztegi	i s̺ t e ɡ i
hiztegi	i s̻ t e ɡ i
hiztun	h i s̻ t u n
hiztun	i s̺ t u n
hiztun	i s̻ t u n
hoa	h o a
hoa	o a
hoake	h o a k e
hoake	o a k e
hoan	h o a n
hoan	o a n
hobeki	h o b e k i
hobeki	o b e k i
hobekien	h o b e k i e n
hobekien	o b e k i e n
hoberen	h o b e ɾ e n
hoberen	o b e ɾ e n
hobeto	h o b e t o
hobeto	o b e t o
hodei	h o d e i̯
hodei	o d e i̯
hodeitsu	h o d e i̯ t͡s̺ u
hodeitsu	o d e i̯ t͡s̺ u
hodeitsu	o d e i̯ t͡s̻ u
hogei	h o ɡ e i̯
hogei	o ɡ e i̯
homosexual	o m o s̺ e k s̺ u a l
homosexual	o m o s̺ e k s̺ w a l
hondamen	h o n d a m e n
hondamen	o n d a m e n
hondartza	h o n d a r t͡s̻ a
hondartza	o n d a r t͡s̻ a
hondatu	h o n d a t u
hondatu	o n d a t u
honek	h o n e k
honek	o n e k
honen	h o n e n
honen	o n e n
honetako	h o n e t a k o
honetako	o n e t a k o
honetan	h o n e t a n
honetan	o n e t a n
honetara	h o n e t a ɾ a
honetara	o n e t a ɾ a
honetatik	h o n e t a t i k
honetatik	o n e t a t i k
honetaz	h o n e t a s̻
honetaz	o n e t a s̺
honetaz	o n e t a s̻
honi	h o n i
honi	o n i
hontz	h o n t͡s̻
hontz	o n t͡s̻
hor	h o r
hor	o r
hori	h o ɾ i
hori	o ɾ i
horixe	h o ɾ i ʃ e
horixe	o ɾ i ʃ e
hornitu	h o r n i t u
hornitu	o r n i t u
horrek	h o r e k
horrek	o r e k
horrela	h o r e l a
horrela	o r e l a
horren	h o r e n
horren	o r e n
horri	h o r i
horri	o r i
hostaro	h o s̺ t a ɾ o
hostaro	o s̺ t a ɾ o
hots	h o t͡s̺
hots	o t͡s̺
hots	o t͡s̻
hotz	h o t͡s̻
hotz	o t͡s̻
hozkailu	h o s̻ k a i̯ l u
hozkailu	o s̺ k a ʎ u
hozkailu	o s̻ k a ʎ u
hozkatu	h o s̻ k a t u
hozkatu	o s̻ k a t u
huen	h u e n
huen	u e n
huke	h u k e
huke	u k e
hukeen	h u k e e n
hukeen	u k e e n
hungariar	h u n ɡ a ɾ i a r
hungariar	u n ɡ a ɾ i a r
hungariera	h u n ɡ a ɾ i e ɾ a
hungariera	u n ɡ a ɾ i e ɾ a
hur	h u r
hur	u r
hura	h u ɾ a
hura	u ɾ a
hurbil	h u r b i l
hurbil	u r b i l
hurrondo	h u r o n d o
hurrondo	u r o n d o
huskune	h u s̺ k u n e
huskune	u s̺ k u n e
hustu	h u s̺ t u
hustu	u s̺ t u
huts	h u t͡s̺
huts	u t͡s̺
hutsik	h u t͡s̺ i k
hutsik	u t͡s̺ i k
hutsik	u t͡s̻ i k
huñ	ɦ u ɲ
i	i
ia	i a
iaz	i a s̺
iaz	i a s̻
ibai	i b a i̯
ibaiadar	i b a i̯ a d a r
ibaibarren	i b a i̯ b a r e n
ibaiburu	i b a i̯ b u ɾ u
ibaiertz	i b a i̯ e r t͡s̻
ibairatu	i b a i̯ ɾ a t u
ibar	i b a r
ibilgailu	i b i l ɡ a i̯ l u
ibilgailu	i b i l ɡ a ʎ u
ibili	i b i l i
ibili	i b i ʎ i
idatzi	i d a t͡s̻ i
idazle	i d a s̺ l e
idazle	i d a s̻ l e
idazlea	i d a s̺ l e a
idazlea	i d a s̻ l e a
idazleak	i d a s̺ l e a k
idazleak	i d a s̻ l e a k
idazlearekin	i d a s̺ l e a ɾ e k i n
idazlearekin	i d a s̻ l e a ɾ e k i n
idazlearen	i d a s̺ l e a ɾ e n
idazlearen	i d a s̻ l e a ɾ e n
idazlearengan	i d a s̺ l e a ɾ e n ɡ a n
idazlearengan	i d a s̻ l e a ɾ e n ɡ a n
idazlearentzat	i d a s̺ l e a ɾ e n t͡s̻ a t
idazlearentzat	i d a s̻ l e a ɾ e n t͡s̻ a t
idazleari	i d a s̺ l e a ɾ i
idazleari	i d a s̻ l e a ɾ i
idazleaz	i d a s̺ l e a s̺
idazleaz	i d a s̻ l e a s̻
idazleei	i d a s̺ l e e i̯
idazleei	i d a s̻ l e e i̯
idazleek	i d a s̺ l e e k
idazleek	i d a s̻ l e e k
idazleekin	i d a s̺ l e e k i n
idazleekin	i d a s̻ l e e k i n
idazleen	i d a s̺ l e e n
idazleen	i d a s̻ l e e n
idazleengan	i d a s̺ l e e n ɡ a n
idazleengan	i d a s̻ l e e n ɡ a n
idazleentzat	i d a s̺ l e e n t͡s̻ a t
idazleentzat	i d a s̻ l e e n t͡s̻ a t
idazleez	i d a s̺ l e e s̺
idazleez	i d a s̻ l e e s̻
idazlek	i d a s̺ l e k
