ABŞ	ɑ b ʃ
hazırlamaq	h ɑ z ɯ rː ɑ m ɑ χ
hazırlaşmaq	h ɑ z ɯ r ɫ ɑ ʃ m ɑ χ
hazırlaşmaq	h ɑ z ɯ rː ɑ ʃ m ɑ χ
hazırlıq	h ɑ z ɯ r ɫ ɯ χ
hazırlıq	h ɑ z ɯ rː ɯ χ
haçan	h ɑ t͡ʃ ɑ n
hekayə	h e c ɑː j æ
hekayət	h e c ɑː j æ t
hesabına	h eː s ɑ b ɯ n ɑ
heykəl	h e j k æ l
heykəltəraş	h e j k æ l t æ r ɑ ʃ
heç	h e t͡s
heç	h e t͡ʃ
hilal	h i l ɑ l
his	h i s
hiss	h i sː
hissə	h i sː æ
hiylə	h i j l æ
homoseksuallıq	h o m o s e k s u a ɫː ɯ χ
hoppanmaq	h o pː ɑ mː ɑ χ
hoqqa	h o kː ɑ
hovuz	h o v u z
huş	h u ʃ
huşsuzluq	h u ʃ s u z d u x
huşsuzluq	h u ʃ s u z ɫ u x
hökumət	h œ c uː m æ t
hökumət	h œ c y m æ t
hörmətcil	h œ r m æ t d͡z i l
hörmətcil	h œ r m æ t d͡ʒ i l
hörmətli	h œ r m æ t l i
hörümçək	h œ r y m t͡ʃ æ j
hörümçək	h œ r y m t͡ʃ æ k
hövsələ	h œ f s æ l æ
hövsələ	h œ v s æ l æ
hövsələ	h œʷ s æ l æ
hövzə	h œ v z æ
hüceyrə	h y d͡ʒ e j r æ
hücrə	h y d͡z r æ
hücrə	h y d͡ʒ r æ
hüdud	h y d u d
hündür	h y n d y r
hündür	h y n d y r̥
hüquq	h y ɡ u ɡ
hüzn	h y z n
hüznlü	h y z n l y
hədiyyə	h æ d i j æ
hədə	h æ d æ
hədəf	h æ d æ f
həftəlik	h æ f t æ l i j
həftəlik	h æ f t æ l i k
həftəlik	h æ f t æ l i ç
həkim	h æ k i m
həlim	h æ l i m
hələ	h æ l æ m
həmdilli	h æ m d i lː i
həmin	h æ m i n
həmişə	h æ m i ʃ æ
həmişə	h æ m ʃ æ
həmişə	h æ mː i ʃ æ
həmişə	h æ mː æ ʃ æ
həmkar	h æ m kʲ ɑ r
həmrəy	h æ m r æ j
həmrəy	h æ m r æ k
həmrəy	h æ m r æ ç
həmrəylik	h æ m r æ j l i j
həmrəylik	h æ m r æ j l i k
həmsöhbət	h æ m s œ h b æ t
həmsöhbət	h æ m s œ h b̥ æ t
həmsöhbət	h æ m s œ j b æ t
həmsöhbət	h æ m s œː b æ t
həmyaş	h æ m j ɑ ʃ
həndəsə	h æ n d æ s æ
həngamə	h æ ŋ ɟ ɑː m æ
həqarət	h æ ɡ ɑː r æ t
həqiqi	h æ ɡ iː ɡ i
hər	h æ r
hər	h æ r̥
hərarət	h æ r ɑ r æ t
hərbi	h æ r b i
hərbçi	h æ r b t͡s i
hərbçi	h æ r b t͡ʃ i
hərdən	h æ r d æ n
hərdənbir	h æ r d æ n b i r
hərəkət	h æ r æ k æ t
həsrət	h æ s r æ t
hətmən	h æ t m æ n
həyat	h æ j ɑ t
həzm	h æ z m
ibarət	i b ɑː r æ t
ibrani	i b r ɑː n i
ibri	i b r i
ibrə	i b r æ
icad	i d͡z ɑ d
icad	i d͡ʒ ɑ d
icazə	i d͡z ɑː z æ
icazə	i d͡ʒ ɑː z æ
iclas	i d͡z ɫ ɑ s
iclas	i d͡ʒ ɫ ɑ s
icma	i d͡z m ɑ
icma	i d͡ʒ m ɑ
idarə	i d ɑː r æ
idi	i d i
idmançı	i d m ɑ n t͡s ɯ
idmançı	i d m ɑ n t͡ʃ ɯ
iflas	i f ɫ ɑ s
igidlik	i ɡ i d l i j
igidlik	i ɡ i d l i k
ikiarvadlı	i k i ɑ r v ɑ d ɫ ɯ
ikiarvadlılıq	i k i ɑ r v ɑ d ɫ ɯ l ɯ χ
ikinci	i c i n d͡ʒ i
ilbiz	i l b i z
ildırım	i ɫ d ɯ r ɯ m
ildırım	ɯ ɫ d ɯ ɾ ɯ m
ilk	i l k
ilkin	i l k i n
ilkin	i l t͡ʃ i n
ilıq	i ɫ ɯ χ
ilə	i l æ
imarət	i m ɑː r æ t
imkan	i m kʲ ɑ n
imkan	i m t͡ʃ ɑ n
imla	i m ɫ ɑ
inad	i n ɑ d
inadkar	i n ɑ d c ɑ r
inadkarlıq	i n ɑ d c ɑ r ɫ ɯ χ
inadkarlıq	i n ɑ d c ɑ rː ɯ χ
inanc	i n ɑ n d͡z
inanc	i n ɑ n d͡ʒ
inanmaq	i n ɑ mː ɑ χ
inanılmaz	i n ɑ n ɯ ɫ m ɑ z
inci	i n d͡z i
inci	i n d͡ʒ i
incimək	i n d͡z i m æ t͡ʃ
incimək	i n d͡ʒ i m æ j
incimək	i n d͡ʒ i m æ k
incitmək	i n d͡z i t m æ t͡ʃ
incitmək	i n d͡ʒ i t m æ j
incitmək	i n d͡ʒ i t m æ k
incə	i n d͡z æ
incə	i n d͡ʒ æ
indi	i n d i
ingilis	i ŋ ɡ i l i s
inilti	i n i l t i
insan	i n s ɑ n
intibah	i n t i b ɑ h
intihar	i n t i h ɑ r
intiqam	i n t i ɡ ɑ m
intişar	i n t i ʃ ɑ r
inzibat	i n z i b ɑ t
inşaatçı	i n ʃ ɑ ɑ t t͡sː ɯ
inşaatçı	i n ʃ ɑ ɑ t͡ʃː ɯ
ip	i pʲ
ipək	i p æ j
ipək	i p æ k
ipəkqurdu	i p æ c ɡ u r d u
iqlim	i ɡ l i m
iranşünas	i ɾ a n ʃ y n ɑ s
irgənmək	i r d͡ʒ æ n m æ t͡ʃ
irgənmək	i r ɟ æ mː æ c
irgənmək	i r ɟ æ n m æ c
iri	i r i
irin	i r i n
irlandiyalı	i r ɫ ɑ n d i j ɑ l ɯ
irmaq	i r m ɑ χ
irəli	i r æ l i
ishal	i s h ɑ ɫ
islandiyalı	i s ɫ ɑ n d i j ɑ l ɯ
istedadlı	i s t e d ɑ d ɫ ɯ
istedadsız	i s t e d ɑ d s ɯ z
istehlak	i s t e h ɫ ɑ kʲ
istehsal	i s t e h s ɑ ɫ
istehsalçı	i s t e h s ɑ ɫ t͡s ɯ
istehsalçı	i s t e h s ɑ ɫ t͡ʃ ɯ
isti	i s t i
isti	i sː i
istifadə	i s t i f ɑː d æ
istilik	i s t i l i k
istilik	i s t i l i t͡ʃ
istilik	i s t i l i ç
istilikölçən	i s t i l i j œ l t͡ʃ æ n
istilikölçən	i s t i l i k œ l t͡ʃ æ n
istilikölçən	i s t i l i t͡ʃ œ l t͡s æ n
istiot	i s t i o t
istiqamət	i s t i ɡ ɑː m æ t
istiqbal	i s t i ɡ b ɑ ɫ
istiqbal	i s t i ɣ b ɑ ɫ
istiqlal	i s t i ɡ ɫ ɑ ɫ
istiqlaliyyət	i s t i ɡ ɫ ɑː l i j æ t
istiqraz	i s t i ɡ r ɑ z
istirahət	i s t i r ɑː h æ t
istismar	i s t i s m ɑ r
istisna	i s t i s n ɑ
istəmək	i s t æ m e j
istəmək	i s t æ m æ j
istəmək	i s t æ m æ k
istəmək	i s t æ m ɑ χ
isveçli	i s v e t͡s l i
isveçli	i s v e t͡ʃ l i
isveçrəli	i s v e t͡s r æ l i
isveçrəli	i s v e t͡ʃ r æ l i
itaət	i t ɑ æ t
itaətsizlik	i t ɑ æ t s i z l i k
itburnu	i t b u r n u
itirmək	i t i r m e j
itirmək	i t i r m æ c
itirmək	i t i r m æ j
itirmək	i t i r m ɑ χ
itkin	i n k i n
itmək	i t m æ j
itmək	i t m æ k
itələmək	i t æ l æ m æ j
itələmək	i t æ l æ m æ k
ivrit	i v r i t
ixtilaf	i x t i ɫ ɑ f
ixtira	i x t i r ɑ
ixtiraçı	i x t i r ɑː t͡s ɯ
ixtiraçı	i x t i r ɑː t͡ʃ ɯ
ixtisar	i χ t i s ɑ r
iydə	i j d æ
iyirmi	i j i r m i
iyirmi	i r m ɪ
iyirmi	i ɡ i r m i
iyirmi	iː m ɪ
iyirminci	i j i ɾ m i n d͡ʒ i
iynə	i j n æ
izin	i z i n
izləmək	i z l æ m e j
izləmək	i z l æ m æ j
izləmək	i z l æ m æ k
izləmək	i z l æ m ɑ χ
izzət	i zː æ t
içində	i t͡s i n d æ
içində	i t͡ʃ i n d æ
içizdirmək	i t͡s i z d i r m æ k
içizdirmək	i t͡ʃ i z d i r m æ j
içizdirmək	i t͡ʃ i z d i r m æ k
içkili	i t͡s t͡ʃ i l i
içkili	i t͡ʃ k i l i
içmək	i t͡ʃ m æ j
içmək	i t͡ʃ m æ k
içmək	i ʃ m ɑ χ
içəri	i t͡s æ r i
içəri	i t͡ʃ æ r i
işlək	i ʃ d æ k
işlək	i ʃ l æ k
işləmək	i ʃ l æ m æ k
işləmək	i ʃ l æ m ɑ χ
işləmək	i ʃ t æ m e j
işləmək	i ʃ t æ m æ j
iştaha	i ʃ d ɑ h ɑ
iştaha	i ʃ t ɑ h ɑ
iştibah	i ʃ t i b ɑ h
iştirak	i ʃ t i r ɑ k
işverən	i ʃ v e r æ n
işçi	i ʃ t͡s i
işçi	i ʃ t͡ʃ i
işıq	i ʃ ɯ χ
işıq	ɯ ʃ ɯ χ
işıqlandırmaq	i ʃ ɯ ɣ ɫ ɑ n d ɯ r m ɑ x
işəmək	i ʃ æ m æ j
işəmək	i ʃ æ m æ k
janr	ʒ ɑ n r
jasmin	ʒ ɑ s m i n
jurnal	ʒ u r n ɑ ɫ
jurnalist	ʒ u r n a l i s t
kabab	c ɑ b ɑ b
kaftar	c ɑ f t ɑ r
kaftar	t͡ʃ ɑ f t ɑ r
kal	c ɑ ɫ
kalan	c ɑ ɫ ɑ n
kamança	t͡ʃ ɑ m ɑ n t͡s ɑ
kanalizasiya	k ɑ n ɑ l i z ɑ s i j ɑ
kanalizasiya	ɡ ɑ n ɑ l i z ɑ s i j ɑ
karp	k ɑ r p
karvansara	c ɑ r v ɑ n s ɑ r ɑ
karxana	kʲ ɑ r χ ɑ n ɑ
kasa	c a s a
kasa	t͡ʃ ɑ s ɑ
katib	c ɑː t i b
katib	c ɑː t ɯ b
katib	t͡ʃ aː t i b
katib	t͡ʃ aː t ɯ b
katibə	c ɑː t i b æ
katibə	t͡ʃ aː t i b æ
kağız	c ɑ ɣ ɯ z
kağız	t͡ʃ ɑ ɣ ɯ z
kaş	c ɑ ʃ
kaş	t͡ʃ ɑ ʃ
keçi	c e t͡ʃ i
keçi	d͡ʒ e t͡s i
keçi	t͡ʃ e t͡s i
keçinmək	c e t͡ʃ i n m æ c
keçinmək	c e t͡ʃ i n m æ j
keçinmək	t͡ʃ e t͡s i n m æ t͡ʃ
keçmək	c e t͡ʃ m æ c
keçmək	ɟ e ʃ m ɑ x
keçəl	k e t͡ʃ æ l
keçəl	t͡ʃ e t͡s æ l
keçəllənmək	k e t͡ʃ æ lː æ n m æ j
keçəllənmək	k e t͡ʃ æ lː æ n m æ k
keçəllənmək	t͡ʃ e t͡s æ lː æ n m æ t͡ʃ
keçən	c e t͡ʃ æ n
keçən	t͡ʃ e t͡s æ n
ki	c i
ki	c i n
kifirləşmək	c i f i r l æ ʃ m æ j
kifirləşmək	c i f i rː æ ʃ m æ j
kilsə	c i l s æ
kim	c i m
kimdənsə	c i m d æ n s æ
kimdənsə	c i m n æ n s æ
kimdəsə	c i m d æ s æ
kimi	c i m i
kimi	t͡ʃ i m i
kiminləsə	c i m i n l æ s æ
kiminsə	c i m i n s æ
kimisə	c i m i s æ
kimlik	c i m l i k
kimlik	t͡ʃ i m l i t͡ʃ
kimsə	c i m s æ
kimsədə	c i m s æ d æ
kimsədən	c i m s æ d æ n
kimsəni	c i m s æ n i
kimsənin	c i m s æ n i n
kimsəyə	c i m s æ j æ
kimya	c i m j a
kimya	t͡ʃ i m j a
kimyaçı	c i m j a t͡ʃ ɯ
kimyaçı	t͡ʃ i m j a t͡s ɯ
kimyəvi	c i m j æː v i
kimyəvi	t͡ʃ i m j æː v i
kiməsə	c i m æ s æ
kinayə	c i n ɑː j æ
kiriş	c i r i ʃ
kirli	c i r l i
kirli	c i rː i
kirpi	c i r p i
kirpik	c i r p i c
kirəc	c i r æ d͡ʒ
kirəc	t͡ʃ i r æ d͡z
kitabxana	c i t ɑ b χ ɑ n ɑ
kitabxanaçı	c i t ɑ b x ɑ n ɑ t͡ʃ ɯ
kitabxanaçı	t͡ʃ i t ɑ b x ɑ n ɑ t͡s ɯ
kitayski	c i t ɑ j s c i
kitayski	t͡ʃ i t ɑ j s c i
kiçik	c i t͡ʃ i c
kiçik	c i t͡ʃ i j
kiçik	c i t͡ʃ i ç
kiçik	c i t͡ʃ i ʝ ɟ
kiçik	c ç i t͡s i j
kiçik	t͡s i t͡s i h
kiçilmək	c i t͡ʃ i l m e j
kiçilmək	c i t͡ʃ i l m æ c
kiçilmək	c i t͡ʃ i l m æ j
kiçilmək	c i t͡ʃ i l m æ t͡ʃ
kiçilmək	c ç i t͡s i l m æ j
kiçilmək	t͡s i t͡s i l m æ h
kişibaz	k i ʃ i b ɑ z
kişibazlıq	k i ʃ i b ɑ z ɫ ɯ χ
kişmiş	c i ʃ m i ʃ
kişmiş	t͡ʃ i ʃ m i ʃ
kobud	kʲ o b u d
kobud	t͡ʃ o b u d
kobud	ɡʲ o b u d
kodlaşdırma	k o d ɫ ɑ ʃ d ɯ r m ɑ
kol	c o ɫ
kommunizm	k o m u n i z m
kommunizm	k ɑ m u n i z m
kor	c o r
kor	c o r̥
kor	t͡ʃ o r̥
korona	k ɑ ɾ oː n ɑ
koğuş	c o ɣ u ʃ
kravat	k r ɑ v ɑ t
kulyok	k u ɫ j ɔ k
kulyok	k ɫ ɔ k
kuxna	k u x n a
köhnə	c œ h n æ
köhnə	c œ j n æ
köhnə	t͡ʃ œ h n æ
kök	c œ c
köks	c œ c s
köks	t͡ʃ œ t͡ʃ s
kökəlmək	k œ k æ l m æ j
kökəlmək	k œ k æ l m æ k
kölgə	c œ l ɟ æ
kömür	k œ m y r
kömür	t͡ʃ œ m y r
kömək	c œ m e j
kömək	c œ m æ c
kömək	c œ m æ j
kömək	c œ m æ t͡ʃ
kömək	c œ m æ ç
könül	c œ n y l
könül	c œ ŋ y l
könül	d͡ʒ œː l
köpük	c œ p y c
köpək	c œ p æ c
köpək	c œ p æ ç
köpək	k œ p æ j
körpü	c œ r p y
körpə	k œ r p æ
körpə	t͡ʃ œ r p æ
kösöv	k œ s œ v
kösöv	t͡ʃ œ s œ v
köynək	c œ j n æ c
köynək	t͡ʃ œ j n æ t͡ʃ
köçkün	c œ t͡ʃ c y n
köçkün	t͡ʃ œ t͡s t͡ʃ y n
köçəri	c œ t͡ʃ æ r i
köçəri	t͡ʃ œ t s æ r i
köşək	c œ ʃ æ c
köşək	c œ ʃ æ j
köşək	t͡ʃ œ ʃ æ t͡ʃ
küftə	c y f t æ
küftə	t͡ʃ y f t æ
kül	k y l
küll	c y l
külək	c y l æ c
külək	c y l æ j
külək	c y l æ ç
külək	t͡ʃ y l æ t͡ʃ
künc	kʰ y n d͡ʒ
künc	t͡ʃ y n d͡z
kündür	c y n d y r
kündür	t͡ʃ y n d y r
kürəcik	c y r æ d͡ʒ i k
kürəcik	t͡ʃ y r æ d͡z i t͡ʃ
kürəkçi	k y r æ k t͡ʃ i
kürəkçi	t͡ʃ y r æ t͡ʃ t͡s i
kürəkən	k y r æ k æ n
kürəkən	t͡ʃ y r æ t͡ʃ æ n
küsmək	k y s m æ j
küsmək	k y s m æ k
küçə	c y t͡ʃ æ
küçə	t͡s y t͡s æ
küçə	t͡ʃ y t͡s æ
kəfgir	c æ f ɟ i r
kəfgir	t͡ʃ æ f d͡ʒ i r
kəfən	c æ f æ n
kəfən	t͡ʃ æ f æ n
kəhanət	kʲ æ h ɑː n æ t
kəklik	c æ c l i c
kəklikotu	c æ c l i c o t u
kəklikotu	c æ c l i j o t u
kəlbətin	c æ l b æ t i n
kəlbətin	t͡ʃ æ l b æ t i n
kəllə	c æ lː æ
kəllə	t͡ʃ æ lː æ
kəlmə	c æ l m æ
kəlmə	t͡ʃ æ l m æ
kəlçə	c æ l t͡ʃ æ
kəlçə	t͡ʃ æ l t͡s æ
kələk	c æ l æ c
kələk	t͡ʃ æ l æ t͡ʃ
kənar	c æ n ɑ r
kənar	t͡ʃ æ n ɑ r
kənd	c æ n d
kənd	c æ t
kənd	t͡ʃ̟ æ t
kəpək	k æ p æ j
kəpək	k æ p æ k
kəpək	t͡ʃ æ p æ t͡ʃ
kəpənək	c æ p æ n æ c
kərki	c æ r c i
kərki	t͡ʃ æ r t͡ʃ i
kərpic	c æ r p i d͡ʒ̥
kərt	c æ r t
kərt	t͡ʃ æ r t
kərtənkələ	c æ r t æ n c æ l æ
kərə	k æ r æ
kəs	c æ s
kəsdirmək	c æ s d̥ i r m æ k
kəsdirmək	t͡ʃ æ s d̥ i r m ɑ χ
kəsik	c æ s i c
kəsik	t͡ʃ æ s i t͡ʃ
kəsilmək	c æ s i l m æ c
kəsilmək	t͡ʃ æ s i l m ɑ χ
kəsmək	c æ s m æ k
kəsmək	t͡ʃ æ s m ɑ χ
kəsək	c æ s æ c
kəsək	t͡ʃ æ s æ c
kəsəl	c æ s æ l
kəsəl	t͡ʃ æ s æ l
labüd	ɫ ɑː b y d
lahiyə	ɫ ɑː h i j æ
lakin	l aː c i n
lakin	l aː t͡ʃ i n
lampoçka	ɫ ɑ m b ɯ t͡s k ɑ
lampoçka	ɫ ɑ m p ɯ t͡s k ɑ
lampoçka	ɫ ɑ m p ɯ t͡s kʲ æ
lampoçka	ɫ ɑ m p ɯ t͡ʃ k ɑ
lampoçka	ɫ ɑ m p ɯ t͡ʃʲ k æ
laqeyd	ɫ ɑː ɡ e j d
layihə	ɫ ɑː j i h æ
layiq	l ɑː j i k
layiq	l ɑː j i ɡ
lazım	ɫ ɑ z ɯ m
lazım	ɫ ɑː z ɯ m
lazımsız	ɫ ɑ z ɯ m s ɯ z
laçın	ɫ ɑ t͡s ɯ n
laçın	ɫ ɑ t͡ʃ ɯ n
lehinə	l æ h i n æ
leysan	l e j s ɑ n
liman	l i m ɑ n
loru	l o r u
lök	l œ c
lök	l œ t͡ʃ
lövbər	l œ v b æ r
lüt	l y t
lütfən	l y t f æ n
lüğət	l y ɣ æ t
lüğətçi	l y ɣ æ t͡sː i
lüğətçi	l y ɣ æ t͡ʃː i
ləhcə	l æ h d͡ʒ æ
ləhcəşünas	l æ h d͡ʒ æ ʃ y n ɑ s
ləhcəşünaslıq	l æ h d͡ʒ æ ʃ y n ɑ s ɫ ɯ χ
lətifə	l æ t i f æ
ləzgi	l æ z ɟ i
maarif	m ɑː r i f
maarifləndirmək	m ɑː r i f l æ n d i r m æ j
maarifləndirmək	m ɑː r i f l æ n d i r m æ k
maariflənmək	m ɑː r i f l æ n m æ j
maariflənmək	m ɑː r i f l æ n m æ k
maarifçi	m ɑː r i f t͡s i
maarifçi	m ɑː r i f t͡ʃ i
maarifçilik	m ɑː r i f t͡s i l i t͡ʃ
maarifçilik	m ɑː r i f t͡s i l i ç
maarifçilik	m ɑː r i f t͡ʃ i l i j
maarifçilik	m ɑː r i f t͡ʃ i l i k
macar	m ɑ d͡z ɑ r
macar	m ɑ d͡ʒ ɑ r
macəra	m ɑː d͡z æ r ɑ
macəra	m ɑː d͡ʒ æ r ɑ
maddi	m ɑː dː i
mahiyyət	m ɑː h i j æ t
mahiyyətcə	m ɑ h i j æ t d͡ʒ æ
mahnı	m ɑ h n ɯ
mal	m ɑ ɫ
manat	m ɑ n ɑ t
mane	m ɑː n e
maneə	m ɑː n eˀ æ
maraq	m ɑ r ɑ x
maraq	m ɑ r ɑ ɣ
maraqlı	m ɑ r ɑ ɣ ɫ ɯ
masa	m ɑ s ɑ
matç	m ɑ t t͡ʃ
mayalandırmaq	m ɑ j ɑ ɫ ɑ n d ɯ r m ɑ x
mazut	m ɑ z u t
mehrab	m ɛ h ɾ ɑ b
mem	m e m
mem	m ɛ m
memar	m e m ɑ r
memar	m eː m ɑ r
mesaj	m e s ɑ ʒ
meydan	m e j d ɑ n
meydança	m e j d ɑ n t͡s ɑ
meydança	m e j d ɑ n t͡ʃ ɑ
meyit	m e j i t
meyitxana	m e j i t χ ɑ n ɑ
meynə	m e j n æ
meyvə	m ɛ j v æ
milad	m i ɫ ɑ d
millət	m i lː æ t
milçək	m i l t͡s æ t͡ʃ
milçək	m i l t͡ʃ æ c
min	m i n
minbər	m i n b æ r
minmək	m i mː æ k
minmək	m i n m e j
minmək	m i n m æ k
minmək	m i n m ɑ χ
minnətdar	m i nː æ t d ɑ r
mirzə	m i r z æ
misilsiz	m i s i l s i z
mismar	m i s m ɑ ɾ
mişar	m i ʃ ɑ r
mişar	m ɯ ʃ ɑ r
molekul	m o l e k u ɫ
molla	m o lː a
morfoloji	m o r f o l o ʒ ɯ
morfoloji	m ɑ r f ɑ l o ʒ i
morfoloji	m ɑ r f ɑ l o ʒ ɯ
muncuq	m u n d͡z u x
muncuq	m u n d͡ʒ u x
mundar	m u n d ɑ r
mundar	m ɯ n d ɑ r
murdar	m u r d ɑ r
musiqi	m uː s i ɡ i
musiqiçi	m uˑ s i ɡ i t͡s i
musiqiçi	m uˑ s i ɡ i t͡ʃ i
muxtar	m u χ t ɑ r
muzdur	m u z d u r
muğayat	m u ɣ ɑ j ɑ t
muğayat	m u ɣ ɑː j e t
muştuluq	m u ʃ t u l u χ
muştuluqçu	m u ʃ t u ɫ u χ t͡s u
muştuluqçu	m u ʃ t u ɫ u χ t͡ʃ u
möcüzə	m œː d͡ʒ y z æ
möhtərəm	m œ h t æ r æ m
mötəbər	m œː t æ b æ r
mövcudluq	m œ v d͡z u d ɫ u χ
mövcudluq	m œ v d͡ʒ u d ɫ u χ
mövhumat	m œ v h u m ɑ t
müavinət	m y ɑː v i n æ t
mübarizə	m u b ɑː r i z æ
mübarizə	m y b ɑː r i z æ
müddət	m y dː æ t
müflis	m y f l i s
mühacir	m y h ɑː d͡z i r
mühacir	m y h ɑː d͡ʒ i r
mühacirət	m y h ɑː d͡z i r æ t
mühacirət	m y h ɑː d͡ʒ i r æ t
müharibə	m y h ɑː r i b æ
mühazirəçi	m y h ɑː z i r æ t͡s i
mühazirəçi	m y h ɑː z i r æ t͡ʃ i
mühüm	m y h y m
mühəndis	m y h æ n d i s
mühərrik	m y h æ rː i k
müjdə	m y d͡ʒ d æ
müjdə	m y ʒ d æ
müjdəçi	m y ʒ d æ t͡s i
müjdəçi	m y ʒ d æ t͡ʃ i
mükafat	m y kʲ ɑː f ɑ t
mülayim	m y ɫ ɑː j i m
münaqişə	m y n ɑː ɡ i ʃ æ
münaqişə	m y n ɑː ɢ i ʃ æ
münbit	m y n b i t
müntəxəbat	m y n t æ x æ b ɑ t
münşi	m y n ʃ i
müqavimət	m y ɡ ɑː v i m æ t
müqayisə	m y ɡ ɑː j i s æ
müqəddəs	m y ɡ æ dː æ s
müqəssir	m y ɡ æ sː i r
müqəssir	m y ɡ æ sː i r̥
mürəkkəb	m y r æ kː æ b
mürəkkəb	m y r æ t͡ʃː æ b
müsabiqə	m y s ɑː b i ɡ æ
müsahibə	m y s ɑː h i b æ
müstəqil	m y s t æ ɡ i l
müstəqillik	m y s t æ ɡ i l l i j
müstəqillik	m y s t æ ɡ i l l i k
müstəqillik	m y s t æ ɡ i l l i ç
müstəsna	m y s t æ s n a
mütləq	m y t l æ k
mütləq	m y t l æ ɡ
müttəfiq	m y tː æ f i ɡ
mütəəllim	m y t æː lː i m
müvəffəqiyyət	m y v æ f æ ɡ i j æ t
müvəffəqiyyətli	m y v æ fː æ ɡ i j æ t l i
müxalifət	m u x ɑ l i f æ t
müxalifət	m y x ɑː l i f æ t
müxbir	m y x b i r
müxtəlif	m y x t æ l i f
müzakirə	m y z ɑː c i r æ
müğənni	m y ɣ æ nː i
müşahidə	m y ʃ ɑː h i d æ
müştəri	m y ʃ t æ r i
müşəmbə	m y ʃ æ m b æ
müəllif	m y æ lː i f
müəllif	mᶣ æ lː i f
müəllim	m y æ lː i m
müəllimlik	m y æ lː i m l i c
müəllimə	m y æ lː i m æ
müəzzəm	m y æ zː æ m
mıx	m ɯ χ
məbəd	m æː b æ d
məcazi	m æ d͡z ɑː z i
məcazi	m æ d͡ʒ ɑː z i
məclis	m æ d͡z l i s
məclis	m æ d͡ʒ l i s
mədrəsə	m æ d r æ s æ
mədə	m æː d æ
mədəni	m æ d æ n i
mədəniyyət	m æ d æ n i j æ t
məfhum	m æ f h u m
məhkəmə	m æ h k æ m æ
məhsul	m æ h s u ɫ
məhz	m æ h s
məhz	m æ h z
məhşur	m æ h ʃ u r
məhşər	m æ h ʃ æ r
məhəbbət	m æ h æ bː æ t
məhəlli	m æ h æ lː i
məktub	m æ c t u b
məktub	m æ h t u b
məktəb	m æ k t æ b
məktəb	m æ ç t æ b
məlum	m æː ɫ u m
mələfə	m æ l æ f æ
mələz	m æ l æ z
məmur	m æ m u r
məmur	m æː m u r
məna	m æː n ɑ
mənasız	m æː n ɑ s ɯ z
mənfəət	m æ n f æ æ t
mənimsəmə	m æ n i m s æ m æ
mənimsəmək	m æ n i m s æ m æ j
mənimsəmək	m æ n i m s æ m æ k
mənzərə	m æ n z æ ɾ æ
məqsəd	m æ k s æ d
məqsəd	m æ ɡ s æ d
məqsədəuyğun	m æ k s æ d æ u j ɣ u n
məqsədəuyğun	m æ ɡ s æ d æ u j ɣ u n
məqsədəuyğunluq	m æ k s æ d æ u j ɣ u n ɫ u χ
məqsədəuyğunluq	m æ ɡ s æ d æ u j ɣ u n ɫ u χ
mərasim	m æ r ɑː s i m
mərhələ	m æ r h æ l æ
mərifət	m æ r i f æ t
mərkəzi	m æ r k æ z i
məruzə	m æ r uː z æ
məsafə	m æ s ɑː f æ
məsləhət	m æ s l æ h æ t
məsul	m æː s u ɫ
məsuliyyət	m æˑ s u l i j æ t
məsələn	m æ s æ l æ n
mətbəx	m æ t b æ χ t
mətbəə	m æ t b æ æ
mətbəəçi	m æ t b æ æ t͡s i
mətbəəçi	m æ t b æ æ t͡ʃ i
məxfi	m æ x f i
məxəz	m æ χ æ z
məyus	m æː j u s
məziyyət	m æ z i j æ t
məzlum	m æ z ɫ u m
məzuniyyət	m æ z u n i j æ t
məğlub	m æ ɣ ɫ u b
məğlubiyyət	m æ ɣ ɫ u b i j æ t
məşrutə	m æ ʃ r uː t æ
nadir	n ɑː d i r
nahiyə	n ɑː h i j æ
nakam	n ɑː c ɑ m
nal	n ɑ ɫ
namaz	n ɑ m ɑ z
namə	n ɑː m æ
naməlum	n ɑː m æ l u m
nankorluq	n ɑ n kʲ o r ɫ u χ
nanə	n ɑː n æ
narahat	n ɑ r ɑ h ɑ t
narazı	n ɑ r ɑː z ɯ
narkotacir	n ɑ r k o t ɑː d͡z i r
narkotacir	n ɑ r k o t ɑː d͡ʒ i r
narkoticarət	n ɑ r k o t i d͡z ɑː r æ t
narkoticarət	n ɑ r k o t i d͡ʒ ɑː r æ t
narın	n ɑː r ɯ n
natamamlıq	n ɑ t ɑ m ɑ m ɫ ɯ χ
natamamlıq	n ɑ t ɑ m ɑ n ɫ ɯ χ
natəmiz	n ɑː t æ m i z
nazik	n ɑː z i c
nazir	n ɑː z i r
nazir	n ɑː z i r̥
nazirlik	n ɑː z i r l i c
nazirlik	n ɑː z i r l i j
nağıl	n ɑ ɣ ɯ ɫ
naşir	n ɑː ʃ i r
necə	n e d͡z æ
necə	n e d͡ʒ æ
neft	n e f t
neft	n æ f t
neftçi	n e f t t͡s i
neftçi	n e f t t͡ʃ i
nemət	n e j m æ t
nemət	n eː m æ t
neyləmək	n e j l æ m æ j
neyləmək	n e j l æ m æ k
neynəmək	n e j n æ m æ j
neynəmək	n e j n æ m æ k
neyçün	n e j t͡ʃ y n
