अ	ɐ
नदियों	n ɐ d̪ i j õː
नदी	n ɐ d̪ iː
ननंदा	n ɐ n ɐ̃ n̪ d̪ äː
ननद	n ɐ n ɐ d̪
ननदें	n ɐ n ɐ d̪ ẽː
ननदो	n ɐ n ɐ d̪ oː
ननदों	n ɐ n ɐ d̪ õː
ननिहाल	n ɐ n ɪ ɦ äː l
नन्हा	n ɐ̃ n ɦ äː
नपाई	n ɐ p äː iː
नपुंसक	n ɐ p ʊ̃ n s ɐ k
नपुंसकता	n ɐ p ʊ̃ n s ɐ k t̪ äː
नपुंसकलिंग	n ɐ p ʊ̃ n s ɐ k l ɪ̃ ŋ ɡ
नपुंसाणु	n ɐ p ʊ̃ n s äː ɳ uː
नफरत	n ɐ pʰ ɾ ɐ t̪
नफ़रत	n ɐ f ɾ ɐ t̪
नफ़रत	n ɐ pʰ ɾ ɐ t̪
नबी	n ɐ b iː
नब्ज	n ɐ b d͡ʒ
नब्ज	n ɐ b z
नब्ज़	n ɐ b d͡ʒ
नब्ज़	n ɐ b z
नब्बे	n ɐ b̚ b eː
नब्बेवाँ	n ɐ b̚ b eː ʋ ä̃ː
नब्बेवीं	n ɐ b̚ b eː ʋ ĩː
नब्बेवें	n ɐ b̚ b eː ʋ ẽː
नभ	n ɐ bʱ
नभचर	n ɐ bʱ t͡ʃ ɐ ɾ
नम	n ɐ̃ m
नमक	n ɐ m ɐ k
नमन	n ɐ m ɐ̃ n
नमश्कार	n ɐ m ɐ ʃ k äː ɾ
नमस्कार	n ɐ m ɐ s k äː ɾ
नमस्कार	n ɐ m ɐ ʃ k äː ɾ
नमस्ते	n ɐ m ɐ s t̪ eː
नमाज़	n ɐ m äː d͡ʒ
नमाज़	n ɐ m äː z
नमाज़गाह	n ɐ m äː d͡ʒ ɡ äːʱ
नमाज़गाह	n ɐ m äː z ɡ äːʱ
नमी	n ɐ m iː
नमूना	n ɐ m uː n äː
नमो	n ɐ m oː
नम्र	n ɐ̃ m ɾᵊ
नम्रता	n ɐ̃ m ɾ ɐ t̪ äː
नयन	n ɐ j ɐ̃ n
नयनो	n ɐ j n oː
नयनों	n ɐ j n õː
नया	n ɐ j äː
नयापन	n ɐ j äː p ɐ̃ n
नयी	n ɐ j iː
नर	n ɐ ɾ
नरक	n ɐ ɾ ɐ k
नरगिस	n ɐ ɾ ɡ ɪ s
नरगिसी	n ɐ ɾ ɡ ɪ s iː
नरभक्षक	n ɐ ɾ bʱ ɐ k ʃ ɐ k
नरभक्षको	n ɐ ɾ bʱ ɐ k ʃ ɐ k oː
नरभक्षकों	n ɐ ɾ bʱ ɐ k ʃ ɐ k õː
नरभक्षियो	n ɐ ɾ bʱ ɐ k ʃ i j oː
नरभक्षियों	n ɐ ɾ bʱ ɐ k ʃ i j õː
नरभक्षी	n ɐ ɾ bʱ ɐ k ʃ iː
नरम	n ɐ ɾ ɐ̃ m
नरवानर	n ɐ ɾ ʋ äː n ɐ ɾ
नरवृषभ	n ɐ ɾ ʋ ɾ ɪ ʃ ɐ bʱ
नरसंहार	n ɐ ɾ s ɐ̃ ŋ ɦ äː ɾ
नरसंहार	n ɐ ɾ s ɐ̃ ɦ äː ɾ
नरसिंह	n ɐ ɾ s ɪ̃ ŋ ɡʱ
नरसिम्हा	n ɐ ɾ s ɪ̃ m ɦ äː
नरसों	n ɐ ɾ s õː
नरेंद्र	n ɐ ɾ ẽː n̪ d̪ ɾᵊ
नरेट	n ɐ ɾ eː ʈ
नरेटी	n ɐ ɾ eː ʈ iː
नरेश	n ɐ ɾ eː ʃ
नरो	n ɐ ɾ oː
नरों	n ɐ ɾ õː
नर्तक	n ɐ ɾ t̪ ɐ k
नर्तकी	n ɐ ɾ t̪ ɐ k iː
नर्मदा	n ɐ ɾ m ɐ d̪ äː
नर्स	n ɐ ɾ s
नल	n ɐ l
नलियाँ	n ɐ l i j ä̃ː
नलियो	n ɐ l i j oː
नलियों	n ɐ l i j õː
नली	n ɐ l iː
नलो	n ɐ l oː
नलों	n ɐ l õː
नल्ला	n ɐ l l äː
नव	n ɐ ʋ
नवंबर	n ɐ ʋ ɐ̃ m b ɐ ɾ
नवकोण	n ɐ ʋ k õː ɳ
नवग्रह	n ɐ ʋ ɐ ɡ ɾ ɛʱ
नवजगत	n ɐ ʋ d͡ʒ ɐ ɡ ɐ t̪
नवजात	n ɐ ʋ d͡ʒ äː t̪
नवजीवन	n ɐ ʋ d͡ʒ iː ʋ ɐ̃ n
नवनिधि	n ɐ ʋ n ɪ d̪ʱ iː
नवनिधियाँ	n ɐ ʋ n ɪ d̪ʱ i j ä̃ː
नवनिधियो	n ɐ ʋ n ɪ d̪ʱ i j oː
नवनिधियों	n ɐ ʋ n ɪ d̪ʱ i j õː
नवनी	n ɐ ʋ n iː
नवनीत	n ɐ ʋ n iː t̪
नवरंगपुरा	n ɐ ʋ ɾ ɐ̃ ŋ ɡ p ʊ ɾ äː
नवरतन	n ɐ ʋ ɾ ɐ t̪ ɐ̃ n
नवरत्न	n ɐ ʋ ɾ ɐ t̪̚ nᵊ
नवरात्र	n ɐ ʋ ɾ äː t̪ ɾᵊ
नवरात्रि	n ɐ ʋ ɾ äː t̪ ɾ iː
नववर्ष	n ɐ ʋ ʋ ɐ ɾ ʃ
नवविवाहित	n ɐ ʋ ʋ ɪ ʋ äː ɦ ɪ t̪
नवशास्त्रीय	n ɐ ʋ ʃ äː s t̪ ɾ iː jᵊ
नवाँ	n ɐ ʋ ä̃ː
नवाचार	n ɐ ʋ äː t͡ʃ äː ɾ
नवाज़	n ɐ ʋ äː d͡ʒ
नवाज़	n ɐ ʋ äː z
नवाज़ना	n ɐ ʋ äː d͡ʒ n äː
नवाज़ना	n ɐ ʋ äː z n äː
नवाना	n ɐ ʋ äː n äː
नवाब	n ɐ ʋ äː b
नवाबशाह	n ɐ ʋ äː b ʃ äːʱ
नवासी	n ɐ ʋ äː s iː
नवासीवाँ	n ɐ ʋ äː s iː ʋ ä̃ː
नवीन	n̪ ə v i n̪
नवीन	n̪ ə v iː n̪
नवीनता	n ɐ ʋ ĩː n̪ t̪ äː
नव्वे	n ɐ ʋ ʋ eː
नव्वेवाँ	n ɐ ʋ ʋ eː ʋ ä̃ː
नशा	n ɐ ʃ äː
नशाख़ोर	n ɐ ʃ äː kʰ oː ɾ
नशाख़ोर	n ɐ ʃ äː x oː ɾ
नशाख़ोरी	n ɐ ʃ äː kʰ oː ɾ iː
नशाख़ोरी	n ɐ ʃ äː x oː ɾ iː
नशाबंदी	n ɐ ʃ äː b ɐ̃ n̪ d̪ iː
नशेड़ी	n ɐ ʃ eː ɽ iː
नशेदार	n ɐ ʃ eː d̪ äː ɾ
नश्वर	n ɐ ʃ ʋ ɐ ɾ
नष्ट	n ɐ ʂ ʈ
नस	n ɐ s
नसबंदी	n ɐ s b ɐ̃ n̪ d̪ iː
नसीब	n ɐ s iː b
नसीहत	n ɐ s iː ɦ ɐ t̪
नसैनी	n ɐ s ɛː n iː
नस्तालीक़	n ɐ s t̪ äː l iː k
नस्तालीक़	n ɐ s t̪ äː l iː q
नस्ल	n ɐ s lᵊ
नस्लभेद	n ɐ s l bʱ eː d̪
नस्लवाद	n ɐ s lᵊ ʋ äː d̪
नस्लवादियों	n ɐ s lᵊ ʋ äː d̪ i j õː
नस्लवादी	n ɐ s lᵊ ʋ äː d̪ iː
नस्लीय	n ɐ s l iː jᵊ
नहंग	n ɛ ɦ ɛ̃ ŋ ɡ
नहर	n ɛ ɦ ɛ ɾ
नहलवाना	n ɛ ɦ ɛ l ʋ äː n äː
नहला	n ɛʱ l äː
नहलाना	n ɛʱ l äː n äː
नहले	n ɛʱ l eː
नहलो	n ɛʱ l oː
नहलों	n ɛʱ l õː
नहान	n ɐ ɦ ä̃ː n
नहाना	n ɐ ɦ äː n äː
नहार	n ɐ ɦ äː ɾ
नहारी	n ɐ ɦ äː ɾ iː
नहि	n ɐ ɦ iː
नहीं	n ɐ ɦ ĩː
नहुष	n ɔ ɦ ɔ ʃ
ना	n äː
नाँगल	n ä̃ː ŋ ɡ ɐ l
नाँद	n ä̃ː d̪
नाँव	n ä̃ː ʋ
नांद	n ä̃ː n̪ d̪
नाइजीरिया	n äː ɪ d͡ʒ iː ɾ i j äː
नाइनसाफ़ी	n äː ɪ̃ n s äː f iː
नाइनसाफ़ी	n äː ɪ̃ n s äː pʰ iː
नाई	n äː iː
नाईं	n äː ĩː
नाउम्मीद	n äː ʊ̃ m m iː d̪
नाउम्मीदी	n äː ʊ̃ m m iː d̪ iː
नाउरु	n äː ʊ ɾ uː
नाक	n äː k
नाका	n äː k äː
नाकाम	n äː k ä̃ː m
नाकामयाब	n äː k ä̃ː m j äː b
नाकामयाबी	n äː k ä̃ː m j äː b iː
नाख़ुदा	n äː kʰ ʊ d̪ äː
नाख़ुदा	n äː x ʊ d̪ äː
नाख़ुन	n äː kʰ ʊ̃ n
नाख़ुन	n äː x ʊ̃ n
नाख़ुश	n äː kʰ ʊ ʃ
नाख़ुश	n äː x ʊ ʃ
नाख़ुशी	n äː kʰ ʊ ʃ iː
नाख़ुशी	n äː x ʊ ʃ iː
नाख़ून	n äː kʰ ũː n
नाख़ून	n äː kʰ ʊ̃ n
नाख़ून	n äː x ũː n
नाख़ून	n äː x ʊ̃ n
नाखुन	n äː kʰ ʊ̃ n
नाखुन	n äː x ʊ̃ n
नाखून	n äː kʰ ũː n
नाखून	n äː x ũː n
नाग	n äː ɡ
नागपुर	n äː ɡ p ʊ ɾ
नागफनी	n äː ɡ ɐ pʰ n iː
नागरिक	n äː ɡ ɐ ɾ ɪ k
नागरिक	n äː ɡ ɾ ɪ k
नागरिकता	n äː ɡ ɾ ɪ k t̪ äː
नागरिको	n äː ɡ ɐ ɾ ɪ k oː
नागरिको	n äː ɡ ɾ ɪ k oː
नागरिकों	n äː ɡ ɐ ɾ ɪ k õː
नागरिकों	n äː ɡ ɾ ɪ k õː
नागल	n äː ɡ ɐ l
नागवार	n äː ɡ ɐ ʋ äː ɾ
नागशक्ति	n äː ɡ ʃ ɐ k t̪ iː
नागानो	n äː ɡ äː n oː
नागालैंड	n äː ɡ äː l ɛ̃ː ɳ ɖ
नागालैण्ड	n äː ɡ äː l ɛ̃ː ɳ ɖ
नागासाकी	n äː ɡ äː s äː k iː
नागिन	n äː ɡ ɪ̃ n
नागिनी	n äː ɡ ɪ n iː
नागिनें	n äː ɡ ɪ n ẽː
नागिनो	n äː ɡ ɪ n oː
नागिनों	n äː ɡ ɪ n õː
नागो	n äː ɡ oː
नागों	n äː ɡ õː
नागोया	n äː ɡ oː j äː
नागौर	n äː ɡ ɔː ɾ
नाच	n äː t͡ʃ
नाचना	n äː t͡ʃ n äː
नाचीज़	n äː t͡ʃ iː d͡ʒ
नाचीज़	n äː t͡ʃ iː z
नाज़	n äː d͡ʒ
नाज़	n äː z
नाज़िल	n äː d͡ʒ ɪ l
नाज़िल	n äː z ɪ l
नाज़ीवाद	n äː d͡ʒ iː ʋ äː d̪
नाज़ीवाद	n äː z iː ʋ äː d̪
नाज़ुक	n äː d͡ʒ ʊ k
नाज़ुक	n äː z ʊ k
नाज़ुकी	n äː d͡ʒ ʊ k iː
नाज़ुकी	n äː z ʊ k iː
नाजायज़	n äː d͡ʒ äː j ɐ d͡ʒ
नाजायज़	n äː d͡ʒ äː j ɐ z
नाजीवाद	n äː d͡ʒ iː ʋ äː d̪
नाटक	n äː ʈ ɐ k
नाटककार	n äː ʈ ɐ k̚ k äː ɾ
नाटा	n äː ʈ äː
नाट्यशाला	n äː ʈ j ɐ ʃ äː l äː
नाट्यशालाएँ	n äː ʈ j ɐ ʃ äː l äː ẽː
नाट्यशालाओ	n äː ʈ j ɐ ʃ äː l äː oː
नाट्यशालाओं	n äː ʈ j ɐ ʃ äː l äː õː
नाठ	n äː ʈʰ
नाड़ी	n äː ɽ iː
नाडु	n äː ɖ uː
नाता	n äː t̪ äː
नातिन	n äː t̪ ɪ̃ n
नातिनें	n äː t̪ ɪ n ẽː
नातिनो	n äː t̪ ɪ n oː
नातिनों	n äː t̪ ɪ n õː
नातियो	n äː t̪ i j oː
नातियों	n äː t̪ i j õː
नाती	n äː t̪ iː
नात्सीवाद	n äː t̪ s iː ʋ äː d̪
नाथ	n äː t̪ʰ
नाद	n äː d̪
नादान	n äː d̪ ä̃ː n
नादानी	n äː d̪ äː n iː
नादिरशाही	n äː d̪ ɪ ɾ ʃ äː ɦ iː
नादिरी	n äː d̪ ɪ ɾ iː
नान	n ä̃ː n
नानख़टाई	n ä̃ː n kʰ ɐ ʈ äː iː
नानख़टाई	n ä̃ː n x ɐ ʈ äː iː
नानचांग	n ä̃ː n t͡ʃ ä̃ː ŋ ɡ
नानजिंग	n ä̃ː n d͡ʒ ɪ̃ ŋ ɡ
नाननींग	n ä̃ː n n ĩː ŋ ɡ
नानबाई	n ä̃ː n b äː iː
नानस	n äː n ɐ s
नानसरा	n äː n ɐ s ɾ äː
नाना	n äː n äː
नानाओ	n äː n äː oː
नानाओं	n äː n äː õː
नानियाँ	n äː n i j ä̃ː
नानियो	n äː n i j oː
नानियों	n äː n i j õː
नानी	n äː n iː
नानू	n äː n uː
नाप	n äː p
नापजोख	n äː p d͡ʒ oː kʰ
नापतोल	n äː p t̪ oː l
नापतौल	n äː p t̪ ɔː l
नापना	n äː p n äː
नापसंद	n äː p ɐ s ɐ̃ n̪ d̪
नापसंदगी	n äː p ɐ s ɐ̃ n̪ d̪ ɡ iː
नापसंदी	n äː p ɐ s ɐ̃ n̪ d̪ iː
नापाक	n äː p äː k
नाफ़	n äː f
नाफ़	n äː pʰ
नाफ़रमान	n äː f ɐ ɾ m ä̃ː n
नाफ़रमान	n äː pʰ ɐ ɾ m ä̃ː n
नाबाद	n äː b äː d̪
नाबालिग़	n äː b äː l ɪ ɡ
नाबालिग़	n äː b äː l ɪ ɣ
नाभि	n äː bʱ iː
नाभिक	n äː bʱ ɪ k
नाभिकीय	n äː bʱ ɪ k iː jᵊ
नाम	n ä̃ː m
नामंज़ूर	n äː m ɐ̃ n d͡ʒ uː ɾ
नामंज़ूर	n äː m ɐ̃ n z uː ɾ
नामंज़ूरियाँ	n äː m ɐ̃ n d͡ʒ uː ɾ i j ä̃ː
नामंज़ूरियाँ	n äː m ɐ̃ n z uː ɾ i j ä̃ː
नामंज़ूरियों	n äː m ɐ̃ n d͡ʒ uː ɾ i j õː
नामंज़ूरियों	n äː m ɐ̃ n z uː ɾ i j õː
नामंज़ूरी	n äː m ɐ̃ n d͡ʒ uː ɾ iː
नामंज़ूरी	n äː m ɐ̃ n z uː ɾ iː
नामक	n äː m ɐ k
नामकरण	n ä̃ː m k ɐ ɾ ɐ̃ ɳ
नामज़द	n ä̃ː m d͡ʒ ɐ d̪
नामज़द	n ä̃ː m z ɐ d̪
नामनिर्देशिती	n ä̃ː m n ɪ ɾ d̪ eː ʃ ɪ t̪ iː
नामर्द	n äː m ɐ ɾ d̪
नामर्दगी	n äː m ɐ ɾ d̪ ɡ iː
नामर्दगी	n äː m ɐ ɾ d̪ᵊ ɡ iː
नामर्दी	n äː m ɐ ɾ d̪ iː
नामर्दों	n äː m ɐ ɾ d̪ õː
नामवर	n ä̃ː m w ɐ ɾ
नामा	n äː m äː
नामांकन	n äː m ä̃ː ŋ k ɐ̃ n
नामांकित	n äː m ä̃ː ŋ k ɪ t̪
नामी	n äː m iː
नामीबिया	n äː m iː b i j äː
नामुमकिन	n äː m ʊ̃ m k ɪ̃ n
नामो	n äː m oː
नामों	n äː m õː
नामोत्पत्ति	n äː m oː t̪ p ɐ t̪̚ t̪ iː
नायक	n äː j ɐ k
नायब	n äː j ɐ b
नायर	n äː j ɐ ɾ
नायाब	n äː j äː b
नायिका	n äː j ɪ k äː
नार	n äː ɾ
नारंगी	n äː ɾ ɐ̃ ŋ ɡ iː
नारा	n äː ɾ äː
नाराज़	n äː ɾ äː d͡ʒ
नाराज़	n äː ɾ äː z
नारायण	n äː ɾ äː j ɐ̃ ɳ
नारियल	n äː ɾ i j ɐ l
नारियाँ	n äː ɾ i j ä̃ː
नारियो	n äː ɾ i j oː
नारियों	n äː ɾ i j õː
नारी	n äː ɾ iː
नारीत्व	n äː ɾ iː t̪ wᵊ
नारीद्वेष	n äː ɾ iː d̪ w eː ʃ
नारीवाद	n äː ɾ iː ʋ äː d̪
नारीवादी	n äː ɾ iː ʋ äː d̪ iː
नाल	n äː l
नालकी	n äː l k iː
नाला	n äː l äː
नालायक	n äː l äː j ɐ k
नालायक	n äː l äː j ɐ q
नालियाँ	n äː l i j ä̃ː
नालियो	n äː l i j oː
नालियों	n äː l i j õː
नाव	n äː oː
नाव	n äː ʋ
नावक	n äː ʋ ɐ k
नावतोड़	n äː ʋ t̪ oː ɽ
नाविक	n äː ʋ ɪ k
नाविको	n äː ʋ ɪ k oː
नाविकों	n äː ʋ ɪ k õː
नावें	n äː ʋ ẽː
नावो	n äː ʋ oː
नावों	n äː ʋ õː
नाशपाती	n äː ʃ p äː t̪ iː
नाश्ता	n äː ʃ t̪ äː
नास	n äː s
नासपीटा	n äː s p iː ʈ äː
नासमझ	n äː s ɐ m ɐ d͡ʒʱ
नासरत	n äː s ɐ ɾ ɐ t̪
नासिक	n äː s ɪ k
नासिक्य	n äː s ɪ k jᵊ
नास्तिक	n äː s t̪ ɪ k
नास्तिकता	n äː s t̪ ɪ k t̪ äː
नाहर	n äː ɦ ɐ ɾ
नाहा	n äː ɦ äː
निंगशिया	n ɪ̃ ŋ ɡ ʃ i j äː
निंदा	n ɪ̃ n̪ d̪ äː
निंदासा	n ɪ̃ n̪ d̪ äː s äː
निःशब्द	n ɪ ɦ ʃ ɐ b d̪
निःशब्द	n ɪ ʃ ɐ b d̪
निःशब्दता	n ɪ ɦ ʃ ɐ b d̪ ɐ t̪ äː
निःशब्दता	n ɪ ʃ ɐ b d̪ ɐ t̪ äː
निःसंतान	n ɪ s ɐ̃ n̪ t̪ ä̃ː n
निःसंतान	n ɪ ɦ s ɐ̃ n̪ t̪ ä̃ː n
निःसंतानता	n ɪ s ɐ̃ n̪ t̪ ä̃ː n̪ t̪ äː
निःसंतानता	n ɪ ɦ s ɐ̃ n̪ t̪ ä̃ː n̪ t̪ äː
निकट	n ɪ k ɐ ʈ
निकम्मा	n ɪ k ɐ̃ m m äː
निकम्मापन	n ɪ k ɐ̃ m m äː p ɐ̃ n
निकर	n ɪ k ɐ ɾ
निकल	n ɪ k ɐ l
निकलकर	n ɪ k ɐ l k ɐ ɾ
निकलके	n ɪ k ɐ l k eː
निकलता	n ɪ k ɐ l t̪ äː
निकलती	n ɪ k ɐ l t̪ iː
निकलतीं	n ɪ k ɐ l t̪ ĩː
निकलते	n ɪ k ɐ l t̪ eː
निकलना	n ɪ k ɐ l n äː
निकलनी	n ɪ k ɐ l n iː
निकलनीं	n ɪ k ɐ l n ĩː
निकलने	n ɪ k ɐ l n eː
निकलनेवाला	n ɪ k ɐ l n eː ʋ äː l äː
निकलनेवाली	n ɪ k ɐ l n eː ʋ äː l iː
निकलनेवालीं	n ɪ k ɐ l n eː ʋ äː l ĩː
निकलनेवाले	n ɪ k ɐ l n eː ʋ äː l eː
निकलवा	n ɪ k ɐ l ʋ äː
निकलवाइये	n ɪ k ɐ l ʋ äː i j eː
निकलवाइयेगा	n ɪ k ɐ l ʋ äː i j eː ɡ äː
निकलवाइयो	n ɪ k ɐ l ʋ äː i j oː
निकलवाऊँ	n ɪ k ɐ l ʋ äː ũː
निकलवाऊँगा	n ɪ k ɐ l ʋ äː ũː ŋ ɡ äː
निकलवाऊँगी	n ɪ k ɐ l ʋ äː ũː ŋ ɡ iː
निकलवाओ	n ɪ k ɐ l ʋ äː oː
निकलवाओगी	n ɪ k ɐ l ʋ äː oː ɡ iː
निकलवाओगे	n ɪ k ɐ l ʋ äː oː ɡ eː
निकलवाकर	n ɪ k ɐ l ʋ äː k ɐ ɾ
निकलवाके	n ɪ k ɐ l ʋ äː k eː
निकलवाता	n ɪ k ɐ l ʋ äː t̪ äː
निकलवाती	n ɪ k ɐ l ʋ äː t̪ iː
निकलवातीं	n ɪ k ɐ l ʋ äː t̪ ĩː
निकलवाते	n ɪ k ɐ l ʋ äː t̪ eː
निकलवाना	n ɪ k ɐ l ʋ äː n äː
निकलवानी	n ɪ k ɐ l ʋ äː n iː
निकलवानीं	n ɪ k ɐ l ʋ äː n ĩː
निकलवाने	n ɪ k ɐ l ʋ äː n eː
निकलवानेवाला	n ɪ k ɐ l ʋ äː n eː ʋ äː l äː
निकलवानेवाली	n ɪ k ɐ l ʋ äː n eː ʋ äː l iː
निकलवानेवालीं	n ɪ k ɐ l ʋ äː n eː ʋ äː l ĩː
निकलवानेवाले	n ɪ k ɐ l ʋ äː n eː ʋ äː l eː
निकलवाया	n ɪ k ɐ l ʋ äː j äː
निकलवायी	n ɪ k ɐ l ʋ äː j iː
निकलवायीं	n ɪ k ɐ l ʋ äː j ĩː
निकलवाये	n ɪ k ɐ l ʋ äː j eː
निकलवायें	n ɪ k ɐ l ʋ äː j ẽː
निकलवायेंगी	n ɪ k ɐ l ʋ äː j ẽː ŋ ɡ iː
निकलवायेंगे	n ɪ k ɐ l ʋ äː j ẽː ŋ ɡ eː
निकलवायेगा	n ɪ k ɐ l ʋ äː j eː ɡ äː
निकलवायेगी	n ɪ k ɐ l ʋ äː j eː ɡ iː
निकला	n ɪ k l äː
निकलिये	n ɪ k l i j eː
निकलियेगा	n ɪ k l i j eː ɡ äː
निकलियो	n ɪ k l i j oː
निकलूँगा	n ɪ k l ũː ŋ ɡ äː
निकलूँगी	n ɪ k l ũː ŋ ɡ iː
निकलेंगी	n ɪ k l ẽː ŋ ɡ iː
निकलेंगे	n ɪ k l ẽː ŋ ɡ eː
निकलेगा	n ɪ k l eː ɡ äː
निक़ाब	n ɪ k äː b
निक़ाब	n ɪ q äː b
निकारागुआ	n ɪ k äː ɾ äː ɡ ʊ äː
निकाल	n ɪ k äː l
निकालकर	n ɪ k äː l k ɐ ɾ
निकालके	n ɪ k äː l k eː
निकालता	n ɪ k äː l t̪ äː
निकालती	n ɪ k äː l t̪ iː
निकालतीं	n ɪ k äː l t̪ ĩː
निकालते	n ɪ k äː l t̪ eː
निकालना	n ɪ k äː l n äː
निकालनी	n ɪ k äː l n iː
निकालनीं	n ɪ k äː l n ĩː
निकालने	n ɪ k äː l n eː
निकालनेवाला	n ɪ k äː l n eː ʋ äː l äː
निकालनेवाली	n ɪ k äː l n eː ʋ äː l iː
निकालनेवालीं	n ɪ k äː l n eː ʋ äː l ĩː
निकालनेवाले	n ɪ k äː l n eː ʋ äː l eː
निकाला	n ɪ k äː l äː
निकालिये	n ɪ k äː l i j eː
निकालियेगा	n ɪ k äː l i j eː ɡ äː
निकालियो	n ɪ k äː l i j oː
निकाली	n ɪ k äː l iː
निकालीं	n ɪ k äː l ĩː
निकालूँ	n ɪ k äː l ũː
निकालूँगा	n ɪ k äː l ũː ŋ ɡ äː
निकालूँगी	n ɪ k äː l ũː ŋ ɡ iː
निकाले	n ɪ k äː l eː
निकालें	n ɪ k äː l ẽː
निकालेंगी	n ɪ k äː l ẽː ŋ ɡ iː
निकालेंगे	n ɪ k äː l ẽː ŋ ɡ eː
निकालेगा	n ɪ k äː l eː ɡ äː
निकालेगी	n ɪ k äː l eː ɡ iː
निकालो	n ɪ k äː l oː
निकालोगी	n ɪ k äː l oː ɡ iː
निकालोगे	n ɪ k äː l oː ɡ eː
निकास	n ɪ k äː s
निकासी	n ɪ k äː s iː
निकाह	n ɪ k äːʱ
निकाहनामा	n ɪ k äːʱ n äː m äː
निकोबार	n ɪ k oː b äː ɾ
निकोसिया	n ɪ k oː s i j äː
निक्षेपण	n ɪ k ʃ eː p ɐ̃ ɳ
निखट्टू	n ɪ kʰ ɐ ʈ̚ ʈ uː
निखरना	n ɪ kʰ ɐ ɾ n äː
निख़ालिस	n ɪ kʰ äː l ɪ s
निख़ालिस	n ɪ x äː l ɪ s
निखारना	n ɪ kʰ äː ɾ n äː
निगम	n ɪ ɡ ɐ̃ m
निगमन	n ɪ ɡ ɐ m ɐ̃ n
निगर	n ɪ ɡ ɐ ɾ
निगरानी	n ɪ ɡ ɾ äː n iː
निगलना	n ɪ ɡ ɐ l n äː
निगाह	n ɪ ɡ äːʱ
निग्गर	n ɪ ɡ̚ ɡ ɐ ɾ
निघंटु	n ɪ ɡʱ ɐ̃ ɳ ʈ uː
निचला	n ɪ t͡ʃ l äː
निचोड़ना	n ɪ t͡ʃ oː ɽ n äː
निज़ाम	n ɪ d͡ʒ ä̃ː m
निज़ाम	n ɪ z ä̃ː m
निज़ामाबाद	n ɪ d͡ʒ äː m äː b äː d̪
निज़ामाबाद	n ɪ z äː m äː b äː d̪
निजात	n ɪ d͡ʒ äː t̪
निजीकरण	n ɪ d͡ʒ iː k ɐ ɾ ɐ̃ ɳ
निडर	n ɪ ɖ ɐ ɾ
निडरता	n ɪ ɖ ɐ ɾ t̪ äː
नितंब	n ɪ t̪ ɐ̃ m b
नितंबो	n ɪ t̪ ɐ̃ m b oː
नितंबों	n ɪ t̪ ɐ̃ m b õː
नित्यप्रति	n ɪ t̪ j ɐ p ɾ ɐ t̪ iː
निथरना	n ɪ t̪ʰ ɐ ɾ n äː
निदर्शन	n ɪ d̪ ɐ ɾ ʃ ɐ̃ n
निदान	n ɪ d̪ ä̃ː n
निदानगृह	n ɪ d̪ ä̃ː n ɡ ɾ iːʱ
निदेशक	n ɪ d̪ eː ʃ ɐ k
निदेशालय	n ɪ d̪ eː ʃ äː l ɐ j
निधड़क	n ɪ d̪ʱ ɐ ɽ ɐ k
निधड़क	n ɪ d̪ʱ ɽ ɐ k
निधनी	n ɪ d̪ʱ ɐ n iː
निधियाँ	n ɪ d̪ʱ i j ä̃ː
निधियो	n ɪ d̪ʱ i j oː
निधियों	n ɪ d̪ʱ i j õː
निधुवन	n ɪ d̪ʱ ʊ ʋ ɐ̃ n
निनानवे	n ɪ n ä̃ː n w eː
निन्दित	n ɪ̃ n̪ d̪ ɪ t̪
निन्यानवे	n ɪ̃ ɲ j ä̃ː n w eː
निन्यानवेवाँ	n ɪ̃ ɲ j ä̃ː n w eː ʋ ä̃ː
निपट	n ɪ p ɐ ʈ
निपटकर	n ɪ p ɐ ʈ k ɐ ɾ
निपटके	n ɪ p ɐ ʈ k eː
निपटता	n ɪ p ɐ ʈ t̪ äː
निपटती	n ɪ p ɐ ʈ t̪ iː
निपटतीं	n ɪ p ɐ ʈ t̪ ĩː
निपटते	n ɪ p ɐ ʈ t̪ eː
निपटना	n ɪ p ɐ ʈ n äː
निपटनी	n ɪ p ɐ ʈ n iː
निपटनीं	n ɪ p ɐ ʈ n ĩː
निपटने	n ɪ p ɐ ʈ n eː
निपटनेवाला	n ɪ p ɐ ʈ n eː ʋ äː l äː
निपटनेवाली	n ɪ p ɐ ʈ n eː ʋ äː l iː
निपटनेवालीं	n ɪ p ɐ ʈ n eː ʋ äː l ĩː
निपटनेवाले	n ɪ p ɐ ʈ n eː ʋ äː l eː
निपटा	n ɪ p ʈ äː
निपटाइये	n ɪ p ʈ äː i j eː
निपटाइयेगा	n ɪ p ʈ äː i j eː ɡ äː
निपटाइयो	n ɪ p ʈ äː i j oː
निपटाऊँ	n ɪ p ʈ äː ũː
निपटाऊँगा	n ɪ p ʈ äː ũː ŋ ɡ äː
निपटाऊँगी	n ɪ p ʈ äː ũː ŋ ɡ iː
निपटाओ	n ɪ p ʈ äː oː
निपटाओगी	n ɪ p ʈ äː oː ɡ iː
निपटाओगे	n ɪ p ʈ äː oː ɡ eː
निपटाकर	n ɪ p ʈ äː k ɐ ɾ
निपटाके	n ɪ p ʈ äː k eː
निपटाता	n ɪ p ʈ äː t̪ äː
