ԱԱ	ɑ ɑ́
լանջ	l ɑ n d͡ʒ
լանջապան	l ɑ n d͡ʒ ɑ p ɑ́ n
լանջապանակ	l ɑ n d͡ʒ ɑ p ɑ n ɑ́ k
լանջք	l ɑ n t͡ʃʰ kʰ
լաշի	l ɑ ʃ í
լաո	l ɑ ó
լաոսերեն	l ɑ o s e ɾ é n
լաչառ	l ɑ t͡ʃʰ ɑ́ r
լապատկա	l ɑ p ɑ t k ɑ́
լապշա	l ɑ p ʃ ɑ́
լապտեր	l ɑ p t é ɾ
լապտերասյուն	l ɑ p t e ɾ ɑ s j ú n
լաջվարդ	l ɑ d͡ʒ v ɑ́ ɾ tʰ
լաստ	l ɑ s t
լաստանավ	l ɑ s t ɑ n ɑ́ v
լաստենի	l ɑ s t e n í
լավ	l ɑ v
լավա	l ɑ v ɑ́
լավագույն	l ɑ v ɑ ɡ ú j n
լավագույնս	l ɑ v ɑ ɡ ú j n ə s
լավանալ	l ɑ v ɑ n ɑ́ l
լավաշ	l ɑ v ɑ́ ʃ
լավատես	l ɑ v ɑ t é s
լավատեսական	l ɑ v ɑ t e s ɑ k ɑ́ n
լավատեսություն	l ɑ v ɑ t e s u t͡sʰ j ú n
լավութա	l ɑ v u tʰ ɑ́
լատինական	l ɑ t i n ɑ k ɑ́ n
լատիներեն	l ɑ t i n e ɾ é n
լատիշերեն	l ɑ t i ʃ e ɾ é n
լատվիական	l ɑ t v i j ɑ k ɑ́ n
լատվիերեն	l ɑ t v i j e ɾ é n
լար	l ɑ ɾ
լարել	l ɑ ɾ é l
լարի	l ɑ ɾ í
լարում	l ɑ ɾ ú m
լաց	l ɑ t͡sʰ
լացել	l ɑ t͡sʰ é l
լափել	l ɑ pʰ é l
լաք	l ɑ kʰ
լաքա	l ɑ kʰ ɑ́
լեգիտիմ	l e ɡ i t í m
լեզգի	l e z ɡ í
լեզու	l e z ú
լեզվաբան	l e z v ɑ b ɑ́ n
լեզվաբանական	l e z v ɑ b ɑ n ɑ k ɑ́ n
լեզվաբանություն	l e z v ɑ b ɑ n u t͡sʰ j ú n
լեզվաբուն	l e z v ɑ b ú n
լեզվաընտանիք	l e z v ɑ ə n t ɑ n í kʰ
լեզվակ	l e z v ɑ́ k
լեզվական	l e z v ɑ k ɑ́ n
լեզվակիր	l e z v ɑ k í ɾ
լեզվանի	l e z v ɑ n í
լեթթերեն	l e tʰː e ɾ é n
լեկ	l e k
լեհ	l e h
լեհական	l e h ɑ k ɑ́ n
լեհերեն	l e h e ɾ é n
լեղապարկ	l e ʁ ɑ p ɑ́ ɾ k
լեղի	l e ʁ í
լեմուր	l e m ú ɾ
լեյտենանտ	l e j t e n ɑ́ n t
լեն	l e n
լենինիզմ	l e n i n í z m
լենտ	l e n t
լեշ	l e ʃ
լեպ	l e p
լեպտոն	l e p t ó n
լեռ	l e r
լեռնագիր	l e r n ɑ ɡ í ɾ
լեռնագնաց	l e r n ɑ ɡ ə n ɑ́ t͡sʰ
լեռնագրական	l e r n ɑ ɡ ɾ ɑ k ɑ́ n
լեռնագրություն	l e r n ɑ ɡ ɾ u t͡sʰ j ú n
լեռնային	l e r n ɑ j í n
լեռնաշխարհ	l e r n ɑ ʃ χ ɑ́ ɾ
լեռնաշղթա	l e r n ɑ ʃ ə χ tʰ ɑ́
լեռնցի	l e r n t͡sʰ í
լերդ	l e ɾ tʰ
լերդաբույթ	l e ɾ d ɑ b ú j tʰ
լերդախոտ	l e ɾ tʰ ɑ χ ó t
լերկ	l e ɾ k
լերկամորթ	l e ɾ k ɑ m ó ɾ tʰ
լեցնել	l e t͡sʰ n é l
լեցուն	l e t͡sʰ ú n
լի	l i
լիագումար	l i j ɑ ɡ u m ɑ́ ɾ
լիազոր	l i j ɑ z ó ɾ
լիազորագիր	l i j ɑ z o ɾ ɑ ɡ í ɾ
լիազորել	l i j ɑ z o ɾ é l
լիազորություն	l i j ɑ z o ɾ u t͡sʰ j ú n
լիազորված	l i j ɑ z o ɾ v ɑ́ t͡s
լիազորվածություն	l i j ɑ z o ɾ v ɑ t͡s u t͡sʰ j ú n
լիազորվել	l i j ɑ z o ɾ v é l
լիակազմ	l i j ɑ k ɑ́ z m
լիանալ	l i j ɑ n ɑ́ l
լիարժեք	l i j ɑ ɾ ʒ é kʰ
լիբերալիզմ	l i b e ɾ ɑ l í z m
լիբիացի	l i b i j ɑ t͡sʰ í
լիբիդո	l i b i d ó
լիբրացիա	l i b ɾ ɑ t͡sʰ i j ɑ́
լիբրետո	l i b ɾ e t ó
լիգա	l i ɡ ɑ́
լիգա	l í ɡ ɑ
լիդիերեն	l i d i j e ɾ é n
լիզել	l i z é l
լիթիում	l i tʰ i j ú m
լիթիում	l í tʰ i j u m
լիժա	l i ʒ ɑ́
լիկիերեն	l i k i j e ɾ é n
լիճ	l i t͡ʃ
լիմբուրգերեն	l i m b u ɾ ɡ e ɾ é n
լիմոն	l i m ó n
լիմոնադ	l i m o n ɑ́ d
լիմուզին	l i m u z í n
լինգալա	l i ŋ ɡ ɑ́ l ɑ
լինդ	l i n d
լինել	l i n é l
լիով	l i j ó v
լիովին	l i j o v í n
լիուլի	l i j u l í
լիսեռ	l i s é r
լիտվական	l i t v ɑ k ɑ́ n
լիտվաներեն	l i t v ɑ n e ɾ é n
լիտվերեն	l i t v e ɾ é n
լիտր	l í t ə ɾ
լիր	l i ɾ
լիրբ	l i r pʰ
լիրբ	l i ɾ pʰ
լիք	l i kʰ
լիքը	l í kʰ ə
լիքն	l í kʰ ə n
լիֆչիկ	l i f t͡ʃʰ í k
լիֆտ	l i f t
լլկանք	l ə l k ɑ́ ŋ kʰ
լխպոր	l ə χ p ó ɾ
լծակ	l ə t͡s ɑ́ k
լծել	l ə t͡s é l
լծորդ	l ə t͡s ó ɾ tʰ
լկամ	l ə k ɑ́ m
լկստել	l ə k ə s t é l
լկստվել	l ə k ə s t v é l
լկտի	l ə k t í
լղար	l ə ʁ ɑ́ ɾ
լղպոր	l ə χ p ó ɾ
լճակ	l ə t͡ʃ ɑ́ k
լման	l ə m ɑ́ n
լմնցնել	l ə m ə n t͡sʰ n é l
լյարդ	l j ɑ ɾ tʰ
լյուն	l j u n
լյուստռա	l j u s t r ɑ́
լյուստրա	l j u s t ɾ ɑ́
լյուրիկյան	l j u ɾ i k j ɑ́ n
լյուքսեմբուրգերեն	l j u kʰ s e m b u ɾ ɡ e ɾ é n
լյոքշ	l j o kʰ ʃ
լնդախտ	l ə n d ɑ́ χ t
լոբբի	l o bː í
լոբի	l o b í
լոգանալ	l o ɡ ɑ n ɑ́ l
լոգանք	l o ɡ ɑ́ ŋ kʰ
լոգարան	l o ɡ ɑ ɾ ɑ́ n
լոգարիթմ	l o ɡ ɑ ɾ í tʰ m
լոգիկա	l ó ɡ i k ɑ
լոգին	l o ɡ í n
լոթարինգացի	l o tʰ ɑ ɾ i ŋ ɡ ɑ t͡sʰ í
լոժբան	l ó ʒ b ɑ n
լոլիկ	l o l í k
լոխ	l o χ
լոխում	l o χ ú m
լոկ	l o k
լոկոմոտիվ	l o k o m o t í v
լող	l o ʁ
լողազգեստ	l o ʁ ɑ z ɡ é s t
լողալ	l o ʁ ɑ́ l
լողակ	l o ʁ ɑ́ k
լողանալ	l o ʁ ɑ n ɑ́ l
լողավազան	l o ʁ ɑ v ɑ z ɑ́ n
լողափ	l o ʁ ɑ́ pʰ
լոմ	l o m
լոմբարդացի	l o m b ɑ ɾ d ɑ t͡sʰ í
լոշ	l o ʃ
լոշիկ	l o ʃ í k
լոշտակ	l o ʃ t ɑ́ k
լոուրենսիում	l u ɾ e n s i j ú m
լոուրենսիում	l u ɾ é n s i j u m
լոսդի	l o s d í
լոտո	l o t ó
լոտոս	l o t ó s
լոր	l o ɾ
լորաճուռակ	l o ɾ ɑ t͡ʃ u r ɑ́ k
լորամարգ	l o ɾ ɑ m ɑ́ ɾ ɡ
լորամարգի	l o ɾ ɑ m ɑ ɾ ɡ í
լորենի	l o ɾ e n í
լորի	l o ɾ í
լորիկ	l o ɾ í k
լորձ	l o ɾ d͡z
լորձունք	l o ɾ d͡z ú ŋ kʰ
լորտու	l o ɾ t ú
լորտուկ	l o ɾ t ú k
լու	l u
լուժիկերեն	l u ʒ i k e ɾ é n
լուծ	l u t͡s
լուծարել	l u t͡s ɑ ɾ é l
լուծել	l u t͡s é l
լուծիչ	l u t͡s í t͡ʃʰ
լուծում	l u t͡s ú m
լումա	l u m ɑ́
լույծ	l u j t͡s
լույս	l u j s
լուռ	l u r
լուսազդանշան	l u s ɑ z d ɑ n ə ʃ ɑ́ n
լուսամուտ	l u s ɑ m ú t
լուսան	l u s ɑ́ n
լուսանկար	l u s ɑ n ə k ɑ́ ɾ
լուսանկարել	l u s ɑ n ə k ɑ ɾ é l
լուսանկարիչ	l u s ɑ n ə k ɑ ɾ í t͡ʃʰ
լուսանկարչություն	l u s ɑ n ə k ɑ ɾ t͡ʃʰ u t͡sʰ j ú n
լուսանցք	l u s ɑ́ n t͡sʰ kʰ
լուսանցքային	l u s ɑ n t͡sʰ kʰ ɑ j í n
լուսավոր	l u s ɑ v ó ɾ
լուսավորչական	l u s ɑ v o ɾ t͡ʃʰ ɑ k ɑ́ n
լուսատարի	l u s ɑ t ɑ ɾ í
լուսատտիկ	l u s ɑ t ə t í k
լուսարարապետ	l u s ɑ ɾ ɑ ɾ ɑ p é t
լուսացույց	l u s ɑ t͡sʰ ú j t͡sʰ
լուսաֆոր	l u s ɑ f ó ɾ
լուսին	l u s í n
լուսն	l ú s ə n
լուսնագիտություն	l u s n ɑ ɡ i t u t͡sʰ j ú n
լուսնկա	l u s ə ŋ k ɑ́
լուսնոտ	l u s n ó t
լուսնոտություն	l u s n o t u t͡sʰ j ú n
լուսունակ	l u s u n ɑ́ k
լուվական	l u v ɑ k ɑ́ n
լուվիերեն	l u v i j e ɾ é n
լուտալ	l u t ɑ́ l
լուտանք	l u t ɑ́ ŋ kʰ
լուր	l u ɾ
լուրեր	l u ɾ é ɾ
լուրթ	l u ɾ tʰ
լուրջ	l u ɾ d͡ʒ
լուցել	l u t͡sʰ é l
լուցկի	l u t͡sʰ k í
լոք	l o kʰ
լոքշ	l o kʰ ʃ
լոքո	l o kʰ ó
լպստել	l ə p ə s t é l
լռել	l ə r é l
լռելյայն	l ə r e l j ɑ́ j n
լռին	l ə r í n
լռություն	l ə r u t͡sʰ j ú n
լսել	l ə s é l
լվալ	l ə v ɑ́ l
լվածաղիկ	l ə v ɑ t͡s ɑ ʁ í k
լվակարկուտ	l ə v ɑ k ɑ ɾ k ú t
լվանալ	l ə v ɑ n ɑ́ l
լվացարան	l ə v ɑ t͡sʰ ɑ ɾ ɑ́ n
լվացնել	l ə v ɑ t͡sʰ n é l
լվացվել	l ə v ɑ t͡sʰ v é l
լվացք	l ə v ɑ́ t͡sʰ kʰ
լվացքատուն	l ə v ɑ t͡sʰ kʰ ɑ t ú n
լվացքի	l ə v ɑ t͡sʰ kʰ í
լվից	l ə v í t͡sʰ
լրագրող	l ə ɾ ɑ ɡ ə ɾ ó ʁ
լրագրություն	l ə ɾ ɑ ɡ ɾ u t͡sʰ j ú n
լրազամբյուղ	l ə ɾ ɑ z ɑ m b j ú ʁ
լրահոս	l ə ɾ ɑ h ó s
լրատու	l ə ɾ ɑ t ú
լրատվության	l ə ɾ ɑ t v u t͡sʰ j ɑ́ n
լրատվություն	l ə ɾ ɑ t v u t͡sʰ j ú n
լրացնել	l ə ɾ ɑ t͡sʰ n é l
լրացում	l ə ɾ ɑ t͡sʰ ú m
լրացուցիչ	l ə ɾ ɑ t͡sʰ u t͡sʰ í t͡ʃʰ
լրթանալ	l ə ɾ tʰ ɑ n ɑ́ l
լրիվ	l ə ɾ í v
լրջամիտ	l ə ɾ d͡ʒ ɑ m í t
լրջանալ	l ə ɾ d͡ʒ ɑ n ɑ́ l
լրջմիտ	l ə ɾ d͡ʒ m í t
լրջմտություն	l ə ɾ d͡ʒ m ə t u t͡sʰ j ú n
լրջություն	l ə ɾ d͡ʒ u t͡sʰ j ú n
լրտես	l ə ɾ t é s
լրտեսել	l ə ɾ t e s é l
լրտեսություն	l ə ɾ t e s u t͡sʰ j ú n
լցնել	l ə t͡sʰ n é l
լցուն	l ə t͡sʰ ú n
լցվել	l ə t͡sʰ v é l
լքավեր	l ə kʰ ɑ v é ɾ
լքել	l ə kʰ é l
լքյալ	l ə kʰ j ɑ́ l
լքնել	l ə kʰ n é l
խ	χ ə
խաբար	χ ɑ b ɑ́ ɾ
խաբեբա	χ ɑ pʰ e b ɑ́
խաբեբայություն	χ ɑ pʰ e pʰ ɑ j u t͡sʰ j ú n
խաբել	χ ɑ pʰ é l
խաբեպատիր	χ ɑ pʰ e p ɑ t í ɾ
խաբնվել	χ ɑ pʰ n ə v é l
խադավիկ	χ ɑ d ɑ v í k
խազ	χ ɑ z
խազել	χ ɑ z é l
խաթաբալա	χ ɑ tʰ ɑ b ɑ l ɑ́
խաթեր	χ ɑ tʰ é ɾ
խաթր	χ ɑ́ tʰ ə ɾ
խաժ	χ ɑ ʒ
խալ	χ ɑ l
խալի	χ ɑ l í
խալիար	χ ɑ l i j ɑ́ ɾ
խալիֆ	χ ɑ l í f
խալիֆաթ	χ ɑ l i f ɑ́ tʰ
խալիֆայություն	χ ɑ l i f ɑ j u t͡sʰ j ú n
խալխ	χ ɑ l χ
խալյար	χ ɑ l j ɑ́ ɾ
խալտուրա	χ ɑ l t ú ɾ ɑ
խախանդ	χ ɑ χ ɑ́ n d
խախտել	χ ɑ χ t é l
խածանել	χ ɑ t͡s ɑ n é l
խածատել	χ ɑ t͡s ɑ t é l
խածել	χ ɑ t͡s é l
խածնել	χ ɑ t͡s n é l
խակ	χ ɑ k
խահ	χ ɑ h
խաղ	χ ɑ ʁ
խաղադաշտ	χ ɑ ʁ ɑ d ɑ́ ʃ t
խաղաթուղթ	χ ɑ ʁ ɑ tʰ ú χ tʰ
խաղալ	χ ɑ ʁ ɑ́ l
խաղալիք	χ ɑ ʁ ɑ l í kʰ
խաղաղ	χ ɑ ʁ ɑ́ ʁ
խաղաղարար	χ ɑ ʁ ɑ ʁ ɑ ɾ ɑ́ ɾ
խաղաղություն	χ ɑ ʁ ɑ ʁ u t͡sʰ j ú n
խաղամոլ	χ ɑ ʁ ɑ m ó l
խաղասրահ	χ ɑ ʁ ɑ s ə ɾ ɑ́ h
խաղատուն	χ ɑ ʁ ɑ t ú n
խաղացնել	χ ɑ ʁ ɑ t͡sʰ n é l
խաղացող	χ ɑ ʁ ɑ t͡sʰ ó ʁ
խաղաքար	χ ɑ ʁ ɑ kʰ ɑ́ ɾ
խաղաքարտ	χ ɑ ʁ ɑ kʰ ɑ́ ɾ t
խաղող	χ ɑ ʁ ó ʁ
խամաճիկ	χ ɑ m ɑ t͡ʃ í k
խամոն	χ ɑ m ó n
խայթ	χ ɑ j tʰ
խայթել	χ ɑ j tʰ é l
խայթոց	χ ɑ j tʰ ó t͡sʰ
խայտաբղետ	χ ɑ j t ɑ b ə ʁ é t
խայտառակ	χ ɑ j t ɑ r ɑ́ k
խայտառակաբար	χ ɑ j t ɑ r ɑ k ɑ b ɑ́ ɾ
խայտառակել	χ ɑ j t ɑ r ɑ k é l
խայտառակություն	χ ɑ j t ɑ r ɑ k u t͡sʰ j ú n
խայտուց	χ ɑ j t ú t͡sʰ
խայրի	χ ɑ j ɾ í
խան	χ ɑ n
խանգարել	χ ɑ ŋ ɡ ɑ r é l
խանգարել	χ ɑ ŋ ɡ ɑ ɾ é l
խանգարվել	χ ɑ ŋ ɡ ɑ ɾ v é l
խանդ	χ ɑ n d
խանդակ	χ ɑ n d ɑ́ k
խանդակաթ	χ ɑ n d ɑ k ɑ́ tʰ
խանդավառ	χ ɑ n d ɑ v ɑ́ r
խանդել	χ ɑ n d é l
խանդոտ	χ ɑ n d ó t
խանծ	χ ɑ n t͡s
խանձ	χ ɑ n d͡z
խանձատել	χ ɑ n d͡z ɑ t é l
խանձարուր	χ ɑ n d͡z ɑ ɾ ú ɾ
խանձել	χ ɑ n d͡z é l
խանձող	χ ɑ n d͡z ó ʁ
խանութ	χ ɑ n ú tʰ
խանություն	χ ɑ n u t͡sʰ j ú n
խաշ	χ ɑ ʃ
խաշար	χ ɑ ʃ ɑ́ ɾ
խաշել	χ ɑ ʃ é l
խաշն	χ ɑ́ ʃ ə n
խաշու	χ ɑ ʃ ú
խաչ	χ ɑ t͡ʃʰ
խաչակիր	χ ɑ t͡ʃʰ ɑ k í ɾ
խաչակրություն	χ ɑ t͡ʃʰ ɑ k ɾ u t͡sʰ j ú n
խաչապուրի	χ ɑ t͡ʃʰ ɑ p u ɾ í
խաչբառ	χ ɑ t͡ʃʰ b ɑ́ r
խաչերկաթ	χ ɑ t͡ʃʰ e ɾ k ɑ́ tʰ
խաչմերուկ	χ ɑ t͡ʃʰ m e ɾ ú k
խաչքար	χ ɑ t͡ʃʰ kʰ ɑ́ ɾ
խառատ	χ ɑ r ɑ́ t
խառատահաստոց	χ ɑ r ɑ t ɑ h ɑ s t ó t͡sʰ
խառը	χ ɑ́ r ə
խառն	χ ɑ́ r ə n
խառնաշփոթություն	χ ɑ r n ɑ ʃ ə pʰ o tʰ u t͡sʰ j ú n
խառնարան	χ ɑ r n ɑ ɾ ɑ́ n
խառնել	χ ɑ r n é l
խառնիչ	χ ɑ r n í t͡ʃʰ
խառնուրդ	χ ɑ r n ú ɾ tʰ
խառնվածք	χ ɑ r n ə v ɑ́ t͡s kʰ
խաս	χ ɑ s
խավ	χ ɑ v
խավար	χ ɑ v ɑ́ ɾ
խավարածիր	χ ɑ v ɑ ɾ ɑ t͡s í ɾ
խավարասեր	χ ɑ v ɑ ɾ ɑ s é ɾ
խավարծիլ	χ ɑ v ɑ ɾ t͡s í l
խավարչուտ	χ ɑ v ɑ ɾ t͡ʃʰ ú t
խավիար	χ ɑ v i j ɑ́ ɾ
խատուտիկ	χ ɑ t u t í k
խարակիրի	χ ɑ ɾ ɑ k i ɾ í
խարբալել	χ ɑ ɾ b ɑ l é l
խարբիզակ	χ ɑ ɾ b i z ɑ́ k
խարդախ	χ ɑ ɾ d ɑ́ χ
խարզա	χ ɑ ɾ z ɑ́
խարիսխ	χ ɑ ɾ í s χ
խարխալել	χ ɑ ɾ χ ɑ l é l
խարխափել	χ ɑ ɾ χ ɑ pʰ é l
խարխլել	χ ɑ ɾ χ ə l é l
խարկել	χ ɑ ɾ k é l
խարշել	χ ɑ ɾ ʃ é l
խարույկ	χ ɑ ɾ ú j k
խարջել	χ ɑ ɾ d͡ʒ é l
խարտոց	χ ɑ ɾ t ó t͡sʰ
խափ	χ ɑ pʰ
խափան	χ ɑ pʰ ɑ́ n
խափանել	χ ɑ pʰ ɑ n é l
խե	χ e
խեթ	χ e tʰ
խեթալ	χ e tʰ ɑ́ l
խեթական	χ e tʰ ɑ k ɑ́ n
խեթել	χ e tʰ é l
խեթերեն	χ e tʰ e ɾ é n
խեթկել	χ e tʰ k é l
խեթում	χ e tʰ ú m
խեժ	χ e ʒ
խել	χ e l
խելագար	χ e l ɑ ɡ ɑ́ ɾ
խելագարություն	χ e l ɑ ɡ ɑ ɾ u t͡sʰ j ú n
խելախոս	χ e l ɑ χ ó s
խելամիտ	χ e l ɑ m í t
խելացի	χ e l ɑ t͡sʰ í
խելոք	χ e l ó kʰ
խելք	χ e l kʰ
խեղ	χ e ʁ
խեղաթյուր	χ e ʁ ɑ tʰ j ú ɾ
խեղաթյուրել	χ e ʁ ɑ tʰ j u ɾ é l
խեղանդամ	χ e ʁ ɑ n tʰ ɑ́ m
խեղդ	χ e χ t
խեղդել	χ e χ t é l
խեղկատակ	χ e χ k ɑ t ɑ́ k
խեղճ	χ e χ t͡ʃ
խեղություն	χ e ʁ u t͡sʰ j ú n
խենեշ	χ e n é ʃ
խենթ	χ e n tʰ
խենթանալ	χ e n tʰ ɑ n ɑ́ l
խեչակ	χ e t͡ʃʰ ɑ́ k
խեռ	χ e r
խեր	χ e ɾ
խերխի	χ e ɾ χ í
խեցգետին	χ e t͡sʰ ɡ e t í n
խզար	χ ə z ɑ́ ɾ
խզել	χ ə z é l
խթան	χ ə tʰ ɑ́ n
խթանել	χ ə tʰ ɑ n é l
խթել	χ ə tʰ é l
խի	χ i
խիար	χ i j ɑ́ ɾ
խիզախ	χ i z ɑ́ χ
խիզախաբար	χ i z ɑ χ ɑ b ɑ́ ɾ
խիզախություն	χ i z ɑ χ u t͡sʰ j ú n
խիթ	χ i tʰ
խիթալ	χ i tʰ ɑ́ l
խիթք	χ i tʰ kʰ
խիղճ	χ i χ t͡ʃ
խիճ	χ i t͡ʃ
խիյար	χ i j ɑ́ ɾ
խին	χ i n
խինդ	χ i n d
խինկալի	χ i ŋ k ɑ l í
խինկալիանոց	χ i ŋ k ɑ l i j ɑ n ó t͡sʰ
խիշտ	χ i ʃ t
խիստ	χ i s t
խիտ	χ i t
խիրուրգ	χ i ɾ ú ɾ ɡ
խիւս	χ i f s
խլեզ	χ ə l é z
խլություն	χ ə l u t͡sʰ j ú n
խլուրդ	χ ə l ú ɾ d
խլրտալ	χ ə l ə ɾ t ɑ́ l
խխունջ	χ ə χ ú n d͡ʒ
խղճալ	χ ə χ t͡ʃ ɑ́ l
խղճմտանք	χ ə χ t͡ʃ m ə t ɑ́ ŋ kʰ
խճանկար	χ ə t͡ʃ ɑ ŋ k ɑ́ ɾ
խճող	χ ə t͡ʃ ó ʁ
խճուղի	χ ə t͡ʃ u ʁ í
խմած	χ ə m ɑ́ t͡s
խմբագիր	χ ə m b ɑ ɡ í ɾ
խմբագրել	χ ə m b ɑ ɡ ɾ é l
խմբակ	χ ə m b ɑ́ k
խմբակցություն	χ ə m b ɑ k t͡sʰ u t͡sʰ j ú n
խմբավար	χ ə m b ɑ v ɑ́ ɾ
խմբաքանակ	χ ə m b ɑ kʰ ɑ n ɑ́ k
խմել	χ ə m é l
խմիչք	χ ə m í t͡ʃʰ kʰ
խմոր	χ ə m ó ɾ
խմորիչ	χ ə m o ɾ í t͡ʃʰ
խմորուկ	χ ə m o ɾ ú k
խնամ	χ ə n ɑ́ m
խնամել	χ ə n ɑ m é l
խնամի	χ ə n ɑ m í
խնամք	χ ə n ɑ́ m kʰ
խնայատուփ	χ ə n ɑ j ɑ t ú pʰ
խնայել	χ ə n ɑ j é l
խնդակից	χ ə n d ɑ k í t͡sʰ
խնդիր	χ ə n tʰ í ɾ
խնդիրք	χ ə n d í ɾ kʰ
խնդրագիր	χ ə n tʰ ɾ ɑ ɡ í ɾ
խնդրանք	χ ə n tʰ ɾ ɑ́ ŋ kʰ
խնդրառություն	χ ə n tʰ ɾ ɑ r u t͡sʰ j ú n
խնդրել	χ ə n tʰ ɾ é l
խնդրեմ	χ ə n tʰ ɾ é m
խնդրություն	χ ə n tʰ ɾ u t͡sʰ j ú n
խնծիղ	χ ə n t͡s í ʁ
խնկել	χ ə ŋ k é l
խնձոր	χ ə n d͡z ó ɾ
խնձորենի	χ ə n d͡z o ɾ e n í
խնձորուկ	χ ə n d͡z o ɾ ú k
խնձորօղի	χ ə n d͡z o ɾ o ʁ í
խնոցի	χ ə n o t͡sʰ í
խնչել	χ ə n t͡ʃʰ é l
խնջլոզ	χ ə n d͡ʒ ə l ó z
խնջույք	χ ə n d͡ʒ ú j kʰ
խշուր	χ ə ʃ ú ɾ
խշտիկ	χ ə ʃ t í k
խոզ	χ o z
խոզագրիպ	χ o z ɑ ɡ ə ɾ í p
խոզանակ	χ o z ɑ n ɑ́ k
խոզանոց	χ o z ɑ n ó t͡sʰ
խոզանուկ	χ o z ɑ n ú k
խոզապահ	χ o z ɑ p ɑ́ h
խոզուկ	χ o z ú k
խոթ	χ o tʰ
խոթել	χ o tʰ é l
խոթություն	χ o tʰ u t͡sʰ j ú n
խոլերա	χ o l e ɾ ɑ́
խոլորձ	χ o l ó ɾ d͡z
խոխա	χ ó χ ɑ
խոխոջալ	χ o χ o d͡ʒ ɑ́ l
խոխոջել	χ o χ o d͡ʒ é l
խոկ	χ o k
խոկալ	χ o k ɑ́ l
խոհ	χ o h
խոհական	χ o h ɑ k ɑ́ n
խոհակեր	χ o h ɑ k é ɾ
խոհամիտ	χ o h ɑ m í t
խոհանոց	χ o h ɑ n ó t͡sʰ
խոհարար	χ o h ɑ ɾ ɑ́ ɾ
խոհարարական	χ o h ɑ ɾ ɑ ɾ ɑ k ɑ́ n
խոհեմ	χ o h é m
խողովակ	χ o ʁ o v ɑ́ k
խոճկոր	χ o t͡ʃ k ó ɾ
խոյ	χ o j
խոյանալ	χ o j ɑ n ɑ́ l
խոնավ	χ o n ɑ́ v
խոնավանալ	χ o n ɑ v ɑ n ɑ́ l
խոնավավուն	χ o n ɑ v ɑ v ú n
խոնավացնել	χ o n ɑ v ɑ t͡sʰ n é l
խոնարհ	χ o n ɑ́ ɾ
խոնարհում	χ o n ɑ ɾ ú m
խոնարհվել	χ o n ɑ ɾ v é l
խոնհարել	χ o n ɑ ɾ é l
խոնչա	χ o n t͡ʃʰ ɑ́
խոնջ	χ o n d͡ʒ
խոշ	χ o ʃ
խոշոր	χ o ʃ ó ɾ
խոշորացույց	χ o ʃ o ɾ ɑ t͡sʰ ú j t͡sʰ
խոշորացվել	χ o ʃ o ɾ ɑ t͡sʰ v é l
խոշտանգել	χ o ʃ t ɑ ŋ ɡ é l
խոշտանգում	χ o ʃ t ɑ ŋ ɡ ú m
խոչ	χ o t͡ʃʰ
խոչընդոտ	χ o t͡ʃʰ ə n d ó t
խոչընդոտել	χ o t͡ʃʰ ə n d o t é l
խոպան	χ o p ɑ́ n
խոպոպ	χ o p ó p
խոպոպահեր	χ o p o p ɑ h é ɾ
խոպոպաձև	χ o p o p ɑ d͡z é v
խոպոպանալ	χ o p o p ɑ n ɑ́ l
խոպոպանման	χ o p o p ɑ n ə m ɑ́ n
խոպոպավոր	χ o p o p ɑ v ó ɾ
խոպոպացնել	χ o p o p ɑ t͡sʰ n é l
խոպոպացում	χ o p o p ɑ t͡sʰ ú m
խոպոպացվել	χ o p o p ɑ t͡sʰ v é l
խոպոպել	χ o p o p é l
խոպոպեցնել	χ o p o p e t͡sʰ n é l
խոպոպի	χ o p o p í
խոպոպիլ	χ o p o p í l
խոպոպիկ	χ o p o p í k
խոպոպիք	χ o p o p í kʰ
խոպոպիքավոր	χ o p o p i kʰ ɑ v ó ɾ
խոպոպվել	χ o p o p v é l
խոռոչ	χ o r ó t͡ʃʰ
խոսալ	χ o s ɑ́ l
խոսակցական	χ o s ɑ k t͡sʰ ɑ k ɑ́ n
խոսափող	χ o s ɑ pʰ ó ʁ
խոսել	χ o s é l
խոսնակ	χ o s n ɑ́ k
խոսույթ	χ o s ú j tʰ
խոսուն	χ o s ú n
խոստանալ	χ o s t ɑ n ɑ́ l
խոստովանել	χ o s t o v ɑ n é l
խոստովանություն	χ o s t o v ɑ n u t͡sʰ j ú n
խոստում	χ o s t ú m
խոսրովային	χ o s ɾ o v ɑ j í n
խոսք	χ o s kʰ
խոտ	χ o t
խոտակեր	χ o t ɑ k é ɾ
խոտանոց	χ o t ɑ n ó t͡sʰ
խոտորում	χ o t o ɾ ú m
խոր	χ o ɾ
խորագին	χ o ɾ ɑ ɡ í n
խորաթափանց	χ o ɾ ɑ tʰ ɑ pʰ ɑ́ n t͡sʰ
խորակ	χ o ɾ ɑ́ k
խորամանկ	χ o ɾ ɑ m ɑ́ ŋ k
խորամանկորեն	χ o ɾ ɑ m ɑ ŋ k o ɾ é n
խորան	χ o ɾ ɑ́ n
խորանարդ	χ o ɾ ɑ n ɑ́ ɾ tʰ
խորդ	χ o ɾ d
խորդուբորդ	χ o ɾ tʰ u b ó ɾ tʰ
խորեզմերեն	χ o ɾ e z m e ɾ é n
