NG	e̞nd͡ʑi
소말리아	s͈o̞ma̠ɭʎia̠
소맥	s͈o̞me̞k̚
소문	ˈsʰo̞ːmun
소믈리에	sʰo̞mɯɭʎie̞
소박하다	sʰo̞ba̠kʰa̠da̠
소방관	sʰo̞ba̠ŋɡwa̠n
소방수	sʰo̞ba̠ŋsʰu
소방차	sʰo̞ba̠ŋt͡ɕʰa̠
소비	sʰo̞bi
소비자	sʰo̞bid͡ʑa̠
소비하다	sʰo̞biɦa̠da̠
소설	ˈsʰo̞ːsʰʌ̹ɭ
소설책	ˈsʰo̞ːsʰʌ̹ɭt͡ɕʰe̞k̚
소속	ˈsʰo̞ːsʰo̞k̚
소수	sʰo̞s͈u
소수	ˈsʰo̞ːsʰu
소수민족	sʰo̞sʰumind͡ʑo̞k̚
소스	sʰo̞sʰɯ
소스	sʰo̞sʰɯ
소식	sʰo̞ɕʰik̚
소용	ˈsʰo̞ːjoŋ
소용돌이	sʰo̞joŋdo̞ɾi
소원	ˈsʰo̞ːwʌ̹n
소원	sʰo̞wʌ̹n
소원	ˈsʰo̞ːwʌ̹n
소원	ˈsʰo̞ːwʌ̹n
소원	ˈsʰo̞ːwʌ̹n
소위	ˈsʰo̞ːɥi
소유	ˈsʰo̞ːju
소유자	ˈsʰo̞ːjud͡ʑa̠
소유하다	ˈsʰo̞ːjuɦa̠da̠
소음	sʰo̞ɯm
소음순	ˈsʰo̞ːɯmsʰun
소제	ˈsʰo̞ːd͡ʑe̞
소제하다	ˈsʰo̞ːd͡ʑe̞ɦa̠da̠
소좌	ˈsʰo̞ːd͡ʑwa̠
소주	s͈o̞d͡ʑu
소총	ˈsʰo̞ːt͡ɕʰo̞ŋ
소파	s͈o̞pʰa̠
소품	ˈsʰo̞ːpʰum
소풍	sʰo̞pʰuŋ
소프트볼	sʰo̞pʰɯtʰɯbo̞ɭ
소학교	sʰo̞ɦa̠k̚k͈jo
소행성	ˈsʰo̞ːɦe̞ŋsʰʌ̹ŋ
소화	sʰo̞βwa̠
소화기	sʰo̞βwa̠ɡi
소화전	sʰo̞βwa̠d͡ʑʌ̹n
속	sʰo̞ːk̚
속견	sʰo̞k̚k͈jʌ̹n
속눈썹	ˈsʰo̞ːŋnuns͈ʌ̹p̚
속다	sʰo̞k̚t͈a̠
속담	sʰo̞k̚t͈a̠m
속도	sʰo̞k̚t͈o̞
속삭이다	sʰo̞ks͈a̠ɡida̠
속삭임	sʰo̞ks͈a̠ɡim
속속	sʰo̞ks͈o̞k̚
속속들이	sʰo̞ks͈o̞k̚t͈ɯɾi
속옷	ˈsʰo̞ːɡo̞t̚
속이다	sʰo̞ɡida̠
속자	sʰo̞k̚t͡ɕ͈a̠
속하다	sʰo̞kʰa̠da̠
손	sʰo̞n
손녀	sʰo̞nɲjʌ̹
손님	sʰo̞nnim
손목	sʰo̞nmo̞k̚
손바닥	sʰo̞np͈a̠da̠k̚
손상하다	ˈsʰo̞ːnsʰa̠ŋɦa̠da̠
손수건	sʰo̞ns͈uɡʌ̹n
손전등	sʰo̞nt͡ɕ͈ʌ̹ndɯŋ
손질	sʰo̞nd͡ʑiɭ
손톱깎이	sʰo̞ntʰo̞p̚k͈a̠k͈i
손해	ˈsʰo̞ːnɦe̞
솔	sʰo̞ɭ
솔개	sʰo̞ɭɡe̞
솔깃하다	sʰo̞ɭɡitʰa̠da̠
솔로몬	sʰo̞ɭɭo̞mo̞n
솔직	sʰo̞ɭt͡ɕ͈ik̚
솔직히	sʰo̞ɭt͡ɕ͈ikçi
솜	sʰo̞m
송	sʰo̞ŋ
송과선	sʰo̞ŋɡwa̠sʰʌ̹n
송구	ˈsʰo̞ːŋɡu
송도	sʰo̞ŋdo̞
송두리째	sʰo̞ŋduɾit͡ɕ͈e̞
송림	sʰo̞ŋnim
송이	sʰo̞ŋi
쇠	sʰwe̞
쇠가마우지	sʰwe̞ɡa̠ma̠ud͡ʑi
쇠고기	sʰwe̞ɡo̞ɡi
쇠기러기	sʰwe̞ɡiɾʌ̹ɡi
쇠돌고래	sʰwe̞do̞ɭɡo̞ɾe̞
쇠백로	sʰwe̞be̞ŋno̞
쇠부리슴새	sʰwe̞buɾisʰɯmsʰe̞
쇠재두루미	sʰwe̞d͡ʑe̞duɾumi
쇳돌	sʰwe̞t̚t͈o̞ɭ
쇼	ɕ͈jo
쇼룸	ɕʰjoɾum
쇼윈도	ɕʰjoɥindo̞
쇼츠	ɕʰjot͡ɕʰɯ
쇼케이스	ɕʰjokʰe̞isʰɯ
쇼핑하다	ɕʰjopʰiŋɦa̠da̠
수	sʰu
수갑	sʰuɡa̠p̚
수건	ˈsʰuːɡʌ̹n
수고	ˈsʰuːɡo̞
수급	sʰuɡɯp̚
수납장	sʰuna̠p̚t͡ɕ͈a̠ŋ
수뇌회담	sʰunwe̞βwe̞da̠m
수능	ˈsʰuːnɯŋ
수다	ˈsʰuːda̠
수다쟁이	ˈsʰuːda̠d͡ʑe̞ŋi
수달	sʰuda̠ɭ
수도	sʰudo̞
수도권	sʰudo̞k͈wʌ̹n
수도꼭지	sʰudo̞k͈o̞k̚t͡ɕ͈i
수도사	sʰudo̞sʰa̠
수도원	sʰudo̞wʌ̹n
수동태	sʰudo̞ŋtʰe̞
수량	ˈsʰuːɾja̠ŋ
수레	sʰuɾe̞
수렴	sʰuɾjʌ̹m
수로	sʰuɾo̞
수록	sʰuɾo̞k̚
수류탄	sʰuɾjutʰa̠n
수리	sʰuɾi
수리	sʰuɾi
수리	ˈsʰuːɾi
수리아	sʰuɾia̠
수많다	ˈsʰuːma̠ntʰa̠
수면	sʰumjʌ̹n
수명	sʰumjʌ̹ŋ
수문학	sʰumunɦa̠k̚
수바	sʰuba̠
수박	ˈsʰuːba̠k̚
수법	sʰubʌ̹p̚
수상	sʰusʰa̠ŋ
수상하다	sʰusʰa̠ŋɦa̠da̠
수서	sʰusʰʌ̹
수석	sʰusʰʌ̹k̚
수소	sʰusʰo̞
수소탄	sʰusʰo̞tʰa̠n
수송	sʰusʰo̞ŋ
수송선	sʰusʰo̞ŋsʰʌ̹n
수술	sʰusʰuɭ
수시로	sʰuɕʰiɾo̞
수식어	sʰuɕʰiɡʌ̹
수심	sʰuɕʰim
수십	ˈsʰuːɕʰip̚
수액백	sʰue̞k̚p͈e̞k̚
수업	sʰuʌ̹p̚
수염	sʰujʌ̹m
수영복	sʰujʌ̹ŋbo̞k̚
수요	sʰujo
수요일	sʰujoiɭ
수원청개구리	sʰuwʌ̹nt͡ɕʰʌ̹ŋɡe̞ɡuɾi
수은	sʰuɯn
수음하다	sʰuɯmɦa̠da̠
수입	sʰuip̚
수장룡	sʰud͡ʑa̠ŋɲjoŋ
수저	sʰud͡ʑʌ̹
수정란	sʰud͡ʑʌ̹ŋna̠n
수준	sʰud͡ʑun
수줍다	sʰud͡ʑup̚t͈a̠
수집하다	sʰud͡ʑipʰa̠da̠
수출	sʰut͡ɕʰuɭ
수캐	sʰukʰe̞
수컷	sʰukʰʌ̹t̚
수탉	sʰutʰa̠k̚
수판	ˈsʰuːpʰa̠n
수평	sʰupʰjʌ̹ŋ
수평선	sʰupʰjʌ̹ŋsʰʌ̹n
수표	sʰupʰjo
수풀	sʰupʰuɭ
수피	sʰupʰi
수필	sʰupʰiɭ
수행하다	sʰuɦe̞ŋɦa̠da̠
수행하다	sʰuɦe̞ŋɦa̠da̠
수화기	sʰuβwa̠ɡi
숙	sʰuk̚
숙녀	sʰuŋɲjʌ̹
숙명	sʰuŋmjʌ̹ŋ
숙박	sʰuk̚p͈a̠k̚
숙소	sʰuks͈o̞
숙이다	sʰuɡida̠
숙제	sʰuk̚t͡ɕ͈e̞
숙제하다	sʰuk̚t͡ɕ͈e̞ɦa̠da̠
숙주나물	sʰuk̚t͡ɕ͈una̠muɭ
순간	sʰunɡa̠n
순결	sʰunɡjʌ̹ɭ
순교	sʰunɡjo
순교자	sʰunɡjod͡ʑa̠
순두부	sʰundubu
순무	sʰunmu
순박	sʰunba̠k̚
순박하다	ˈsʰuːnba̠kʰa̠da̠
순서	ˈsʰuːnsʰʌ̹
순수	sʰunsʰu
순수하다	sʰunsʰuɦa̠da̠
순양함	sʰuɲja̠ŋɦa̠m
순위	ˈsʰuːnɥi
순천	ˈsʰuːnt͡ɕʰʌ̹n
순흥	sʰunɣɯŋ
술	sʰuɭ
술래	sʰuɭɭe̞
술래잡기	sʰuɭɭe̞d͡ʑa̠p̚k͈i
술병	sʰuɭbjʌ̹ŋ
술집	sʰuɭt͡ɕ͈ip̚
숨기다	sʰumɡida̠
숨다	ˈsʰuːmt͈a̠
숨쉬다	sʰumʃʰɥida̠
숨지다	ˈsʰuːmd͡ʑida̠
숨통	sʰumtʰo̞ŋ
숫자	ˈsʰuːt̚t͡ɕ͈a̠
숭어	ˈsʰuːŋʌ̹
숯	sʰut̚
숲	sʰup̚
숲들쥐	sʰup̚t͈ɯɭd͡ʑɥi
쉰	ʃʰɥiːn
쉽다	ˈʃʰɥiːp̚t͈a̠
슈니첼	ɕʰjunit͡ɕʰe̞ɭ
슈크림	ɕʰjukxɯɾim
슈트케이스	ɕʰjutʰɯkʰe̞isʰɯ
슈퍼	ɕʰjupʰʌ̹
슈퍼스타	ɕʰjupʰʌ̹sʰɯtʰa̠
스도쿠	sʰɯdo̞kʰu
스라소니	sʰɯɾa̠sʰo̞ni
스리랑카	sʰɯɾiɾa̠ŋkʰa̠
스모	s͈ɯmo̞
스몰렌스크	sʰɯmo̞ɭɭe̞nsʰɯkxɯ
스스로	sʰɯsʰɯɾo̞
스승	sʰɯsʰɯŋ
스웨덴어	sʰɯwe̞de̞nʌ̹
스웨리예	sʰɯwe̞ɾije̞
스웨터	sʰɯwe̞tʰʌ̹
스치다	sʰɯt͡ɕʰida̠
스칸듐	sʰɯkʰa̠ndjum
스캐너	sʰɯkʰe̞nʌ̹
스캔들	sʰɯkʰe̞ndɯɭ
스케이트	sʰɯkʰe̞itʰɯ
스케이트보드	sʰɯkʰe̞itʰɯbo̞dɯ
스케줄	sʰɯkʰe̞d͡ʑuɭ
스크린	sʰɯkxɯɾin
스키	sʰɯkçi
스킨십	sʰɯkçinɕʰip̚
스타일	sʰɯtʰa̠iɭ
스태프	sʰɯtʰe̞pʰɯ
스터킹	sʰɯtʰʌ̹kçiŋ
스테아르산	sʰɯtʰe̞a̠ɾɯsʰa̠n
스테아린	sʰɯtʰe̞a̠ɾin
스테이플러	sʰɯtʰe̞ipʰɯɭɭʌ̹
스텝	sʰɯtʰe̞p̚
스톡홀름	sʰɯtʰo̞kʰo̞ɭɭɯm
스튜	sʰɯtʰju
스트레스	sʰɯtʰɯɾe̞s͈ɯ
스트레이트	sʰɯtʰɯɾe̞itʰɯ
스트로	sʰɯtʰɯɾo̞
스트론튬	sʰɯtʰɯɾo̞ntʰjum
스파게티	sʰɯpʰa̠ɡe̞tʰi
스포일러	s͈ɯpʰo̞iɭɭʌ̹
스포츠	sʰɯpʰo̞t͡ɕʰɯ
스푼	sʰɯpʰun
슬	sʰɯɭ
슬로건	s͈ɯɭɭo̞ɡʌ̹n
슬로바키아	sʰɯɭɭo̞ba̠kçia̠
슬로바키아어	sʰɯɭɭo̞ba̠kçia̠ʌ̹
슬로베니아	sʰɯɭɭo̞be̞nia̠
슬로베니아어	sʰɯɭɭo̞be̞nia̠ʌ̹
슬리퍼	sʰɯɭʎipʰʌ̹
슬슬	sʰɯɭsʰɯɭ
슬픔	sʰɯɭpʰɯm
슴새	sʰɯmsʰe̞
습	sʰɯp̚
습기	sʰɯp̚k͈i
습니다	sʰɯmnida̠
습도	sʰɯp̚t͈o̞
승	sʰɯŋ
승객	sʰɯŋɡe̞k̚
승부	sʰɯŋbu
시간	ɕʰiɡa̠n
시간표	ɕʰiɡa̠npʰjo
시계	ˈɕʰiːɡje̞
시기	ɕʰiɡi
시나리오	ɕʰina̠ɾio̞
시나브로	ɕʰina̠bɯɾo̞
시내	ˈɕʰiːne̞
시냇물	ˈɕʰiːne̞nmuɭ
시다	ɕʰida̠
시대정신	ɕʰide̞d͡ʑʌ̹ŋɕʰin
시력	ˈɕʰiːɾjʌ̹k̚
시멘트	ɕʰime̞ntʰɯ
시민	ˈɕʰiːmin
시발	ˈɕʰiːba̠ɭ
시발	ɕʰiba̠ɭ
시베리아	ɕʰibe̞ɾia̠
시보	ɕʰibo̞
시보	ɕʰibo̞
시상	ˈɕʰiːsʰa̠ŋ
시숙	ɕʰisʰuk̚
시스템	ɕ͈isʰɯtʰe̞m
시시덕거리다	ɕʰiɕʰidʌ̹k̚k͈ʌ̹ɾida̠
시신경	ˈɕʰiːɕʰinɡjʌ̹ŋ
시아버지	ɕʰia̠bʌ̹d͡ʑi
시애틀	ɕʰie̞tʰɯɭ
시어머니	ɕʰiʌ̹mʌ̹ni
시에라리온	ɕ͈ie̞ɾa̠ɾio̞n
시월	ɕʰiwʌ̹ɭ
시위	ˈɕʰiːɥi
시작	ˈɕʰiːd͡ʑa̠k̚
시작되다	ˈɕʰiːd͡ʑa̠k̚t͈we̞da̠
시작하다	ˈɕʰiːd͡ʑa̠kʰa̠da̠
시장	ɕʰid͡ʑa̠ŋ
시장	ˈɕʰiːd͡ʑa̠ŋ
시장	ˈɕʰiːd͡ʑa̠ŋ
시장하다	ɕʰid͡ʑa̠ŋɦa̠da̠
시장하시다	ɕʰid͡ʑa̠ŋɦa̠ɕʰida̠
시절	ɕʰid͡ʑʌ̹ɭ
시점	ɕʰid͡ʑʌ̹m
시제	ɕʰid͡ʑe̞
시조	ɕʰid͡ʑo̞
시조	ˈɕʰiːd͡ʑo̞
시조새	ˈɕʰiːd͡ʑo̞sʰe̞
시조조	ˈɕʰiːd͡ʑo̞d͡ʑo̞
시집	ɕʰid͡ʑip̚
시집	ɕʰid͡ʑip̚
시집보내다	ɕʰid͡ʑip̚p͈o̞ne̞da̠
시짱	ɕʰit͡ɕ͈a̠ŋ
시청	ˈɕʰiːt͡ɕʰʌ̹ŋ
시청자	ˈɕʰiːt͡ɕʰʌ̹ŋd͡ʑa̠
시체	ˈɕʰiːt͡ɕʰe̞
시카고	ɕʰikʰa̠ɡo̞
시합	ɕʰiɦa̠p̚
식	ɕʰik̚
식기세척기	ɕʰik̚k͈isʰe̞t͡ɕʰʌ̹k̚k͈i
식다	ɕʰik̚t͈a̠
식료품	ɕʰiŋɲjopʰum
식료품점	ɕʰiŋɲjopʰumd͡ʑʌ̹m
식물학	ɕʰiŋmuɾɦa̠k̚
식민주의	ɕʰiŋmind͡ʑuɰi
식민지	ɕʰiŋmind͡ʑi
식사	ɕʰiks͈a̠
식욕	ɕʰiɡjok̚
식초	ɕʰik̚t͡ɕʰo̞
식탁보	ɕʰik̚tʰa̠k̚p͈o̞
식품	ɕʰik̚pʰum
식품보존료	ɕʰik̚pʰumbo̞d͡ʑo̞ɭʎjo
식히다	ɕʰikçida̠
신	ɕʰin
신	ɕ͈in
신강	ɕʰinɡa̠ŋ
신경전달물질	ɕʰinɡjʌ̹ŋd͡ʑʌ̹nda̠ɭmuɭt͡ɕ͈iɭ
신고	ɕʰinɡo̞
신고하다	ɕʰinɡo̞ɦa̠da̠
신교도	ɕʰinɡjodo̞
신기루	ˈɕʰiːnɡiɾu
신기하다	ˈɕʰiːnɡiɦa̠da̠
신념	ˈɕʰiːnɲjʌ̹m
신다	ˈɕʰiːnt͈a̠
신데렐라	ɕʰinde̞ɾe̞ɭɭa̠
신도	ɕʰindo̞
신뢰	ˈɕʰiːɭɭwe̞
신뢰하다	ˈɕʰiːɭɭwe̞ɦa̠da̠
신문	ɕʰinmun
신미	ɕʰinmi
신발	ɕʰinba̠ɭ
신분	ɕʰinbun
신분증	ɕʰinbunt͡ɕ͈ɯŋ
신비	ɕʰinbi
신선하다	ɕʰinsʰʌ̹nɦa̠da̠
신수	ɕʰinsʰu
신시대	ɕʰinɕʰide̞
신앙	ˈɕʰiːna̠ŋ
신어	ɕʰinʌ̹
신용	ˈɕʰiːɲjoŋ
신의주	ɕʰinɰid͡ʑu
신임	ˈɕʰiːnim
신장	ɕʰind͡ʑa̠ŋ
신조어	ɕʰind͡ʑo̞ʌ̹
신천옹	ˈɕʰiːnt͡ɕʰʌ̹no̞ŋ
신청	ɕʰint͡ɕʰʌ̹ŋ
신청자	ɕʰint͡ɕʰʌ̹ŋd͡ʑa̠
신체	ɕʰint͡ɕʰe̞
신칸센	ɕʰinkʰa̠nsʰe̞n
신탁통치	ɕʰintʰa̠k̚tʰo̞ŋt͡ɕʰi
신포	ɕʰinpʰo̞
신학	ɕʰinɦa̠k̚
신형	ˈɕʰiːnʝjʌ̹ŋ
신호	ˈɕʰiːnβo̞
신화	ɕʰinβwa̠
실	ɕʰiːɭ
실고기	ˈɕʰiːɭɡo̞ɡi
실내악	ɕʰiɭɭe̞a̠k̚
실력	ɕʰiɭʎjʌ̹k̚
실례	ɕʰiɭʎje̞
실로	ɕʰiɭɭo̞
실리다	ɕʰiɭʎida̠
실망	ɕʰiɭma̠ŋ
실망시키다	ɕʰiɭma̠ŋɕʰikçida̠
실뱅어	ˈɕʰiːɭbe̞ŋʌ̹
실수	ɕʰiɭs͈u
실습	ɕʰiɭs͈ɯp̚
실시되다	ɕʰiɭɕʰidwe̞da̠
실업	ɕʰiɾʌ̹p̚
실정	ɕʰiɭt͡ɕ͈ʌ̹ŋ
실천	ɕʰiɭt͡ɕʰʌ̹n
실체	ɕʰiɭt͡ɕʰe̞
실컷	ɕʰiɭkʰʌ̹t̚
실태	ɕʰiɭtʰe̞
실패	ɕʰiɭpʰe̞
실패	ˈɕʰiːɭpʰe̞
실패하다	ɕʰiɭpʰe̞ɦa̠da̠
실험	ɕʰiɾɦʌ̹m
싫다	ɕʰiɭtʰa̠
싫어하다	ɕʰiɾʌ̹ɦa̠da̠
심근경색	ɕʰimɡɯnɡjʌ̹ŋsʰe̞k̚
심다	ˈɕʰiːmt͈a̠
심방	ɕʰimba̠ŋ
심부름	ˈɕʰiːmbuɾɯm
심사	ɕʰimsʰa̠
심심하다	ɕʰimɕʰimɦa̠da̠
심연	ˈɕʰiːmjʌ̹n
심정	ɕʰimd͡ʑʌ̹ŋ
심지	ɕʰimd͡ʑi
심페로폴	ɕʰimpʰe̞ɾo̞pʰo̞ɭ
심하다	ˈɕʰiːmɦa̠da̠
심혼	ɕʰimβo̞n
십	ɕʰip̚
십각형	ɕʰip̚k͈a̠kçjʌ̹ŋ
십구	ɕʰip̚k͈u
십날	ɕʰimna̠ɭ
십오	ɕʰibo̞
십이	ɕʰibi
십이월	ɕʰibiwʌ̹ɭ
십이지장	ɕʰibid͡ʑid͡ʑa̠ŋ
십일	ɕʰibiɭ
십일월	ɕʰibiɾwʌ̹ɭ
십자가	ɕʰip̚t͡ɕ͈a̠ɡa̠
십자선	ɕʰip̚t͡ɕ͈a̠sʰʌ̹n
싱겁다	ɕʰiŋɡʌ̹p̚t͈a̠
싱어	ɕʰiŋʌ̹
싱어	ɕ͈iŋʌ̹
싶다	ɕʰip̚t͈a̠
싸	s͈a̠
싸고돌다	s͈a̠ɡo̞do̞ɭda̠
싸다	s͈a̠da̠
싸다	s͈a̠da̠
싸다	s͈a̠da̠
싸우다	s͈a̠uda̠
싸울아비	s͈a̠uɾa̠bi
싸움터	s͈a̠umtʰʌ̹
싸이다	s͈a̠ida̠
싹	s͈a̠k̚
싼룬처	s͈a̠ɭɭunt͡ɕʰʌ̹
쌀	s͈a̠ɭ
쌀국수	s͈a̠ɭɡuks͈u
쌀미꾸리	s͈a̠ɭmik͈uɾi
쌀밥	s͈a̠ɭba̠p̚
쌀쌀히	s͈a̠ɭs͈a̠ɾʝi
쌈장	s͈a̠md͡ʑa̠ŋ
쌍	s͈a̠ŋ
쌍곡선	s͈a̠ŋɡo̞ks͈ʌ̹n
쌍꺼풀	s͈a̠ŋk͈ʌ̹pʰuɭ
쌍동이	s͈a̠ŋdo̞ŋi
쌍둥이	s͈a̠ŋduŋi
쌍방	s͈a̠ŋba̠ŋ
쌍점	s͈a̠ŋd͡ʑʌ̹m
쌍정	s͈a̠ŋd͡ʑʌ̹ŋ
쌓다	s͈a̠tʰa̠
쌓이다	s͈a̠ida̠
쌤	s͈e̞m
쌩얼	s͈e̞ŋʌ̹ɭ
써레	s͈ʌ̹ɾe̞
썩다	s͈ʌ̹k̚t͈a̠
썬글라스	s͈ʌ̹nɡɯɭɭa̠sʰɯ
썰다	ˈs͈ɘːɭda̠
썰매	s͈ʌ̹ɭme̞
썸	s͈ʌ̹m
쎈터	s͈e̞ntʰʌ̹
쏘련	s͈o̞ɾjʌ̹n
쏜살같이	s͈o̞nsʰa̠ɭɡa̠t͡ɕʰi
쏟다	s͈o̞t̚t͈a̠
쏟아지다	s͈o̞da̠d͡ʑida̠
쏠다	ˈs͈o̞ːɭda̠
쏨땀	s͈o̞mt͈a̠m
쐐기	ˈs͈we̞ːɡi
쐐기	ˈs͈we̞ːɡi
쑤시다	s͈uɕʰida̠
쒀이러우	s͈wʌ̹iɾʌ̹u
쓰다	s͈ɯda̠
쓰레받기	s͈ɯɾe̞ba̠t̚k͈i
쓰촨	s͈ɯt͡ɕʰwa̠n
쓸개	s͈ɯɭɡe̞
쓸개즙	s͈ɯɭɡe̞d͡ʑɯp̚
쓸다	s͈ɯɭda̠
쓸데	s͈ɯɭt͈e̞
쓸데없다	s͈ɯɭt͈e̞ʌ̹p̚t͈a̠
씁쓸하다	s͈ɯps͈ɯɾɦa̠da̠
씨름	ɕ͈iɾɯm
씹거웃	ɕ͈ip̚k͈ʌ̹ut̚
씹다	ɕ͈ip̚t͈a̠
씹새끼	ɕ͈ips͈e̞k͈i
씹하다	ɕ͈ipʰa̠da̠
씻다	ɕ͈it̚t͈a̠
씻은듯이	ɕ͈isʰɯndɯɕʰi
씼	ɕ͈it̚
아가	ˈa̠ːɡa̠
아가씨	a̠ɡa̠ɕ͈i
아귀	a̠ɡɥi
아귀	a̠ɡɥi
아귀	a̠ɡɥi
아귀	ˈa̠ːɡɥi
아기	a̠ɡi
아까	a̠k͈a̠
아깝다	a̠k͈a̠p̚t͈a̠
아끼다	a̠k͈ida̠
아나운서	a̠na̠unsʰʌ̹
아나콘다	a̠na̠kʰo̞nda̠
아낙	a̠na̠k̚
아내	a̠ne̞
아니다	a̠nida̠
아니야	a̠nija̠
아니요	a̠nijo
아니하다	a̠niɦa̠da̠
아담	a̠da̠m
아도	a̠do̞
아드님	a̠dɯnim
아들	a̠dɯɭ
아라	a̠ɾa̠
아람어	a̠ɾa̠mʌ̹
아랍	a̠ɾa̠p̚
아랫사람	a̠ɾe̞t̚s͈a̠ɾa̠m
아련히	a̠ɾjʌ̹nʝi
아론	a̠ɾo̞n
아뢰다	a̠ɾwe̞da̠
아르메니아	a̠ɾɯme̞nia̠
아르메니아어	a̠ɾɯme̞nia̠ʌ̹
아르바이트	a̠ɾɯba̠itʰɯ
아르테미스	a̠ɾɯtʰe̞misʰɯ
아름답다	a̠ɾɯmda̠p̚t͈a̠
아리땁다	a̠ɾit͈a̠p̚t͈a̠
아리랑	a̠ɾiɾa̠ŋ
아리수	a̠ɾisʰu
아마	a̠ma̠
아마도	a̠ma̠do̞
아마추어	a̠ma̠t͡ɕʰuʌ̹
아말감	a̠ma̠ɭɡa̠m
아메리슘	a̠me̞ɾiɕʰjum
아메리카홍머리오리	a̠me̞ɾikʰa̠βo̞ŋmʌ̹ɾio̞ɾi
아메바	a̠me̞ba̠
아몬드	a̠mo̞ndɯ
아무	ˈa̠ːmu
아무것	ˈa̠ːmuɡʌ̹t̚
아무래도	ˈa̠ːmuɾe̞do̞
아무런	ˈa̠ːmuɾʌ̹n
아무렇다	ˈa̠ːmuɾʌ̹tʰa̠
아무르강	a̠muɾɯɡa̠ŋ
아무르산개구리	a̠muɾɯsʰa̠nɡe̞ɡuɾi
아미딘	a̠midin
아민	a̠min
아바나	a̠ba̠na̠
아버님	a̠bʌ̹nim
아베크	a̠be̞kxɯ
아벨	a̠be̞ɭ
아보카도	a̠bo̞kʰa̠do̞
아부다비	a̠buda̠bi
아부자	a̠bud͡ʑa̠
아비	a̠bi
아비장	a̠bid͡ʑa̠ŋ
아빠	a̠p͈a̠
아빠트	a̠p͈a̠tʰɯ
아세나프텐	a̠sʰe̞na̠pʰɯtʰe̞n
아순시온	a̠sʰunɕʰio̞n
아쉬움	a̠ʃʰɥium
아쉽다	a̠ʃʰɥip̚t͈a̠
아스마라	a̠sʰɯma̠ɾa̠
아스타틴	a̠sʰɯtʰa̠tʰin
아실기	a̠ɕʰiɭɡi
아악	ˈa̠ːa̠k̚
아야톨라	a̠ja̠tʰo̞ɭɭa̠
아예	a̠je̞
아오자이	a̠o̞d͡ʑa̠i
아우	a̠u
아울러	a̠uɭɭʌ̹
아웃	a̠ut̚
아유	a̠ju
아이	a̠i
아이고	a̠iɡo̞
아이들	a̠idɯɭ
아이스하키	a̠isʰɯɦa̠kçi
아이슬란드	a̠isʰɯɭɭa̠ndɯ
아이슬란드어	a̠isʰɯɭɭa̠ndɯʌ̹
아이티	a̠itʰi
아이폰	a̠ipʰo̞n
아일랜드	a̠iɭɭe̞ndɯ
아자	a̠d͡ʑa̠
아쟁	a̠d͡ʑe̞ŋ
아저씨	a̠d͡ʑʌ̹ɕ͈i
아주머니	a̠d͡ʑumʌ̹ni
아지	a̠d͡ʑi
아침	a̠t͡ɕʰim
아침놀	a̠t͡ɕʰimno̞ɭ
아크라	a̠kxɯɾa̠
아테네	a̠tʰe̞ne̞
아티스트	a̠tʰisʰɯtʰɯ
아티초크	a̠tʰit͡ɕʰo̞kxɯ
아파르트헤이트	a̠pʰa̠ɾɯtʰɯɦe̞itʰɯ
아파트	a̠pʰa̠tʰɯ
아포스트로피	a̠pʰo̞sʰɯtʰɯɾo̞pʰi
아폴론	a̠pʰo̞ɭɭo̞n
아프가니스탄	a̠pʰɯɡa̠nisʰɯtʰa̠n
아프다	a̠pʰɯda̠
아프리카	a̠pʰɯɾikʰa̠
아프리칸스어	a̠pʰɯɾikʰa̠nsʰɯʌ̹
아홉째	a̠βo̞p̚t͡ɕ͈e̞
아흐레	a̠ɣɯɾe̞
악	a̠k̚
악담	a̠k̚t͈a̠m
악당	a̠k̚t͈a̠ŋ
악덕	a̠k̚t͈ʌ̹k̚
악동	a̠k̚t͈o̞ŋ
악력	a̠ŋɲjʌ̹k̚
악마	a̠ŋma̠
악몽	a̠ŋmo̞ŋ
악습	a̠ks͈ɯp̚
악어	a̠ɡʌ̹
악영향	a̠ɡjʌ̹ŋʝja̠ŋ
악인	a̠ɡin
악티늄	a̠k̚tʰiɲjum
악한	a̠kʰa̠n
안개	a̠nɡe̞
안남	a̠nna̠m
안내	ˈa̠ːnne̞
안내서	ˈa̠ːnne̞sʰʌ̹
안내인	ˈa̠ːnne̞in
안내장	ˈa̠ːnne̞t͡ɕ͈a̠ŋ
안내하다	a̠nne̞ɦa̠da̠
안녕하세요	a̠nɲjʌ̹ŋɦa̠sʰe̞jo
안녕하십니까	a̠nɲjʌ̹ŋɦa̠ɕʰimnik͈a̠
안되다	a̠ndwe̞da̠
안뜰	a̠nt͈ɯɭ
안방	a̠nba̠ŋ
안심	a̠nɕʰim
안전	a̠nd͡ʑʌ̹n
안주	a̠nd͡ʑu
안쪽	a̠nt͡ɕ͈o̞k̚
안타깝다	a̠ntʰa̠k͈a̠p̚t͈a̠
안타나나리보	a̠ntʰa̠na̠na̠ɾibo̞
안테나	a̠ntʰe̞na̠
안트라센	a̠ntʰɯɾa̠sʰe̞n
안티오키아	a̠ntʰio̞kçia̠
앉다	a̠nt͈a̠
알까기	a̠ɭk͈a̠ɡi
알다	ˈa̠ːɭda̠
알데하이드	a̠ɭde̞ɦa̠idɯ
알데히드	a̠ɭde̞ʝidɯ
