ॐ	oːm
ने	neː
नेक	neːk
नेकदिल	neːkd̪ɪl
नेकी	neːkiː
नेटवर्क	neːʈʋəɾk
नेतन्याहू	neːt̪ənjɑːɦuː
नेता	neːt̪ɑː
नेतृत्व	neːt̪ɾɪt̪ʋ
नेत्रिका	neːt̪ɾɪkɑː
नेपथ्य	neːpət̪ʰj
नेपालगंज	neːpɑːlɡəɲd͡ʒ
नेम	neːm
नेस्तनाबूद	neːst̪ənɑːbuːd̪
नैन	nɛːn
नॉर्वे	nɔːɾʋeː
नोएडा	noːeːɖɑː
नोचना	noːt͡ʃnɑː
नोट	noːʈ
नोटबुक	noːʈbʊk
नोटबंदी	noːʈbənd̪iː
नोनी	noːniː
नौ	nɔː
नौकर	nɔːkəɾ
नौकरशाही	nɔːkəɾʃɑːɦiː
नौका	nɔːkɑː
नौजवान	nɔːd͡ʒəʋɑːn
नौबत	nɔːbət̪
नंदिनी	nənd̪ɪniː
नंबर	nəmbəɾ
न्यायपालिका	njɑːjpɑːlɪkɑː
न्यायशास्त्र	njɑːjʃɑːst̪ɾ
न्यायिक	njɑːjɪk
न्यारा	njɑːɾɑː
न्यूज़	njuːz
न्यूनतम	njuːnt̪əm
न्योता	njoːt̪ɑː
प	pə
पकड़	pəkəɽ
पकड़ना	pəkəɽnɑː
पकवान	pəkʋɑːn
पकाना	pəkɑːnɑː
पकोड़ा	pəkoːɽɑː
पक्ष	pəkʃ
पक्षधर	pəkʃd̪ʱəɾ
पक्षपात	pəkʃpɑːt̪
पक्षपातपूर्ण	pəkʃpɑːt̪puːɾn
पखवाड़ा	pəkʰʋɑːɽɑː
पखेरू	pəkʰeːɾuː
पगडंडी	pəɡɖənɖiː
पगला	pəɡlɑː
पगोडा	pəɡoɖaː
पचना	pət͡ʃnɑː
पचपन	pət͡ʃpən
पचहत्तर	pət͡ʃʰət̪t̪əɾ
पचानवे	pət͡ʃɑːnʋeː
पचाना	pət͡ʃɑːnɑː
पचास	pət͡ʃɑːs
पचासी	pət͡ʃɑːsiː
पच्चीस	pət͡ʃt͡ʃiːs
पच्चीस	pət͡ʃt͡ʃɪs
पछताना	pət͡ʃʰt̪ɑːnɑː
पछाड़ना	pət͡ʃʰɑːɽnɑː
पछाँई	pət͡ʃʰɑ̃ːiː
पटकना	pəʈəknɑː
पटका	pəʈkɑː
पटना	pəʈnɑː
पटरी	pəʈɾiː
पटवारी	pəʈʋɑːɾiː
पटाका	pəʈɑːkɑː
पटाखा	pəʈɑːkʰɑː
पटेल	pəʈeːl
पट्टी	pəʈʈiː
पट्ठा	pəʈʈʰɑː
पठान	pəʈʰɑːn
पठानकोट	pəʈʰɑːnkoːʈ
पड़ताल	pəɽt̪ɑːl
पड़ना	pəɽnɑː
पड़ाना	pəɽɑːnɑː
पड़ोस	pəɽoːs
पड़ोसिन	pəɽoːsɪn
पढ़ना	pəɽʱnɑː
पढ़ाई	pəɽʱɑːiː
पणजी	pənd͡ʒiː
पतला	pət̪lɑː
पतलू	pət̪luː
पतलून	pət̪luːn
पताका	pət̪ɑːkɑː
पतित्व	pət̪ɪt̪ʋ
पतीला	pət̪iːlɑː
पतंगबाज़	pət̪əŋɡbɑːz
पतंगबाज़ी	pət̪əŋɡbɑːziː
पत्ती	pətːiː
पत्तीदार	pət̪t̪iːd̪ɑːɾ
पत्थर	pət̪t̪ʰəɾ
पत्थरबाज़	pət̪t̪ʰəɾbɑːz
पत्थरबाज़ी	pət̪t̪ʰəɾbɑːziː
पत्र	pət̪ɾ
पत्रवाहक	pət̪ɾəʋɑːɦək
पथरीला	pət̪ʰɾiːlɑː
पदक	pəd̪ək
पदयात्रा	pəd̪jɑːt̪ɾɑː
पदवी	pəd̪ʋiː
पदाधिकारी	pəd̪ɑːd̪ʱɪkɑːɾiː
पदोन्नत	pəd̪oːnnət̪
पद्मावत	pəd̪mɑːʋət̪
पधारना	pəd̪ʱɑːɾnɑː
पनडुब्बी	pənɖʊbbiː
पनपना	pənəpnɑː
पनाह	pənɑːʱ
पनाहगाह	pənɑːʱɡɑːʱ
पनीर	pəniːɾ
पन्ना	pənnɑː
पपनी	pəpniː
पपीता	pəpiːt̪ɑː
पपीहा	pəpiːɦɑː
पब	pəb
पयाम	pəjɑːm
पर	pəɾ
परख	pəɾəkʰ
परखना	pəɾəkʰnɑː
परचम	pəɾt͡ʃəm
परछाईं	pəɾt͡ʃʰɑːĩː
परजन	pəɾd͡ʒən
परदेश	pəɾd̪eːʃ
परदेशी	pəɾd̪eːʃiː
परनिंदा	pəɾnɪnd̪ɑː
परमाणविक	pəɾmɑːnʋɪk
परमाणु	pəɾmɑːnuː
परवरिश	pəɾʋəɾɪʃ
परवाज़	pəɾʋɑːz
परवानगी	pəɾʋɑːnɡiː
परवाना	pəɾʋɑːnɑː
परवाह	pəɾʋɑːʱ
परसर्ग	pəɾsəɾɡ
परस्पर	pəɾəspəɾ
परामर्श	pəɾɑːməɾʃ
पराया	pəɾɑːjɑː
परावर्तन	pəɾɑːʋəɾt̪ən
परास्त	pəɾɑːst̪
परिकलित्र	pəɾɪkəlɪt̪ɾ
परिक्रमा	pəɾɪkɾəmɑː
परिचय	pəɾɪt͡ʃəj
परिचित	pəɾɪt͡ʃɪt̪
परिणाम	pəɾɪnɑːm
परिणामस्वरूप	pəɾɪnɑːmsʋəɾuːp
परित्यक्त	pəɾɪˈt̪jəkt̪
परिदृश्य	pəɾɪd̪ɾɪʃj
परिधि	pəɾɪd̪ʱiː
परिपाटी	pəɾɪpɑːʈiː
परिपूर्ण	pəɾɪpuːɾn
परिभाषा	pərɪbʱaːʃaː
परिभाषित	pəɾɪbʱɑːʃɪt̪
परिमाप	pəɾɪmɑːp
परिमार्जित	pəɾɪmɑːɾd͡ʒɪt̪
परियोजना	pəɾiːjoːd͡ʒnɑː
परिरुद्ध	pəɾɪɾʊd̪d̪ʱ
परिवारवाद	pəɾɪʋɑːɾʋɑːd̪
परिषद	pəɾɪʃəd̪
परिसंपत्ति	pəɾɪsəmpət̪t̪iː
परिंदा	pəɾɪnd̪ɑː
परी	pəɾiː
परीक्षण	pəɾiːkʃən
परीक्षा	pəɾiːkʃɑː
परे	pəɾeː
परोपकार	pəɾoːpkɑːɾ
परोसा	pəɾoːsɑː
परंतु	pəɾənt̪uː
परंपरागत	pəɾəmpəɾɑːɡət̪
पर्ण	pəɾn
पर्थ	pəɾt̪ʰ
पर्याय	pəɾjɑːj
पर्यावरण	pəɾjɑːʋəɾən
पर्युषण	pəɾjʊʃən
पर्व	pəɾʋ
पर्वत	pəɾʋət̪
पल	pəl
पलक	pələk
पलटवार	pələʈʋɑːɾ
पलस्तर	pələst̪əɾ
पलायन	pəlɑːjən
पलीता	pəliːt̪ɑː
पल्लव	pəlləʋ
पशु	pəʃuː
पशुपालक	pəʃʊpɑːlək
पश्चात्	pəʃt͡ʃɑːt̪
पश्मीना	pəʃmiːnɑː
पसरना	pəsəɾnɑː
पसली	pəsliː
पसार	pəsɑːɾ
पसीजना	pəsiːd͡ʒnɑː
पसीना	pəsiːnɑː
पसंदगी	pəsənd̪ɡiː
पसंदीदा	pəsənd̪iːd̪ɑː
पहचान	pɛːʱt͡ʃɑːn
पहचानकर्ता	pɛːʱt͡ʃɑːnkəɾt̪ɑː
पहनना	pɛːʱnnɑː
पहनावा	pɛːʱnɑːʋɑː
पहर	peːʱɾ
पहरा	pɛːʱɾɑː
पहरेदार	pɛːʱɾeːd̪ɑːɾ
पहल	pɛːʱl
पहलवानी	peːʱlʋɑːniː
पहला	pɛːʱlɑː
पहलू	pɛːʱluː
पहले	pɛːʱleː
पहाड़	pəɦɑːɽ
पहिया	pəɦiːjɑː
पहिया	pəiːjɑː
पहुँचना	pəɦʊ̃t͡ʃnɑː
पहुँचाना	pəɦʊ̃t͡ʃɑːnɑː
पहेली	pəɦeːliː
पाई	pɑːiː
पाउंड	pɑːʊnɖ
पाक	pɑːk
पाकपत्तन	pɑːkpət̪t̪ən
पाकिस्तान	pɑːkɪst̪ɑːn
पागल	pɑːɡəl
पाचन	pɑːt͡ʃən
पाजामा	paˈd͡ʒama
पाजी	pɑːd͡ʒiː
पाटन	pɑːʈən
पाठक	pɑːʈʰək
पाठ्य	pɑːʈʰj
पाठ्यक्रम	pɑːʈʰjəkɾəm
पाठ्यपुस्तक	pɑːʈʰjəpʊst̪ək
पात्र	pɑːt̪ɾ
पाथना	pɑːt̪ʰnɑː
पादप	pɑːd̪əp
पादरी	pɑːd̪ɾiː
पान	pɑːn
पाना	pɑːnɑː
पानी	pɑːniː
पापड़	pɑːpəɽ
पाबंद	pɑːbənd̪
पाबंदी	pɑːbənd̪iː
पायदान	pɑːjd̪ɑːn
पायल	pɑːjəl
पायस	pɑːjəs
पार	pɑːɾ
पारगम्य	pɑːɾɡəmj
पारगम्यता	pɑːɾɡəmjət̪ɑː
पारदर्शी	pɑːɾd̪əɾʃiː
पारसी	pɑːɾsiː
पारसेक	pɑːɾseːk
पारित	pɑːɾɪt̪
पारिवारिक	pɑːɾɪʋɑːɾɪk
पारिश्रमिक	pɑːɾɪʃɾəmɪk
पारी	pɑːɾiː
पार्क	pɑːɾk
पार्श्वसरट	pɑːɾʃʋsəɾəʈ
पालकी	pɑːlkiː
पालतू	pɑːlt̪uː
पालथी	pɑːlt̪ʰiː
पालना	pɑːlnɑː
पाशा	pɑːʃɑː
पाशुपत	pɑːʃʊpət̪
पाश्चात्य	pɑːʃt͡ʃɑːt̪j
पाषाण	pɑːʃɑːn
पास	pɑːs
पाहन	pɑːɦən
पाहुना	pɑːɦʊnɑː
पाँच	pɑ̃ːt͡ʃ
पाँव	pɑ̃ːʋ
पिघलना	pɪɡʱəlnɑː
पिघलाना	pɪɡʱlɑːnɑː
पिचकना	pɪt͡ʃəknɑː
पिछड़ा	pɪt͡ʃʰɽɑː
पिता	pɪt̪ɑː
पितृ	pɪt̪ɾ
पिदर	pɪd̪əɾ
पिया	piːjɑː
पिलाना	pɪlɑːnɑː
पिशाच	pɪʃɑːt͡ʃ
पिसना	pɪsnɑː
पिस्ता	pɪst̪ɑː
पिस्तौल	pɪst̪ɔːl
पिंजड़ा	pɪɲd͡ʒɽɑː
पिंजरा	pɪɲd͡ʒɾɑː
पीएम	piːeːm
पीक	piːk
पीठ	piːʈʰ
पीढ़ी	piːɽʱiː
पीतल	piːt̪əl
पीना	piːn̪ɑː
पीपल	piːpəl
पीपा	piːpɑː
पीरू	piːɾuː
पीलापन	piːlɑːpən
पीसना	piːsnɑː
पुकारना	pʊkɑːɾnɑː
पुख़्ता	pʊkʰt̪ɑː
पुख़्ता	pʊxt̪ɑː
पुजारी	pʊd͡ʒɑːɾiː
पुट	pʊʈ
पुट्ठा	pʊʈʈʰɑː
पुड़िया	pʊɽiːjɑː
पुणे	puːneː
पुण्डरी	pʊnɖəɾiː
पुण्य	pʊnj
पुण्यतिथि	pʊnjət̪ɪt̪ʰiː
पुतना	pʊt̪nɑː
पुतला	pʊt̪lɑː
पुत्रजया	pʊt̪ɾd͡ʒəjɑː
पुदीना	pʊd̪iːnɑː
पुनर्जन्म	pʊnəɾd͡ʒənəm
पुनर्जन्म	pʊnəɾd͡ʒənm
पुनर्जीवित	pʊnəɾd͡ʒiːʋɪt̪
पुनर्निर्माण	pʊnəɾnɪɾmɑːn
पुनश्च	pʊnəʃt͡ʃə
पुनः	pʊnəʰ
पुनःप्रवेश	pʊnəʰpɾəʋeːʃ
पुर	pʊɾ
पुरज़ा	pʊɾzɑː
पुरस्कार	pʊɾəskɑːɾ
पुराण	pʊɾɑːn
पुरातत्व	pʊɾɑːt̪ət̪ʋ
पुरातत्वज्ञ	pʊɾɑːt̪ət̪ʋəɡj
पुराना	pʊɾɑːnɑː
पुरुष	pʊɾʊʃ
पुरुषोचित	pʊɾʊʃoːt͡ʃɪt̪
पुरोहित	pʊɾoːɦɪt̪
पुर्त॰	pʊɾt̪ə
पुर्तगाल	pʊɾt̪əɡɑːl
पुल	pʊl
पुलिसकर्मी	pʊlɪskəɾmiː
पुलिंदा	pʊlɪnd̪ɑː
पुल्लिंग	pʊllɪŋɡ
पुश्तैनी	pʊʃt̪ɛːniː
पुष्कलावती	pʊʃkəlɑːʋət̪iː
पुष्टीकरण	pʊʃʈiːkəɾən
पुष्प	pʊʃp
पुस्तक	pʊst̪ək
पुस्तकालय	pʊst̪əkɑːləj
पुस्तकीय	pʊst̪əkiːj
पुस्तिका	pʊst̪ɪkɑː
पूछ	puːt͡ʃʰ
पूछना	puːt͡ʃʰnɑː
पूजना	puːd͡ʒnɑː
पूत	puːt̪
पूरब	puːɾəb
पूरबी	puːɾbiː
पूरी	puːɾiː
पूर्ण	puːɾn
पूर्णकालिक	puːɾnəkɑːlɪk
पूर्णतः	puːɾnət̪əʰ
पूर्णांक	puːɾnɑːŋk
पूर्णिमा	puːɾnɪmɑː
पूर्व	puːɾʋ
पूर्वकथन	puːɾʋəkt̪ʰən
पूर्ववर्ती	puːɾʋʋəɾt̪iː
पूर्वस्नातक	puːɾʋsnɑːt̪ək
पूर्वाग्रह	puːɾʋɑːɡɾəʱ
पूर्वी	puːɾʋiː
पूंजी	puːɲd͡ʒiː
पूंडरी	puːnɖɾiː
पूँछ	pũːt͡ʃʰ
पृथक्करण	pɾɪt̪ʰəkkəɾən
पृष्ठभूमि	pɾɪʃʈʰbʱuːmiː
पेच	peːt͡ʃ
पेचकस	peːt͡ʃkəs
पेचीदा	peːt͡ʃiːd̪ɑː
पेज	peːd͡ʒ
पेट	peːʈ
पेटी	peːʈiː
पेटू	peːʈuː
पेट्रोल	peːʈɾoːl
पेठा	peːʈʰɑː
पेड़ा	peːɽɑː
पेन	pen
पेन्सिलवेनिया	peːnsɪlʋeːniːjɑː
पेप्सी	peːpsiː
पेय	peːj
पेश	peːʃ
पेशा	peːʃɑː
पेशाब	peːʃɑːb
पेशावर	peːʃɑːʋəɾ
पेशेवर	peːʃeːʋəɾ
पेंशन	peːnʃən
पैकार	pɛːkɑːɾ
पैकेट	pɛːkeːʈ
पैग़ाम	pɛːɡɑːm
पैठ	pɛːʈʰ
पैदाइश	pɛːd̪ɑːɪʃ
पैदाइशी	pɛːd̪ɑːɪʃiː
पैदावार	pɛːd̪ɑːʋɑːɾ
पैना	pɛːnɑː
पैमाना	pɛːmɑːnɑː
पैर	pɛːɾ
पैरोकार	pɛːɾoːkɑːɾ
पैसा	pɛːsɑː
पैंट	pɛːnʈ
पैंतालीस	pɛːnt̪ɑːliːs
पैंतीस	pɛːnt̪iːs
पैंसठ	pɛːnsəʈʰ
पोका	poːkɑː
पोखरा	poːkʰɾɑː
पोतना	poːt̪nɑː
पोपला	poːplɑː
पोशाक	poːʃɑːk
पौधा	pɔːd̪ʱɑː
पौन	pɔːn
पौने	pɔːneː
पौर	pɔːɾ
पौराणिक	pɔːɾɑːnɪk
पौरुष	pɔːɾʊʃ
पौरोहित्य	pɔːɾoːɦɪt̪j
पौंड	pɔːnɖ
पंक्ति	pəŋkt̪iː
पंखा	pəŋkʰɑː
पंखावाला	pəŋkʰɑːʋɑːlɑː
पंगु	pəŋɡuː
पंचशील	pəɲt͡ʃʃiːl
पंचायत	pəɲt͡ʃɑːjət̪
पंचायती	pəɲt͡ʃɑːjət̪iː
पंछी	pəɲt͡ʃʰiː
पंजा	pəɲd͡ʒɑː
पंजाब	pəɲd͡ʒɑːb
पंजीकरण	pəɲd͡ʒiːkəɾən
पंडाल	pənɖɑːl
पंडित	pənɖɪt̪
पंसारी	pənsɑːɾiː
प्याऊ	pjɑːuː
प्याज	pjɑːd͡ʒ
प्याज़	pjɑːz
प्यादा	pjɑːd̪ɑː
प्यार	pjɑːɾ
प्यास	pjɑːs
प्यासा	pjɑːsɑː
प्योंगचांग	pjoːŋɡt͡ʃɑːŋɡ
प्योंगचैंग	pjoːŋɡt͡ʃɛːŋɡ
प्योंगयांग	pjoːŋɡjɑːŋɡ
प्रकार्यात्मक	pɾəkɑːɾjɑːt̪mək
प्रकाश	pɾəkɑːʃ
प्रकांड	pɾəkɑːnɖ
प्रकीर्णन	pɾəkiːɾnən
प्रक्रम	pɾəkɾəm
प्रक्रिया	pɾəkɾiːjɑː
प्रक्षेपास्त्र	pɾəkʃeːpɑːst̪ɾ
प्रगति	pɾəɡət̪iː
प्रगतिवाद	pɾəɡət̪ɪʋɑːd̪
प्रगतिवादी	pɾəɡət̪ɪʋɑːd̪iː
प्रगतिशील	pɾəɡət̪ɪʃiːl
प्रचलित	pɾət͡ʃəlɪt̪
प्रचार	pɾət͡ʃɑːɾ
प्रचंड	pɾət͡ʃənɖ
प्रजा	pɾəd͡ʒɑː
प्रजातंत्र	pɾəd͡ʒɑːt̪ənt̪ɾ
प्रजातंत्रवाद	pɾəd͡ʒɑːt̪ənt̪ɾəʋɑːd̪
प्रज्वलित	pɾəd͡ʒʋəlɪt̪
प्रण	pɾən
प्रणाम	pɾənɑːm
प्रणाली	pɾənɑːliː
प्रताप	pɾət̪ɑːp
प्रतापी	pɾət̪ɑːpiː
प्रतिक्रिया	pɾət̪ɪkɾiːjɑː
प्रतिक्रियावादी	pɾət̪ɪkɾiːjɑːʋɑːd̪iː
प्रतिज्ञा	pɾət̪ɪɡjɑː
प्रतिज्ञापन	pɾət̪ɪɡjɑːpən
प्रतिनिधि	pɾət̪ɪnɪd̪ʱiː
प्रतिनिधित्व	pɾət̪ɪnɪd̪ʱɪt̪ʋ
प्रतिफल	pɾət̪ɪpʰəl
प्रतिबिंब	pɾət̪ɪbɪmb
प्रतिबंध	pɾət̪ɪbənd̪ʱ
प्रतिबंधित	pɾət̪ɪbənd̪ʱɪt̪
प्रतिभा	pɾət̪ɪbʱɑː
प्रतिभूति	pɾət̪ɪbʱuːt̪iː
प्रतिमा	pɾət̪ɪmɑː
प्रतिमाह	pɾət̪ɪmɑːʱ
प्रतियोगिता	pɾət̪iːjoːɡɪt̪ɑː
प्रतिरूप	pɾət̪ɪɾuːp
प्रतिरोध	pɾət̪ɪɾoːd̪ʱ
प्रतिरोधक	pɾət̪ɪɾoːd̪ʱək
प्रतिरोधकता	pɾət̪ɪɾoːd̪ʱəkt̪ɑː
प्रतिलोम	pɾət̪ɪloːm
प्रतिशत	pɾət̪ɪʃət̪
प्रतिस्पर्धा	pɾət̪ɪspəɾd̪ʱɑː
प्रतीक	pɾət̪iːk
प्रतीकात्मक	pɾət̪iːkɑːt̪mək
प्रतीति	pɾət̪iːt̪iː
प्रत्यक्षीकरण	pɾət̪jəkʃiːkɾən
प्रत्यय	pɾət̪jəj
प्रत्यर्पण	pɾət̪jəɾpən
प्रत्यर्पित	pɾət̪jəɾpɪt̪
प्रत्याशा	pɾət̪jɑːʃɑː
प्रत्याशी	pɾət̪jɑːʃiː
प्रत्येक	pɾət̪jeːk
प्रथमतः	pɾət̪ʰəmt̪əʰ
प्रदर्शित	pɾəd̪əɾʃɪt̪
प्रदाता	pɾəd̪ɑːt̪ɑː
प्रदूषण	pɾəd̪uːʃən
प्रधानाचार्य	pɾəd̪ʱɑːnɑːt͡ʃɑːɾj
प्रधानाध्यापक	pɾəd̪ʱɑːnɑːd̪ʱjɑːpək
प्रबन्ध	pɾəbənd̪ʱ
प्रबल	pɾəbəl
प्रबंध	pɾəbənd̪ʱ
प्रबंधक	pɾəbənd̪ʱək
प्रभात	pɾəbʱɑːt̪
प्रभारी	pɾəbʱɑːɾiː
प्रभाव	pɾəbʱɑːʋ
प्रभावकारी	pɾəbʱɑːʋkɑːɾiː
प्रभावी	pɾəbʱɑːʋiː
प्रभुत्व	pɾəbʱʊt̪ʋ
प्रमाण	pɾəmɑːn
प्रमाणभूत	pɾəmɑːnbʱuːt̪
प्रयत्न	pɾəjət̪n
प्रयास	pɾəjɑːs
प्रयोग	pɾəjoːɡ
प्रयोगकर्ता	pɾəjoːɡkəɾt̪ɑː
प्रयोगशाला	pɾəjoːɡʃɑːlɑː
प्रलय	pɾələj
प्रवक्ता	pɾəʋəkt̪ɑː
प्रवर्तक	pɾəʋəɾt̪ək
प्रवाह	pɾəʋɑːʱ
प्रविष्टि	pɾəʋɪʃʈiː
प्रवेश	pɾəʋeːʃ
प्रशासक	pɾəʃɑːsək
प्रशासकीय	pɾəʃɑːsəkiːj
प्रशासन	pɾəʃɑːsən
प्रशासिक	pɾəʃɑːsɪk
प्रशिक्षण	pɾəʃɪkʃən
प्रशंसक	pɾəʃənsək
प्रश्न	pɾəʃən
प्रश्न	pɾəʃn
प्रश्न	pɾəʃnə
प्रश्नोत्तर	pɾəʃnoːt̪t̪əɾ
प्रसन्नता	pɾəsənnt̪ɑː
प्रसाधन	pɾəsɑːd̪ʱən
प्रसारित	pɾəsɑːɾɪt̪
प्रसंग	pɾəsəŋɡ
प्रस्ताव	pɾəst̪ɑːʋ
प्रस्तावक	pɾəst̪ɑːʋək
प्रस्तुति	pɾəst̪ʊt̪iː
प्रहार	pɾəɦɑːɾ
प्राकृतिक	pɾɑːkɾɪt̪ɪk
प्राक्कथन	pɾɑːkkət̪ʰən
प्राचल	pɾɑːt͡ʃəl
प्राच्यलवक	pɾɑːt͡ʃjəlʋək
प्राण	pɾɑːn
प्राणी	pɾɑːniː
प्रातः	pɾɑːt̪əʰ
प्राथमिक	praːt̪ʰmɪk
प्रादेशिक	pɾɑːd̪eːʃɪk
प्राधिकार	pɾɑːd̪ʱɪkɑːɾ
प्राधिकारी	pɾɑːd̪ʱɪkɑːɾiː
प्राध्यापक	pɾɑːd̪ʱjɑːpək
प्राप्त	pɾɑːpt̪
प्राप्ति	pɾɑːpt̪iː
प्रायद्वीप	pɾɑːjd̪ʋiːp
प्रारंभ	pɾɑːɾəmbʱ
प्रावधान	pɾɑːʋd̪ʱɑːn
प्रासुक	pɾɑːsʊk
प्रासंगिक	pɾɑːsəŋɡɪk
प्रासंगिकता	pɾɑːsəŋɡɪkt̪ɑː
प्रिटोरिया	pɾɪʈoːɾiːjɑː
प्रिय	pɾɪj
प्रियवर	pɾiːjəʋəɾ
प्रिया	pɾiːjɑː
प्रिंस	pɾɪns
प्रेक्षित	pɾeːkʃɪt̪
प्रेम	pɾeːm
प्रेयसी	pɾeːjəsiː
प्रेरणा	pɾeːɾnɑː
प्रेरित	pɾeːɾɪt̪
प्रेस	pɾeːs
प्रॉसिक्यूटर	pɾɔːsɪkjuːʈəɾ
प्रोग्राम	pɾoːɡɾɑːm
प्रोटीन	pɾoːʈiːn
प्रोत्साहन	pɾoːt̪sɑːɦən
प्रोत्साहित	pɾoːt̪sɑːɦɪt̪
प्रौढ़	pɾɔːɽʱ
प्लाविका	plɑːʋɪkɑː
प्लीज़	pliːz
फ	pʰə
फ़क़ीर	fəkiːɾ
फ़क़ीर	fəqiːɾ
फक्कड़	pʰəkkəɽ
फ़ख़्र	fəkʰɾ
फ़ख़्र	fəxɾ
फट	pʰəʈ
फट्टू	pʰəʈʈuː
फड़फड़ाना	pʰəɽpʰəɽɑːnɑː
फ़तह	fət̪əʱ
फ़ना	fənɑː
फफकना	pʰəpʰəknɑː
फफोला	pʰəpʰoːlɑː
फ़रमाइश	fəɾmɑːɪʃ
फ़रमान	fəɾmɑːn
फ़रमाना	fəɾmɑːnɑː
फ़रवरी	fəɾʋəɾiː
फरवरी	pʰəɾʋəɾiː
फ़रात	fəɾɑːt̪
फ़रार	fəɾɑːɾ
फ़रीदाबाद	fəɾiːd̪ɑːbɑːd̪
फ़रेब	fəɾeːb
फ़रोश	fəɾoːʃ
फ़र्ज़ी	fəɾziː
फर्न	pʰəɾn
फर्नीचर	pʰəɾniːt͡ʃəɾ
फ़र्रुख़ाबाद	fəɾɾʊkʰɑːbɑːd̪
फ़र्रुख़ाबाद	fəɾɾʊxɑːbɑːd̪
फ़र्श	fəɾʃ
फल	pʰəl
फलन	pʰələn
फ़लसफ़ा	fəlsəfɑː
फ़लस्तीनी	fələst̪iːniː
फलस्वरूप	pʰələsʋəɾuːp
फ़सल	fəsəl
फ़साना	fəsɑːnɑː
फ़ाख़्ता	fɑːkʰt̪ɑː
फ़ाख़्ता	fɑːxt̪ɑː
फ़ानी	faːn̪iː
फाफड़ा	pʰɑːpʰɽɑː
फ़ारसी	fɑːɾsiː
फ़ालतू	fɑːlt̪uː
फालतू	pʰɑːlt̪uː
फ़ाश	fɑːʃ
फ़ासिला	fɑːsɪlɑː
फांसी	pʰɑːnsiː
फ़िकर	fɪkəɾ
फिटकरी	pʰɪʈkəɾiː
फ़ितरत	fɪt̪ɾət̪
फ़ितूर	fɪt̪uːɾ
फ़िदा	fɪd̪ɑː
फ़िदायीन	fɪd̪ɑːjiːn
फिर	pʰɪɾ
फिरकी	pʰɪɾkiː
फिरना	pʰɪɾnɑː
फ़िराक़	fɪɾɑːk
फ़िराक़	fɪɾɑːq
फ़िरौन	fɪɾɔːn
फ़िरंगी	fɪɾəŋɡiː
फ़िलहाल	fɪlɦɑːl
फ़िलिस्तीनी	fɪlɪst̪iːniː
फ़िल्म	fɪləm
फ़िल्म	fɪlm
फिल्म	pʰɪlm
फिसलन	pʰɪslən
फीणी	pʰiːniː
फ़ीता	fiːt̪ɑː
फ़ीलपाँव	fiːlpɑ̃ːʋ
फ़ील्मी	fiːlmiː
फ़ीस	fiːs
फ़ीसद	fiːsəd̪
फ़ुटबॉल	fʊʈbɔːl
फुदकना	pʰʊd̪əknɑː
फुनगी	pʰʊnɡiː
फ़ुर्सत	fʊɾsət̪
फुलका	pʰʊlkɑː
फुलझड़ी	pʰʊld͡ʒʱəɽiː
फुसफुसाना	pʰʊspʰʊsɑːnɑː
फूफा	pʰuːpʰɑː
फूल	pʰuːl
फूलदान	pʰuːld̪ɑːn
फूलना	pʰuːlnɑː
फूंक	pʰuːŋk
फेफड़ा	pʰeːpʰɽɑː
फेरी	pʰeːɾiː
फ़ेसबुक	feːsbʊk
फेसबुक	pʰeːsbʊk
फ़ेहरिस्त	feːʱɾɪst̪
फेंक	pʰeːŋk
फेंकना	pʰeːŋknɑː
फ़ैक्टरी	fɛːkʈəɾiː
फ़ैक्टरी	fɛːkʈɾiː
फ़ैज़	fɛːz
फ़ैज़ाबाद	fɛːzɑːbɑːd̪
फ़ैसलाबाद	fɛːslɑːbɑːd̪
फ़ॉर्मूला	fɔːɾmuːlɑː
फ़ॉलोअर	fɔːloːəɾ
फ़ोटो	foːʈoː
फोड़ा	pʰoːɽɑː
फ़ौज	fɔːd͡ʒ
फ़ौजी	fɔːd͡ʒiː
फ़ौरन	fɔːɾən
फ़ंतासी	fənt̪ɑːsiː
फंदा	pʰənd̪ɑː
फँसना	pʰə̃snɑː
फ्रांसीसी	fɾɑːnsiːsiː
फ्रेन्चाइज़	fɾeːnt͡ʃɑːɪz
फ़्लैट	flɛːʈ
फ़्लोरिडा	floːɾɪɖɑː
ब	bə
बकचोदी	bəkt͡ʃoːd̪iː
बकरा	bəkɾɑː
बकरी	bəkɾiː
बक़रीद	bəkɾiːd̪
बक़रीद	bəqɾiːd̪
बकवास	bəkˈʋɑːs
बकुची	bəkʊt͡ʃiː
बखान	bəkʰɑːn
बख़ील	bəkʰiːl
बख़ील	bəxiːl
बख़्त	bəkʰt̪
बख़्त	bəxt̪
बख़्शना	bəkʰʃnɑː
बख़्शना	bəxʃnɑː
बख़्शिश	bəkʰʃɪʃ
बख़्शिश	bəxʃɪʃ
बग़दाद	bəɡd̪ɑːd̪
बग़ल	bəɡəl
बगला	bəɡlɑː
बग़ावत	bəɡɑːʋət̪
बग़ीचा	bəɡiːt͡ʃɑː
बग़ैर	bəɡɛːɾ
बघारना	bəɡʱɑːɾnɑː
बचत	bət͡ʃət̪
बचना	bət͡ʃnɑː
बचपन	bət͡ʃpən
बचपना	bət͡ʃpənɑː
बचाना	bət͡ʃɑːnɑː
बचाव	bət͡ʃɑːʋ
